cifar100 loaded
There are 40000 training samples and 10000 validation samples
There are 10000 test samples.
This is records for stage 3
Train with the wcl selected dataset (by weighted the boundary points).
load parameters
Now try to run the WCL algorithm, by scaling up boundary sample scores
Scale up the boundary sample scores to 1
Start to select 20000 samples for a fair comparison.
Use multiple GPU to train the network.
Use 100 epochs

Epoch: 0
 [>................................................................] 1/79   Step: 54s158ms | Tot: 0ms | Loss: 0.292 | Acc: 92.969% (238/256)              
 [>................................................................] 2/79   Step: 1s946ms | Tot: 1s946ms | Loss: 0.281 | Acc: 92.578% (474/512)              
 [=>...............................................................] 3/79   Step: 974ms | Tot: 2s920ms | Loss: 0.288 | Acc: 92.448% (710/768)              
 [==>..............................................................] 4/79   Step: 1s139ms | Tot: 4s60ms | Loss: 0.303 | Acc: 92.188% (944/1024)              
 [===>.............................................................] 5/79   Step: 982ms | Tot: 5s43ms | Loss: 0.310 | Acc: 92.109% (1179/1280)              
 [====>............................................................] 6/79   Step: 969ms | Tot: 6s13ms | Loss: 0.313 | Acc: 92.057% (1414/1536)              
 [====>............................................................] 7/79   Step: 964ms | Tot: 6s977ms | Loss: 0.339 | Acc: 91.629% (1642/1792)              
 [=====>...........................................................] 8/79   Step: 967ms | Tot: 7s944ms | Loss: 0.330 | Acc: 91.797% (1880/2048)              
 [======>..........................................................] 9/79   Step: 1s64ms | Tot: 9s9ms | Loss: 0.328 | Acc: 91.884% (2117/2304)              
 [=======>.........................................................] 10/79   Step: 966ms | Tot: 9s976ms | Loss: 0.332 | Acc: 91.680% (2347/2560)              
 [========>........................................................] 11/79   Step: 963ms | Tot: 10s939ms | Loss: 0.338 | Acc: 91.690% (2582/2816)              
 [=========>.......................................................] 12/79   Step: 964ms | Tot: 11s904ms | Loss: 0.337 | Acc: 91.764% (2819/3072)              
 [=========>.......................................................] 13/79   Step: 1s80ms | Tot: 12s984ms | Loss: 0.337 | Acc: 91.707% (3052/3328)              
 [==========>......................................................] 14/79   Step: 975ms | Tot: 13s960ms | Loss: 0.334 | Acc: 91.881% (3293/3584)              
 [===========>.....................................................] 15/79   Step: 984ms | Tot: 14s945ms | Loss: 0.329 | Acc: 91.953% (3531/3840)              
 [============>....................................................] 16/79   Step: 966ms | Tot: 15s912ms | Loss: 0.322 | Acc: 91.992% (3768/4096)              
 [=============>...................................................] 17/79   Step: 981ms | Tot: 16s893ms | Loss: 0.319 | Acc: 92.050% (4006/4352)              
 [=============>...................................................] 18/79   Step: 1s72ms | Tot: 17s965ms | Loss: 0.322 | Acc: 92.036% (4241/4608)              
 [==============>..................................................] 19/79   Step: 973ms | Tot: 18s939ms | Loss: 0.325 | Acc: 91.920% (4471/4864)              
 [===============>.................................................] 20/79   Step: 975ms | Tot: 19s914ms | Loss: 0.326 | Acc: 91.914% (4706/5120)              
 [================>................................................] 21/79   Step: 963ms | Tot: 20s877ms | Loss: 0.328 | Acc: 92.020% (4947/5376)              
 [=================>...............................................] 22/79   Step: 961ms | Tot: 21s839ms | Loss: 0.331 | Acc: 91.957% (5179/5632)              
 [==================>..............................................] 23/79   Step: 1s111ms | Tot: 22s950ms | Loss: 0.334 | Acc: 91.967% (5415/5888)              
 [==================>..............................................] 24/79   Step: 971ms | Tot: 23s921ms | Loss: 0.334 | Acc: 91.992% (5652/6144)              
 [===================>.............................................] 25/79   Step: 981ms | Tot: 24s902ms | Loss: 0.329 | Acc: 92.078% (5893/6400)              
 [====================>............................................] 26/79   Step: 970ms | Tot: 25s872ms | Loss: 0.327 | Acc: 92.127% (6132/6656)              
 [=====================>...........................................] 27/79   Step: 1s69ms | Tot: 26s942ms | Loss: 0.328 | Acc: 92.086% (6365/6912)              
 [======================>..........................................] 28/79   Step: 967ms | Tot: 27s910ms | Loss: 0.329 | Acc: 92.034% (6597/7168)              
 [=======================>.........................................] 29/79   Step: 962ms | Tot: 28s872ms | Loss: 0.330 | Acc: 92.053% (6834/7424)              
 [=======================>.........................................] 30/79   Step: 969ms | Tot: 29s842ms | Loss: 0.331 | Acc: 92.005% (7066/7680)              
 [========================>........................................] 31/79   Step: 972ms | Tot: 30s814ms | Loss: 0.331 | Acc: 91.961% (7298/7936)              
 [=========================>.......................................] 32/79   Step: 1s69ms | Tot: 31s883ms | Loss: 0.329 | Acc: 92.004% (7537/8192)              
 [==========================>......................................] 33/79   Step: 966ms | Tot: 32s850ms | Loss: 0.325 | Acc: 92.045% (7776/8448)              
 [===========================>.....................................] 34/79   Step: 964ms | Tot: 33s814ms | Loss: 0.323 | Acc: 92.142% (8020/8704)              
 [===========================>.....................................] 35/79   Step: 981ms | Tot: 34s796ms | Loss: 0.322 | Acc: 92.154% (8257/8960)              
 [============================>....................................] 36/79   Step: 1s88ms | Tot: 35s884ms | Loss: 0.322 | Acc: 92.122% (8490/9216)              
 [=============================>...................................] 37/79   Step: 968ms | Tot: 36s852ms | Loss: 0.322 | Acc: 92.156% (8729/9472)              
 [==============================>..................................] 38/79   Step: 972ms | Tot: 37s824ms | Loss: 0.322 | Acc: 92.177% (8967/9728)              
 [===============================>.................................] 39/79   Step: 970ms | Tot: 38s795ms | Loss: 0.320 | Acc: 92.208% (9206/9984)              
 [================================>................................] 40/79   Step: 962ms | Tot: 39s757ms | Loss: 0.318 | Acc: 92.246% (9446/10240)              
 [================================>................................] 41/79   Step: 1s108ms | Tot: 40s866ms | Loss: 0.318 | Acc: 92.264% (9684/10496)              
 [=================================>...............................] 42/79   Step: 961ms | Tot: 41s827ms | Loss: 0.317 | Acc: 92.243% (9918/10752)              
 [==================================>..............................] 43/79   Step: 968ms | Tot: 42s795ms | Loss: 0.317 | Acc: 92.269% (10157/11008)              
 [===================================>.............................] 44/79   Step: 970ms | Tot: 43s766ms | Loss: 0.317 | Acc: 92.241% (10390/11264)              
 [====================================>............................] 45/79   Step: 1s67ms | Tot: 44s833ms | Loss: 0.317 | Acc: 92.274% (10630/11520)              
 [=====================================>...........................] 46/79   Step: 975ms | Tot: 45s809ms | Loss: 0.317 | Acc: 92.281% (10867/11776)              
 [=====================================>...........................] 47/79   Step: 962ms | Tot: 46s772ms | Loss: 0.315 | Acc: 92.320% (11108/12032)              
 [======================================>..........................] 48/79   Step: 969ms | Tot: 47s742ms | Loss: 0.314 | Acc: 92.342% (11347/12288)              
 [=======================================>.........................] 49/79   Step: 971ms | Tot: 48s713ms | Loss: 0.315 | Acc: 92.315% (11580/12544)              
