cifar100 loaded
There are 40000 training samples and 10000 validation samples
There are 10000 test samples.
This is records for stage 2
Train with the wcl selected dataset (by weighted the boundary points).
load parameters
Now try to run the WCL algorithm, by scaling up boundary sample scores
Scale up the boundary sample scores to 1
Start to select 12000 samples for a fair comparison.
Use multiple GPU to train the network.
Use 100 epochs

Epoch: 0
 [===>.............................................................] 3/40   Step: 586ms | Tot: 1s3ms | Loss: 1.786 | Acc: 60.547% (465/768)              
 [====>............................................................] 4/40   Step: 410ms | Tot: 1s413ms | Loss: 1.815 | Acc: 59.863% (613/1024)              
 [======>..........................................................] 5/40   Step: 410ms | Tot: 1s824ms | Loss: 1.839 | Acc: 59.141% (757/1280)              
 [========>........................................................] 6/40   Step: 411ms | Tot: 2s235ms | Loss: 1.823 | Acc: 59.115% (908/1536)              
 [=========>.......................................................] 7/40   Step: 409ms | Tot: 2s645ms | Loss: 1.829 | Acc: 59.152% (1060/1792)              
 [===========>.....................................................] 8/40   Step: 414ms | Tot: 3s59ms | Loss: 1.839 | Acc: 59.033% (1209/2048)              
 [=============>...................................................] 9/40   Step: 518ms | Tot: 3s578ms | Loss: 1.819 | Acc: 59.375% (1368/2304)              
 [==============>..................................................] 10/40   Step: 411ms | Tot: 3s990ms | Loss: 1.803 | Acc: 59.492% (1523/2560)              
 [================>................................................] 11/40   Step: 412ms | Tot: 4s402ms | Loss: 1.792 | Acc: 59.872% (1686/2816)              
 [=================>...............................................] 12/40   Step: 411ms | Tot: 4s814ms | Loss: 1.785 | Acc: 60.026% (1844/3072)              
 [===================>.............................................] 13/40   Step: 411ms | Tot: 5s225ms | Loss: 1.788 | Acc: 60.036% (1998/3328)              
 [=====================>...........................................] 14/40   Step: 410ms | Tot: 5s636ms | Loss: 1.817 | Acc: 59.459% (2131/3584)              
 [======================>..........................................] 15/40   Step: 519ms | Tot: 6s155ms | Loss: 1.823 | Acc: 59.479% (2284/3840)              
 [========================>........................................] 16/40   Step: 408ms | Tot: 6s564ms | Loss: 1.827 | Acc: 59.424% (2434/4096)              
 [==========================>......................................] 17/40   Step: 410ms | Tot: 6s974ms | Loss: 1.830 | Acc: 59.329% (2582/4352)              
 [===========================>.....................................] 18/40   Step: 411ms | Tot: 7s385ms | Loss: 1.837 | Acc: 59.266% (2731/4608)              
 [=============================>...................................] 19/40   Step: 430ms | Tot: 7s815ms | Loss: 1.841 | Acc: 59.046% (2872/4864)              
 [==============================>..................................] 20/40   Step: 414ms | Tot: 8s229ms | Loss: 1.836 | Acc: 59.102% (3026/5120)              
 [================================>................................] 21/40   Step: 518ms | Tot: 8s748ms | Loss: 1.840 | Acc: 59.133% (3179/5376)              
 [==================================>..............................] 22/40   Step: 410ms | Tot: 9s159ms | Loss: 1.848 | Acc: 58.931% (3319/5632)              
 [===================================>.............................] 23/40   Step: 410ms | Tot: 9s570ms | Loss: 1.854 | Acc: 58.832% (3464/5888)              
 [=====================================>...........................] 24/40   Step: 410ms | Tot: 9s981ms | Loss: 1.864 | Acc: 58.757% (3610/6144)              
 [=======================================>.........................] 25/40   Step: 411ms | Tot: 10s392ms | Loss: 1.857 | Acc: 58.828% (3765/6400)              
 [========================================>........................] 26/40   Step: 409ms | Tot: 10s802ms | Loss: 1.853 | Acc: 58.984% (3926/6656)              
 [==========================================>......................] 27/40   Step: 516ms | Tot: 11s319ms | Loss: 1.855 | Acc: 58.999% (4078/6912)              
 [===========================================>.....................] 28/40   Step: 409ms | Tot: 11s729ms | Loss: 1.851 | Acc: 59.054% (4233/7168)              
 [=============================================>...................] 29/40   Step: 411ms | Tot: 12s140ms | Loss: 1.853 | Acc: 58.984% (4379/7424)              
 [===============================================>.................] 30/40   Step: 409ms | Tot: 12s550ms | Loss: 1.849 | Acc: 58.984% (4530/7680)              
 [================================================>................] 31/40   Step: 411ms | Tot: 12s962ms | Loss: 1.854 | Acc: 58.833% (4669/7936)              
 [==================================================>..............] 32/40   Step: 410ms | Tot: 13s373ms | Loss: 1.851 | Acc: 58.911% (4826/8192)              
 [====================================================>............] 33/40   Step: 519ms | Tot: 13s892ms | Loss: 1.855 | Acc: 58.819% (4969/8448)              
