cifar10 loaded
There are 40000 training samples and 10000 validation samples
There are 10000 test samples.
This is records for stage 3
Train with the whole dataset.
load parameters
Use multiple GPU to train the network.
Use 100 epochs

Epoch: 0
 [====================>............................................] 51/157   Step: 949ms | Tot: 50s145ms | Loss: 0.014 | Acc: 99.602% (13004/13056)              
 [=====================>...........................................] 52/157   Step: 947ms | Tot: 51s93ms | Loss: 0.014 | Acc: 99.609% (13260/13312)              
 [=====================>...........................................] 53/157   Step: 948ms | Tot: 52s41ms | Loss: 0.014 | Acc: 99.609% (13515/13568)              
 [=====================>...........................................] 54/157   Step: 972ms | Tot: 53s14ms | Loss: 0.014 | Acc: 99.617% (13771/13824)              
 [======================>..........................................] 55/157   Step: 1s47ms | Tot: 54s61ms | Loss: 0.014 | Acc: 99.624% (14027/14080)              
 [======================>..........................................] 56/157   Step: 954ms | Tot: 55s16ms | Loss: 0.014 | Acc: 99.623% (14282/14336)              
 [=======================>.........................................] 57/157   Step: 951ms | Tot: 55s967ms | Loss: 0.014 | Acc: 99.630% (14538/14592)              
 [=======================>.........................................] 58/157   Step: 957ms | Tot: 56s924ms | Loss: 0.013 | Acc: 99.636% (14794/14848)              
 [========================>........................................] 59/157   Step: 1s54ms | Tot: 57s979ms | Loss: 0.013 | Acc: 99.642% (15050/15104)              
 [========================>........................................] 60/157   Step: 949ms | Tot: 58s929ms | Loss: 0.013 | Acc: 99.642% (15305/15360)              
 [========================>........................................] 61/157   Step: 952ms | Tot: 59s881ms | Loss: 0.013 | Acc: 99.648% (15561/15616)              
 [=========================>.......................................] 62/157   Step: 949ms | Tot: 1m831ms | Loss: 0.013 | Acc: 99.653% (15817/15872)              
 [=========================>.......................................] 63/157   Step: 958ms | Tot: 1m1s | Loss: 0.013 | Acc: 99.659% (16073/16128)              
 [==========================>......................................] 64/157   Step: 1s66ms | Tot: 1m2s | Loss: 0.013 | Acc: 99.664% (16329/16384)              
 [==========================>......................................] 65/157   Step: 947ms | Tot: 1m3s | Loss: 0.013 | Acc: 99.663% (16584/16640)              
 [==========================>......................................] 66/157   Step: 954ms | Tot: 1m4s | Loss: 0.013 | Acc: 99.669% (16840/16896)              
 [===========================>.....................................] 67/157   Step: 972ms | Tot: 1m5s | Loss: 0.013 | Acc: 99.674% (17096/17152)              
 [===========================>.....................................] 68/157   Step: 1s61ms | Tot: 1m6s | Loss: 0.012 | Acc: 99.678% (17352/17408)              
 [============================>....................................] 69/157   Step: 953ms | Tot: 1m7s | Loss: 0.013 | Acc: 99.672% (17606/17664)              
 [============================>....................................] 70/157   Step: 950ms | Tot: 1m8s | Loss: 0.013 | Acc: 99.676% (17862/17920)              
 [============================>....................................] 71/157   Step: 954ms | Tot: 1m9s | Loss: 0.013 | Acc: 99.675% (18117/18176)              
 [=============================>...................................] 72/157   Step: 953ms | Tot: 1m10s | Loss: 0.013 | Acc: 99.674% (18372/18432)              
 [=============================>...................................] 73/157   Step: 1s79ms | Tot: 1m11s | Loss: 0.013 | Acc: 99.668% (18626/18688)              
 [==============================>..................................] 74/157   Step: 962ms | Tot: 1m12s | Loss: 0.013 | Acc: 99.667% (18881/18944)              
 [==============================>..................................] 75/157   Step: 948ms | Tot: 1m13s | Loss: 0.013 | Acc: 99.672% (19137/19200)              
 [===============================>.................................] 76/157   Step: 954ms | Tot: 1m14s | Loss: 0.013 | Acc: 99.676% (19393/19456)              
 [===============================>.................................] 77/157   Step: 966ms | Tot: 1m15s | Loss: 0.013 | Acc: 99.670% (19647/19712)              
 [===============================>.................................] 78/157   Step: 1s71ms | Tot: 1m16s | Loss: 0.013 | Acc: 99.674% (19903/19968)              
 [================================>................................] 79/157   Step: 948ms | Tot: 1m17s | Loss: 0.012 | Acc: 99.679% (20159/20224)              
 [================================>................................] 80/157   Step: 951ms | Tot: 1m18s | Loss: 0.012 | Acc: 99.683% (20415/20480)              
 [=================================>...............................] 81/157   Step: 948ms | Tot: 1m19s | Loss: 0.012 | Acc: 99.687% (20671/20736)              
 [=================================>...............................] 82/157   Step: 1s50ms | Tot: 1m20s | Loss: 0.012 | Acc: 99.690% (20927/20992)              
 [=================================>...............................] 83/157   Step: 949ms | Tot: 1m21s | Loss: 0.012 | Acc: 99.694% (21183/21248)              
 [==================================>..............................] 84/157   Step: 972ms | Tot: 1m22s | Loss: 0.012 | Acc: 99.698% (21439/21504)              
 [==================================>..............................] 85/157   Step: 954ms | Tot: 1m23s | Loss: 0.012 | Acc: 99.701% (21695/21760)              
 [===================================>.............................] 86/157   Step: 947ms | Tot: 1m24s | Loss: 0.012 | Acc: 99.700% (21950/22016)              
 [===================================>.............................] 87/157   Step: 1s51ms | Tot: 1m25s | Loss: 0.012 | Acc: 99.704% (22206/22272)              
 [====================================>............................] 88/157   Step: 951ms | Tot: 1m26s | Loss: 0.012 | Acc: 99.703% (22461/22528)              
 [====================================>............................] 89/157   Step: 952ms | Tot: 1m27s | Loss: 0.012 | Acc: 99.702% (22716/22784)              
 [====================================>............................] 90/157   Step: 948ms | Tot: 1m28s | Loss: 0.012 | Acc: 99.696% (22970/23040)              
 [=====================================>...........................] 91/157   Step: 1s57ms | Tot: 1m29s | Loss: 0.012 | Acc: 99.700% (23226/23296)              
 [=====================================>...........................] 92/157   Step: 952ms | Tot: 1m30s | Loss: 0.012 | Acc: 99.703% (23482/23552)              
 [======================================>..........................] 93/157   Step: 954ms | Tot: 1m31s | Loss: 0.012 | Acc: 99.706% (23738/23808)              
 [======================================>..........................] 94/157   Step: 949ms | Tot: 1m32s | Loss: 0.012 | Acc: 99.709% (23994/24064)              
 [======================================>..........................] 95/157   Step: 963ms | Tot: 1m33s | Loss: 0.012 | Acc: 99.712% (24250/24320)              
 [=======================================>.........................] 96/157   Step: 1s50ms | Tot: 1m34s | Loss: 0.012 | Acc: 99.711% (24505/24576)              
 [=======================================>.........................] 97/157   Step: 957ms | Tot: 1m35s | Loss: 0.011 | Acc: 99.714% (24761/24832)              
 [========================================>........................] 98/157   Step: 946ms | Tot: 1m36s | Loss: 0.011 | Acc: 99.717% (25017/25088)              
 [========================================>........................] 99/157   Step: 950ms | Tot: 1m36s | Loss: 0.011 | Acc: 99.720% (25273/25344)              
 [========================================>........................] 100/157   Step: 950ms | Tot: 1m37s | Loss: 0.011 | Acc: 99.723% (25529/25600)              
 [=========================================>.......................] 101/157   Step: 1s51ms | Tot: 1m38s | Loss: 0.011 | Acc: 99.725% (25785/25856)              
 [=========================================>.......................] 102/157   Step: 949ms | Tot: 1m39s | Loss: 0.011 | Acc: 99.728% (26041/26112)              
 [==========================================>......................] 103/157   Step: 963ms | Tot: 1m40s | Loss: 0.011 | Acc: 99.731% (26297/26368)              
 [==========================================>......................] 104/157   Step: 957ms | Tot: 1m41s | Loss: 0.011 | Acc: 99.730% (26552/26624)              
 [===========================================>.....................] 105/157   Step: 971ms | Tot: 1m42s | Loss: 0.011 | Acc: 99.732% (26808/26880)              
 [===========================================>.....................] 106/157   Step: 1s49ms | Tot: 1m43s | Loss: 0.011 | Acc: 99.731% (27063/27136)              
 [===========================================>.....................] 107/157   Step: 955ms | Tot: 1m44s | Loss: 0.011 | Acc: 99.733% (27319/27392)              
 [============================================>....................] 108/157   Step: 957ms | Tot: 1m45s | Loss: 0.011 | Acc: 99.736% (27575/27648)              
 [============================================>....................] 109/157   Step: 953ms | Tot: 1m46s | Loss: 0.011 | Acc: 99.735% (27830/27904)              
 [=============================================>...................] 110/157   Step: 954ms | Tot: 1m47s | Loss: 0.011 | Acc: 99.737% (28086/28160)              
 [=============================================>...................] 111/157   Step: 1s79ms | Tot: 1m48s | Loss: 0.011 | Acc: 99.740% (28342/28416)              
 [=============================================>...................] 112/157   Step: 948ms | Tot: 1m49s | Loss: 0.011 | Acc: 99.742% (28598/28672)              
 [==============================================>..................] 113/157   Step: 948ms | Tot: 1m50s | Loss: 0.011 | Acc: 99.744% (28854/28928)              
 [==============================================>..................] 114/157   Step: 947ms | Tot: 1m51s | Loss: 0.011 | Acc: 99.746% (29110/29184)              
 [===============================================>.................] 115/157   Step: 967ms | Tot: 1m52s | Loss: 0.011 | Acc: 99.745% (29365/29440)              
 [===============================================>.................] 116/157   Step: 1s58ms | Tot: 1m53s | Loss: 0.011 | Acc: 99.741% (29619/29696)              
 [================================================>................] 117/157   Step: 948ms | Tot: 1m54s | Loss: 0.011 | Acc: 99.730% (29871/29952)              
 [================================================>................] 118/157   Step: 951ms | Tot: 1m55s | Loss: 0.011 | Acc: 99.729% (30126/30208)              
 [================================================>................] 119/157   Step: 948ms | Tot: 1m56s | Loss: 0.011 | Acc: 99.731% (30382/30464)              
 [=================================================>...............] 120/157   Step: 1s63ms | Tot: 1m57s | Loss: 0.011 | Acc: 99.730% (30637/30720)              
 [=================================================>...............] 121/157   Step: 950ms | Tot: 1m58s | Loss: 0.011 | Acc: 99.729% (30892/30976)              
 [==================================================>..............] 122/157   Step: 948ms | Tot: 1m59s | Loss: 0.011 | Acc: 99.728% (31147/31232)              
 [==================================================>..............] 123/157   Step: 958ms | Tot: 2m427ms | Loss: 0.011 | Acc: 99.730% (31403/31488)              
 [==================================================>..............] 124/157   Step: 962ms | Tot: 2m1s | Loss: 0.011 | Acc: 99.729% (31658/31744)              
 [===================================================>.............] 125/157   Step: 1s70ms | Tot: 2m2s | Loss: 0.011 | Acc: 99.731% (31914/32000)              
 [===================================================>.............] 126/157   Step: 951ms | Tot: 2m3s | Loss: 0.011 | Acc: 99.730% (32169/32256)              
 [====================================================>............] 127/157   Step: 948ms | Tot: 2m4s | Loss: 0.011 | Acc: 99.732% (32425/32512)              
 [====================================================>............] 128/157   Step: 953ms | Tot: 2m5s | Loss: 0.011 | Acc: 99.731% (32680/32768)              
 [====================================================>............] 129/157   Step: 1s52ms | Tot: 2m6s | Loss: 0.011 | Acc: 99.734% (32936/33024)              
 [=====================================================>...........] 130/157   Step: 951ms | Tot: 2m7s | Loss: 0.011 | Acc: 99.733% (33191/33280)              
 [=====================================================>...........] 131/157   Step: 953ms | Tot: 2m8s | Loss: 0.011 | Acc: 99.735% (33447/33536)              
 [======================================================>..........] 132/157   Step: 953ms | Tot: 2m9s | Loss: 0.011 | Acc: 99.737% (33703/33792)              
 [======================================================>..........] 133/157   Step: 950ms | Tot: 2m10s | Loss: 0.011 | Acc: 99.736% (33958/34048)              
 [=======================================================>.........] 134/157   Step: 1s48ms | Tot: 2m11s | Loss: 0.011 | Acc: 99.738% (34214/34304)              
 [=======================================================>.........] 135/157   Step: 952ms | Tot: 2m12s | Loss: 0.011 | Acc: 99.737% (34469/34560)              
 [=======================================================>.........] 136/157   Step: 960ms | Tot: 2m13s | Loss: 0.011 | Acc: 99.736% (34724/34816)              
 [========================================================>........] 137/157   Step: 948ms | Tot: 2m14s | Loss: 0.011 | Acc: 99.735% (34979/35072)              
 [========================================================>........] 138/157   Step: 951ms | Tot: 2m15s | Loss: 0.011 | Acc: 99.734% (35234/35328)              
 [=========================================================>.......] 139/157   Step: 1s50ms | Tot: 2m16s | Loss: 0.011 | Acc: 99.733% (35489/35584)              
 [=========================================================>.......] 140/157   Step: 949ms | Tot: 2m17s | Loss: 0.011 | Acc: 99.735% (35745/35840)              
 [=========================================================>.......] 141/157   Step: 949ms | Tot: 2m17s | Loss: 0.011 | Acc: 99.734% (36000/36096)              
 [==========================================================>......] 142/157   Step: 948ms | Tot: 2m18s | Loss: 0.011 | Acc: 99.736% (36256/36352)              
 [==========================================================>......] 143/157   Step: 954ms | Tot: 2m19s | Loss: 0.011 | Acc: 99.735% (36511/36608)              
 [===========================================================>.....] 144/157   Step: 1s50ms | Tot: 2m20s | Loss: 0.011 | Acc: 99.737% (36767/36864)              
 [===========================================================>.....] 145/157   Step: 949ms | Tot: 2m21s | Loss: 0.010 | Acc: 99.739% (37023/37120)              
 [============================================================>....] 146/157   Step: 970ms | Tot: 2m22s | Loss: 0.011 | Acc: 99.735% (37277/37376)              
 [============================================================>....] 147/157   Step: 947ms | Tot: 2m23s | Loss: 0.010 | Acc: 99.737% (37533/37632)              
 [============================================================>....] 148/157   Step: 1s49ms | Tot: 2m24s | Loss: 0.010 | Acc: 99.739% (37789/37888)              
 [=============================================================>...] 149/157   Step: 953ms | Tot: 2m25s | Loss: 0.010 | Acc: 99.738% (38044/38144)              
 [=============================================================>...] 150/157   Step: 948ms | Tot: 2m26s | Loss: 0.010 | Acc: 99.737% (38299/38400)              
