cifar100 loaded
There are 40000 training samples and 10000 validation samples
There are 10000 test samples.
This is records for stage 3
Train with the cl selected dataset.
load parameters
------------------ Start to select subsets ------------------
Selected 70 percent training data.
Use multiple GPU to train the network.
Use 100 epochs

Epoch: 0
 [>................................................................] 1/110   Step: 57s853ms | Tot: 0ms | Loss: 0.225 | Acc: 95.312% (244/256)              
 [>................................................................] 2/110   Step: 1s982ms | Tot: 1s982ms | Loss: 0.224 | Acc: 95.312% (488/512)              
 [=>...............................................................] 3/110   Step: 972ms | Tot: 2s954ms | Loss: 0.220 | Acc: 95.182% (731/768)              
 [=>...............................................................] 4/110   Step: 1s147ms | Tot: 4s101ms | Loss: 0.193 | Acc: 95.605% (979/1024)              
 [==>..............................................................] 5/110   Step: 953ms | Tot: 5s54ms | Loss: 0.184 | Acc: 95.859% (1227/1280)              
 [==>..............................................................] 6/110   Step: 961ms | Tot: 6s16ms | Loss: 0.186 | Acc: 95.898% (1473/1536)              
 [===>.............................................................] 7/110   Step: 952ms | Tot: 6s969ms | Loss: 0.182 | Acc: 95.926% (1719/1792)              
 [====>............................................................] 8/110   Step: 960ms | Tot: 7s929ms | Loss: 0.191 | Acc: 95.703% (1960/2048)              
 [====>............................................................] 9/110   Step: 1s59ms | Tot: 8s989ms | Loss: 0.190 | Acc: 95.660% (2204/2304)              
 [=====>...........................................................] 10/110   Step: 956ms | Tot: 9s946ms | Loss: 0.195 | Acc: 95.586% (2447/2560)              
 [=====>...........................................................] 11/110   Step: 952ms | Tot: 10s898ms | Loss: 0.192 | Acc: 95.668% (2694/2816)              
 [======>..........................................................] 12/110   Step: 951ms | Tot: 11s850ms | Loss: 0.184 | Acc: 95.833% (2944/3072)              
 [=======>.........................................................] 13/110   Step: 1s67ms | Tot: 12s917ms | Loss: 0.195 | Acc: 95.553% (3180/3328)              
 [=======>.........................................................] 14/110   Step: 986ms | Tot: 13s904ms | Loss: 0.194 | Acc: 95.619% (3427/3584)              
 [========>........................................................] 15/110   Step: 962ms | Tot: 14s867ms | Loss: 0.200 | Acc: 95.443% (3665/3840)              
 [========>........................................................] 16/110   Step: 963ms | Tot: 15s830ms | Loss: 0.202 | Acc: 95.459% (3910/4096)              
 [=========>.......................................................] 17/110   Step: 957ms | Tot: 16s787ms | Loss: 0.207 | Acc: 95.404% (4152/4352)              
 [==========>......................................................] 18/110   Step: 1s60ms | Tot: 17s847ms | Loss: 0.204 | Acc: 95.464% (4399/4608)              
 [==========>......................................................] 19/110   Step: 982ms | Tot: 18s830ms | Loss: 0.204 | Acc: 95.456% (4643/4864)              
 [===========>.....................................................] 20/110   Step: 960ms | Tot: 19s791ms | Loss: 0.206 | Acc: 95.449% (4887/5120)              
 [===========>.....................................................] 21/110   Step: 952ms | Tot: 20s743ms | Loss: 0.202 | Acc: 95.536% (5136/5376)              
 [============>....................................................] 22/110   Step: 967ms | Tot: 21s710ms | Loss: 0.200 | Acc: 95.543% (5381/5632)              
 [=============>...................................................] 23/110   Step: 1s113ms | Tot: 22s824ms | Loss: 0.200 | Acc: 95.550% (5626/5888)              
 [=============>...................................................] 24/110   Step: 976ms | Tot: 23s800ms | Loss: 0.200 | Acc: 95.622% (5875/6144)              
 [==============>..................................................] 25/110   Step: 953ms | Tot: 24s753ms | Loss: 0.199 | Acc: 95.641% (6121/6400)              
 [==============>..................................................] 26/110   Step: 957ms | Tot: 25s711ms | Loss: 0.200 | Acc: 95.598% (6363/6656)              
 [===============>.................................................] 27/110   Step: 1s62ms | Tot: 26s773ms | Loss: 0.198 | Acc: 95.645% (6611/6912)              
 [===============>.................................................] 28/110   Step: 963ms | Tot: 27s737ms | Loss: 0.197 | Acc: 95.605% (6853/7168)              
 [================>................................................] 29/110   Step: 954ms | Tot: 28s692ms | Loss: 0.195 | Acc: 95.636% (7100/7424)              
 [=================>...............................................] 30/110   Step: 962ms | Tot: 29s654ms | Loss: 0.198 | Acc: 95.599% (7342/7680)              
 [=================>...............................................] 31/110   Step: 957ms | Tot: 30s612ms | Loss: 0.200 | Acc: 95.539% (7582/7936)              
 [==================>..............................................] 32/110   Step: 1s67ms | Tot: 31s680ms | Loss: 0.199 | Acc: 95.557% (7828/8192)              
 [==================>..............................................] 33/110   Step: 960ms | Tot: 32s641ms | Loss: 0.205 | Acc: 95.455% (8064/8448)              
 [===================>.............................................] 34/110   Step: 970ms | Tot: 33s612ms | Loss: 0.202 | Acc: 95.508% (8313/8704)              
 [====================>............................................] 35/110   Step: 966ms | Tot: 34s578ms | Loss: 0.201 | Acc: 95.502% (8557/8960)              
 [====================>............................................] 36/110   Step: 975ms | Tot: 35s553ms | Loss: 0.201 | Acc: 95.508% (8802/9216)              
 [=====================>...........................................] 37/110   Step: 1s63ms | Tot: 36s617ms | Loss: 0.199 | Acc: 95.545% (9050/9472)              
 [=====================>...........................................] 38/110   Step: 966ms | Tot: 37s583ms | Loss: 0.197 | Acc: 95.580% (9298/9728)              
 [======================>..........................................] 39/110   Step: 961ms | Tot: 38s545ms | Loss: 0.194 | Acc: 95.643% (9549/9984)              
 [=======================>.........................................] 40/110   Step: 966ms | Tot: 39s511ms | Loss: 0.191 | Acc: 95.713% (9801/10240)              
 [=======================>.........................................] 41/110   Step: 1s106ms | Tot: 40s617ms | Loss: 0.190 | Acc: 95.741% (10049/10496)              
 [========================>........................................] 42/110   Step: 954ms | Tot: 41s572ms | Loss: 0.188 | Acc: 95.787% (10299/10752)              
 [========================>........................................] 43/110   Step: 956ms | Tot: 42s528ms | Loss: 0.189 | Acc: 95.785% (10544/11008)              
 [=========================>.......................................] 44/110   Step: 977ms | Tot: 43s506ms | Loss: 0.186 | Acc: 95.836% (10795/11264)              
 [==========================>......................................] 45/110   Step: 961ms | Tot: 44s467ms | Loss: 0.187 | Acc: 95.790% (11035/11520)              
 [==========================>......................................] 46/110   Step: 1s70ms | Tot: 45s538ms | Loss: 0.185 | Acc: 95.831% (11285/11776)              
 [===========================>.....................................] 47/110   Step: 958ms | Tot: 46s497ms | Loss: 0.186 | Acc: 95.819% (11529/12032)              
 [===========================>.....................................] 48/110   Step: 960ms | Tot: 47s458ms | Loss: 0.186 | Acc: 95.809% (11773/12288)              
 [============================>....................................] 49/110   Step: 951ms | Tot: 48s409ms | Loss: 0.187 | Acc: 95.807% (12018/12544)              
 [============================>....................................] 50/110   Step: 955ms | Tot: 49s365ms | Loss: 0.185 | Acc: 95.859% (12270/12800)              
 [=============================>...................................] 51/110   Step: 1s77ms | Tot: 50s442ms | Loss: 0.184 | Acc: 95.872% (12517/13056)              
 [==============================>..................................] 52/110   Step: 968ms | Tot: 51s411ms | Loss: 0.185 | Acc: 95.853% (12760/13312)              
 [==============================>..................................] 53/110   Step: 954ms | Tot: 52s365ms | Loss: 0.186 | Acc: 95.843% (13004/13568)              
 [===============================>.................................] 54/110   Step: 976ms | Tot: 53s342ms | Loss: 0.187 | Acc: 95.826% (13247/13824)              
 [===============================>.................................] 55/110   Step: 1s65ms | Tot: 54s408ms | Loss: 0.186 | Acc: 95.874% (13499/14080)              
 [================================>................................] 56/110   Step: 958ms | Tot: 55s366ms | Loss: 0.186 | Acc: 95.891% (13747/14336)              
 [=================================>...............................] 57/110   Step: 957ms | Tot: 56s323ms | Loss: 0.186 | Acc: 95.888% (13992/14592)              
 [=================================>...............................] 58/110   Step: 958ms | Tot: 57s282ms | Loss: 0.184 | Acc: 95.919% (14242/14848)              
 [==================================>..............................] 59/110   Step: 957ms | Tot: 58s240ms | Loss: 0.186 | Acc: 95.882% (14482/15104)              
 [==================================>..............................] 60/110   Step: 1s60ms | Tot: 59s300ms | Loss: 0.186 | Acc: 95.879% (14727/15360)              
 [===================================>.............................] 61/110   Step: 955ms | Tot: 1m255ms | Loss: 0.185 | Acc: 95.908% (14977/15616)              
 [====================================>............................] 62/110   Step: 961ms | Tot: 1m1s | Loss: 0.185 | Acc: 95.898% (15221/15872)              
 [====================================>............................] 63/110   Step: 965ms | Tot: 1m2s | Loss: 0.185 | Acc: 95.914% (15469/16128)              
 [=====================================>...........................] 64/110   Step: 1s80ms | Tot: 1m3s | Loss: 0.184 | Acc: 95.917% (15715/16384)              
 [=====================================>...........................] 65/110   Step: 959ms | Tot: 1m4s | Loss: 0.185 | Acc: 95.883% (15955/16640)              
 [======================================>..........................] 66/110   Step: 961ms | Tot: 1m5s | Loss: 0.185 | Acc: 95.898% (16203/16896)              
 [=======================================>.........................] 67/110   Step: 957ms | Tot: 1m6s | Loss: 0.185 | Acc: 95.890% (16447/17152)              
 [=======================================>.........................] 68/110   Step: 958ms | Tot: 1m7s | Loss: 0.184 | Acc: 95.916% (16697/17408)              
 [========================================>........................] 69/110   Step: 1s116ms | Tot: 1m8s | Loss: 0.184 | Acc: 95.924% (16944/17664)              
 [========================================>........................] 70/110   Step: 964ms | Tot: 1m9s | Loss: 0.183 | Acc: 95.943% (17193/17920)              
 [=========================================>.......................] 71/110   Step: 954ms | Tot: 1m10s | Loss: 0.183 | Acc: 95.940% (17438/18176)              
 [=========================================>.......................] 72/110   Step: 959ms | Tot: 1m11s | Loss: 0.184 | Acc: 95.931% (17682/18432)              
 [==========================================>......................] 73/110   Step: 954ms | Tot: 1m12s | Loss: 0.183 | Acc: 95.960% (17933/18688)              
 [===========================================>.....................] 74/110   Step: 1s84ms | Tot: 1m13s | Loss: 0.183 | Acc: 95.957% (18178/18944)              
 [===========================================>.....................] 75/110   Step: 960ms | Tot: 1m14s | Loss: 0.183 | Acc: 95.974% (18427/19200)              
 [============================================>....................] 76/110   Step: 952ms | Tot: 1m15s | Loss: 0.184 | Acc: 95.955% (18669/19456)              
 [============================================>....................] 77/110   Step: 967ms | Tot: 1m16s | Loss: 0.184 | Acc: 95.957% (18915/19712)              
 [=============================================>...................] 78/110   Step: 1s72ms | Tot: 1m17s | Loss: 0.184 | Acc: 95.969% (19163/19968)              
 [==============================================>..................] 79/110   Step: 951ms | Tot: 1m18s | Loss: 0.184 | Acc: 95.980% (19411/20224)              
 [==============================================>..................] 80/110   Step: 954ms | Tot: 1m18s | Loss: 0.185 | Acc: 95.972% (19655/20480)              
 [===============================================>.................] 81/110   Step: 953ms | Tot: 1m19s | Loss: 0.185 | Acc: 95.959% (19898/20736)              
 [===============================================>.................] 82/110   Step: 956ms | Tot: 1m20s | Loss: 0.185 | Acc: 95.946% (20141/20992)              
 [================================================>................] 83/110   Step: 1s57ms | Tot: 1m21s | Loss: 0.184 | Acc: 95.967% (20391/21248)              
