cifar100 loaded
There are 40000 training samples and 10000 validation samples
There are 10000 test samples.
This is records for stage 2
Train with the cl selected dataset.
load parameters
------------------ Start to select subsets ------------------
Selected 70 percent training data.
Use multiple GPU to train the network.
Use 100 epochs

Epoch: 0
 [>................................................................] 1/110   Step: 1m438ms | Tot: 0ms | Loss: 0.393 | Acc: 90.234% (231/256)              
 [>................................................................] 2/110   Step: 1s972ms | Tot: 1s972ms | Loss: 0.443 | Acc: 89.453% (458/512)              
 [=>...............................................................] 3/110   Step: 991ms | Tot: 2s964ms | Loss: 0.468 | Acc: 88.672% (681/768)              
 [=>...............................................................] 4/110   Step: 1s155ms | Tot: 4s119ms | Loss: 0.442 | Acc: 89.258% (914/1024)              
 [==>..............................................................] 5/110   Step: 962ms | Tot: 5s81ms | Loss: 0.460 | Acc: 88.984% (1139/1280)              
 [==>..............................................................] 6/110   Step: 957ms | Tot: 6s39ms | Loss: 0.498 | Acc: 88.086% (1353/1536)              
 [===>.............................................................] 7/110   Step: 967ms | Tot: 7s7ms | Loss: 0.498 | Acc: 88.058% (1578/1792)              
 [====>............................................................] 8/110   Step: 958ms | Tot: 7s965ms | Loss: 0.494 | Acc: 87.939% (1801/2048)              
 [====>............................................................] 9/110   Step: 1s65ms | Tot: 9s31ms | Loss: 0.482 | Acc: 88.151% (2031/2304)              
 [=====>...........................................................] 10/110   Step: 962ms | Tot: 9s993ms | Loss: 0.474 | Acc: 88.438% (2264/2560)              
 [=====>...........................................................] 11/110   Step: 961ms | Tot: 10s954ms | Loss: 0.468 | Acc: 88.601% (2495/2816)              
 [======>..........................................................] 12/110   Step: 955ms | Tot: 11s910ms | Loss: 0.477 | Acc: 88.444% (2717/3072)              
 [=======>.........................................................] 13/110   Step: 981ms | Tot: 12s891ms | Loss: 0.473 | Acc: 88.431% (2943/3328)              
 [=============================>...................................] 51/110   Step: 1s60ms | Tot: 50s534ms | Loss: 0.410 | Acc: 89.920% (11740/13056)              
 [==============================>..................................] 52/110   Step: 957ms | Tot: 51s492ms | Loss: 0.407 | Acc: 89.986% (11979/13312)              
 [==============================>..................................] 53/110   Step: 957ms | Tot: 52s450ms | Loss: 0.409 | Acc: 89.969% (12207/13568)              
 [===============================>.................................] 54/110   Step: 969ms | Tot: 53s420ms | Loss: 0.408 | Acc: 89.981% (12439/13824)              
 [===============================>.................................] 55/110   Step: 1s65ms | Tot: 54s485ms | Loss: 0.407 | Acc: 89.993% (12671/14080)              
 [================================>................................] 56/110   Step: 954ms | Tot: 55s440ms | Loss: 0.407 | Acc: 90.004% (12903/14336)              
 [=================================>...............................] 57/110   Step: 956ms | Tot: 56s397ms | Loss: 0.405 | Acc: 90.056% (13141/14592)              
 [=================================>...............................] 58/110   Step: 955ms | Tot: 57s353ms | Loss: 0.403 | Acc: 90.106% (13379/14848)              
 [==================================>..............................] 59/110   Step: 959ms | Tot: 58s313ms | Loss: 0.403 | Acc: 90.109% (13610/15104)              
 [==================================>..............................] 60/110   Step: 1s62ms | Tot: 59s375ms | Loss: 0.400 | Acc: 90.163% (13849/15360)              
 [===================================>.............................] 61/110   Step: 963ms | Tot: 1m339ms | Loss: 0.399 | Acc: 90.170% (14081/15616)              
 [====================================>............................] 62/110   Step: 964ms | Tot: 1m1s | Loss: 0.398 | Acc: 90.190% (14315/15872)              
 [====================================>............................] 63/110   Step: 958ms | Tot: 1m2s | Loss: 0.397 | Acc: 90.216% (14550/16128)              
 [=====================================>...........................] 64/110   Step: 1s84ms | Tot: 1m3s | Loss: 0.395 | Acc: 90.259% (14788/16384)              
 [=====================================>...........................] 65/110   Step: 957ms | Tot: 1m4s | Loss: 0.393 | Acc: 90.282% (15023/16640)              
 [======================================>..........................] 66/110   Step: 959ms | Tot: 1m5s | Loss: 0.392 | Acc: 90.311% (15259/16896)              
 [=======================================>.........................] 67/110   Step: 969ms | Tot: 1m6s | Loss: 0.392 | Acc: 90.328% (15493/17152)              
 [=======================================>.........................] 68/110   Step: 966ms | Tot: 1m7s | Loss: 0.391 | Acc: 90.355% (15729/17408)              
 [========================================>........................] 69/110   Step: 1s74ms | Tot: 1m8s | Loss: 0.391 | Acc: 90.376% (15964/17664)              
 [========================================>........................] 70/110   Step: 962ms | Tot: 1m9s | Loss: 0.390 | Acc: 90.379% (16196/17920)              
 [=========================================>.......................] 71/110   Step: 960ms | Tot: 1m10s | Loss: 0.387 | Acc: 90.438% (16438/18176)              
 [=========================================>.......................] 72/110   Step: 962ms | Tot: 1m11s | Loss: 0.385 | Acc: 90.473% (16676/18432)              
 [==========================================>......................] 73/110   Step: 1s93ms | Tot: 1m12s | Loss: 0.385 | Acc: 90.470% (16907/18688)              
 [===========================================>.....................] 74/110   Step: 972ms | Tot: 1m13s | Loss: 0.385 | Acc: 90.472% (17139/18944)              
 [===========================================>.....................] 75/110   Step: 958ms | Tot: 1m14s | Loss: 0.385 | Acc: 90.474% (17371/19200)              
 [============================================>....................] 76/110   Step: 962ms | Tot: 1m15s | Loss: 0.385 | Acc: 90.486% (17605/19456)              
 [============================================>....................] 77/110   Step: 960ms | Tot: 1m16s | Loss: 0.385 | Acc: 90.478% (17835/19712)              
 [=============================================>...................] 78/110   Step: 1s78ms | Tot: 1m17s | Loss: 0.384 | Acc: 90.500% (18071/19968)              
 [==============================================>..................] 79/110   Step: 961ms | Tot: 1m18s | Loss: 0.383 | Acc: 90.526% (18308/20224)              
 [==============================================>..................] 80/110   Step: 963ms | Tot: 1m19s | Loss: 0.382 | Acc: 90.537% (18542/20480)              
 [===============================================>.................] 81/110   Step: 958ms | Tot: 1m20s | Loss: 0.382 | Acc: 90.548% (18776/20736)              
 [===============================================>.................] 82/110   Step: 956ms | Tot: 1m21s | Loss: 0.381 | Acc: 90.558% (19010/20992)              
 [================================================>................] 83/110   Step: 1s62ms | Tot: 1m22s | Loss: 0.381 | Acc: 90.559% (19242/21248)              
 [=================================================>...............] 84/110   Step: 976ms | Tot: 1m23s | Loss: 0.380 | Acc: 90.574% (19477/21504)              
 [=================================================>...............] 85/110   Step: 960ms | Tot: 1m24s | Loss: 0.379 | Acc: 90.593% (19713/21760)              
 [==================================================>..............] 86/110   Step: 955ms | Tot: 1m24s | Loss: 0.378 | Acc: 90.602% (19947/22016)              
 [==================================================>..............] 87/110   Step: 1s61ms | Tot: 1m26s | Loss: 0.378 | Acc: 90.594% (20177/22272)              
 [===================================================>.............] 88/110   Step: 956ms | Tot: 1m27s | Loss: 0.378 | Acc: 90.589% (20408/22528)              
 [====================================================>............] 89/110   Step: 958ms | Tot: 1m27s | Loss: 0.376 | Acc: 90.643% (20652/22784)              
 [====================================================>............] 90/110   Step: 956ms | Tot: 1m28s | Loss: 0.378 | Acc: 90.612% (20877/23040)              
 [=====================================================>...........] 91/110   Step: 957ms | Tot: 1m29s | Loss: 0.377 | Acc: 90.629% (21113/23296)              
 [=====================================================>...........] 92/110   Step: 1s64ms | Tot: 1m30s | Loss: 0.376 | Acc: 90.650% (21350/23552)              
 [======================================================>..........] 93/110   Step: 958ms | Tot: 1m31s | Loss: 0.377 | Acc: 90.642% (21580/23808)              
 [======================================================>..........] 94/110   Step: 974ms | Tot: 1m32s | Loss: 0.378 | Acc: 90.613% (21805/24064)              
 [=======================================================>.........] 95/110   Step: 959ms | Tot: 1m33s | Loss: 0.377 | Acc: 90.629% (22041/24320)              
 [========================================================>........] 96/110   Step: 956ms | Tot: 1m34s | Loss: 0.375 | Acc: 90.674% (22284/24576)              
 [========================================================>........] 97/110   Step: 1s59ms | Tot: 1m35s | Loss: 0.374 | Acc: 90.685% (22519/24832)              
 [=========================================================>.......] 98/110   Step: 964ms | Tot: 1m36s | Loss: 0.374 | Acc: 90.681% (22750/25088)              
 [=========================================================>.......] 99/110   Step: 958ms | Tot: 1m37s | Loss: 0.373 | Acc: 90.696% (22986/25344)              
 [==========================================================>......] 100/110   Step: 958ms | Tot: 1m38s | Loss: 0.373 | Acc: 90.715% (23223/25600)              
 [===========================================================>.....] 101/110   Step: 1s66ms | Tot: 1m39s | Loss: 0.372 | Acc: 90.733% (23460/25856)              
 [===========================================================>.....] 102/110   Step: 963ms | Tot: 1m40s | Loss: 0.371 | Acc: 90.744% (23695/26112)              
 [============================================================>....] 103/110   Step: 958ms | Tot: 1m41s | Loss: 0.372 | Acc: 90.731% (23924/26368)              
 [============================================================>....] 104/110   Step: 974ms | Tot: 1m42s | Loss: 0.373 | Acc: 90.715% (24152/26624)              
 [=============================================================>...] 105/110   Step: 971ms | Tot: 1m43s | Loss: 0.371 | Acc: 90.751% (24394/26880)              
 [==============================================================>..] 106/110   Step: 990ms | Tot: 1m44s | Loss: 0.372 | Acc: 90.758% (24628/27136)              
 [==============================================================>..] 107/110   Step: 845ms | Tot: 1m45s | Loss: 0.371 | Acc: 90.778% (24866/27392)              
 [===============================================================>.] 108/110   Step: 849ms | Tot: 1m46s | Loss: 0.371 | Acc: 90.770% (25096/27648)              
 [===============================================================>.] 109/110   Step: 847ms | Tot: 1m47s | Loss: 0.370 | Acc: 90.786% (25333/27904)              
 [================================================================>] 110/110   Step: 8s136ms | Tot: 1m55s | Loss: 0.371 | Acc: 90.768% (25415/28000)
 [>................................................................] 1/40   Step: 1s118ms | Tot: 0ms | Loss: 0.955 | Acc: 75.391% (193/256)              
 [=>...............................................................] 2/40   Step: 442ms | Tot: 442ms | Loss: 0.907 | Acc: 77.344% (396/512)              
 [===>.............................................................] 3/40   Step: 426ms | Tot: 869ms | Loss: 0.978 | Acc: 75.130% (577/768)              
 [====>............................................................] 4/40   Step: 419ms | Tot: 1s288ms | Loss: 1.024 | Acc: 74.902% (767/1024)              
 [======>..........................................................] 5/40   Step: 419ms | Tot: 1s707ms | Loss: 1.057 | Acc: 73.672% (943/1280)              
 [========>........................................................] 6/40   Step: 422ms | Tot: 2s130ms | Loss: 1.063 | Acc: 73.763% (1133/1536)              
 [=========>.......................................................] 7/40   Step: 607ms | Tot: 2s737ms | Loss: 1.092 | Acc: 73.382% (1315/1792)              
 [===========>.....................................................] 8/40   Step: 425ms | Tot: 3s163ms | Loss: 1.122 | Acc: 72.852% (1492/2048)              
 [=============>...................................................] 9/40   Step: 428ms | Tot: 3s591ms | Loss: 1.102 | Acc: 73.090% (1684/2304)              
 [==============>..................................................] 10/40   Step: 425ms | Tot: 4s16ms | Loss: 1.102 | Acc: 73.125% (1872/2560)              
 [================>................................................] 11/40   Step: 426ms | Tot: 4s442ms | Loss: 1.104 | Acc: 72.976% (2055/2816)              
 [=================>...............................................] 12/40   Step: 422ms | Tot: 4s865ms | Loss: 1.106 | Acc: 72.982% (2242/3072)              
 [===================>.............................................] 13/40   Step: 537ms | Tot: 5s402ms | Loss: 1.103 | Acc: 73.137% (2434/3328)              
 [=====================>...........................................] 14/40   Step: 421ms | Tot: 5s824ms | Loss: 1.118 | Acc: 72.796% (2609/3584)              
 [======================>..........................................] 15/40   Step: 441ms | Tot: 6s265ms | Loss: 1.113 | Acc: 72.865% (2798/3840)              
 [========================>........................................] 16/40   Step: 423ms | Tot: 6s689ms | Loss: 1.122 | Acc: 72.705% (2978/4096)              
 [==========================>......................................] 17/40   Step: 426ms | Tot: 7s115ms | Loss: 1.127 | Acc: 72.633% (3161/4352)              
 [===========================>.....................................] 18/40   Step: 424ms | Tot: 7s540ms | Loss: 1.129 | Acc: 72.656% (3348/4608)              
 [=============================>...................................] 19/40   Step: 524ms | Tot: 8s64ms | Loss: 1.127 | Acc: 72.738% (3538/4864)              
 [==============================>..................................] 20/40   Step: 424ms | Tot: 8s489ms | Loss: 1.119 | Acc: 72.891% (3732/5120)              
 [================================>................................] 21/40   Step: 425ms | Tot: 8s914ms | Loss: 1.118 | Acc: 72.842% (3916/5376)              
 [==================================>..............................] 22/40   Step: 423ms | Tot: 9s338ms | Loss: 1.119 | Acc: 72.674% (4093/5632)              
 [===================================>.............................] 23/40   Step: 425ms | Tot: 9s763ms | Loss: 1.124 | Acc: 72.571% (4273/5888)              
 [=====================================>...........................] 24/40   Step: 532ms | Tot: 10s295ms | Loss: 1.130 | Acc: 72.542% (4457/6144)              
 [=======================================>.........................] 25/40   Step: 424ms | Tot: 10s720ms | Loss: 1.133 | Acc: 72.422% (4635/6400)              
 [========================================>........................] 26/40   Step: 425ms | Tot: 11s146ms | Loss: 1.129 | Acc: 72.506% (4826/6656)              
