cifar100 loaded
There are 40000 training samples and 10000 validation samples
There are 10000 test samples.
This is records for stage 3
Train with the wcl selected dataset (by weighted the boundary points).
load parameters
Now try to run the WCL algorithm, by scaling up boundary sample scores
Scale up the boundary sample scores to 1
Start to select 20000 samples for a fair comparison at each subset.
Selected 20000 samples from all the classes
Use multiple GPU to train the network.
Use 100 epochs

Epoch: 0
 [========================================>........................] 50/79   Step: 1s61ms | Tot: 49s712ms | Loss: 0.323 | Acc: 92.430% (11831/12800)              
 [=========================================>.......................] 51/79   Step: 963ms | Tot: 50s675ms | Loss: 0.326 | Acc: 92.364% (12059/13056)              
 [=========================================>.......................] 52/79   Step: 962ms | Tot: 51s637ms | Loss: 0.326 | Acc: 92.353% (12294/13312)              
 [==========================================>......................] 53/79   Step: 965ms | Tot: 52s602ms | Loss: 0.324 | Acc: 92.386% (12535/13568)              
 [===========================================>.....................] 54/79   Step: 960ms | Tot: 53s563ms | Loss: 0.323 | Acc: 92.405% (12774/13824)              
 [============================================>....................] 55/79   Step: 1s64ms | Tot: 54s628ms | Loss: 0.324 | Acc: 92.386% (13008/14080)              
 [=============================================>...................] 56/79   Step: 980ms | Tot: 55s608ms | Loss: 0.325 | Acc: 92.355% (13240/14336)              
 [==============================================>..................] 57/79   Step: 962ms | Tot: 56s571ms | Loss: 0.324 | Acc: 92.400% (13483/14592)              
 [==============================================>..................] 58/79   Step: 971ms | Tot: 57s542ms | Loss: 0.324 | Acc: 92.390% (13718/14848)              
 [===============================================>.................] 59/79   Step: 1s60ms | Tot: 58s603ms | Loss: 0.326 | Acc: 92.353% (13949/15104)              
 [================================================>................] 60/79   Step: 960ms | Tot: 59s564ms | Loss: 0.325 | Acc: 92.376% (14189/15360)              
 [=================================================>...............] 61/79   Step: 970ms | Tot: 1m534ms | Loss: 0.325 | Acc: 92.360% (14423/15616)              
 [==================================================>..............] 62/79   Step: 971ms | Tot: 1m1s | Loss: 0.326 | Acc: 92.320% (14653/15872)              
 [===================================================>.............] 63/79   Step: 960ms | Tot: 1m2s | Loss: 0.325 | Acc: 92.355% (14895/16128)              
 [===================================================>.............] 64/79   Step: 1s66ms | Tot: 1m3s | Loss: 0.325 | Acc: 92.352% (15131/16384)              
 [====================================================>............] 65/79   Step: 971ms | Tot: 1m4s | Loss: 0.324 | Acc: 92.374% (15371/16640)              
 [=====================================================>...........] 66/79   Step: 977ms | Tot: 1m5s | Loss: 0.321 | Acc: 92.406% (15613/16896)              
 [======================================================>..........] 67/79   Step: 960ms | Tot: 1m6s | Loss: 0.321 | Acc: 92.409% (15850/17152)              
 [=======================================================>.........] 68/79   Step: 960ms | Tot: 1m7s | Loss: 0.321 | Acc: 92.394% (16084/17408)              
 [=======================================================>.........] 69/79   Step: 1s111ms | Tot: 1m8s | Loss: 0.321 | Acc: 92.403% (16322/17664)              
 [========================================================>........] 70/79   Step: 978ms | Tot: 1m9s | Loss: 0.320 | Acc: 92.422% (16562/17920)              
 [=========================================================>.......] 71/79   Step: 960ms | Tot: 1m10s | Loss: 0.320 | Acc: 92.430% (16800/18176)              
 [==========================================================>......] 72/79   Step: 963ms | Tot: 1m11s | Loss: 0.320 | Acc: 92.426% (17036/18432)              
 [===========================================================>.....] 73/79   Step: 1s61ms | Tot: 1m12s | Loss: 0.319 | Acc: 92.455% (17278/18688)              
 [============================================================>....] 74/79   Step: 962ms | Tot: 1m13s | Loss: 0.319 | Acc: 92.430% (17510/18944)              
 [============================================================>....] 75/79   Step: 862ms | Tot: 1m14s | Loss: 0.318 | Acc: 92.448% (17750/19200)              
 [=============================================================>...] 76/79   Step: 866ms | Tot: 1m15s | Loss: 0.318 | Acc: 92.460% (17989/19456)              
 [==============================================================>..] 77/79   Step: 847ms | Tot: 1m16s | Loss: 0.318 | Acc: 92.492% (18232/19712)              
 [===============================================================>.] 78/79   Step: 944ms | Tot: 1m16s | Loss: 0.317 | Acc: 92.503% (18471/19968)              
 [================================================================>] 79/79   Step: 7s704ms | Tot: 1m24s | Loss: 0.318 | Acc: 92.500% (18500/20000)
 [>................................................................] 1/40   Step: 1s101ms | Tot: 0ms | Loss: 1.031 | Acc: 73.438% (188/256)              
 [=>...............................................................] 2/40   Step: 423ms | Tot: 423ms | Loss: 1.072 | Acc: 74.805% (383/512)              
 [===>.............................................................] 3/40   Step: 418ms | Tot: 842ms | Loss: 1.110 | Acc: 74.089% (569/768)              
 [====>............................................................] 4/40   Step: 572ms | Tot: 1s415ms | Loss: 1.184 | Acc: 73.145% (749/1024)              
 [======>..........................................................] 5/40   Step: 418ms | Tot: 1s833ms | Loss: 1.217 | Acc: 72.266% (925/1280)              
 [========>........................................................] 6/40   Step: 418ms | Tot: 2s252ms | Loss: 1.232 | Acc: 72.656% (1116/1536)              
 [=========>.......................................................] 7/40   Step: 418ms | Tot: 2s671ms | Loss: 1.232 | Acc: 72.656% (1302/1792)              
 [===========>.....................................................] 8/40   Step: 418ms | Tot: 3s89ms | Loss: 1.248 | Acc: 72.510% (1485/2048)              
 [=============>...................................................] 9/40   Step: 520ms | Tot: 3s609ms | Loss: 1.245 | Acc: 72.526% (1671/2304)              
 [==============>..................................................] 10/40   Step: 418ms | Tot: 4s28ms | Loss: 1.242 | Acc: 72.383% (1853/2560)              
 [================>................................................] 11/40   Step: 417ms | Tot: 4s446ms | Loss: 1.247 | Acc: 72.159% (2032/2816)              
 [=================>...............................................] 12/40   Step: 421ms | Tot: 4s867ms | Loss: 1.244 | Acc: 72.135% (2216/3072)              
 [===================>.............................................] 13/40   Step: 418ms | Tot: 5s285ms | Loss: 1.248 | Acc: 71.995% (2396/3328)              
 [=====================>...........................................] 14/40   Step: 418ms | Tot: 5s704ms | Loss: 1.249 | Acc: 71.875% (2576/3584)              
 [======================>..........................................] 15/40   Step: 517ms | Tot: 6s221ms | Loss: 1.254 | Acc: 71.849% (2759/3840)              
 [========================>........................................] 16/40   Step: 418ms | Tot: 6s640ms | Loss: 1.250 | Acc: 71.924% (2946/4096)              
 [==========================>......................................] 17/40   Step: 417ms | Tot: 7s57ms | Loss: 1.258 | Acc: 71.760% (3123/4352)              
