cifar100 loaded
There are 40000 training samples and 10000 validation samples
There are 10000 test samples.
This is records for stage 3
Train with the wcl selected dataset (by weighted the boundary points).
load parameters
Now try to run the WCL algorithm, by scaling up boundary sample scores
Scale up the boundary sample scores to 1
Start to select 12000 samples for a fair comparison at each subset.
Selected 12000 samples from all the classes
Use multiple GPU to train the network.
Use 100 epochs

Epoch: 0
 [>................................................................] 1/47   Step: 57s266ms | Tot: 0ms | Loss: 0.788 | Acc: 80.078% (205/256)              
 [=>...............................................................] 2/47   Step: 1s978ms | Tot: 1s978ms | Loss: 0.846 | Acc: 79.883% (409/512)              
 [==>..............................................................] 3/47   Step: 974ms | Tot: 2s952ms | Loss: 0.827 | Acc: 80.859% (621/768)              
 [====>............................................................] 4/47   Step: 1s153ms | Tot: 4s106ms | Loss: 0.816 | Acc: 81.738% (837/1024)              
 [=====>...........................................................] 5/47   Step: 962ms | Tot: 5s68ms | Loss: 0.817 | Acc: 81.562% (1044/1280)              
 [======>..........................................................] 6/47   Step: 964ms | Tot: 6s33ms | Loss: 0.868 | Acc: 81.055% (1245/1536)              
 [========>........................................................] 7/47   Step: 960ms | Tot: 6s994ms | Loss: 0.877 | Acc: 80.692% (1446/1792)              
 [=========>.......................................................] 8/47   Step: 963ms | Tot: 7s957ms | Loss: 0.870 | Acc: 80.615% (1651/2048)              
 [===========>.....................................................] 9/47   Step: 1s62ms | Tot: 9s20ms | Loss: 0.856 | Acc: 80.859% (1863/2304)              
 [============>....................................................] 10/47   Step: 966ms | Tot: 9s987ms | Loss: 0.861 | Acc: 80.820% (2069/2560)              
 [=============>...................................................] 11/47   Step: 960ms | Tot: 10s948ms | Loss: 0.852 | Acc: 80.930% (2279/2816)              
 [===============>.................................................] 12/47   Step: 961ms | Tot: 11s909ms | Loss: 0.849 | Acc: 80.892% (2485/3072)              
 [================>................................................] 13/47   Step: 1s71ms | Tot: 12s980ms | Loss: 0.853 | Acc: 80.889% (2692/3328)              
 [=================>...............................................] 14/47   Step: 985ms | Tot: 13s965ms | Loss: 0.856 | Acc: 80.943% (2901/3584)              
 [===================>.............................................] 15/47   Step: 972ms | Tot: 14s938ms | Loss: 0.844 | Acc: 81.224% (3119/3840)              
 [====================>............................................] 16/47   Step: 968ms | Tot: 15s906ms | Loss: 0.842 | Acc: 81.030% (3319/4096)              
 [======================>..........................................] 17/47   Step: 967ms | Tot: 16s874ms | Loss: 0.843 | Acc: 80.997% (3525/4352)              
 [=======================>.........................................] 18/47   Step: 1s68ms | Tot: 17s943ms | Loss: 0.835 | Acc: 81.185% (3741/4608)              
 [========================>........................................] 19/47   Step: 975ms | Tot: 18s918ms | Loss: 0.825 | Acc: 81.414% (3960/4864)              
 [==========================>......................................] 20/47   Step: 971ms | Tot: 19s890ms | Loss: 0.822 | Acc: 81.504% (4173/5120)              
 [===========================>.....................................] 21/47   Step: 964ms | Tot: 20s854ms | Loss: 0.825 | Acc: 81.436% (4378/5376)              
 [=============================>...................................] 22/47   Step: 1s118ms | Tot: 21s973ms | Loss: 0.815 | Acc: 81.729% (4603/5632)              
 [==============================>..................................] 23/47   Step: 962ms | Tot: 22s936ms | Loss: 0.811 | Acc: 81.844% (4819/5888)              
 [===============================>.................................] 24/47   Step: 978ms | Tot: 23s914ms | Loss: 0.807 | Acc: 81.885% (5031/6144)              
 [=================================>...............................] 25/47   Step: 965ms | Tot: 24s879ms | Loss: 0.810 | Acc: 81.844% (5238/6400)              
 [==================================>..............................] 26/47   Step: 969ms | Tot: 25s848ms | Loss: 0.814 | Acc: 81.821% (5446/6656)              
 [===================================>.............................] 27/47   Step: 1s71ms | Tot: 26s920ms | Loss: 0.810 | Acc: 81.771% (5652/6912)              
 [=====================================>...........................] 28/47   Step: 965ms | Tot: 27s886ms | Loss: 0.814 | Acc: 81.613% (5850/7168)              
 [======================================>..........................] 29/47   Step: 961ms | Tot: 28s848ms | Loss: 0.816 | Acc: 81.546% (6054/7424)              
 [========================================>........................] 30/47   Step: 960ms | Tot: 29s808ms | Loss: 0.819 | Acc: 81.549% (6263/7680)              
 [=========================================>.......................] 31/47   Step: 1s65ms | Tot: 30s874ms | Loss: 0.821 | Acc: 81.502% (6468/7936)              
 [==========================================>......................] 32/47   Step: 972ms | Tot: 31s846ms | Loss: 0.824 | Acc: 81.384% (6667/8192)              
 [============================================>....................] 33/47   Step: 970ms | Tot: 32s817ms | Loss: 0.824 | Acc: 81.345% (6872/8448)              
 [=============================================>...................] 34/47   Step: 992ms | Tot: 33s810ms | Loss: 0.822 | Acc: 81.342% (7080/8704)              
 [===============================================>.................] 35/47   Step: 960ms | Tot: 34s770ms | Loss: 0.825 | Acc: 81.283% (7283/8960)              
 [================================================>................] 36/47   Step: 1s67ms | Tot: 35s838ms | Loss: 0.826 | Acc: 81.228% (7486/9216)              
 [=================================================>...............] 37/47   Step: 964ms | Tot: 36s802ms | Loss: 0.821 | Acc: 81.282% (7699/9472)              
 [===================================================>.............] 38/47   Step: 965ms | Tot: 37s768ms | Loss: 0.817 | Acc: 81.332% (7912/9728)              
 [====================================================>............] 39/47   Step: 968ms | Tot: 38s736ms | Loss: 0.815 | Acc: 81.330% (8120/9984)              
 [=====================================================>...........] 40/47   Step: 964ms | Tot: 39s701ms | Loss: 0.818 | Acc: 81.318% (8327/10240)              
 [=======================================================>.........] 41/47   Step: 1s108ms | Tot: 40s810ms | Loss: 0.817 | Acc: 81.412% (8545/10496)              
 [========================================================>........] 42/47   Step: 972ms | Tot: 41s782ms | Loss: 0.818 | Acc: 81.380% (8750/10752)              
 [==========================================================>......] 43/47   Step: 949ms | Tot: 42s732ms | Loss: 0.811 | Acc: 81.541% (8976/11008)              
 [===========================================================>.....] 44/47   Step: 854ms | Tot: 43s586ms | Loss: 0.813 | Acc: 81.507% (9181/11264)              
 [============================================================>....] 45/47   Step: 969ms | Tot: 44s555ms | Loss: 0.810 | Acc: 81.597% (9400/11520)              
 [==============================================================>..] 46/47   Step: 851ms | Tot: 45s407ms | Loss: 0.810 | Acc: 81.632% (9613/11776)              
 [===============================================================>.] 47/47   Step: 9s286ms | Tot: 54s694ms | Loss: 0.810 | Acc: 81.658% (9799/12000)
 [>................................................................] 1/40   Step: 1s53ms | Tot: 0ms | Loss: 1.470 | Acc: 65.625% (168/256)              
 [=>...............................................................] 2/40   Step: 423ms | Tot: 423ms | Loss: 1.496 | Acc: 65.430% (335/512)              
 [===>.............................................................] 3/40   Step: 418ms | Tot: 841ms | Loss: 1.557 | Acc: 63.932% (491/768)              
 [====>............................................................] 4/40   Step: 582ms | Tot: 1s423ms | Loss: 1.594 | Acc: 64.355% (659/1024)              
 [======>..........................................................] 5/40   Step: 417ms | Tot: 1s841ms | Loss: 1.673 | Acc: 63.438% (812/1280)              
 [========>........................................................] 6/40   Step: 416ms | Tot: 2s257ms | Loss: 1.693 | Acc: 63.346% (973/1536)              
 [=========>.......................................................] 7/40   Step: 416ms | Tot: 2s673ms | Loss: 1.715 | Acc: 63.058% (1130/1792)              
 [===========>.....................................................] 8/40   Step: 420ms | Tot: 3s94ms | Loss: 1.699 | Acc: 63.330% (1297/2048)              
 [=============>...................................................] 9/40   Step: 415ms | Tot: 3s510ms | Loss: 1.671 | Acc: 63.845% (1471/2304)              
 [==============>..................................................] 10/40   Step: 524ms | Tot: 4s34ms | Loss: 1.671 | Acc: 64.023% (1639/2560)              
 [================>................................................] 11/40   Step: 417ms | Tot: 4s452ms | Loss: 1.651 | Acc: 64.666% (1821/2816)              
 [=================>...............................................] 12/40   Step: 418ms | Tot: 4s870ms | Loss: 1.655 | Acc: 64.811% (1991/3072)              
 [===================>.............................................] 13/40   Step: 416ms | Tot: 5s287ms | Loss: 1.651 | Acc: 64.874% (2159/3328)              
 [=====================>...........................................] 14/40   Step: 423ms | Tot: 5s711ms | Loss: 1.658 | Acc: 64.648% (2317/3584)              
 [======================>..........................................] 15/40   Step: 418ms | Tot: 6s129ms | Loss: 1.654 | Acc: 64.766% (2487/3840)              
 [========================>........................................] 16/40   Step: 527ms | Tot: 6s657ms | Loss: 1.661 | Acc: 64.722% (2651/4096)              
 [==========================>......................................] 17/40   Step: 417ms | Tot: 7s74ms | Loss: 1.660 | Acc: 64.775% (2819/4352)              
 [===========================>.....................................] 18/40   Step: 417ms | Tot: 7s492ms | Loss: 1.662 | Acc: 64.735% (2983/4608)              
 [=============================>...................................] 19/40   Step: 432ms | Tot: 7s924ms | Loss: 1.662 | Acc: 64.741% (3149/4864)              
 [==============================>..................................] 20/40   Step: 417ms | Tot: 8s342ms | Loss: 1.669 | Acc: 64.492% (3302/5120)              
 [================================>................................] 21/40   Step: 417ms | Tot: 8s759ms | Loss: 1.662 | Acc: 64.658% (3476/5376)              
 [==================================>..............................] 22/40   Step: 522ms | Tot: 9s282ms | Loss: 1.667 | Acc: 64.524% (3634/5632)              
 [===================================>.............................] 23/40   Step: 418ms | Tot: 9s701ms | Loss: 1.677 | Acc: 64.453% (3795/5888)              
 [=====================================>...........................] 24/40   Step: 417ms | Tot: 10s119ms | Loss: 1.691 | Acc: 64.144% (3941/6144)              
 [=======================================>.........................] 25/40   Step: 418ms | Tot: 10s537ms | Loss: 1.687 | Acc: 64.156% (4106/6400)              
 [========================================>........................] 26/40   Step: 419ms | Tot: 10s957ms | Loss: 1.681 | Acc: 64.108% (4267/6656)              
 [==========================================>......................] 27/40   Step: 419ms | Tot: 11s376ms | Loss: 1.679 | Acc: 64.149% (4434/6912)              
 [===========================================>.....................] 28/40   Step: 523ms | Tot: 11s899ms | Loss: 1.668 | Acc: 64.369% (4614/7168)              
 [=============================================>...................] 29/40   Step: 423ms | Tot: 12s322ms | Loss: 1.668 | Acc: 64.372% (4779/7424)              
 [===============================================>.................] 30/40   Step: 423ms | Tot: 12s746ms | Loss: 1.661 | Acc: 64.570% (4959/7680)              
 [================================================>................] 31/40   Step: 422ms | Tot: 13s168ms | Loss: 1.662 | Acc: 64.592% (5126/7936)              
 [==================================================>..............] 32/40   Step: 420ms | Tot: 13s588ms | Loss: 1.668 | Acc: 64.575% (5290/8192)              
 [====================================================>............] 33/40   Step: 416ms | Tot: 14s5ms | Loss: 1.669 | Acc: 64.571% (5455/8448)              
 [=====================================================>...........] 34/40   Step: 527ms | Tot: 14s532ms | Loss: 1.685 | Acc: 64.442% (5609/8704)              
 [=======================================================>.........] 35/40   Step: 416ms | Tot: 14s949ms | Loss: 1.679 | Acc: 64.531% (5782/8960)              
 [========================================================>........] 36/40   Step: 378ms | Tot: 15s327ms | Loss: 1.674 | Acc: 64.594% (5953/9216)              
 [==========================================================>......] 37/40   Step: 372ms | Tot: 15s700ms | Loss: 1.680 | Acc: 64.516% (6111/9472)              
 [============================================================>....] 38/40   Step: 374ms | Tot: 16s74ms | Loss: 1.674 | Acc: 64.597% (6284/9728)              
 [=============================================================>...] 39/40   Step: 373ms | Tot: 16s448ms | Loss: 1.673 | Acc: 64.553% (6445/9984)              
 [===============================================================>.] 40/40   Step: 2s592ms | Tot: 19s40ms | Loss: 1.671 | Acc: 64.580% (6458/10000)
Saving with better validation accuracy model: 64.580..

Epoch: 1
 [>................................................................] 1/47   Step: 2s937ms | Tot: 0ms | Loss: 0.746 | Acc: 82.422% (211/256)              
 [=>...............................................................] 2/47   Step: 968ms | Tot: 968ms | Loss: 0.679 | Acc: 83.789% (429/512)              
 [==>..............................................................] 3/47   Step: 968ms | Tot: 1s937ms | Loss: 0.671 | Acc: 84.115% (646/768)              
 [====>............................................................] 4/47   Step: 963ms | Tot: 2s900ms | Loss: 0.693 | Acc: 83.789% (858/1024)              
 [=====>...........................................................] 5/47   Step: 1s150ms | Tot: 4s51ms | Loss: 0.683 | Acc: 83.672% (1071/1280)              
 [======>..........................................................] 6/47   Step: 965ms | Tot: 5s17ms | Loss: 0.645 | Acc: 84.896% (1304/1536)              
 [========>........................................................] 7/47   Step: 978ms | Tot: 5s995ms | Loss: 0.660 | Acc: 84.654% (1517/1792)              
 [=========>.......................................................] 8/47   Step: 962ms | Tot: 6s958ms | Loss: 0.666 | Acc: 84.473% (1730/2048)              
 [===========>.....................................................] 9/47   Step: 1s78ms | Tot: 8s37ms | Loss: 0.671 | Acc: 84.201% (1940/2304)              
 [============>....................................................] 10/47   Step: 960ms | Tot: 8s998ms | Loss: 0.674 | Acc: 84.062% (2152/2560)              
 [=============>...................................................] 11/47   Step: 964ms | Tot: 9s962ms | Loss: 0.658 | Acc: 84.268% (2373/2816)              
 [===============>.................................................] 12/47   Step: 963ms | Tot: 10s926ms | Loss: 0.657 | Acc: 84.342% (2591/3072)              
 [================>................................................] 13/47   Step: 966ms | Tot: 11s892ms | Loss: 0.654 | Acc: 84.255% (2804/3328)              
 [=================>...............................................] 14/47   Step: 1s63ms | Tot: 12s956ms | Loss: 0.660 | Acc: 84.124% (3015/3584)              
 [===================>.............................................] 15/47   Step: 966ms | Tot: 13s922ms | Loss: 0.660 | Acc: 84.219% (3234/3840)              
 [====================>............................................] 16/47   Step: 958ms | Tot: 14s880ms | Loss: 0.660 | Acc: 84.180% (3448/4096)              
 [======================>..........................................] 17/47   Step: 960ms | Tot: 15s841ms | Loss: 0.669 | Acc: 84.007% (3656/4352)              
