cifar10 loaded
There are 40000 training samples and 10000 validation samples
There are 10000 test samples.
This is records for stage 3
Train with the pop selected dataset.
load parameters
Now try to run the algorithm POP
------------------ Start to select subsets ------------------
Selected 24951 samples for weakkness <= 13.
Train with the selected 24951 samples.
Use multiple GPU to train the network.
Use 100 epochs

Epoch: 0
 [>................................................................] 1/98   Step: 58s955ms | Tot: 0ms | Loss: 0.002 | Acc: 100.000% (256/256)              
 [>................................................................] 2/98   Step: 2s57ms | Tot: 2s57ms | Loss: 0.003 | Acc: 100.000% (512/512)              
 [=>...............................................................] 3/98   Step: 982ms | Tot: 3s39ms | Loss: 0.003 | Acc: 100.000% (768/768)              
 [=>...............................................................] 4/98   Step: 1s116ms | Tot: 4s155ms | Loss: 0.003 | Acc: 100.000% (1024/1024)              
 [==>..............................................................] 5/98   Step: 960ms | Tot: 5s116ms | Loss: 0.003 | Acc: 100.000% (1280/1280)              
 [===>.............................................................] 6/98   Step: 961ms | Tot: 6s77ms | Loss: 0.003 | Acc: 100.000% (1536/1536)              
 [===>.............................................................] 7/98   Step: 961ms | Tot: 7s39ms | Loss: 0.003 | Acc: 100.000% (1792/1792)              
 [====>............................................................] 8/98   Step: 962ms | Tot: 8s2ms | Loss: 0.003 | Acc: 100.000% (2048/2048)              
 [=====>...........................................................] 9/98   Step: 1s62ms | Tot: 9s65ms | Loss: 0.003 | Acc: 99.957% (2303/2304)              
 [=====>...........................................................] 10/98   Step: 954ms | Tot: 10s19ms | Loss: 0.003 | Acc: 99.961% (2559/2560)              
 [======>..........................................................] 11/98   Step: 971ms | Tot: 10s990ms | Loss: 0.003 | Acc: 99.964% (2815/2816)              
 [=======>.........................................................] 12/98   Step: 952ms | Tot: 11s942ms | Loss: 0.003 | Acc: 99.967% (3071/3072)              
 [=======>.........................................................] 13/98   Step: 962ms | Tot: 12s904ms | Loss: 0.003 | Acc: 99.970% (3327/3328)              
 [========>........................................................] 14/98   Step: 1s61ms | Tot: 13s966ms | Loss: 0.003 | Acc: 99.972% (3583/3584)              
 [=========>.......................................................] 15/98   Step: 956ms | Tot: 14s923ms | Loss: 0.003 | Acc: 99.974% (3839/3840)              
 [================================>................................] 50/98   Step: 1s63ms | Tot: 49s498ms | Loss: 0.004 | Acc: 99.945% (12793/12800)              
 [=================================>...............................] 51/98   Step: 958ms | Tot: 50s456ms | Loss: 0.004 | Acc: 99.946% (13049/13056)              
 [=================================>...............................] 52/98   Step: 968ms | Tot: 51s425ms | Loss: 0.004 | Acc: 99.947% (13305/13312)              
 [==================================>..............................] 53/98   Step: 960ms | Tot: 52s386ms | Loss: 0.004 | Acc: 99.948% (13561/13568)              
 [===================================>.............................] 54/98   Step: 967ms | Tot: 53s353ms | Loss: 0.004 | Acc: 99.949% (13817/13824)              
 [===================================>.............................] 55/98   Step: 1s62ms | Tot: 54s416ms | Loss: 0.004 | Acc: 99.950% (14073/14080)              
 [====================================>............................] 56/98   Step: 958ms | Tot: 55s374ms | Loss: 0.004 | Acc: 99.951% (14329/14336)              
 [=====================================>...........................] 57/98   Step: 956ms | Tot: 56s330ms | Loss: 0.004 | Acc: 99.952% (14585/14592)              
 [=====================================>...........................] 58/98   Step: 959ms | Tot: 57s290ms | Loss: 0.004 | Acc: 99.953% (14841/14848)              
 [======================================>..........................] 59/98   Step: 957ms | Tot: 58s247ms | Loss: 0.004 | Acc: 99.954% (15097/15104)              
 [=======================================>.........................] 60/98   Step: 1s65ms | Tot: 59s313ms | Loss: 0.004 | Acc: 99.954% (15353/15360)              
 [=======================================>.........................] 61/98   Step: 955ms | Tot: 1m268ms | Loss: 0.004 | Acc: 99.955% (15609/15616)              
 [========================================>........................] 62/98   Step: 972ms | Tot: 1m1s | Loss: 0.004 | Acc: 99.956% (15865/15872)              
 [=========================================>.......................] 63/98   Step: 953ms | Tot: 1m2s | Loss: 0.004 | Acc: 99.957% (16121/16128)              
 [=========================================>.......................] 64/98   Step: 966ms | Tot: 1m3s | Loss: 0.004 | Acc: 99.957% (16377/16384)              
 [==========================================>......................] 65/98   Step: 1s61ms | Tot: 1m4s | Loss: 0.004 | Acc: 99.958% (16633/16640)              
 [===========================================>.....................] 66/98   Step: 957ms | Tot: 1m5s | Loss: 0.004 | Acc: 99.953% (16888/16896)              
 [===========================================>.....................] 67/98   Step: 953ms | Tot: 1m6s | Loss: 0.004 | Acc: 99.953% (17144/17152)              
 [============================================>....................] 68/98   Step: 953ms | Tot: 1m7s | Loss: 0.004 | Acc: 99.954% (17400/17408)              
 [=============================================>...................] 69/98   Step: 1s67ms | Tot: 1m8s | Loss: 0.004 | Acc: 99.955% (17656/17664)              
 [=============================================>...................] 70/98   Step: 955ms | Tot: 1m9s | Loss: 0.004 | Acc: 99.955% (17912/17920)              
 [==============================================>..................] 71/98   Step: 968ms | Tot: 1m10s | Loss: 0.004 | Acc: 99.956% (18168/18176)              
 [===============================================>.................] 72/98   Step: 975ms | Tot: 1m11s | Loss: 0.004 | Acc: 99.951% (18423/18432)              
 [===============================================>.................] 73/98   Step: 953ms | Tot: 1m12s | Loss: 0.004 | Acc: 99.952% (18679/18688)              
 [================================================>................] 74/98   Step: 1s72ms | Tot: 1m13s | Loss: 0.004 | Acc: 99.952% (18935/18944)              
 [=================================================>...............] 75/98   Step: 958ms | Tot: 1m14s | Loss: 0.004 | Acc: 99.953% (19191/19200)              
 [=================================================>...............] 76/98   Step: 969ms | Tot: 1m15s | Loss: 0.004 | Acc: 99.954% (19447/19456)              
 [==================================================>..............] 77/98   Step: 955ms | Tot: 1m15s | Loss: 0.004 | Acc: 99.954% (19703/19712)              
 [===================================================>.............] 78/98   Step: 1s91ms | Tot: 1m17s | Loss: 0.004 | Acc: 99.955% (19959/19968)              
 [===================================================>.............] 79/98   Step: 961ms | Tot: 1m18s | Loss: 0.004 | Acc: 99.955% (20215/20224)              
 [====================================================>............] 80/98   Step: 950ms | Tot: 1m18s | Loss: 0.004 | Acc: 99.956% (20471/20480)              
 [=====================================================>...........] 81/98   Step: 956ms | Tot: 1m19s | Loss: 0.004 | Acc: 99.957% (20727/20736)              
 [=====================================================>...........] 82/98   Step: 971ms | Tot: 1m20s | Loss: 0.004 | Acc: 99.957% (20983/20992)              
 [======================================================>..........] 83/98   Step: 1s72ms | Tot: 1m21s | Loss: 0.004 | Acc: 99.958% (21239/21248)              
 [=======================================================>.........] 84/98   Step: 960ms | Tot: 1m22s | Loss: 0.004 | Acc: 99.958% (21495/21504)              
 [=======================================================>.........] 85/98   Step: 954ms | Tot: 1m23s | Loss: 0.004 | Acc: 99.959% (21751/21760)              
 [========================================================>........] 86/98   Step: 957ms | Tot: 1m24s | Loss: 0.004 | Acc: 99.959% (22007/22016)              
 [=========================================================>.......] 87/98   Step: 962ms | Tot: 1m25s | Loss: 0.004 | Acc: 99.960% (22263/22272)              
 [=========================================================>.......] 88/98   Step: 1s60ms | Tot: 1m26s | Loss: 0.004 | Acc: 99.960% (22519/22528)              
 [==========================================================>......] 89/98   Step: 963ms | Tot: 1m27s | Loss: 0.004 | Acc: 99.960% (22775/22784)              
 [===========================================================>.....] 90/98   Step: 960ms | Tot: 1m28s | Loss: 0.004 | Acc: 99.957% (23030/23040)              
 [===========================================================>.....] 91/98   Step: 956ms | Tot: 1m29s | Loss: 0.004 | Acc: 99.957% (23286/23296)              
 [============================================================>....] 92/98   Step: 1s73ms | Tot: 1m30s | Loss: 0.004 | Acc: 99.958% (23542/23552)              
 [=============================================================>...] 93/98   Step: 954ms | Tot: 1m31s | Loss: 0.004 | Acc: 99.958% (23798/23808)              
 [=============================================================>...] 94/98   Step: 896ms | Tot: 1m32s | Loss: 0.004 | Acc: 99.958% (24054/24064)              
 [==============================================================>..] 95/98   Step: 854ms | Tot: 1m33s | Loss: 0.004 | Acc: 99.959% (24310/24320)              
