cifar10 loaded
There are 40000 training samples and 10000 validation samples
There are 10000 test samples.
This is records for stage 1
Train with the pop selected dataset.
Now try to run the algorithm POP
------------------ Start to select subsets ------------------
Selected 14546 samples for weakkness <= 9.
Train with the selected 14546 samples.
Use multiple GPU to train the network.
Use 150 epochs

Epoch: 0
 [>................................................................] 1/57   Step: 1m458ms | Tot: 0ms | Loss: 2.289 | Acc: 7.422% (19/256)              
 [=>...............................................................] 2/57   Step: 1s993ms | Tot: 1s993ms | Loss: 2.285 | Acc: 17.383% (89/512)              
 [==>..............................................................] 3/57   Step: 990ms | Tot: 2s984ms | Loss: 2.294 | Acc: 18.880% (145/768)              
 [===>.............................................................] 4/57   Step: 1s141ms | Tot: 4s126ms | Loss: 2.305 | Acc: 19.043% (195/1024)              
 [====>............................................................] 5/57   Step: 978ms | Tot: 5s104ms | Loss: 2.289 | Acc: 18.906% (242/1280)              
 [=====>...........................................................] 6/57   Step: 971ms | Tot: 6s76ms | Loss: 2.278 | Acc: 18.880% (290/1536)              
 [======>..........................................................] 7/57   Step: 975ms | Tot: 7s51ms | Loss: 2.269 | Acc: 19.196% (344/1792)              
 [=======>.........................................................] 8/57   Step: 974ms | Tot: 8s25ms | Loss: 2.258 | Acc: 19.482% (399/2048)              
 [=========>.......................................................] 9/57   Step: 1s78ms | Tot: 9s104ms | Loss: 2.260 | Acc: 19.227% (443/2304)              
 [==========>......................................................] 10/57   Step: 996ms | Tot: 10s100ms | Loss: 2.260 | Acc: 18.906% (484/2560)              
 [===========>.....................................................] 11/57   Step: 971ms | Tot: 11s72ms | Loss: 2.243 | Acc: 19.354% (545/2816)              
 [============>....................................................] 12/57   Step: 970ms | Tot: 12s42ms | Loss: 2.246 | Acc: 19.271% (592/3072)              
 [=============>...................................................] 13/57   Step: 1s82ms | Tot: 13s125ms | Loss: 2.239 | Acc: 19.141% (637/3328)              
 [==============>..................................................] 14/57   Step: 972ms | Tot: 14s97ms | Loss: 2.227 | Acc: 19.754% (708/3584)              
 [=========================================================>.......] 51/57   Step: 1s79ms | Tot: 51s153ms | Loss: 2.095 | Acc: 22.641% (2956/13056)              
 [==========================================================>......] 52/57   Step: 974ms | Tot: 52s128ms | Loss: 2.092 | Acc: 22.649% (3015/13312)              
 [===========================================================>.....] 53/57   Step: 953ms | Tot: 53s81ms | Loss: 2.089 | Acc: 22.693% (3079/13568)              
 [============================================================>....] 54/57   Step: 861ms | Tot: 53s942ms | Loss: 2.088 | Acc: 22.772% (3148/13824)              
 [=============================================================>...] 55/57   Step: 961ms | Tot: 54s904ms | Loss: 2.084 | Acc: 22.862% (3219/14080)              
 [==============================================================>..] 56/57   Step: 860ms | Tot: 55s765ms | Loss: 2.081 | Acc: 22.907% (3284/14336)              
 [===============================================================>.] 57/57   Step: 9s581ms | Tot: 1m5s | Loss: 2.078 | Acc: 23.017% (3348/14546)
 [>................................................................] 1/40   Step: 1s89ms | Tot: 0ms | Loss: 1.884 | Acc: 27.734% (71/256)              
 [=>...............................................................] 2/40   Step: 437ms | Tot: 438ms | Loss: 1.914 | Acc: 27.930% (143/512)              
 [===>.............................................................] 3/40   Step: 587ms | Tot: 1s25ms | Loss: 1.940 | Acc: 28.125% (216/768)              
 [====>............................................................] 4/40   Step: 424ms | Tot: 1s449ms | Loss: 1.935 | Acc: 28.516% (292/1024)              
 [======>..........................................................] 5/40   Step: 421ms | Tot: 1s870ms | Loss: 1.955 | Acc: 27.500% (352/1280)              
 [========>........................................................] 6/40   Step: 428ms | Tot: 2s298ms | Loss: 1.965 | Acc: 27.409% (421/1536)              
 [=========>.......................................................] 7/40   Step: 423ms | Tot: 2s721ms | Loss: 1.965 | Acc: 27.734% (497/1792)              
 [===========>.....................................................] 8/40   Step: 443ms | Tot: 3s165ms | Loss: 1.959 | Acc: 27.832% (570/2048)              
 [=============>...................................................] 9/40   Step: 534ms | Tot: 3s699ms | Loss: 1.959 | Acc: 27.561% (635/2304)              
 [==============>..................................................] 10/40   Step: 430ms | Tot: 4s130ms | Loss: 1.960 | Acc: 27.266% (698/2560)              
 [================>................................................] 11/40   Step: 423ms | Tot: 4s553ms | Loss: 1.957 | Acc: 27.344% (770/2816)              
 [=================>...............................................] 12/40   Step: 423ms | Tot: 4s977ms | Loss: 1.955 | Acc: 27.214% (836/3072)              
 [===================>.............................................] 13/40   Step: 425ms | Tot: 5s403ms | Loss: 1.961 | Acc: 27.163% (904/3328)              
 [=====================>...........................................] 14/40   Step: 537ms | Tot: 5s941ms | Loss: 1.964 | Acc: 27.204% (975/3584)              
 [======================>..........................................] 15/40   Step: 422ms | Tot: 6s363ms | Loss: 1.956 | Acc: 27.474% (1055/3840)              
 [========================>........................................] 16/40   Step: 419ms | Tot: 6s783ms | Loss: 1.956 | Acc: 27.344% (1120/4096)              
 [==========================>......................................] 17/40   Step: 422ms | Tot: 7s205ms | Loss: 1.955 | Acc: 27.528% (1198/4352)              
 [===========================>.....................................] 18/40   Step: 428ms | Tot: 7s634ms | Loss: 1.959 | Acc: 27.344% (1260/4608)              
 [=============================>...................................] 19/40   Step: 424ms | Tot: 8s58ms | Loss: 1.959 | Acc: 27.262% (1326/4864)              
 [==============================>..................................] 20/40   Step: 522ms | Tot: 8s581ms | Loss: 1.956 | Acc: 27.305% (1398/5120)              
 [================================>................................] 21/40   Step: 425ms | Tot: 9s7ms | Loss: 1.961 | Acc: 27.344% (1470/5376)              
 [==================================>..............................] 22/40   Step: 431ms | Tot: 9s438ms | Loss: 1.961 | Acc: 27.379% (1542/5632)              
 [===================================>.............................] 23/40   Step: 428ms | Tot: 9s867ms | Loss: 1.963 | Acc: 27.276% (1606/5888)              
 [=====================================>...........................] 24/40   Step: 426ms | Tot: 10s293ms | Loss: 1.965 | Acc: 27.246% (1674/6144)              
 [=======================================>.........................] 25/40   Step: 531ms | Tot: 10s825ms | Loss: 1.964 | Acc: 27.359% (1751/6400)              
 [========================================>........................] 26/40   Step: 426ms | Tot: 11s251ms | Loss: 1.965 | Acc: 27.434% (1826/6656)              
 [==========================================>......................] 27/40   Step: 422ms | Tot: 11s674ms | Loss: 1.959 | Acc: 27.691% (1914/6912)              
 [===========================================>.....................] 28/40   Step: 427ms | Tot: 12s101ms | Loss: 1.960 | Acc: 27.595% (1978/7168)              
 [=============================================>...................] 29/40   Step: 417ms | Tot: 12s518ms | Loss: 1.959 | Acc: 27.600% (2049/7424)              
 [===============================================>.................] 30/40   Step: 417ms | Tot: 12s936ms | Loss: 1.957 | Acc: 27.682% (2126/7680)              
 [================================================>................] 31/40   Step: 552ms | Tot: 13s488ms | Loss: 1.956 | Acc: 27.684% (2197/7936)              
 [==================================================>..............] 32/40   Step: 416ms | Tot: 13s904ms | Loss: 1.959 | Acc: 27.649% (2265/8192)              
 [====================================================>............] 33/40   Step: 417ms | Tot: 14s322ms | Loss: 1.956 | Acc: 27.663% (2337/8448)              
 [=====================================================>...........] 34/40   Step: 416ms | Tot: 14s739ms | Loss: 1.956 | Acc: 27.654% (2407/8704)              
 [=======================================================>.........] 35/40   Step: 417ms | Tot: 15s156ms | Loss: 1.959 | Acc: 27.645% (2477/8960)              
 [========================================================>........] 36/40   Step: 483ms | Tot: 15s640ms | Loss: 1.958 | Acc: 27.767% (2559/9216)              
 [==========================================================>......] 37/40   Step: 373ms | Tot: 16s14ms | Loss: 1.954 | Acc: 27.819% (2635/9472)              
 [============================================================>....] 38/40   Step: 373ms | Tot: 16s387ms | Loss: 1.953 | Acc: 27.817% (2706/9728)              
 [=============================================================>...] 39/40   Step: 372ms | Tot: 16s760ms | Loss: 1.955 | Acc: 27.825% (2778/9984)              
 [===============================================================>.] 40/40   Step: 2s285ms | Tot: 19s46ms | Loss: 1.954 | Acc: 27.820% (2782/10000)
Saving with better validation accuracy model: 27.820..

Epoch: 1
 [>................................................................] 1/57   Step: 2s996ms | Tot: 0ms | Loss: 1.868 | Acc: 31.641% (81/256)              
 [=>...............................................................] 2/57   Step: 1s156ms | Tot: 1s156ms | Loss: 1.815 | Acc: 33.398% (171/512)              
 [==>..............................................................] 3/57   Step: 1s7ms | Tot: 2s163ms | Loss: 1.821 | Acc: 32.422% (249/768)              
 [===>.............................................................] 4/57   Step: 996ms | Tot: 3s160ms | Loss: 1.828 | Acc: 32.324% (331/1024)              
 [====>............................................................] 5/57   Step: 983ms | Tot: 4s143ms | Loss: 1.825 | Acc: 31.484% (403/1280)              
 [=====>...........................................................] 6/57   Step: 1s114ms | Tot: 5s258ms | Loss: 1.837 | Acc: 31.250% (480/1536)              
 [======>..........................................................] 7/57   Step: 981ms | Tot: 6s239ms | Loss: 1.833 | Acc: 30.859% (553/1792)              
 [=======>.........................................................] 8/57   Step: 969ms | Tot: 7s208ms | Loss: 1.844 | Acc: 30.420% (623/2048)              
 [=========>.......................................................] 9/57   Step: 970ms | Tot: 8s179ms | Loss: 1.841 | Acc: 30.165% (695/2304)              
 [==========>......................................................] 10/57   Step: 968ms | Tot: 9s148ms | Loss: 1.832 | Acc: 30.469% (780/2560)              
 [===========>.....................................................] 11/57   Step: 1s70ms | Tot: 10s219ms | Loss: 1.834 | Acc: 30.291% (853/2816)              
 [============>....................................................] 12/57   Step: 988ms | Tot: 11s207ms | Loss: 1.837 | Acc: 30.273% (930/3072)              
 [=============>...................................................] 13/57   Step: 969ms | Tot: 12s177ms | Loss: 1.841 | Acc: 30.349% (1010/3328)              
 [==============>..................................................] 14/57   Step: 966ms | Tot: 13s143ms | Loss: 1.841 | Acc: 30.190% (1082/3584)              
 [===============>.................................................] 15/57   Step: 1s77ms | Tot: 14s221ms | Loss: 1.849 | Acc: 29.688% (1140/3840)              
 [=================>...............................................] 16/57   Step: 965ms | Tot: 15s186ms | Loss: 1.852 | Acc: 29.858% (1223/4096)              
 [==================>..............................................] 17/57   Step: 969ms | Tot: 16s156ms | Loss: 1.853 | Acc: 29.779% (1296/4352)              
 [===================>.............................................] 18/57   Step: 969ms | Tot: 17s126ms | Loss: 1.853 | Acc: 29.861% (1376/4608)              
 [====================>............................................] 19/57   Step: 969ms | Tot: 18s95ms | Loss: 1.850 | Acc: 29.708% (1445/4864)              
 [=====================>...........................................] 20/57   Step: 1s71ms | Tot: 19s166ms | Loss: 1.846 | Acc: 29.883% (1530/5120)              
 [======================>..........................................] 21/57   Step: 967ms | Tot: 20s134ms | Loss: 1.852 | Acc: 29.576% (1590/5376)              
 [=======================>.........................................] 22/57   Step: 983ms | Tot: 21s118ms | Loss: 1.851 | Acc: 29.616% (1668/5632)              
 [=========================>.......................................] 23/57   Step: 968ms | Tot: 22s86ms | Loss: 1.852 | Acc: 29.620% (1744/5888)              
 [==========================>......................................] 24/57   Step: 1s73ms | Tot: 23s159ms | Loss: 1.852 | Acc: 29.867% (1835/6144)              
 [===========================>.....................................] 25/57   Step: 967ms | Tot: 24s127ms | Loss: 1.855 | Acc: 30.000% (1920/6400)              
 [============================>....................................] 26/57   Step: 966ms | Tot: 25s94ms | Loss: 1.857 | Acc: 29.913% (1991/6656)              
 [=============================>...................................] 27/57   Step: 970ms | Tot: 26s64ms | Loss: 1.857 | Acc: 29.876% (2065/6912)              
 [==============================>..................................] 28/57   Step: 980ms | Tot: 27s45ms | Loss: 1.854 | Acc: 29.939% (2146/7168)              
 [===============================>.................................] 29/57   Step: 1s74ms | Tot: 28s119ms | Loss: 1.857 | Acc: 29.916% (2221/7424)              
 [=================================>...............................] 30/57   Step: 972ms | Tot: 29s92ms | Loss: 1.856 | Acc: 30.013% (2305/7680)              
 [==================================>..............................] 31/57   Step: 976ms | Tot: 30s68ms | Loss: 1.855 | Acc: 30.078% (2387/7936)              
 [===================================>.............................] 32/57   Step: 977ms | Tot: 31s46ms | Loss: 1.853 | Acc: 30.115% (2467/8192)              
 [====================================>............................] 33/57   Step: 1s79ms | Tot: 32s125ms | Loss: 1.852 | Acc: 30.161% (2548/8448)              
 [=====================================>...........................] 34/57   Step: 969ms | Tot: 33s95ms | Loss: 1.852 | Acc: 30.101% (2620/8704)              
 [======================================>..........................] 35/57   Step: 970ms | Tot: 34s65ms | Loss: 1.854 | Acc: 30.011% (2689/8960)              
 [=======================================>.........................] 36/57   Step: 970ms | Tot: 35s36ms | Loss: 1.851 | Acc: 30.197% (2783/9216)              
 [=========================================>.......................] 37/57   Step: 974ms | Tot: 36s11ms | Loss: 1.849 | Acc: 30.205% (2861/9472)              
 [==========================================>......................] 38/57   Step: 1s86ms | Tot: 37s97ms | Loss: 1.848 | Acc: 30.212% (2939/9728)              
 [===========================================>.....................] 39/57   Step: 971ms | Tot: 38s68ms | Loss: 1.849 | Acc: 30.198% (3015/9984)              
 [============================================>....................] 40/57   Step: 969ms | Tot: 39s38ms | Loss: 1.848 | Acc: 30.225% (3095/10240)              
 [=============================================>...................] 41/57   Step: 967ms | Tot: 40s6ms | Loss: 1.847 | Acc: 30.278% (3178/10496)              
 [==============================================>..................] 42/57   Step: 968ms | Tot: 40s975ms | Loss: 1.844 | Acc: 30.459% (3275/10752)              
 [===============================================>.................] 43/57   Step: 1s106ms | Tot: 42s81ms | Loss: 1.844 | Acc: 30.414% (3348/11008)              
 [=================================================>...............] 44/57   Step: 976ms | Tot: 43s57ms | Loss: 1.845 | Acc: 30.469% (3432/11264)              
 [==================================================>..............] 45/57   Step: 968ms | Tot: 44s25ms | Loss: 1.842 | Acc: 30.599% (3525/11520)              
 [===================================================>.............] 46/57   Step: 969ms | Tot: 44s995ms | Loss: 1.844 | Acc: 30.537% (3596/11776)              
 [====================================================>............] 47/57   Step: 1s85ms | Tot: 46s80ms | Loss: 1.845 | Acc: 30.527% (3673/12032)              
 [=====================================================>...........] 48/57   Step: 968ms | Tot: 47s49ms | Loss: 1.846 | Acc: 30.534% (3752/12288)              
 [======================================================>..........] 49/57   Step: 969ms | Tot: 48s18ms | Loss: 1.845 | Acc: 30.540% (3831/12544)              
 [=======================================================>.........] 50/57   Step: 971ms | Tot: 48s990ms | Loss: 1.844 | Acc: 30.570% (3913/12800)              
 [=========================================================>.......] 51/57   Step: 968ms | Tot: 49s958ms | Loss: 1.842 | Acc: 30.591% (3994/13056)              
