cifar10 loaded
There are 40000 training samples and 10000 validation samples
There are 10000 test samples.
This is records for stage 2
Train with the egdis selected dataset.
load parameters
Now try to run the algorithm EGDIS with the generated sample dataset.
Selected 6506 samples
Use multiple GPU to train the network.
Use 100 epochs

Epoch: 0
 [>................................................................] 1/26   Step: 42s649ms | Tot: 0ms | Loss: 0.052 | Acc: 98.438% (252/256)              
 [==>..............................................................] 2/26   Step: 1s961ms | Tot: 1s961ms | Loss: 0.074 | Acc: 97.070% (497/512)              
 [=====>...........................................................] 3/26   Step: 972ms | Tot: 2s933ms | Loss: 0.069 | Acc: 97.526% (749/768)              
 [=======>.........................................................] 4/26   Step: 1s156ms | Tot: 4s90ms | Loss: 0.071 | Acc: 97.363% (997/1024)              
 [==========>......................................................] 5/26   Step: 965ms | Tot: 5s55ms | Loss: 0.069 | Acc: 97.578% (1249/1280)              
 [============>....................................................] 6/26   Step: 978ms | Tot: 6s34ms | Loss: 0.070 | Acc: 97.526% (1498/1536)              
 [===============>.................................................] 7/26   Step: 965ms | Tot: 6s999ms | Loss: 0.067 | Acc: 97.712% (1751/1792)              
 [=================>...............................................] 8/26   Step: 960ms | Tot: 7s960ms | Loss: 0.065 | Acc: 97.852% (2004/2048)              
 [====================>............................................] 9/26   Step: 1s64ms | Tot: 9s24ms | Loss: 0.061 | Acc: 98.047% (2259/2304)              
 [======================>..........................................] 10/26   Step: 960ms | Tot: 9s985ms | Loss: 0.058 | Acc: 98.164% (2513/2560)              
 [=========================>.......................................] 11/26   Step: 964ms | Tot: 10s950ms | Loss: 0.055 | Acc: 98.331% (2769/2816)              
 [===========================>.....................................] 12/26   Step: 960ms | Tot: 11s910ms | Loss: 0.056 | Acc: 98.307% (3020/3072)              
 [==============================>..................................] 13/26   Step: 969ms | Tot: 12s879ms | Loss: 0.056 | Acc: 98.287% (3271/3328)              
 [================================>................................] 14/26   Step: 1s65ms | Tot: 13s945ms | Loss: 0.055 | Acc: 98.326% (3524/3584)              
 [===================================>.............................] 15/26   Step: 967ms | Tot: 14s913ms | Loss: 0.053 | Acc: 98.411% (3779/3840)              
 [=====================================>...........................] 16/26   Step: 983ms | Tot: 15s897ms | Loss: 0.053 | Acc: 98.413% (4031/4096)              
 [========================================>........................] 17/26   Step: 973ms | Tot: 16s870ms | Loss: 0.052 | Acc: 98.460% (4285/4352)              
 [==========================================>......................] 18/26   Step: 1s70ms | Tot: 17s941ms | Loss: 0.051 | Acc: 98.481% (4538/4608)              
 [=============================================>...................] 19/26   Step: 963ms | Tot: 18s904ms | Loss: 0.050 | Acc: 98.499% (4791/4864)              
 [===============================================>.................] 20/26   Step: 963ms | Tot: 19s868ms | Loss: 0.050 | Acc: 98.496% (5043/5120)              
 [==================================================>..............] 21/26   Step: 969ms | Tot: 20s837ms | Loss: 0.049 | Acc: 98.531% (5297/5376)              
 [====================================================>............] 22/26   Step: 899ms | Tot: 21s736ms | Loss: 0.048 | Acc: 98.597% (5553/5632)              
 [=======================================================>.........] 23/26   Step: 990ms | Tot: 22s727ms | Loss: 0.048 | Acc: 98.590% (5805/5888)              
 [=========================================================>.......] 24/26   Step: 847ms | Tot: 23s575ms | Loss: 0.047 | Acc: 98.633% (6060/6144)              
 [============================================================>....] 25/26   Step: 855ms | Tot: 24s430ms | Loss: 0.046 | Acc: 98.656% (6314/6400)              
 [==============================================================>..] 26/26   Step: 8s548ms | Tot: 32s979ms | Loss: 0.046 | Acc: 98.647% (6418/6506)
 [>................................................................] 1/40   Step: 1s141ms | Tot: 0ms | Loss: 0.685 | Acc: 82.031% (210/256)              
 [=>...............................................................] 2/40   Step: 606ms | Tot: 606ms | Loss: 0.783 | Acc: 80.664% (413/512)              
 [===>.............................................................] 3/40   Step: 437ms | Tot: 1s44ms | Loss: 0.772 | Acc: 81.250% (624/768)              
 [====>............................................................] 4/40   Step: 447ms | Tot: 1s492ms | Loss: 0.764 | Acc: 81.641% (836/1024)              
 [======>..........................................................] 5/40   Step: 436ms | Tot: 1s929ms | Loss: 0.742 | Acc: 81.797% (1047/1280)              
 [========>........................................................] 6/40   Step: 440ms | Tot: 2s369ms | Loss: 0.775 | Acc: 81.120% (1246/1536)              
 [=========>.......................................................] 7/40   Step: 531ms | Tot: 2s900ms | Loss: 0.770 | Acc: 81.194% (1455/1792)              
 [===========>.....................................................] 8/40   Step: 432ms | Tot: 3s333ms | Loss: 0.774 | Acc: 81.152% (1662/2048)              
 [=============>...................................................] 9/40   Step: 432ms | Tot: 3s765ms | Loss: 0.794 | Acc: 80.686% (1859/2304)              
 [==============>..................................................] 10/40   Step: 438ms | Tot: 4s204ms | Loss: 0.782 | Acc: 80.781% (2068/2560)              
 [================>................................................] 11/40   Step: 437ms | Tot: 4s642ms | Loss: 0.781 | Acc: 81.001% (2281/2816)              
 [=================>...............................................] 12/40   Step: 426ms | Tot: 5s68ms | Loss: 0.787 | Acc: 80.957% (2487/3072)              
 [===================>.............................................] 13/40   Step: 517ms | Tot: 5s585ms | Loss: 0.793 | Acc: 80.769% (2688/3328)              
 [=====================>...........................................] 14/40   Step: 419ms | Tot: 6s5ms | Loss: 0.777 | Acc: 80.887% (2899/3584)              
 [======================>..........................................] 15/40   Step: 420ms | Tot: 6s426ms | Loss: 0.776 | Acc: 80.833% (3104/3840)              
 [========================>........................................] 16/40   Step: 419ms | Tot: 6s845ms | Loss: 0.780 | Acc: 80.664% (3304/4096)              
 [==========================>......................................] 17/40   Step: 419ms | Tot: 7s265ms | Loss: 0.792 | Acc: 80.446% (3501/4352)              
 [===========================>.....................................] 18/40   Step: 519ms | Tot: 7s784ms | Loss: 0.797 | Acc: 80.339% (3702/4608)              
 [=============================>...................................] 19/40   Step: 419ms | Tot: 8s204ms | Loss: 0.801 | Acc: 80.387% (3910/4864)              
 [==============================>..................................] 20/40   Step: 419ms | Tot: 8s623ms | Loss: 0.799 | Acc: 80.352% (4114/5120)              
 [================================>................................] 21/40   Step: 418ms | Tot: 9s42ms | Loss: 0.799 | Acc: 80.264% (4315/5376)              
 [==================================>..............................] 22/40   Step: 420ms | Tot: 9s462ms | Loss: 0.798 | Acc: 80.185% (4516/5632)              
 [===================================>.............................] 23/40   Step: 420ms | Tot: 9s882ms | Loss: 0.801 | Acc: 80.129% (4718/5888)              
 [=====================================>...........................] 24/40   Step: 518ms | Tot: 10s401ms | Loss: 0.802 | Acc: 80.160% (4925/6144)              
 [=======================================>.........................] 25/40   Step: 421ms | Tot: 10s822ms | Loss: 0.802 | Acc: 80.250% (5136/6400)              
 [========================================>........................] 26/40   Step: 437ms | Tot: 11s260ms | Loss: 0.813 | Acc: 80.123% (5333/6656)              
 [==========================================>......................] 27/40   Step: 420ms | Tot: 11s680ms | Loss: 0.810 | Acc: 80.252% (5547/6912)              
 [===========================================>.....................] 28/40   Step: 419ms | Tot: 12s100ms | Loss: 0.813 | Acc: 80.232% (5751/7168)              
 [=============================================>...................] 29/40   Step: 520ms | Tot: 12s620ms | Loss: 0.813 | Acc: 80.105% (5947/7424)              
 [===============================================>.................] 30/40   Step: 418ms | Tot: 13s39ms | Loss: 0.812 | Acc: 80.065% (6149/7680)              
 [================================================>................] 31/40   Step: 420ms | Tot: 13s459ms | Loss: 0.807 | Acc: 80.179% (6363/7936)              
 [==================================================>..............] 32/40   Step: 419ms | Tot: 13s879ms | Loss: 0.804 | Acc: 80.188% (6569/8192)              
 [====================================================>............] 33/40   Step: 420ms | Tot: 14s300ms | Loss: 0.805 | Acc: 80.256% (6780/8448)              
 [=====================================================>...........] 34/40   Step: 420ms | Tot: 14s720ms | Loss: 0.807 | Acc: 80.273% (6987/8704)              
 [=======================================================>.........] 35/40   Step: 518ms | Tot: 15s238ms | Loss: 0.807 | Acc: 80.290% (7194/8960)              
 [========================================================>........] 36/40   Step: 379ms | Tot: 15s617ms | Loss: 0.811 | Acc: 80.165% (7388/9216)              
