cifar10 loaded
There are 40000 training samples and 10000 validation samples
There are 10000 test samples.
This is records for stage 1
Train with the wcl selected dataset.
Now try to run the WCL algorithm
Selected 3069 boundary instances.
Select 50.00 percent samples, 649 overlapping with the pre-selected boundary samples
The unique selected subset size is: 22420
Use multiple GPU to train the network.
Use 150 epochs

Epoch: 0
 [>................................................................] 1/88   Step: 1m3s | Tot: 0ms | Loss: 2.349 | Acc: 8.203% (21/256)              
 [>................................................................] 2/88   Step: 1s988ms | Tot: 1s988ms | Loss: 2.346 | Acc: 9.961% (51/512)              
 [=>...............................................................] 3/88   Step: 981ms | Tot: 2s970ms | Loss: 2.325 | Acc: 13.672% (105/768)              
 [==>..............................................................] 4/88   Step: 1s129ms | Tot: 4s99ms | Loss: 2.345 | Acc: 14.453% (148/1024)              
 [==>..............................................................] 5/88   Step: 953ms | Tot: 5s52ms | Loss: 2.305 | Acc: 14.219% (182/1280)              
 [===>.............................................................] 6/88   Step: 954ms | Tot: 6s7ms | Loss: 2.300 | Acc: 15.104% (232/1536)              
 [====>............................................................] 7/88   Step: 956ms | Tot: 6s963ms | Loss: 2.286 | Acc: 16.127% (289/1792)              
 [=====>...........................................................] 8/88   Step: 952ms | Tot: 7s915ms | Loss: 2.269 | Acc: 17.139% (351/2048)              
 [=====>...........................................................] 9/88   Step: 1s53ms | Tot: 8s968ms | Loss: 2.233 | Acc: 17.708% (408/2304)              
 [======>..........................................................] 10/88   Step: 951ms | Tot: 9s920ms | Loss: 2.223 | Acc: 18.438% (472/2560)              
 [=======>.........................................................] 11/88   Step: 947ms | Tot: 10s868ms | Loss: 2.208 | Acc: 18.821% (530/2816)              
 [========>........................................................] 12/88   Step: 948ms | Tot: 11s817ms | Loss: 2.203 | Acc: 19.173% (589/3072)              
 [========>........................................................] 13/88   Step: 981ms | Tot: 12s799ms | Loss: 2.190 | Acc: 19.772% (658/3328)              
 [=========>.......................................................] 14/88   Step: 1s58ms | Tot: 13s858ms | Loss: 2.176 | Acc: 20.312% (728/3584)              
 [====================================>............................] 51/88   Step: 1s61ms | Tot: 50s263ms | Loss: 1.984 | Acc: 27.528% (3594/13056)              
 [=====================================>...........................] 52/88   Step: 951ms | Tot: 51s215ms | Loss: 1.982 | Acc: 27.592% (3673/13312)              
 [======================================>..........................] 53/88   Step: 954ms | Tot: 52s169ms | Loss: 1.977 | Acc: 27.742% (3764/13568)              
 [=======================================>.........................] 54/88   Step: 969ms | Tot: 53s138ms | Loss: 1.973 | Acc: 27.792% (3842/13824)              
 [=======================================>.........................] 55/88   Step: 950ms | Tot: 54s89ms | Loss: 1.969 | Acc: 27.898% (3928/14080)              
 [========================================>........................] 56/88   Step: 1s57ms | Tot: 55s146ms | Loss: 1.967 | Acc: 28.027% (4018/14336)              
 [=========================================>.......................] 57/88   Step: 958ms | Tot: 56s104ms | Loss: 1.962 | Acc: 28.248% (4122/14592)              
 [==========================================>......................] 58/88   Step: 957ms | Tot: 57s62ms | Loss: 1.959 | Acc: 28.408% (4218/14848)              
 [==========================================>......................] 59/88   Step: 951ms | Tot: 58s14ms | Loss: 1.956 | Acc: 28.555% (4313/15104)              
 [===========================================>.....................] 60/88   Step: 1s56ms | Tot: 59s70ms | Loss: 1.950 | Acc: 28.717% (4411/15360)              
 [============================================>....................] 61/88   Step: 954ms | Tot: 1m24ms | Loss: 1.946 | Acc: 28.893% (4512/15616)              
 [=============================================>...................] 62/88   Step: 954ms | Tot: 1m979ms | Loss: 1.943 | Acc: 29.064% (4613/15872)              
 [=============================================>...................] 63/88   Step: 950ms | Tot: 1m1s | Loss: 1.939 | Acc: 29.204% (4710/16128)              
 [==============================================>..................] 64/88   Step: 970ms | Tot: 1m2s | Loss: 1.932 | Acc: 29.425% (4821/16384)              
 [===============================================>.................] 65/88   Step: 1s63ms | Tot: 1m3s | Loss: 1.928 | Acc: 29.507% (4910/16640)              
 [================================================>................] 66/88   Step: 958ms | Tot: 1m4s | Loss: 1.923 | Acc: 29.664% (5012/16896)              
