cifar100 loaded
There are 40000 training samples and 10000 validation samples
There are 10000 test samples.
This is records for stage 2
Train with the wcl selected dataset (by weighted the boundary points).
load parameters
Now try to run the WCL algorithm, by scaling up boundary sample scores
Scale up the boundary sample scores to 1
Start to select 12000 samples for a fair comparison at each subset.
Selected 12000 samples from all the classes
Use multiple GPU to train the network.
Use 100 epochs

Epoch: 0
 [===>.............................................................] 3/40   Step: 415ms | Tot: 835ms | Loss: 1.782 | Acc: 60.938% (468/768)              
 [====>............................................................] 4/40   Step: 414ms | Tot: 1s250ms | Loss: 1.788 | Acc: 61.328% (628/1024)              
 [======>..........................................................] 5/40   Step: 573ms | Tot: 1s824ms | Loss: 1.843 | Acc: 60.547% (775/1280)              
 [========>........................................................] 6/40   Step: 418ms | Tot: 2s242ms | Loss: 1.862 | Acc: 60.286% (926/1536)              
 [=========>.......................................................] 7/40   Step: 415ms | Tot: 2s657ms | Loss: 1.875 | Acc: 59.766% (1071/1792)              
 [===========>.....................................................] 8/40   Step: 414ms | Tot: 3s72ms | Loss: 1.886 | Acc: 60.059% (1230/2048)              
 [=============>...................................................] 9/40   Step: 415ms | Tot: 3s487ms | Loss: 1.874 | Acc: 59.809% (1378/2304)              
 [==============>..................................................] 10/40   Step: 521ms | Tot: 4s9ms | Loss: 1.860 | Acc: 59.883% (1533/2560)              
 [================>................................................] 11/40   Step: 414ms | Tot: 4s424ms | Loss: 1.848 | Acc: 60.050% (1691/2816)              
 [=================>...............................................] 12/40   Step: 414ms | Tot: 4s838ms | Loss: 1.850 | Acc: 60.286% (1852/3072)              
 [===================>.............................................] 13/40   Step: 414ms | Tot: 5s253ms | Loss: 1.849 | Acc: 60.427% (2011/3328)              
 [=====================>...........................................] 14/40   Step: 413ms | Tot: 5s667ms | Loss: 1.861 | Acc: 60.100% (2154/3584)              
 [======================>..........................................] 15/40   Step: 416ms | Tot: 6s83ms | Loss: 1.866 | Acc: 59.974% (2303/3840)              
 [========================>........................................] 16/40   Step: 530ms | Tot: 6s614ms | Loss: 1.870 | Acc: 59.839% (2451/4096)              
 [==========================>......................................] 17/40   Step: 422ms | Tot: 7s36ms | Loss: 1.864 | Acc: 59.972% (2610/4352)              
 [===========================>.....................................] 18/40   Step: 417ms | Tot: 7s453ms | Loss: 1.861 | Acc: 59.918% (2761/4608)              
 [=============================>...................................] 19/40   Step: 416ms | Tot: 7s869ms | Loss: 1.865 | Acc: 59.868% (2912/4864)              
 [==============================>..................................] 20/40   Step: 414ms | Tot: 8s284ms | Loss: 1.872 | Acc: 59.648% (3054/5120)              
 [================================>................................] 21/40   Step: 415ms | Tot: 8s700ms | Loss: 1.868 | Acc: 59.859% (3218/5376)              
