cifar100 loaded
There are 40000 training samples and 10000 validation samples
There are 10000 test samples.
This is records for stage 2
Train with the wcl selected dataset (by weighted the boundary points).
load parameters
Now try to run the WCL algorithm, by scaling up boundary sample scores
Scale up the boundary sample scores to 1
Start to select 20000 samples for a fair comparison at each subset.
Selected 20000 samples from all the classes
Use multiple GPU to train the network.
Use 100 epochs

Epoch: 0
 [>................................................................] 1/79   Step: 49s298ms | Tot: 0ms | Loss: 0.871 | Acc: 76.953% (197/256)              
 [>................................................................] 2/79   Step: 2s32ms | Tot: 2s32ms | Loss: 0.787 | Acc: 79.102% (405/512)              
 [=>...............................................................] 3/79   Step: 992ms | Tot: 3s25ms | Loss: 0.864 | Acc: 77.083% (592/768)              
 [==>..............................................................] 4/79   Step: 1s175ms | Tot: 4s200ms | Loss: 0.838 | Acc: 78.711% (806/1024)              
 [===>.............................................................] 5/79   Step: 978ms | Tot: 5s178ms | Loss: 0.837 | Acc: 78.672% (1007/1280)              
 [====>............................................................] 6/79   Step: 983ms | Tot: 6s162ms | Loss: 0.886 | Acc: 78.320% (1203/1536)              
 [====>............................................................] 7/79   Step: 978ms | Tot: 7s141ms | Loss: 0.884 | Acc: 78.404% (1405/1792)              
 [=====>...........................................................] 8/79   Step: 980ms | Tot: 8s121ms | Loss: 0.889 | Acc: 78.271% (1603/2048)              
 [======>..........................................................] 9/79   Step: 1s81ms | Tot: 9s202ms | Loss: 0.879 | Acc: 78.342% (1805/2304)              
 [=======>.........................................................] 10/79   Step: 976ms | Tot: 10s179ms | Loss: 0.842 | Acc: 79.375% (2032/2560)              
 [========>........................................................] 11/79   Step: 980ms | Tot: 11s159ms | Loss: 0.837 | Acc: 79.581% (2241/2816)              
 [=========>.......................................................] 12/79   Step: 991ms | Tot: 12s150ms | Loss: 0.825 | Acc: 79.948% (2456/3072)              
 [=========>.......................................................] 13/79   Step: 1s93ms | Tot: 13s244ms | Loss: 0.816 | Acc: 80.078% (2665/3328)              
 [==========>......................................................] 14/79   Step: 985ms | Tot: 14s229ms | Loss: 0.810 | Acc: 80.385% (2881/3584)              
 [===========>.....................................................] 15/79   Step: 980ms | Tot: 15s209ms | Loss: 0.809 | Acc: 80.417% (3088/3840)              
 [============>....................................................] 16/79   Step: 998ms | Tot: 16s208ms | Loss: 0.794 | Acc: 80.737% (3307/4096)              
 [=============>...................................................] 17/79   Step: 982ms | Tot: 17s191ms | Loss: 0.793 | Acc: 80.813% (3517/4352)              
 [=============>...................................................] 18/79   Step: 1s88ms | Tot: 18s279ms | Loss: 0.797 | Acc: 80.729% (3720/4608)              
 [==============>..................................................] 19/79   Step: 986ms | Tot: 19s265ms | Loss: 0.799 | Acc: 80.757% (3928/4864)              
 [===============>.................................................] 20/79   Step: 986ms | Tot: 20s252ms | Loss: 0.794 | Acc: 80.898% (4142/5120)              
 [================>................................................] 21/79   Step: 980ms | Tot: 21s233ms | Loss: 0.793 | Acc: 80.915% (4350/5376)              
 [=================>...............................................] 22/79   Step: 1s145ms | Tot: 22s378ms | Loss: 0.791 | Acc: 80.930% (4558/5632)              
 [==================>..............................................] 23/79   Step: 981ms | Tot: 23s359ms | Loss: 0.783 | Acc: 81.080% (4774/5888)              
 [==================>..............................................] 24/79   Step: 981ms | Tot: 24s341ms | Loss: 0.783 | Acc: 81.104% (4983/6144)              
 [===================>.............................................] 25/79   Step: 979ms | Tot: 25s320ms | Loss: 0.780 | Acc: 81.125% (5192/6400)              
 [====================>............................................] 26/79   Step: 972ms | Tot: 26s293ms | Loss: 0.777 | Acc: 81.145% (5401/6656)              
 [=====================>...........................................] 27/79   Step: 1s86ms | Tot: 27s379ms | Loss: 0.783 | Acc: 81.105% (5606/6912)              
 [======================>..........................................] 28/79   Step: 979ms | Tot: 28s359ms | Loss: 0.777 | Acc: 81.180% (5819/7168)              
 [=======================>.........................................] 29/79   Step: 978ms | Tot: 29s337ms | Loss: 0.768 | Acc: 81.331% (6038/7424)              
 [=======================>.........................................] 30/79   Step: 982ms | Tot: 30s320ms | Loss: 0.764 | Acc: 81.419% (6253/7680)              
 [========================>........................................] 31/79   Step: 980ms | Tot: 31s300ms | Loss: 0.761 | Acc: 81.515% (6469/7936)              
 [=========================>.......................................] 32/79   Step: 1s100ms | Tot: 32s400ms | Loss: 0.756 | Acc: 81.641% (6688/8192)              
 [==========================>......................................] 33/79   Step: 978ms | Tot: 33s379ms | Loss: 0.757 | Acc: 81.629% (6896/8448)              
 [===========================>.....................................] 34/79   Step: 990ms | Tot: 34s370ms | Loss: 0.756 | Acc: 81.698% (7111/8704)              
 [===========================>.....................................] 35/79   Step: 980ms | Tot: 35s350ms | Loss: 0.755 | Acc: 81.741% (7324/8960)              
 [============================>....................................] 36/79   Step: 981ms | Tot: 36s332ms | Loss: 0.750 | Acc: 81.868% (7545/9216)              
 [=============================>...................................] 37/79   Step: 1s91ms | Tot: 37s424ms | Loss: 0.747 | Acc: 81.883% (7756/9472)              
 [==============================>..................................] 38/79   Step: 984ms | Tot: 38s408ms | Loss: 0.744 | Acc: 81.887% (7966/9728)              
 [===============================>.................................] 39/79   Step: 977ms | Tot: 39s386ms | Loss: 0.742 | Acc: 81.941% (8181/9984)              
 [================================>................................] 40/79   Step: 979ms | Tot: 40s365ms | Loss: 0.744 | Acc: 81.846% (8381/10240)              
 [================================>................................] 41/79   Step: 982ms | Tot: 41s348ms | Loss: 0.744 | Acc: 81.831% (8589/10496)              
 [=================================>...............................] 42/79   Step: 1s139ms | Tot: 42s488ms | Loss: 0.743 | Acc: 81.855% (8801/10752)              
 [==================================>..............................] 43/79   Step: 985ms | Tot: 43s473ms | Loss: 0.737 | Acc: 82.004% (9027/11008)              
 [===================================>.............................] 44/79   Step: 983ms | Tot: 44s456ms | Loss: 0.739 | Acc: 81.916% (9227/11264)              
 [====================================>............................] 45/79   Step: 977ms | Tot: 45s433ms | Loss: 0.738 | Acc: 81.944% (9440/11520)              
 [=====================================>...........................] 46/79   Step: 1s80ms | Tot: 46s514ms | Loss: 0.736 | Acc: 81.997% (9656/11776)              
 [=====================================>...........................] 47/79   Step: 978ms | Tot: 47s493ms | Loss: 0.734 | Acc: 82.073% (9875/12032)              
 [======================================>..........................] 48/79   Step: 977ms | Tot: 48s470ms | Loss: 0.732 | Acc: 82.113% (10090/12288)              
 [=======================================>.........................] 49/79   Step: 985ms | Tot: 49s455ms | Loss: 0.729 | Acc: 82.151% (10305/12544)              
 [========================================>........................] 50/79   Step: 988ms | Tot: 50s444ms | Loss: 0.728 | Acc: 82.148% (10515/12800)              
 [=========================================>.......................] 51/79   Step: 1s84ms | Tot: 51s528ms | Loss: 0.728 | Acc: 82.131% (10723/13056)              
 [=========================================>.......................] 52/79   Step: 990ms | Tot: 52s518ms | Loss: 0.727 | Acc: 82.121% (10932/13312)              
 [==========================================>......................] 53/79   Step: 974ms | Tot: 53s492ms | Loss: 0.725 | Acc: 82.164% (11148/13568)              
 [===========================================>.....................] 54/79   Step: 977ms | Tot: 54s470ms | Loss: 0.722 | Acc: 82.219% (11366/13824)              
 [============================================>....................] 55/79   Step: 1s84ms | Tot: 55s554ms | Loss: 0.720 | Acc: 82.237% (11579/14080)              
 [=============================================>...................] 56/79   Step: 977ms | Tot: 56s532ms | Loss: 0.718 | Acc: 82.310% (11800/14336)              
 [==============================================>..................] 57/79   Step: 981ms | Tot: 57s514ms | Loss: 0.715 | Acc: 82.360% (12018/14592)              
 [==============================================>..................] 58/79   Step: 981ms | Tot: 58s496ms | Loss: 0.716 | Acc: 82.415% (12237/14848)              
 [===============================================>.................] 59/79   Step: 977ms | Tot: 59s473ms | Loss: 0.717 | Acc: 82.402% (12446/15104)              
 [================================================>................] 60/79   Step: 1s98ms | Tot: 1m572ms | Loss: 0.719 | Acc: 82.318% (12644/15360)              
 [=================================================>...............] 61/79   Step: 982ms | Tot: 1m1s | Loss: 0.720 | Acc: 82.287% (12850/15616)              
 [==================================================>..............] 62/79   Step: 996ms | Tot: 1m2s | Loss: 0.720 | Acc: 82.296% (13062/15872)              
 [===================================================>.............] 63/79   Step: 977ms | Tot: 1m3s | Loss: 0.720 | Acc: 82.304% (13274/16128)              
 [===================================================>.............] 64/79   Step: 1s93ms | Tot: 1m4s | Loss: 0.718 | Acc: 82.343% (13491/16384)              
 [====================================================>............] 65/79   Step: 983ms | Tot: 1m5s | Loss: 0.716 | Acc: 82.386% (13709/16640)              
 [=====================================================>...........] 66/79   Step: 981ms | Tot: 1m6s | Loss: 0.713 | Acc: 82.434% (13928/16896)              
 [======================================================>..........] 67/79   Step: 979ms | Tot: 1m7s | Loss: 0.713 | Acc: 82.439% (14140/17152)              
 [=======================================================>.........] 68/79   Step: 978ms | Tot: 1m8s | Loss: 0.712 | Acc: 82.502% (14362/17408)              
 [=======================================================>.........] 69/79   Step: 1s126ms | Tot: 1m9s | Loss: 0.716 | Acc: 82.439% (14562/17664)              
 [========================================================>........] 70/79   Step: 977ms | Tot: 1m10s | Loss: 0.714 | Acc: 82.478% (14780/17920)              
 [=========================================================>.......] 71/79   Step: 978ms | Tot: 1m11s | Loss: 0.714 | Acc: 82.488% (14993/18176)              
 [==========================================================>......] 72/79   Step: 988ms | Tot: 1m12s | Loss: 0.713 | Acc: 82.547% (15215/18432)              
 [===========================================================>.....] 73/79   Step: 975ms | Tot: 1m13s | Loss: 0.711 | Acc: 82.593% (15435/18688)              
 [============================================================>....] 74/79   Step: 1s88ms | Tot: 1m14s | Loss: 0.710 | Acc: 82.617% (15651/18944)              
 [============================================================>....] 75/79   Step: 892ms | Tot: 1m15s | Loss: 0.709 | Acc: 82.641% (15867/19200)              
 [=============================================================>...] 76/79   Step: 876ms | Tot: 1m16s | Loss: 0.709 | Acc: 82.633% (16077/19456)              
 [==============================================================>..] 77/79   Step: 867ms | Tot: 1m17s | Loss: 0.709 | Acc: 82.665% (16295/19712)              
 [===============================================================>.] 78/79   Step: 966ms | Tot: 1m18s | Loss: 0.707 | Acc: 82.707% (16515/19968)              
 [================================================================>] 79/79   Step: 7s277ms | Tot: 1m25s | Loss: 0.708 | Acc: 82.675% (16535/20000)
 [>................................................................] 1/40   Step: 1s95ms | Tot: 0ms | Loss: 1.107 | Acc: 71.875% (184/256)              
 [=>...............................................................] 2/40   Step: 443ms | Tot: 443ms | Loss: 1.144 | Acc: 72.852% (373/512)              
 [===>.............................................................] 3/40   Step: 431ms | Tot: 874ms | Loss: 1.209 | Acc: 71.354% (548/768)              
 [====>............................................................] 4/40   Step: 430ms | Tot: 1s304ms | Loss: 1.258 | Acc: 69.922% (716/1024)              
 [======>..........................................................] 5/40   Step: 590ms | Tot: 1s894ms | Loss: 1.329 | Acc: 68.906% (882/1280)              
 [========>........................................................] 6/40   Step: 434ms | Tot: 2s329ms | Loss: 1.331 | Acc: 68.815% (1057/1536)              
 [=========>.......................................................] 7/40   Step: 426ms | Tot: 2s756ms | Loss: 1.334 | Acc: 68.694% (1231/1792)              
 [===========>.....................................................] 8/40   Step: 427ms | Tot: 3s183ms | Loss: 1.347 | Acc: 68.311% (1399/2048)              
 [=============>...................................................] 9/40   Step: 428ms | Tot: 3s611ms | Loss: 1.359 | Acc: 68.229% (1572/2304)              
 [==============>..................................................] 10/40   Step: 542ms | Tot: 4s154ms | Loss: 1.356 | Acc: 68.398% (1751/2560)              
 [================>................................................] 11/40   Step: 428ms | Tot: 4s583ms | Loss: 1.366 | Acc: 68.217% (1921/2816)              
 [=================>...............................................] 12/40   Step: 434ms | Tot: 5s17ms | Loss: 1.357 | Acc: 68.099% (2092/3072)              
 [===================>.............................................] 13/40   Step: 447ms | Tot: 5s465ms | Loss: 1.354 | Acc: 68.299% (2273/3328)              
 [=====================>...........................................] 14/40   Step: 432ms | Tot: 5s897ms | Loss: 1.368 | Acc: 68.164% (2443/3584)              
 [======================>..........................................] 15/40   Step: 434ms | Tot: 6s332ms | Loss: 1.367 | Acc: 68.099% (2615/3840)              
 [========================>........................................] 16/40   Step: 535ms | Tot: 6s867ms | Loss: 1.371 | Acc: 68.115% (2790/4096)              
 [==========================>......................................] 17/40   Step: 429ms | Tot: 7s296ms | Loss: 1.375 | Acc: 68.130% (2965/4352)              
 [===========================>.....................................] 18/40   Step: 429ms | Tot: 7s726ms | Loss: 1.367 | Acc: 68.142% (3140/4608)              
 [=============================>...................................] 19/40   Step: 430ms | Tot: 8s156ms | Loss: 1.370 | Acc: 68.195% (3317/4864)              
 [==============================>..................................] 20/40   Step: 427ms | Tot: 8s584ms | Loss: 1.366 | Acc: 68.242% (3494/5120)              
 [================================>................................] 21/40   Step: 428ms | Tot: 9s13ms | Loss: 1.377 | Acc: 68.155% (3664/5376)              
 [==================================>..............................] 22/40   Step: 535ms | Tot: 9s548ms | Loss: 1.385 | Acc: 68.040% (3832/5632)              
 [===================================>.............................] 23/40   Step: 426ms | Tot: 9s975ms | Loss: 1.394 | Acc: 67.816% (3993/5888)              
 [=====================================>...........................] 24/40   Step: 431ms | Tot: 10s407ms | Loss: 1.401 | Acc: 67.627% (4155/6144)              
 [=======================================>.........................] 25/40   Step: 430ms | Tot: 10s837ms | Loss: 1.398 | Acc: 67.672% (4331/6400)              
 [========================================>........................] 26/40   Step: 433ms | Tot: 11s271ms | Loss: 1.403 | Acc: 67.593% (4499/6656)              
 [==========================================>......................] 27/40   Step: 428ms | Tot: 11s699ms | Loss: 1.402 | Acc: 67.535% (4668/6912)              
 [===========================================>.....................] 28/40   Step: 531ms | Tot: 12s230ms | Loss: 1.396 | Acc: 67.690% (4852/7168)              
 [=============================================>...................] 29/40   Step: 432ms | Tot: 12s663ms | Loss: 1.392 | Acc: 67.699% (5026/7424)              
 [===============================================>.................] 30/40   Step: 430ms | Tot: 13s93ms | Loss: 1.386 | Acc: 67.721% (5201/7680)              
 [================================================>................] 31/40   Step: 431ms | Tot: 13s525ms | Loss: 1.390 | Acc: 67.679% (5371/7936)              
 [==================================================>..............] 32/40   Step: 427ms | Tot: 13s952ms | Loss: 1.392 | Acc: 67.761% (5551/8192)              
 [====================================================>............] 33/40   Step: 424ms | Tot: 14s376ms | Loss: 1.398 | Acc: 67.696% (5719/8448)              
 [=====================================================>...........] 34/40   Step: 531ms | Tot: 14s908ms | Loss: 1.400 | Acc: 67.659% (5889/8704)              
 [=======================================================>.........] 35/40   Step: 437ms | Tot: 15s345ms | Loss: 1.398 | Acc: 67.690% (6065/8960)              
 [========================================================>........] 36/40   Step: 383ms | Tot: 15s728ms | Loss: 1.390 | Acc: 67.741% (6243/9216)              
 [==========================================================>......] 37/40   Step: 376ms | Tot: 16s105ms | Loss: 1.391 | Acc: 67.715% (6414/9472)              
 [============================================================>....] 38/40   Step: 377ms | Tot: 16s483ms | Loss: 1.386 | Acc: 67.835% (6599/9728)              
 [=============================================================>...] 39/40   Step: 377ms | Tot: 16s860ms | Loss: 1.383 | Acc: 67.849% (6774/9984)              
 [===============================================================>.] 40/40   Step: 2s479ms | Tot: 19s340ms | Loss: 1.382 | Acc: 67.870% (6787/10000)
Saving with better validation accuracy model: 67.870..

Epoch: 1
 [>................................................................] 1/79   Step: 2s997ms | Tot: 0ms | Loss: 0.544 | Acc: 85.156% (218/256)              
 [>................................................................] 2/79   Step: 1s4ms | Tot: 1s5ms | Loss: 0.573 | Acc: 85.352% (437/512)              
 [=>...............................................................] 3/79   Step: 992ms | Tot: 1s997ms | Loss: 0.575 | Acc: 85.156% (654/768)              
 [==>..............................................................] 4/79   Step: 1s2ms | Tot: 3s | Loss: 0.549 | Acc: 86.133% (882/1024)              
 [===>.............................................................] 5/79   Step: 1s151ms | Tot: 4s151ms | Loss: 0.546 | Acc: 86.250% (1104/1280)              
 [====>............................................................] 6/79   Step: 1s4ms | Tot: 5s156ms | Loss: 0.557 | Acc: 86.133% (1323/1536)              
 [====>............................................................] 7/79   Step: 998ms | Tot: 6s155ms | Loss: 0.542 | Acc: 86.496% (1550/1792)              
 [=====>...........................................................] 8/79   Step: 986ms | Tot: 7s141ms | Loss: 0.520 | Acc: 86.768% (1777/2048)              
 [======>..........................................................] 9/79   Step: 1s104ms | Tot: 8s245ms | Loss: 0.516 | Acc: 86.936% (2003/2304)              
 [=======>.........................................................] 10/79   Step: 992ms | Tot: 9s238ms | Loss: 0.513 | Acc: 86.953% (2226/2560)              
 [========>........................................................] 11/79   Step: 990ms | Tot: 10s228ms | Loss: 0.510 | Acc: 87.216% (2456/2816)              
 [=========>.......................................................] 12/79   Step: 992ms | Tot: 11s221ms | Loss: 0.504 | Acc: 87.467% (2687/3072)              
 [=========>.......................................................] 13/79   Step: 985ms | Tot: 12s206ms | Loss: 0.519 | Acc: 86.959% (2894/3328)              
 [==========>......................................................] 14/79   Step: 1s134ms | Tot: 13s340ms | Loss: 0.521 | Acc: 86.830% (3112/3584)              
 [===========>.....................................................] 15/79   Step: 977ms | Tot: 14s318ms | Loss: 0.523 | Acc: 86.849% (3335/3840)              
 [============>....................................................] 16/79   Step: 976ms | Tot: 15s295ms | Loss: 0.520 | Acc: 86.768% (3554/4096)              
 [=============>...................................................] 17/79   Step: 975ms | Tot: 16s270ms | Loss: 0.525 | Acc: 86.604% (3769/4352)              
 [=============>...................................................] 18/79   Step: 1s81ms | Tot: 17s351ms | Loss: 0.525 | Acc: 86.675% (3994/4608)              
 [==============>..................................................] 19/79   Step: 977ms | Tot: 18s329ms | Loss: 0.526 | Acc: 86.595% (4212/4864)              
 [===============>.................................................] 20/79   Step: 983ms | Tot: 19s312ms | Loss: 0.522 | Acc: 86.758% (4442/5120)              
 [================>................................................] 21/79   Step: 976ms | Tot: 20s289ms | Loss: 0.520 | Acc: 86.849% (4669/5376)              
 [=================>...............................................] 22/79   Step: 977ms | Tot: 21s266ms | Loss: 0.519 | Acc: 86.843% (4891/5632)              
 [==================>..............................................] 23/79   Step: 1s95ms | Tot: 22s362ms | Loss: 0.521 | Acc: 86.787% (5110/5888)              
 [==================>..............................................] 24/79   Step: 992ms | Tot: 23s355ms | Loss: 0.518 | Acc: 86.800% (5333/6144)              
 [===================>.............................................] 25/79   Step: 977ms | Tot: 24s332ms | Loss: 0.517 | Acc: 86.812% (5556/6400)              
 [====================>............................................] 26/79   Step: 977ms | Tot: 25s310ms | Loss: 0.519 | Acc: 86.794% (5777/6656)              
 [=====================>...........................................] 27/79   Step: 982ms | Tot: 26s293ms | Loss: 0.521 | Acc: 86.762% (5997/6912)              
 [======================>..........................................] 28/79   Step: 1s83ms | Tot: 27s376ms | Loss: 0.522 | Acc: 86.719% (6216/7168)              
 [=======================>.........................................] 29/79   Step: 981ms | Tot: 28s357ms | Loss: 0.522 | Acc: 86.678% (6435/7424)              
 [=======================>.........................................] 30/79   Step: 979ms | Tot: 29s337ms | Loss: 0.524 | Acc: 86.549% (6647/7680)              
 [========================>........................................] 31/79   Step: 981ms | Tot: 30s319ms | Loss: 0.520 | Acc: 86.618% (6874/7936)              
 [=========================>.......................................] 32/79   Step: 1s92ms | Tot: 31s411ms | Loss: 0.524 | Acc: 86.560% (7091/8192)              
 [==========================>......................................] 33/79   Step: 983ms | Tot: 32s394ms | Loss: 0.524 | Acc: 86.506% (7308/8448)              
 [===========================>.....................................] 34/79   Step: 995ms | Tot: 33s390ms | Loss: 0.522 | Acc: 86.523% (7531/8704)              
 [===========================>.....................................] 35/79   Step: 980ms | Tot: 34s371ms | Loss: 0.521 | Acc: 86.496% (7750/8960)              
 [============================>....................................] 36/79   Step: 978ms | Tot: 35s349ms | Loss: 0.517 | Acc: 86.632% (7984/9216)              
 [=============================>...................................] 37/79   Step: 1s86ms | Tot: 36s436ms | Loss: 0.517 | Acc: 86.645% (8207/9472)              
 [==============================>..................................] 38/79   Step: 980ms | Tot: 37s416ms | Loss: 0.513 | Acc: 86.708% (8435/9728)              
 [===============================>.................................] 39/79   Step: 983ms | Tot: 38s400ms | Loss: 0.511 | Acc: 86.719% (8658/9984)              
 [================================>................................] 40/79   Step: 981ms | Tot: 39s381ms | Loss: 0.511 | Acc: 86.729% (8881/10240)              
 [================================>................................] 41/79   Step: 1s83ms | Tot: 40s465ms | Loss: 0.515 | Acc: 86.633% (9093/10496)              
 [=================================>...............................] 42/79   Step: 980ms | Tot: 41s446ms | Loss: 0.514 | Acc: 86.663% (9318/10752)              
 [==================================>..............................] 43/79   Step: 980ms | Tot: 42s426ms | Loss: 0.518 | Acc: 86.582% (9531/11008)              
 [===================================>.............................] 44/79   Step: 994ms | Tot: 43s420ms | Loss: 0.520 | Acc: 86.506% (9744/11264)              
 [====================================>............................] 45/79   Step: 977ms | Tot: 44s397ms | Loss: 0.521 | Acc: 86.441% (9958/11520)              
 [=====================================>...........................] 46/79   Step: 1s85ms | Tot: 45s482ms | Loss: 0.522 | Acc: 86.413% (10176/11776)              
 [=====================================>...........................] 47/79   Step: 979ms | Tot: 46s462ms | Loss: 0.520 | Acc: 86.469% (10404/12032)              
 [======================================>..........................] 48/79   Step: 977ms | Tot: 47s439ms | Loss: 0.522 | Acc: 86.442% (10622/12288)              
 [=======================================>.........................] 49/79   Step: 977ms | Tot: 48s416ms | Loss: 0.520 | Acc: 86.519% (10853/12544)              
 [========================================>........................] 50/79   Step: 977ms | Tot: 49s394ms | Loss: 0.521 | Acc: 86.516% (11074/12800)              
 [=========================================>.......................] 51/79   Step: 1s81ms | Tot: 50s475ms | Loss: 0.521 | Acc: 86.520% (11296/13056)              
 [=========================================>.......................] 52/79   Step: 981ms | Tot: 51s457ms | Loss: 0.520 | Acc: 86.531% (11519/13312)              
 [==========================================>......................] 53/79   Step: 976ms | Tot: 52s433ms | Loss: 0.520 | Acc: 86.534% (11741/13568)              
