cifar100 loaded
There are 40000 training samples and 10000 validation samples
There are 10000 test samples.
This is records for stage 2
Train with the wcl selected dataset.
load parameters
Now try to run the WCL algorithm
Selected 12258 boundary instances.
Select 50.00 percent samples, 2785 overlapping with the pre-selected boundary samples
The unique selected subset size is: 29470
Use multiple GPU to train the network.
Use 100 epochs

Epoch: 0
 [>................................................................] 1/116   Step: 1m191ms | Tot: 0ms | Loss: 0.466 | Acc: 88.672% (227/256)              
 [>................................................................] 2/116   Step: 1s976ms | Tot: 1s977ms | Loss: 0.474 | Acc: 88.086% (451/512)              
 [=>...............................................................] 3/116   Step: 978ms | Tot: 2s955ms | Loss: 0.475 | Acc: 88.021% (676/768)              
 [=>...............................................................] 4/116   Step: 1s123ms | Tot: 4s79ms | Loss: 0.462 | Acc: 87.695% (898/1024)              
 [==>..............................................................] 5/116   Step: 949ms | Tot: 5s28ms | Loss: 0.467 | Acc: 87.188% (1116/1280)              
 [==>..............................................................] 6/116   Step: 950ms | Tot: 5s979ms | Loss: 0.474 | Acc: 87.109% (1338/1536)              
 [===>.............................................................] 7/116   Step: 950ms | Tot: 6s929ms | Loss: 0.467 | Acc: 87.556% (1569/1792)              
 [===>.............................................................] 8/116   Step: 950ms | Tot: 7s880ms | Loss: 0.461 | Acc: 87.549% (1793/2048)              
 [====>............................................................] 9/116   Step: 1s49ms | Tot: 8s929ms | Loss: 0.464 | Acc: 87.717% (2021/2304)              
 [=====>...........................................................] 10/116   Step: 952ms | Tot: 9s882ms | Loss: 0.456 | Acc: 87.891% (2250/2560)              
 [=====>...........................................................] 11/116   Step: 947ms | Tot: 10s830ms | Loss: 0.456 | Acc: 87.891% (2475/2816)              
 [======>..........................................................] 12/116   Step: 949ms | Tot: 11s779ms | Loss: 0.446 | Acc: 88.118% (2707/3072)              
 [======>..........................................................] 13/116   Step: 1s79ms | Tot: 12s859ms | Loss: 0.448 | Acc: 88.221% (2936/3328)              
 [=======>.........................................................] 14/116   Step: 959ms | Tot: 13s819ms | Loss: 0.447 | Acc: 88.281% (3164/3584)              
 [=======>.........................................................] 15/116   Step: 953ms | Tot: 14s772ms | Loss: 0.440 | Acc: 88.385% (3394/3840)              
 [===========================>.....................................] 50/116   Step: 948ms | Tot: 48s949ms | Loss: 0.348 | Acc: 90.531% (11588/12800)              
 [============================>....................................] 51/116   Step: 1s52ms | Tot: 50s1ms | Loss: 0.348 | Acc: 90.548% (11822/13056)              
 [============================>....................................] 52/116   Step: 946ms | Tot: 50s948ms | Loss: 0.346 | Acc: 90.595% (12060/13312)              
 [=============================>...................................] 53/116   Step: 955ms | Tot: 51s904ms | Loss: 0.346 | Acc: 90.588% (12291/13568)              
 [=============================>...................................] 54/116   Step: 968ms | Tot: 52s872ms | Loss: 0.345 | Acc: 90.625% (12528/13824)              
 [==============================>..................................] 55/116   Step: 947ms | Tot: 53s820ms | Loss: 0.344 | Acc: 90.653% (12764/14080)              
 [==============================>..................................] 56/116   Step: 1s51ms | Tot: 54s871ms | Loss: 0.343 | Acc: 90.667% (12998/14336)              
 [===============================>.................................] 57/116   Step: 947ms | Tot: 55s818ms | Loss: 0.344 | Acc: 90.666% (13230/14592)              
 [===============================>.................................] 58/116   Step: 945ms | Tot: 56s764ms | Loss: 0.341 | Acc: 90.726% (13471/14848)              
 [================================>................................] 59/116   Step: 948ms | Tot: 57s713ms | Loss: 0.340 | Acc: 90.771% (13710/15104)              
 [=================================>...............................] 60/116   Step: 1s51ms | Tot: 58s764ms | Loss: 0.338 | Acc: 90.840% (13953/15360)              
 [=================================>...............................] 61/116   Step: 949ms | Tot: 59s714ms | Loss: 0.337 | Acc: 90.868% (14190/15616)              
 [==================================>..............................] 62/116   Step: 954ms | Tot: 1m668ms | Loss: 0.336 | Acc: 90.921% (14431/15872)              
 [==================================>..............................] 63/116   Step: 957ms | Tot: 1m1s | Loss: 0.336 | Acc: 90.941% (14667/16128)              
 [===================================>.............................] 64/116   Step: 968ms | Tot: 1m2s | Loss: 0.334 | Acc: 90.961% (14903/16384)              
 [===================================>.............................] 65/116   Step: 1s54ms | Tot: 1m3s | Loss: 0.333 | Acc: 91.010% (15144/16640)              
 [====================================>............................] 66/116   Step: 949ms | Tot: 1m4s | Loss: 0.332 | Acc: 91.016% (15378/16896)              
