cifar100 loaded
There are 40000 training samples and 10000 validation samples
There are 10000 test samples.
This is records for stage 3
Train with the wcl selected dataset (by weighted the boundary points).
load parameters
Now try to run the WCL algorithm, by scaling up boundary sample scores
Scale up the boundary sample scores to 1
Start to select 12000 samples for a fair comparison.
Use multiple GPU to train the network.
Use 100 epochs

Epoch: 0
 [===>.............................................................] 3/40   Step: 428ms | Tot: 860ms | Loss: 1.563 | Acc: 66.797% (513/768)              
 [====>............................................................] 4/40   Step: 618ms | Tot: 1s479ms | Loss: 1.557 | Acc: 66.797% (684/1024)              
 [======>..........................................................] 5/40   Step: 427ms | Tot: 1s906ms | Loss: 1.605 | Acc: 65.781% (842/1280)              
 [========>........................................................] 6/40   Step: 426ms | Tot: 2s333ms | Loss: 1.595 | Acc: 66.146% (1016/1536)              
 [=========>.......................................................] 7/40   Step: 430ms | Tot: 2s764ms | Loss: 1.632 | Acc: 65.234% (1169/1792)              
 [===========>.....................................................] 8/40   Step: 428ms | Tot: 3s192ms | Loss: 1.653 | Acc: 65.137% (1334/2048)              
 [=============>...................................................] 9/40   Step: 427ms | Tot: 3s620ms | Loss: 1.645 | Acc: 65.408% (1507/2304)              
 [==============>..................................................] 10/40   Step: 542ms | Tot: 4s163ms | Loss: 1.624 | Acc: 65.664% (1681/2560)              
 [================>................................................] 11/40   Step: 424ms | Tot: 4s588ms | Loss: 1.612 | Acc: 65.767% (1852/2816)              
 [=================>...............................................] 12/40   Step: 425ms | Tot: 5s14ms | Loss: 1.613 | Acc: 65.690% (2018/3072)              
 [===================>.............................................] 13/40   Step: 424ms | Tot: 5s438ms | Loss: 1.622 | Acc: 65.475% (2179/3328)              
 [=====================>...........................................] 14/40   Step: 423ms | Tot: 5s862ms | Loss: 1.646 | Acc: 65.179% (2336/3584)              
 [======================>..........................................] 15/40   Step: 438ms | Tot: 6s300ms | Loss: 1.638 | Acc: 65.391% (2511/3840)              
 [========================>........................................] 16/40   Step: 529ms | Tot: 6s830ms | Loss: 1.643 | Acc: 65.259% (2673/4096)              
 [==========================>......................................] 17/40   Step: 423ms | Tot: 7s253ms | Loss: 1.653 | Acc: 65.280% (2841/4352)              
 [===========================>.....................................] 18/40   Step: 424ms | Tot: 7s678ms | Loss: 1.647 | Acc: 65.148% (3002/4608)              
 [=============================>...................................] 19/40   Step: 423ms | Tot: 8s101ms | Loss: 1.646 | Acc: 64.988% (3161/4864)              
 [==============================>..................................] 20/40   Step: 423ms | Tot: 8s525ms | Loss: 1.651 | Acc: 64.863% (3321/5120)              
 [================================>................................] 21/40   Step: 424ms | Tot: 8s950ms | Loss: 1.650 | Acc: 64.974% (3493/5376)              
 [==================================>..............................] 22/40   Step: 528ms | Tot: 9s478ms | Loss: 1.657 | Acc: 64.755% (3647/5632)              
 [===================================>.............................] 23/40   Step: 424ms | Tot: 9s903ms | Loss: 1.670 | Acc: 64.538% (3800/5888)              
 [=====================================>...........................] 24/40   Step: 425ms | Tot: 10s328ms | Loss: 1.685 | Acc: 64.372% (3955/6144)              
 [=======================================>.........................] 25/40   Step: 427ms | Tot: 10s755ms | Loss: 1.684 | Acc: 64.297% (4115/6400)              
 [========================================>........................] 26/40   Step: 428ms | Tot: 11s183ms | Loss: 1.686 | Acc: 64.333% (4282/6656)              
 [==========================================>......................] 27/40   Step: 428ms | Tot: 11s612ms | Loss: 1.687 | Acc: 64.265% (4442/6912)              
 [===========================================>.....................] 28/40   Step: 539ms | Tot: 12s151ms | Loss: 1.679 | Acc: 64.397% (4616/7168)              
 [=============================================>...................] 29/40   Step: 427ms | Tot: 12s578ms | Loss: 1.678 | Acc: 64.426% (4783/7424)              
 [===============================================>.................] 30/40   Step: 423ms | Tot: 13s1ms | Loss: 1.674 | Acc: 64.570% (4959/7680)              
 [================================================>................] 31/40   Step: 425ms | Tot: 13s427ms | Loss: 1.686 | Acc: 64.441% (5114/7936)              
 [==================================================>..............] 32/40   Step: 424ms | Tot: 13s851ms | Loss: 1.686 | Acc: 64.514% (5285/8192)              
 [====================================================>............] 33/40   Step: 424ms | Tot: 14s275ms | Loss: 1.685 | Acc: 64.406% (5441/8448)              
 [=====================================================>...........] 34/40   Step: 529ms | Tot: 14s804ms | Loss: 1.700 | Acc: 64.246% (5592/8704)              
 [=======================================================>.........] 35/40   Step: 423ms | Tot: 15s228ms | Loss: 1.697 | Acc: 64.286% (5760/8960)              
 [========================================================>........] 36/40   Step: 383ms | Tot: 15s611ms | Loss: 1.697 | Acc: 64.225% (5919/9216)              
 [==========================================================>......] 37/40   Step: 377ms | Tot: 15s989ms | Loss: 1.703 | Acc: 64.136% (6075/9472)              
 [============================================================>....] 38/40   Step: 396ms | Tot: 16s385ms | Loss: 1.692 | Acc: 64.299% (6255/9728)              
 [=============================================================>...] 39/40   Step: 378ms | Tot: 16s764ms | Loss: 1.692 | Acc: 64.323% (6422/9984)              
 [===============================================================>.] 40/40   Step: 2s433ms | Tot: 19s197ms | Loss: 1.691 | Acc: 64.340% (6434/10000)
Saving with better validation accuracy model: 64.340..

Epoch: 1
 [>................................................................] 1/47   Step: 3s42ms | Tot: 0ms | Loss: 0.833 | Acc: 82.422% (211/256)              
 [=>...............................................................] 2/47   Step: 994ms | Tot: 994ms | Loss: 0.798 | Acc: 83.398% (427/512)              
 [==>..............................................................] 3/47   Step: 985ms | Tot: 1s979ms | Loss: 0.750 | Acc: 83.724% (643/768)              
 [====>............................................................] 4/47   Step: 991ms | Tot: 2s971ms | Loss: 0.744 | Acc: 83.496% (855/1024)              
 [=====>...........................................................] 5/47   Step: 1s164ms | Tot: 4s135ms | Loss: 0.734 | Acc: 83.906% (1074/1280)              
 [======>..........................................................] 6/47   Step: 987ms | Tot: 5s123ms | Loss: 0.728 | Acc: 84.245% (1294/1536)              
 [========>........................................................] 7/47   Step: 984ms | Tot: 6s107ms | Loss: 0.719 | Acc: 84.487% (1514/1792)              
 [=========>.......................................................] 8/47   Step: 987ms | Tot: 7s95ms | Loss: 0.717 | Acc: 84.424% (1729/2048)              
 [===========>.....................................................] 9/47   Step: 1s93ms | Tot: 8s188ms | Loss: 0.702 | Acc: 84.592% (1949/2304)              
 [============>....................................................] 10/47   Step: 988ms | Tot: 9s176ms | Loss: 0.693 | Acc: 84.688% (2168/2560)              
 [=============>...................................................] 11/47   Step: 988ms | Tot: 10s165ms | Loss: 0.687 | Acc: 84.624% (2383/2816)              
 [===============>.................................................] 12/47   Step: 986ms | Tot: 11s151ms | Loss: 0.703 | Acc: 84.440% (2594/3072)              
 [================>................................................] 13/47   Step: 983ms | Tot: 12s135ms | Loss: 0.696 | Acc: 84.405% (2809/3328)              
 [=================>...............................................] 14/47   Step: 1s92ms | Tot: 13s228ms | Loss: 0.687 | Acc: 84.487% (3028/3584)              
 [===================>.............................................] 15/47   Step: 1s3ms | Tot: 14s231ms | Loss: 0.684 | Acc: 84.453% (3243/3840)              
 [====================>............................................] 16/47   Step: 982ms | Tot: 15s214ms | Loss: 0.675 | Acc: 84.668% (3468/4096)              
 [======================>..........................................] 17/47   Step: 985ms | Tot: 16s199ms | Loss: 0.677 | Acc: 84.628% (3683/4352)              
 [=======================>.........................................] 18/47   Step: 1s92ms | Tot: 17s292ms | Loss: 0.672 | Acc: 84.787% (3907/4608)              
 [========================>........................................] 19/47   Step: 982ms | Tot: 18s275ms | Loss: 0.668 | Acc: 84.745% (4122/4864)              
 [==========================>......................................] 20/47   Step: 982ms | Tot: 19s257ms | Loss: 0.670 | Acc: 84.805% (4342/5120)              
 [===========================>.....................................] 21/47   Step: 990ms | Tot: 20s247ms | Loss: 0.673 | Acc: 84.766% (4557/5376)              
 [=============================>...................................] 22/47   Step: 987ms | Tot: 21s235ms | Loss: 0.675 | Acc: 84.819% (4777/5632)              
 [==============================>..................................] 23/47   Step: 1s100ms | Tot: 22s335ms | Loss: 0.672 | Acc: 84.834% (4995/5888)              
 [===============================>.................................] 24/47   Step: 991ms | Tot: 23s326ms | Loss: 0.675 | Acc: 84.749% (5207/6144)              
 [=================================>...............................] 25/47   Step: 1s8ms | Tot: 24s335ms | Loss: 0.670 | Acc: 84.781% (5426/6400)              
 [==================================>..............................] 26/47   Step: 994ms | Tot: 25s329ms | Loss: 0.673 | Acc: 84.736% (5640/6656)              
 [===================================>.............................] 27/47   Step: 986ms | Tot: 26s315ms | Loss: 0.668 | Acc: 84.766% (5859/6912)              
 [=====================================>...........................] 28/47   Step: 1s121ms | Tot: 27s437ms | Loss: 0.663 | Acc: 84.849% (6082/7168)              
 [======================================>..........................] 29/47   Step: 986ms | Tot: 28s424ms | Loss: 0.671 | Acc: 84.698% (6288/7424)              
 [========================================>........................] 30/47   Step: 984ms | Tot: 29s408ms | Loss: 0.672 | Acc: 84.740% (6508/7680)              
 [=========================================>.......................] 31/47   Step: 985ms | Tot: 30s393ms | Loss: 0.670 | Acc: 84.829% (6732/7936)              
 [==========================================>......................] 32/47   Step: 984ms | Tot: 31s378ms | Loss: 0.676 | Acc: 84.680% (6937/8192)              
 [============================================>....................] 33/47   Step: 1s87ms | Tot: 32s465ms | Loss: 0.676 | Acc: 84.671% (7153/8448)              
 [=============================================>...................] 34/47   Step: 988ms | Tot: 33s453ms | Loss: 0.681 | Acc: 84.605% (7364/8704)              
 [===============================================>.................] 35/47   Step: 1s7ms | Tot: 34s461ms | Loss: 0.675 | Acc: 84.654% (7585/8960)              
 [================================================>................] 36/47   Step: 987ms | Tot: 35s448ms | Loss: 0.671 | Acc: 84.766% (7812/9216)              
 [=================================================>...............] 37/47   Step: 1s100ms | Tot: 36s549ms | Loss: 0.673 | Acc: 84.671% (8020/9472)              
 [===================================================>.............] 38/47   Step: 987ms | Tot: 37s536ms | Loss: 0.673 | Acc: 84.673% (8237/9728)              
 [====================================================>............] 39/47   Step: 985ms | Tot: 38s521ms | Loss: 0.674 | Acc: 84.575% (8444/9984)              
 [=====================================================>...........] 40/47   Step: 981ms | Tot: 39s503ms | Loss: 0.674 | Acc: 84.619% (8665/10240)              
 [=======================================================>.........] 41/47   Step: 988ms | Tot: 40s491ms | Loss: 0.672 | Acc: 84.680% (8888/10496)              
 [========================================================>........] 42/47   Step: 1s91ms | Tot: 41s583ms | Loss: 0.672 | Acc: 84.682% (9105/10752)              
 [==========================================================>......] 43/47   Step: 970ms | Tot: 42s553ms | Loss: 0.667 | Acc: 84.729% (9327/11008)              
 [===========================================================>.....] 44/47   Step: 871ms | Tot: 43s425ms | Loss: 0.668 | Acc: 84.730% (9544/11264)              
 [============================================================>....] 45/47   Step: 885ms | Tot: 44s310ms | Loss: 0.670 | Acc: 84.653% (9752/11520)              
 [==============================================================>..] 46/47   Step: 869ms | Tot: 45s179ms | Loss: 0.670 | Acc: 84.664% (9970/11776)              
 [===============================================================>.] 47/47   Step: 980ms | Tot: 46s160ms | Loss: 0.671 | Acc: 84.633% (10156/12000)
 [>................................................................] 1/40   Step: 1s141ms | Tot: 0ms | Loss: 1.684 | Acc: 64.453% (165/256)              
 [=>...............................................................] 2/40   Step: 428ms | Tot: 428ms | Loss: 1.554 | Acc: 66.016% (338/512)              
 [===>.............................................................] 3/40   Step: 426ms | Tot: 854ms | Loss: 1.531 | Acc: 67.057% (515/768)              
 [====>............................................................] 4/40   Step: 425ms | Tot: 1s279ms | Loss: 1.523 | Acc: 66.895% (685/1024)              
 [======>..........................................................] 5/40   Step: 589ms | Tot: 1s869ms | Loss: 1.569 | Acc: 65.938% (844/1280)              
 [========>........................................................] 6/40   Step: 432ms | Tot: 2s301ms | Loss: 1.560 | Acc: 66.341% (1019/1536)              
