cifar100 loaded
There are 40000 training samples and 10000 validation samples
There are 10000 test samples.
This is records for stage 2
Train with the wcl selected dataset.
load parameters
Now try to run the WCL algorithm
Selected 12258 boundary instances.
Select 30.00 percent samples, 1469 overlapping with the pre-selected boundary samples
The unique selected subset size is: 22786
Use multiple GPU to train the network.
Use 100 epochs

Epoch: 0
 [>................................................................] 1/90   Step: 43s694ms | Tot: 0ms | Loss: 0.479 | Acc: 87.500% (224/256)              
 [>................................................................] 2/90   Step: 1s967ms | Tot: 1s967ms | Loss: 0.528 | Acc: 84.766% (434/512)              
 [=>...............................................................] 3/90   Step: 989ms | Tot: 2s957ms | Loss: 0.542 | Acc: 84.505% (649/768)              
 [==>..............................................................] 4/90   Step: 1s152ms | Tot: 4s109ms | Loss: 0.514 | Acc: 85.840% (879/1024)              
 [==>..............................................................] 5/90   Step: 973ms | Tot: 5s83ms | Loss: 0.508 | Acc: 86.016% (1101/1280)              
 [===>.............................................................] 6/90   Step: 995ms | Tot: 6s78ms | Loss: 0.503 | Acc: 86.133% (1323/1536)              
 [====>............................................................] 7/90   Step: 974ms | Tot: 7s53ms | Loss: 0.499 | Acc: 86.384% (1548/1792)              
 [=====>...........................................................] 8/90   Step: 978ms | Tot: 8s31ms | Loss: 0.500 | Acc: 86.426% (1770/2048)              
 [=====>...........................................................] 9/90   Step: 1s77ms | Tot: 9s108ms | Loss: 0.481 | Acc: 87.023% (2005/2304)              
 [======>..........................................................] 10/90   Step: 973ms | Tot: 10s82ms | Loss: 0.478 | Acc: 87.031% (2228/2560)              
 [=======>.........................................................] 11/90   Step: 973ms | Tot: 11s56ms | Loss: 0.478 | Acc: 87.145% (2454/2816)              
 [=======>.........................................................] 12/90   Step: 973ms | Tot: 12s29ms | Loss: 0.469 | Acc: 87.272% (2681/3072)              
 [========>........................................................] 13/90   Step: 1s90ms | Tot: 13s119ms | Loss: 0.466 | Acc: 87.410% (2909/3328)              
 [=========>.......................................................] 14/90   Step: 985ms | Tot: 14s105ms | Loss: 0.460 | Acc: 87.416% (3133/3584)              
 [==========>......................................................] 15/90   Step: 978ms | Tot: 15s84ms | Loss: 0.461 | Acc: 87.448% (3358/3840)              
 [===================================>.............................] 50/90   Step: 1s123ms | Tot: 50s387ms | Loss: 0.390 | Acc: 89.508% (11457/12800)              
 [====================================>............................] 51/90   Step: 975ms | Tot: 51s362ms | Loss: 0.388 | Acc: 89.530% (11689/13056)              
 [====================================>............................] 52/90   Step: 973ms | Tot: 52s336ms | Loss: 0.387 | Acc: 89.581% (11925/13312)              
 [=====================================>...........................] 53/90   Step: 974ms | Tot: 53s310ms | Loss: 0.387 | Acc: 89.615% (12159/13568)              
 [======================================>..........................] 54/90   Step: 1s84ms | Tot: 54s394ms | Loss: 0.389 | Acc: 89.612% (12388/13824)              
 [=======================================>.........................] 55/90   Step: 992ms | Tot: 55s386ms | Loss: 0.387 | Acc: 89.673% (12626/14080)              
 [=======================================>.........................] 56/90   Step: 982ms | Tot: 56s368ms | Loss: 0.387 | Acc: 89.662% (12854/14336)              
 [========================================>........................] 57/90   Step: 984ms | Tot: 57s353ms | Loss: 0.385 | Acc: 89.714% (13091/14592)              
 [=========================================>.......................] 58/90   Step: 981ms | Tot: 58s335ms | Loss: 0.383 | Acc: 89.783% (13331/14848)              
 [=========================================>.......................] 59/90   Step: 1s83ms | Tot: 59s418ms | Loss: 0.382 | Acc: 89.831% (13568/15104)              
 [==========================================>......................] 60/90   Step: 975ms | Tot: 1m393ms | Loss: 0.381 | Acc: 89.831% (13798/15360)              
 [===========================================>.....................] 61/90   Step: 982ms | Tot: 1m1s | Loss: 0.380 | Acc: 89.857% (14032/15616)              
 [============================================>....................] 62/90   Step: 978ms | Tot: 1m2s | Loss: 0.378 | Acc: 89.894% (14268/15872)              
 [============================================>....................] 63/90   Step: 975ms | Tot: 1m3s | Loss: 0.377 | Acc: 89.906% (14500/16128)              
 [=============================================>...................] 64/90   Step: 1s81ms | Tot: 1m4s | Loss: 0.377 | Acc: 89.929% (14734/16384)              
 [==============================================>..................] 65/90   Step: 990ms | Tot: 1m5s | Loss: 0.377 | Acc: 89.940% (14966/16640)              
 [==============================================>..................] 66/90   Step: 989ms | Tot: 1m6s | Loss: 0.375 | Acc: 89.986% (15204/16896)              
 [===============================================>.................] 67/90   Step: 981ms | Tot: 1m7s | Loss: 0.376 | Acc: 89.984% (15434/17152)              
 [================================================>................] 68/90   Step: 1s77ms | Tot: 1m8s | Loss: 0.373 | Acc: 90.045% (15675/17408)              
 [=================================================>...............] 69/90   Step: 991ms | Tot: 1m9s | Loss: 0.372 | Acc: 90.076% (15911/17664)              
 [=================================================>...............] 70/90   Step: 973ms | Tot: 1m10s | Loss: 0.370 | Acc: 90.128% (16151/17920)              
 [==================================================>..............] 71/90   Step: 977ms | Tot: 1m11s | Loss: 0.368 | Acc: 90.174% (16390/18176)              
 [===================================================>.............] 72/90   Step: 981ms | Tot: 1m12s | Loss: 0.366 | Acc: 90.224% (16630/18432)              
 [====================================================>............] 73/90   Step: 1s123ms | Tot: 1m13s | Loss: 0.366 | Acc: 90.245% (16865/18688)              
 [====================================================>............] 74/90   Step: 988ms | Tot: 1m14s | Loss: 0.365 | Acc: 90.298% (17106/18944)              
 [=====================================================>...........] 75/90   Step: 989ms | Tot: 1m15s | Loss: 0.364 | Acc: 90.339% (17345/19200)              
 [======================================================>..........] 76/90   Step: 973ms | Tot: 1m16s | Loss: 0.363 | Acc: 90.368% (17582/19456)              
 [======================================================>..........] 77/90   Step: 981ms | Tot: 1m17s | Loss: 0.363 | Acc: 90.392% (17818/19712)              
 [=======================================================>.........] 78/90   Step: 1s76ms | Tot: 1m18s | Loss: 0.362 | Acc: 90.415% (18054/19968)              
 [========================================================>........] 79/90   Step: 974ms | Tot: 1m19s | Loss: 0.361 | Acc: 90.462% (18295/20224)              
 [=========================================================>.......] 80/90   Step: 976ms | Tot: 1m20s | Loss: 0.360 | Acc: 90.474% (18529/20480)              
 [=========================================================>.......] 81/90   Step: 974ms | Tot: 1m21s | Loss: 0.360 | Acc: 90.480% (18762/20736)              
 [==========================================================>......] 82/90   Step: 1s79ms | Tot: 1m22s | Loss: 0.359 | Acc: 90.515% (19001/20992)              
 [===========================================================>.....] 83/90   Step: 975ms | Tot: 1m23s | Loss: 0.359 | Acc: 90.517% (19233/21248)              
 [===========================================================>.....] 84/90   Step: 973ms | Tot: 1m24s | Loss: 0.359 | Acc: 90.532% (19468/21504)              
 [============================================================>....] 85/90   Step: 990ms | Tot: 1m25s | Loss: 0.358 | Acc: 90.565% (19707/21760)              
 [=============================================================>...] 86/90   Step: 862ms | Tot: 1m26s | Loss: 0.356 | Acc: 90.625% (19952/22016)              
 [==============================================================>..] 87/90   Step: 962ms | Tot: 1m27s | Loss: 0.356 | Acc: 90.652% (20190/22272)              
 [==============================================================>..] 88/90   Step: 863ms | Tot: 1m28s | Loss: 0.356 | Acc: 90.656% (20423/22528)              
 [===============================================================>.] 89/90   Step: 857ms | Tot: 1m29s | Loss: 0.354 | Acc: 90.682% (20661/22784)              
 [================================================================>] 90/90   Step: 3s475ms | Tot: 1m32s | Loss: 0.355 | Acc: 90.674% (20661/22786)
 [>................................................................] 1/40   Step: 1s113ms | Tot: 0ms | Loss: 1.240 | Acc: 69.922% (179/256)              
 [=>...............................................................] 2/40   Step: 588ms | Tot: 588ms | Loss: 1.174 | Acc: 71.289% (365/512)              
 [===>.............................................................] 3/40   Step: 421ms | Tot: 1s10ms | Loss: 1.224 | Acc: 70.182% (539/768)              
 [====>............................................................] 4/40   Step: 422ms | Tot: 1s432ms | Loss: 1.256 | Acc: 70.703% (724/1024)              
 [======>..........................................................] 5/40   Step: 438ms | Tot: 1s871ms | Loss: 1.320 | Acc: 69.688% (892/1280)              
 [========>........................................................] 6/40   Step: 422ms | Tot: 2s293ms | Loss: 1.315 | Acc: 69.792% (1072/1536)              
 [=========>.......................................................] 7/40   Step: 421ms | Tot: 2s714ms | Loss: 1.315 | Acc: 69.922% (1253/1792)              
 [===========>.....................................................] 8/40   Step: 526ms | Tot: 3s241ms | Loss: 1.327 | Acc: 69.580% (1425/2048)              
 [=============>...................................................] 9/40   Step: 420ms | Tot: 3s662ms | Loss: 1.318 | Acc: 69.748% (1607/2304)              
 [==============>..................................................] 10/40   Step: 420ms | Tot: 4s83ms | Loss: 1.303 | Acc: 69.961% (1791/2560)              
 [================>................................................] 11/40   Step: 422ms | Tot: 4s505ms | Loss: 1.290 | Acc: 70.206% (1977/2816)              
 [=================>...............................................] 12/40   Step: 420ms | Tot: 4s926ms | Loss: 1.293 | Acc: 70.117% (2154/3072)              
 [===================>.............................................] 13/40   Step: 420ms | Tot: 5s346ms | Loss: 1.294 | Acc: 70.012% (2330/3328)              
 [=====================>...........................................] 14/40   Step: 528ms | Tot: 5s875ms | Loss: 1.304 | Acc: 69.782% (2501/3584)              
 [======================>..........................................] 15/40   Step: 421ms | Tot: 6s296ms | Loss: 1.292 | Acc: 69.870% (2683/3840)              
 [========================>........................................] 16/40   Step: 423ms | Tot: 6s719ms | Loss: 1.298 | Acc: 69.873% (2862/4096)              
 [==========================>......................................] 17/40   Step: 421ms | Tot: 7s140ms | Loss: 1.305 | Acc: 69.738% (3035/4352)              
 [===========================>.....................................] 18/40   Step: 420ms | Tot: 7s561ms | Loss: 1.317 | Acc: 69.531% (3204/4608)              
 [=============================>...................................] 19/40   Step: 421ms | Tot: 7s983ms | Loss: 1.314 | Acc: 69.552% (3383/4864)              
 [==============================>..................................] 20/40   Step: 527ms | Tot: 8s510ms | Loss: 1.316 | Acc: 69.590% (3563/5120)              
 [================================>................................] 21/40   Step: 421ms | Tot: 8s931ms | Loss: 1.320 | Acc: 69.699% (3747/5376)              
 [==================================>..............................] 22/40   Step: 420ms | Tot: 9s351ms | Loss: 1.326 | Acc: 69.638% (3922/5632)              
 [===================================>.............................] 23/40   Step: 421ms | Tot: 9s773ms | Loss: 1.332 | Acc: 69.684% (4103/5888)              
 [=====================================>...........................] 24/40   Step: 420ms | Tot: 10s193ms | Loss: 1.340 | Acc: 69.580% (4275/6144)              
 [=======================================>.........................] 25/40   Step: 421ms | Tot: 10s615ms | Loss: 1.331 | Acc: 69.609% (4455/6400)              
 [========================================>........................] 26/40   Step: 526ms | Tot: 11s141ms | Loss: 1.326 | Acc: 69.621% (4634/6656)              
 [==========================================>......................] 27/40   Step: 423ms | Tot: 11s564ms | Loss: 1.323 | Acc: 69.676% (4816/6912)              
 [===========================================>.....................] 28/40   Step: 433ms | Tot: 11s998ms | Loss: 1.321 | Acc: 69.768% (5001/7168)              
 [=============================================>...................] 29/40   Step: 421ms | Tot: 12s419ms | Loss: 1.316 | Acc: 69.828% (5184/7424)              
 [===============================================>.................] 30/40   Step: 420ms | Tot: 12s839ms | Loss: 1.319 | Acc: 69.883% (5367/7680)              
 [================================================>................] 31/40   Step: 420ms | Tot: 13s259ms | Loss: 1.321 | Acc: 69.897% (5547/7936)              
 [==================================================>..............] 32/40   Step: 533ms | Tot: 13s793ms | Loss: 1.323 | Acc: 69.910% (5727/8192)              
 [====================================================>............] 33/40   Step: 421ms | Tot: 14s215ms | Loss: 1.329 | Acc: 69.815% (5898/8448)              
 [=====================================================>...........] 34/40   Step: 421ms | Tot: 14s637ms | Loss: 1.335 | Acc: 69.727% (6069/8704)              
 [=======================================================>.........] 35/40   Step: 421ms | Tot: 15s58ms | Loss: 1.327 | Acc: 69.766% (6251/8960)              
 [========================================================>........] 36/40   Step: 380ms | Tot: 15s438ms | Loss: 1.326 | Acc: 69.781% (6431/9216)              
 [==========================================================>......] 37/40   Step: 375ms | Tot: 15s814ms | Loss: 1.333 | Acc: 69.637% (6596/9472)              
 [============================================================>....] 38/40   Step: 483ms | Tot: 16s298ms | Loss: 1.328 | Acc: 69.809% (6791/9728)              
 [=============================================================>...] 39/40   Step: 375ms | Tot: 16s673ms | Loss: 1.334 | Acc: 69.762% (6965/9984)              
