cifar10 loaded
There are 40000 training samples and 10000 validation samples
There are 10000 test samples.
This is records for stage 3
Train with the wcl selected dataset (by weighted the boundary points).
load parameters
Now try to run the WCL algorithm, by scaling up boundary sample scores
Scale up the boundary sample scores to 1
Start to select 20000 samples for a fair comparison at each subset.
Selected 20000 samples from all the classes
Use multiple GPU to train the network.
Use 100 epochs

Epoch: 0
 [>................................................................] 1/79   Step: 40s564ms | Tot: 0ms | Loss: 0.077 | Acc: 97.656% (250/256)              
 [>................................................................] 2/79   Step: 1s977ms | Tot: 1s977ms | Loss: 0.061 | Acc: 98.047% (502/512)              
 [=>...............................................................] 3/79   Step: 977ms | Tot: 2s955ms | Loss: 0.082 | Acc: 97.396% (748/768)              
 [==>..............................................................] 4/79   Step: 1s166ms | Tot: 4s121ms | Loss: 0.084 | Acc: 97.266% (996/1024)              
 [===>.............................................................] 5/79   Step: 966ms | Tot: 5s87ms | Loss: 0.078 | Acc: 97.500% (1248/1280)              
 [====>............................................................] 6/79   Step: 974ms | Tot: 6s62ms | Loss: 0.083 | Acc: 97.201% (1493/1536)              
 [====>............................................................] 7/79   Step: 969ms | Tot: 7s31ms | Loss: 0.088 | Acc: 97.210% (1742/1792)              
 [=====>...........................................................] 8/79   Step: 986ms | Tot: 8s17ms | Loss: 0.079 | Acc: 97.510% (1997/2048)              
 [======>..........................................................] 9/79   Step: 1s70ms | Tot: 9s88ms | Loss: 0.073 | Acc: 97.700% (2251/2304)              
 [=======>.........................................................] 10/79   Step: 965ms | Tot: 10s53ms | Loss: 0.077 | Acc: 97.695% (2501/2560)              
 [========>........................................................] 11/79   Step: 963ms | Tot: 11s16ms | Loss: 0.074 | Acc: 97.727% (2752/2816)              
 [=========>.......................................................] 12/79   Step: 964ms | Tot: 11s981ms | Loss: 0.075 | Acc: 97.689% (3001/3072)              
 [=========>.......................................................] 13/79   Step: 973ms | Tot: 12s955ms | Loss: 0.076 | Acc: 97.656% (3250/3328)              
 [==========>......................................................] 14/79   Step: 1s68ms | Tot: 14s24ms | Loss: 0.078 | Acc: 97.684% (3501/3584)              
 [===========>.....................................................] 15/79   Step: 966ms | Tot: 14s990ms | Loss: 0.076 | Acc: 97.708% (3752/3840)              
 [============>....................................................] 16/79   Step: 971ms | Tot: 15s962ms | Loss: 0.077 | Acc: 97.754% (4004/4096)              
 [=============>...................................................] 17/79   Step: 967ms | Tot: 16s930ms | Loss: 0.084 | Acc: 97.587% (4247/4352)              
 [=============>...................................................] 18/79   Step: 1s92ms | Tot: 18s23ms | Loss: 0.083 | Acc: 97.591% (4497/4608)              
 [==============>..................................................] 19/79   Step: 963ms | Tot: 18s987ms | Loss: 0.081 | Acc: 97.636% (4749/4864)              
 [===============>.................................................] 20/79   Step: 963ms | Tot: 19s950ms | Loss: 0.087 | Acc: 97.559% (4995/5120)              
 [================>................................................] 21/79   Step: 964ms | Tot: 20s915ms | Loss: 0.086 | Acc: 97.600% (5247/5376)              
 [=================>...............................................] 22/79   Step: 971ms | Tot: 21s887ms | Loss: 0.089 | Acc: 97.585% (5496/5632)              
 [==================>..............................................] 23/79   Step: 1s87ms | Tot: 22s974ms | Loss: 0.090 | Acc: 97.571% (5745/5888)              
 [==================>..............................................] 24/79   Step: 969ms | Tot: 23s943ms | Loss: 0.087 | Acc: 97.640% (5999/6144)              
 [===================>.............................................] 25/79   Step: 973ms | Tot: 24s917ms | Loss: 0.086 | Acc: 97.625% (6248/6400)              
 [====================>............................................] 26/79   Step: 970ms | Tot: 25s888ms | Loss: 0.088 | Acc: 97.611% (6497/6656)              
 [=====================>...........................................] 27/79   Step: 1s97ms | Tot: 26s985ms | Loss: 0.088 | Acc: 97.613% (6747/6912)              
 [======================>..........................................] 28/79   Step: 985ms | Tot: 27s971ms | Loss: 0.087 | Acc: 97.614% (6997/7168)              
 [=======================>.........................................] 29/79   Step: 962ms | Tot: 28s934ms | Loss: 0.087 | Acc: 97.629% (7248/7424)              
 [=======================>.........................................] 30/79   Step: 964ms | Tot: 29s898ms | Loss: 0.087 | Acc: 97.617% (7497/7680)              
 [========================>........................................] 31/79   Step: 972ms | Tot: 30s871ms | Loss: 0.085 | Acc: 97.669% (7751/7936)              
 [=========================>.......................................] 32/79   Step: 1s85ms | Tot: 31s957ms | Loss: 0.086 | Acc: 97.668% (8001/8192)              
 [==========================>......................................] 33/79   Step: 965ms | Tot: 32s922ms | Loss: 0.085 | Acc: 97.680% (8252/8448)              
 [===========================>.....................................] 34/79   Step: 967ms | Tot: 33s889ms | Loss: 0.084 | Acc: 97.725% (8506/8704)              
 [===========================>.....................................] 35/79   Step: 965ms | Tot: 34s855ms | Loss: 0.083 | Acc: 97.723% (8756/8960)              
 [============================>....................................] 36/79   Step: 1s70ms | Tot: 35s925ms | Loss: 0.082 | Acc: 97.711% (9005/9216)              
 [=============================>...................................] 37/79   Step: 980ms | Tot: 36s905ms | Loss: 0.085 | Acc: 97.677% (9252/9472)              
