cifar100 loaded
There are 40000 training samples and 10000 validation samples
There are 10000 test samples.
This is records for stage 2
Train with the pop selected dataset.
load parameters
Now try to run the algorithm POP
------------------ Start to select subsets ------------------
Selected 34814 samples for weakkness <= 0.
Train with the selected 34814 samples.
Use multiple GPU to train the network.
Use 100 epochs

Epoch: 0
 [>................................................................] 1/136   Step: 2m30s | Tot: 0ms | Loss: 0.353 | Acc: 90.234% (231/256)              
 [>................................................................] 2/136   Step: 1s991ms | Tot: 1s991ms | Loss: 0.332 | Acc: 90.625% (464/512)              
 [>................................................................] 3/136   Step: 974ms | Tot: 2s966ms | Loss: 0.355 | Acc: 89.323% (686/768)              
 [=>...............................................................] 4/136   Step: 1s95ms | Tot: 4s61ms | Loss: 0.347 | Acc: 88.965% (911/1024)              
 [=>...............................................................] 5/136   Step: 950ms | Tot: 5s11ms | Loss: 0.353 | Acc: 89.141% (1141/1280)              
 [==>..............................................................] 6/136   Step: 961ms | Tot: 5s973ms | Loss: 0.347 | Acc: 89.388% (1373/1536)              
 [==>..............................................................] 7/136   Step: 955ms | Tot: 6s928ms | Loss: 0.347 | Acc: 89.509% (1604/1792)              
 [===>.............................................................] 8/136   Step: 958ms | Tot: 7s886ms | Loss: 0.343 | Acc: 89.648% (1836/2048)              
 [===>.............................................................] 9/136   Step: 1s56ms | Tot: 8s943ms | Loss: 0.346 | Acc: 89.670% (2066/2304)              
 [====>............................................................] 10/136   Step: 951ms | Tot: 9s895ms | Loss: 0.343 | Acc: 89.688% (2296/2560)              
 [====>............................................................] 11/136   Step: 959ms | Tot: 10s854ms | Loss: 0.334 | Acc: 90.057% (2536/2816)              
 [=====>...........................................................] 12/136   Step: 955ms | Tot: 11s810ms | Loss: 0.330 | Acc: 90.234% (2772/3072)              
 [=====>...........................................................] 13/136   Step: 973ms | Tot: 12s784ms | Loss: 0.332 | Acc: 90.144% (3000/3328)              
 [======>..........................................................] 14/136   Step: 1s62ms | Tot: 13s847ms | Loss: 0.326 | Acc: 90.318% (3237/3584)              
 [======>..........................................................] 15/136   Step: 961ms | Tot: 14s808ms | Loss: 0.319 | Acc: 90.521% (3476/3840)              
 [=======================>.........................................] 50/136   Step: 1s52ms | Tot: 49s157ms | Loss: 0.242 | Acc: 93.344% (11948/12800)              
 [=======================>.........................................] 51/136   Step: 951ms | Tot: 50s109ms | Loss: 0.240 | Acc: 93.421% (12197/13056)              
 [========================>........................................] 52/136   Step: 947ms | Tot: 51s56ms | Loss: 0.239 | Acc: 93.465% (12442/13312)              
 [========================>........................................] 53/136   Step: 952ms | Tot: 52s9ms | Loss: 0.237 | Acc: 93.507% (12687/13568)              
 [=========================>.......................................] 54/136   Step: 961ms | Tot: 52s971ms | Loss: 0.235 | Acc: 93.584% (12937/13824)              
 [=========================>.......................................] 55/136   Step: 1s60ms | Tot: 54s31ms | Loss: 0.234 | Acc: 93.615% (13181/14080)              
 [==========================>......................................] 56/136   Step: 952ms | Tot: 54s984ms | Loss: 0.233 | Acc: 93.638% (13424/14336)              
 [==========================>......................................] 57/136   Step: 955ms | Tot: 55s939ms | Loss: 0.231 | Acc: 93.681% (13670/14592)              
 [===========================>.....................................] 58/136   Step: 957ms | Tot: 56s897ms | Loss: 0.231 | Acc: 93.723% (13916/14848)              
 [===========================>.....................................] 59/136   Step: 1s57ms | Tot: 57s955ms | Loss: 0.230 | Acc: 93.750% (14160/15104)              
 [============================>....................................] 60/136   Step: 958ms | Tot: 58s913ms | Loss: 0.229 | Acc: 93.783% (14405/15360)              
 [============================>....................................] 61/136   Step: 947ms | Tot: 59s861ms | Loss: 0.228 | Acc: 93.814% (14650/15616)              
 [=============================>...................................] 62/136   Step: 960ms | Tot: 1m822ms | Loss: 0.227 | Acc: 93.845% (14895/15872)              
 [=============================>...................................] 63/136   Step: 967ms | Tot: 1m1s | Loss: 0.226 | Acc: 93.849% (15136/16128)              
 [==============================>..................................] 64/136   Step: 1s67ms | Tot: 1m2s | Loss: 0.225 | Acc: 93.884% (15382/16384)              
 [==============================>..................................] 65/136   Step: 952ms | Tot: 1m3s | Loss: 0.223 | Acc: 93.906% (15626/16640)              
 [===============================>.................................] 66/136   Step: 945ms | Tot: 1m4s | Loss: 0.222 | Acc: 93.951% (15874/16896)              
 [===============================>.................................] 67/136   Step: 949ms | Tot: 1m5s | Loss: 0.221 | Acc: 93.954% (16115/17152)              
 [================================>................................] 68/136   Step: 1s62ms | Tot: 1m6s | Loss: 0.221 | Acc: 93.997% (16363/17408)              
 [================================>................................] 69/136   Step: 954ms | Tot: 1m7s | Loss: 0.219 | Acc: 94.027% (16609/17664)              
 [================================>................................] 70/136   Step: 951ms | Tot: 1m8s | Loss: 0.219 | Acc: 94.062% (16856/17920)              
 [=================================>...............................] 71/136   Step: 950ms | Tot: 1m9s | Loss: 0.218 | Acc: 94.091% (17102/18176)              
 [=================================>...............................] 72/136   Step: 954ms | Tot: 1m10s | Loss: 0.217 | Acc: 94.124% (17349/18432)              
 [==================================>..............................] 73/136   Step: 1s81ms | Tot: 1m11s | Loss: 0.216 | Acc: 94.167% (17598/18688)              
 [==================================>..............................] 74/136   Step: 961ms | Tot: 1m12s | Loss: 0.214 | Acc: 94.193% (17844/18944)              
 [===================================>.............................] 75/136   Step: 956ms | Tot: 1m13s | Loss: 0.214 | Acc: 94.208% (18088/19200)              
 [===================================>.............................] 76/136   Step: 946ms | Tot: 1m14s | Loss: 0.213 | Acc: 94.238% (18335/19456)              
 [====================================>............................] 77/136   Step: 1s50ms | Tot: 1m15s | Loss: 0.211 | Acc: 94.283% (18585/19712)              
 [====================================>............................] 78/136   Step: 955ms | Tot: 1m16s | Loss: 0.210 | Acc: 94.306% (18831/19968)              
 [=====================================>...........................] 79/136   Step: 956ms | Tot: 1m17s | Loss: 0.210 | Acc: 94.324% (19076/20224)              
 [=====================================>...........................] 80/136   Step: 950ms | Tot: 1m18s | Loss: 0.209 | Acc: 94.355% (19324/20480)              
 [======================================>..........................] 81/136   Step: 952ms | Tot: 1m19s | Loss: 0.208 | Acc: 94.396% (19574/20736)              
 [======================================>..........................] 82/136   Step: 1s56ms | Tot: 1m20s | Loss: 0.208 | Acc: 94.407% (19818/20992)              
 [=======================================>.........................] 83/136   Step: 949ms | Tot: 1m21s | Loss: 0.207 | Acc: 94.423% (20063/21248)              
 [=======================================>.........................] 84/136   Step: 949ms | Tot: 1m22s | Loss: 0.206 | Acc: 94.457% (20312/21504)              
 [========================================>........................] 85/136   Step: 967ms | Tot: 1m23s | Loss: 0.205 | Acc: 94.472% (20557/21760)              
 [========================================>........................] 86/136   Step: 954ms | Tot: 1m24s | Loss: 0.205 | Acc: 94.490% (20803/22016)              
 [=========================================>.......................] 87/136   Step: 1s54ms | Tot: 1m25s | Loss: 0.204 | Acc: 94.518% (21051/22272)              
 [=========================================>.......................] 88/136   Step: 957ms | Tot: 1m26s | Loss: 0.203 | Acc: 94.527% (21295/22528)              
 [==========================================>......................] 89/136   Step: 951ms | Tot: 1m27s | Loss: 0.203 | Acc: 94.544% (21541/22784)              
 [==========================================>......................] 90/136   Step: 953ms | Tot: 1m28s | Loss: 0.202 | Acc: 94.562% (21787/23040)              
 [===========================================>.....................] 91/136   Step: 955ms | Tot: 1m29s | Loss: 0.202 | Acc: 94.566% (22030/23296)              
 [===========================================>.....................] 92/136   Step: 1s50ms | Tot: 1m30s | Loss: 0.201 | Acc: 94.595% (22279/23552)              
 [===========================================>.....................] 93/136   Step: 951ms | Tot: 1m31s | Loss: 0.200 | Acc: 94.624% (22528/23808)              
 [============================================>....................] 94/136   Step: 950ms | Tot: 1m32s | Loss: 0.199 | Acc: 94.639% (22774/24064)              
 [============================================>....................] 95/136   Step: 960ms | Tot: 1m33s | Loss: 0.198 | Acc: 94.663% (23022/24320)              
 [=============================================>...................] 96/136   Step: 1s54ms | Tot: 1m34s | Loss: 0.198 | Acc: 94.690% (23271/24576)              
 [=============================================>...................] 97/136   Step: 948ms | Tot: 1m35s | Loss: 0.197 | Acc: 94.716% (23520/24832)              
 [==============================================>..................] 98/136   Step: 951ms | Tot: 1m36s | Loss: 0.196 | Acc: 94.739% (23768/25088)              
 [==============================================>..................] 99/136   Step: 958ms | Tot: 1m36s | Loss: 0.196 | Acc: 94.756% (24015/25344)              
 [===============================================>.................] 100/136   Step: 955ms | Tot: 1m37s | Loss: 0.195 | Acc: 94.773% (24262/25600)              
 [===============================================>.................] 101/136   Step: 1s50ms | Tot: 1m38s | Loss: 0.195 | Acc: 94.787% (24508/25856)              
 [================================================>................] 102/136   Step: 947ms | Tot: 1m39s | Loss: 0.195 | Acc: 94.792% (24752/26112)              
 [================================================>................] 103/136   Step: 953ms | Tot: 1m40s | Loss: 0.194 | Acc: 94.819% (25002/26368)              
 [=================================================>...............] 104/136   Step: 962ms | Tot: 1m41s | Loss: 0.193 | Acc: 94.824% (25246/26624)              
 [=================================================>...............] 105/136   Step: 1s67ms | Tot: 1m42s | Loss: 0.193 | Acc: 94.851% (25496/26880)              
 [==================================================>..............] 106/136   Step: 949ms | Tot: 1m43s | Loss: 0.192 | Acc: 94.856% (25740/27136)              
 [==================================================>..............] 107/136   Step: 948ms | Tot: 1m44s | Loss: 0.192 | Acc: 94.867% (25986/27392)              
 [===================================================>.............] 108/136   Step: 948ms | Tot: 1m45s | Loss: 0.191 | Acc: 94.878% (26232/27648)              
 [===================================================>.............] 109/136   Step: 957ms | Tot: 1m46s | Loss: 0.191 | Acc: 94.882% (26476/27904)              
 [====================================================>............] 110/136   Step: 1s59ms | Tot: 1m47s | Loss: 0.190 | Acc: 94.901% (26724/28160)              
 [====================================================>............] 111/136   Step: 949ms | Tot: 1m48s | Loss: 0.189 | Acc: 94.904% (26968/28416)              
 [=====================================================>...........] 112/136   Step: 949ms | Tot: 1m49s | Loss: 0.189 | Acc: 94.918% (27215/28672)              
 [=====================================================>...........] 113/136   Step: 953ms | Tot: 1m50s | Loss: 0.188 | Acc: 94.939% (27464/28928)              
 [======================================================>..........] 114/136   Step: 1s57ms | Tot: 1m51s | Loss: 0.188 | Acc: 94.963% (27714/29184)              
 [======================================================>..........] 115/136   Step: 964ms | Tot: 1m52s | Loss: 0.188 | Acc: 94.980% (27962/29440)              
