cifar100 loaded
There are 40000 training samples and 10000 validation samples
There are 10000 test samples.
This is records for stage 3
Train with the whole dataset.
load parameters
Use multiple GPU to train the network.
Use 100 epochs

Epoch: 0
 [=====================>...........................................] 52/157   Step: 966ms | Tot: 51s797ms | Loss: 0.021 | Acc: 99.730% (13276/13312)              
 [=====================>...........................................] 53/157   Step: 983ms | Tot: 52s780ms | Loss: 0.021 | Acc: 99.735% (13532/13568)              
 [=====================>...........................................] 54/157   Step: 966ms | Tot: 53s747ms | Loss: 0.021 | Acc: 99.740% (13788/13824)              
 [======================>..........................................] 55/157   Step: 1s71ms | Tot: 54s819ms | Loss: 0.021 | Acc: 99.744% (14044/14080)              
 [======================>..........................................] 56/157   Step: 963ms | Tot: 55s782ms | Loss: 0.021 | Acc: 99.742% (14299/14336)              
 [=======================>.........................................] 57/157   Step: 962ms | Tot: 56s745ms | Loss: 0.021 | Acc: 99.746% (14555/14592)              
 [=======================>.........................................] 58/157   Step: 966ms | Tot: 57s711ms | Loss: 0.021 | Acc: 99.751% (14811/14848)              
 [========================>........................................] 59/157   Step: 1s72ms | Tot: 58s784ms | Loss: 0.021 | Acc: 99.755% (15067/15104)              
 [========================>........................................] 60/157   Step: 964ms | Tot: 59s748ms | Loss: 0.020 | Acc: 99.759% (15323/15360)              
 [========================>........................................] 61/157   Step: 961ms | Tot: 1m709ms | Loss: 0.021 | Acc: 99.750% (15577/15616)              
 [=========================>.......................................] 62/157   Step: 967ms | Tot: 1m1s | Loss: 0.020 | Acc: 99.754% (15833/15872)              
 [=========================>.......................................] 63/157   Step: 981ms | Tot: 1m2s | Loss: 0.021 | Acc: 99.746% (16087/16128)              
 [==========================>......................................] 64/157   Step: 1s72ms | Tot: 1m3s | Loss: 0.021 | Acc: 99.750% (16343/16384)              
 [==========================>......................................] 65/157   Step: 972ms | Tot: 1m4s | Loss: 0.021 | Acc: 99.754% (16599/16640)              
 [==========================>......................................] 66/157   Step: 969ms | Tot: 1m5s | Loss: 0.021 | Acc: 99.751% (16854/16896)              
 [===========================>.....................................] 67/157   Step: 972ms | Tot: 1m6s | Loss: 0.021 | Acc: 99.755% (17110/17152)              
 [===========================>.....................................] 68/157   Step: 1s76ms | Tot: 1m7s | Loss: 0.020 | Acc: 99.759% (17366/17408)              
 [============================>....................................] 69/157   Step: 968ms | Tot: 1m8s | Loss: 0.020 | Acc: 99.751% (17620/17664)              
 [============================>....................................] 70/157   Step: 965ms | Tot: 1m9s | Loss: 0.020 | Acc: 99.754% (17876/17920)              
 [============================>....................................] 71/157   Step: 968ms | Tot: 1m10s | Loss: 0.020 | Acc: 99.758% (18132/18176)              
 [=============================>...................................] 72/157   Step: 966ms | Tot: 1m11s | Loss: 0.020 | Acc: 99.761% (18388/18432)              
 [=============================>...................................] 73/157   Step: 1s119ms | Tot: 1m12s | Loss: 0.020 | Acc: 99.759% (18643/18688)              
 [==============================>..................................] 74/157   Step: 962ms | Tot: 1m13s | Loss: 0.020 | Acc: 99.762% (18899/18944)              
 [==============================>..................................] 75/157   Step: 972ms | Tot: 1m14s | Loss: 0.020 | Acc: 99.760% (19154/19200)              
 [===============================>.................................] 76/157   Step: 970ms | Tot: 1m15s | Loss: 0.020 | Acc: 99.764% (19410/19456)              
 [===============================>.................................] 77/157   Step: 962ms | Tot: 1m16s | Loss: 0.020 | Acc: 99.762% (19665/19712)              
 [===============================>.................................] 78/157   Step: 1s64ms | Tot: 1m17s | Loss: 0.020 | Acc: 99.765% (19921/19968)              
 [================================>................................] 79/157   Step: 961ms | Tot: 1m18s | Loss: 0.020 | Acc: 99.763% (20176/20224)              
 [================================>................................] 80/157   Step: 967ms | Tot: 1m19s | Loss: 0.020 | Acc: 99.761% (20431/20480)              
 [=================================>...............................] 81/157   Step: 966ms | Tot: 1m20s | Loss: 0.020 | Acc: 99.764% (20687/20736)              
 [=================================>...............................] 82/157   Step: 1s79ms | Tot: 1m21s | Loss: 0.020 | Acc: 99.767% (20943/20992)              
 [=================================>...............................] 83/157   Step: 976ms | Tot: 1m22s | Loss: 0.020 | Acc: 99.769% (21199/21248)              
 [==================================>..............................] 84/157   Step: 965ms | Tot: 1m23s | Loss: 0.020 | Acc: 99.772% (21455/21504)              
 [==================================>..............................] 85/157   Step: 960ms | Tot: 1m24s | Loss: 0.020 | Acc: 99.770% (21710/21760)              
 [===================================>.............................] 86/157   Step: 964ms | Tot: 1m25s | Loss: 0.020 | Acc: 99.773% (21966/22016)              
 [===================================>.............................] 87/157   Step: 1s70ms | Tot: 1m26s | Loss: 0.020 | Acc: 99.776% (22222/22272)              
 [====================================>............................] 88/157   Step: 965ms | Tot: 1m27s | Loss: 0.020 | Acc: 99.774% (22477/22528)              
 [====================================>............................] 89/157   Step: 961ms | Tot: 1m28s | Loss: 0.020 | Acc: 99.763% (22730/22784)              
 [====================================>............................] 90/157   Step: 963ms | Tot: 1m29s | Loss: 0.020 | Acc: 99.766% (22986/23040)              
 [=====================================>...........................] 91/157   Step: 1s68ms | Tot: 1m30s | Loss: 0.020 | Acc: 99.768% (23242/23296)              
 [=====================================>...........................] 92/157   Step: 961ms | Tot: 1m31s | Loss: 0.020 | Acc: 99.771% (23498/23552)              
 [======================================>..........................] 93/157   Step: 976ms | Tot: 1m32s | Loss: 0.020 | Acc: 99.773% (23754/23808)              
 [======================================>..........................] 94/157   Step: 965ms | Tot: 1m33s | Loss: 0.019 | Acc: 99.776% (24010/24064)              
 [======================================>..........................] 95/157   Step: 962ms | Tot: 1m34s | Loss: 0.019 | Acc: 99.778% (24266/24320)              
 [=======================================>.........................] 96/157   Step: 1s65ms | Tot: 1m35s | Loss: 0.019 | Acc: 99.780% (24522/24576)              
 [=======================================>.........................] 97/157   Step: 965ms | Tot: 1m36s | Loss: 0.020 | Acc: 99.770% (24775/24832)              
 [========================================>........................] 98/157   Step: 965ms | Tot: 1m37s | Loss: 0.020 | Acc: 99.773% (25031/25088)              
 [========================================>........................] 99/157   Step: 961ms | Tot: 1m38s | Loss: 0.020 | Acc: 99.771% (25286/25344)              
 [========================================>........................] 100/157   Step: 1s69ms | Tot: 1m39s | Loss: 0.020 | Acc: 99.770% (25541/25600)              
 [=========================================>.......................] 101/157   Step: 961ms | Tot: 1m40s | Loss: 0.020 | Acc: 99.768% (25796/25856)              
 [=========================================>.......................] 102/157   Step: 964ms | Tot: 1m41s | Loss: 0.020 | Acc: 99.766% (26051/26112)              
 [==========================================>......................] 103/157   Step: 987ms | Tot: 1m42s | Loss: 0.020 | Acc: 99.765% (26306/26368)              
 [==========================================>......................] 104/157   Step: 970ms | Tot: 1m43s | Loss: 0.020 | Acc: 99.767% (26562/26624)              
 [===========================================>.....................] 105/157   Step: 1s72ms | Tot: 1m44s | Loss: 0.020 | Acc: 99.769% (26818/26880)              
 [===========================================>.....................] 106/157   Step: 965ms | Tot: 1m45s | Loss: 0.020 | Acc: 99.772% (27074/27136)              
 [===========================================>.....................] 107/157   Step: 961ms | Tot: 1m46s | Loss: 0.020 | Acc: 99.774% (27330/27392)              
 [============================================>....................] 108/157   Step: 962ms | Tot: 1m47s | Loss: 0.019 | Acc: 99.776% (27586/27648)              
 [============================================>....................] 109/157   Step: 961ms | Tot: 1m48s | Loss: 0.019 | Acc: 99.778% (27842/27904)              
 [=============================================>...................] 110/157   Step: 1s64ms | Tot: 1m49s | Loss: 0.019 | Acc: 99.780% (28098/28160)              
 [=============================================>...................] 111/157   Step: 963ms | Tot: 1m50s | Loss: 0.019 | Acc: 99.782% (28354/28416)              
 [=============================================>...................] 112/157   Step: 977ms | Tot: 1m51s | Loss: 0.019 | Acc: 99.784% (28610/28672)              
 [==============================================>..................] 113/157   Step: 981ms | Tot: 1m52s | Loss: 0.019 | Acc: 99.786% (28866/28928)              
 [==============================================>..................] 114/157   Step: 1s68ms | Tot: 1m53s | Loss: 0.019 | Acc: 99.788% (29122/29184)              
 [===============================================>.................] 115/157   Step: 963ms | Tot: 1m54s | Loss: 0.019 | Acc: 99.789% (29378/29440)              
 [===============================================>.................] 116/157   Step: 968ms | Tot: 1m55s | Loss: 0.019 | Acc: 99.788% (29633/29696)              
 [================================================>................] 117/157   Step: 961ms | Tot: 1m56s | Loss: 0.019 | Acc: 99.790% (29889/29952)              
 [================================================>................] 118/157   Step: 964ms | Tot: 1m57s | Loss: 0.019 | Acc: 99.791% (30145/30208)              
 [================================================>................] 119/157   Step: 1s106ms | Tot: 1m58s | Loss: 0.019 | Acc: 99.793% (30401/30464)              
 [=================================================>...............] 120/157   Step: 978ms | Tot: 1m59s | Loss: 0.019 | Acc: 99.795% (30657/30720)              
 [=================================================>...............] 121/157   Step: 962ms | Tot: 2m174ms | Loss: 0.019 | Acc: 99.797% (30913/30976)              
 [==================================================>..............] 122/157   Step: 963ms | Tot: 2m1s | Loss: 0.019 | Acc: 99.798% (31169/31232)              
 [==================================================>..............] 123/157   Step: 1s96ms | Tot: 2m2s | Loss: 0.019 | Acc: 99.800% (31425/31488)              
 [==================================================>..............] 124/157   Step: 962ms | Tot: 2m3s | Loss: 0.019 | Acc: 99.795% (31679/31744)              
 [===================================================>.............] 125/157   Step: 961ms | Tot: 2m4s | Loss: 0.019 | Acc: 99.794% (31934/32000)              
 [===================================================>.............] 126/157   Step: 964ms | Tot: 2m5s | Loss: 0.019 | Acc: 99.795% (32190/32256)              
 [====================================================>............] 127/157   Step: 959ms | Tot: 2m6s | Loss: 0.019 | Acc: 99.797% (32446/32512)              
 [====================================================>............] 128/157   Step: 1s73ms | Tot: 2m7s | Loss: 0.019 | Acc: 99.799% (32702/32768)              
 [====================================================>............] 129/157   Step: 962ms | Tot: 2m8s | Loss: 0.019 | Acc: 99.797% (32957/33024)              
 [=====================================================>...........] 130/157   Step: 962ms | Tot: 2m9s | Loss: 0.019 | Acc: 99.799% (33213/33280)              
 [=====================================================>...........] 131/157   Step: 960ms | Tot: 2m10s | Loss: 0.019 | Acc: 99.797% (33468/33536)              
 [======================================================>..........] 132/157   Step: 961ms | Tot: 2m11s | Loss: 0.019 | Acc: 99.796% (33723/33792)              
 [======================================================>..........] 133/157   Step: 1s66ms | Tot: 2m12s | Loss: 0.019 | Acc: 99.794% (33978/34048)              
 [=======================================================>.........] 134/157   Step: 975ms | Tot: 2m13s | Loss: 0.019 | Acc: 99.796% (34234/34304)              
 [=======================================================>.........] 135/157   Step: 959ms | Tot: 2m14s | Loss: 0.019 | Acc: 99.795% (34489/34560)              
 [=======================================================>.........] 136/157   Step: 961ms | Tot: 2m14s | Loss: 0.019 | Acc: 99.796% (34745/34816)              
 [========================================================>........] 137/157   Step: 1s66ms | Tot: 2m16s | Loss: 0.019 | Acc: 99.798% (35001/35072)              
 [========================================================>........] 138/157   Step: 961ms | Tot: 2m16s | Loss: 0.019 | Acc: 99.799% (35257/35328)              
 [=========================================================>.......] 139/157   Step: 965ms | Tot: 2m17s | Loss: 0.019 | Acc: 99.798% (35512/35584)              
 [=========================================================>.......] 140/157   Step: 966ms | Tot: 2m18s | Loss: 0.019 | Acc: 99.796% (35767/35840)              
 [=========================================================>.......] 141/157   Step: 961ms | Tot: 2m19s | Loss: 0.019 | Acc: 99.795% (36022/36096)              
 [==========================================================>......] 142/157   Step: 1s64ms | Tot: 2m20s | Loss: 0.019 | Acc: 99.796% (36278/36352)              
 [==========================================================>......] 143/157   Step: 969ms | Tot: 2m21s | Loss: 0.019 | Acc: 99.795% (36533/36608)              
 [===========================================================>.....] 144/157   Step: 987ms | Tot: 2m22s | Loss: 0.018 | Acc: 99.797% (36789/36864)              
 [===========================================================>.....] 145/157   Step: 976ms | Tot: 2m23s | Loss: 0.018 | Acc: 99.798% (37045/37120)              
 [============================================================>....] 146/157   Step: 1s68ms | Tot: 2m24s | Loss: 0.018 | Acc: 99.799% (37301/37376)              
 [============================================================>....] 147/157   Step: 965ms | Tot: 2m25s | Loss: 0.018 | Acc: 99.801% (37557/37632)              
 [============================================================>....] 148/157   Step: 963ms | Tot: 2m26s | Loss: 0.018 | Acc: 99.799% (37812/37888)              
 [=============================================================>...] 149/157   Step: 962ms | Tot: 2m27s | Loss: 0.018 | Acc: 99.801% (38068/38144)              
 [=============================================================>...] 150/157   Step: 963ms | Tot: 2m28s | Loss: 0.018 | Acc: 99.799% (38323/38400)              
 [==============================================================>..] 151/157   Step: 1s69ms | Tot: 2m29s | Loss: 0.018 | Acc: 99.798% (38578/38656)              
 [==============================================================>..] 152/157   Step: 959ms | Tot: 2m30s | Loss: 0.018 | Acc: 99.800% (38834/38912)              
 [==============================================================>..] 153/157   Step: 884ms | Tot: 2m31s | Loss: 0.018 | Acc: 99.801% (39090/39168)              
 [===============================================================>.] 154/157   Step: 866ms | Tot: 2m32s | Loss: 0.018 | Acc: 99.802% (39346/39424)              
 [===============================================================>.] 155/157   Step: 851ms | Tot: 2m33s | Loss: 0.018 | Acc: 99.801% (39601/39680)              
 [================================================================>] 156/157   Step: 954ms | Tot: 2m34s | Loss: 0.018 | Acc: 99.802% (39857/39936)              
 [================================================================>] 157/157   Step: 8s193ms | Tot: 2m42s | Loss: 0.018 | Acc: 99.797% (39919/40000)
 [>................................................................] 1/40   Step: 1s64ms | Tot: 0ms | Loss: 0.819 | Acc: 80.859% (207/256)              
