cifar100 loaded
There are 40000 training samples and 10000 validation samples
There are 10000 test samples.
This is records for stage 3
Train with the whole dataset.
load parameters
Use multiple GPU to train the network.
Use 100 epochs

Epoch: 0
 [>................................................................] 1/157   Step: 33s257ms | Tot: 0ms | Loss: 0.036 | Acc: 99.609% (255/256)              
 [>................................................................] 2/157   Step: 1s978ms | Tot: 1s978ms | Loss: 0.036 | Acc: 99.414% (509/512)              
 [>................................................................] 3/157   Step: 967ms | Tot: 2s946ms | Loss: 0.034 | Acc: 99.479% (764/768)              
 [=>...............................................................] 4/157   Step: 1s153ms | Tot: 4s100ms | Loss: 0.034 | Acc: 99.414% (1018/1024)              
 [=>...............................................................] 5/157   Step: 970ms | Tot: 5s70ms | Loss: 0.031 | Acc: 99.531% (1274/1280)              
 [==>..............................................................] 6/157   Step: 977ms | Tot: 6s48ms | Loss: 0.033 | Acc: 99.544% (1529/1536)              
 [==>..............................................................] 7/157   Step: 993ms | Tot: 7s41ms | Loss: 0.032 | Acc: 99.609% (1785/1792)              
 [==>..............................................................] 8/157   Step: 974ms | Tot: 8s16ms | Loss: 0.030 | Acc: 99.658% (2041/2048)              
 [===>.............................................................] 9/157   Step: 1s81ms | Tot: 9s98ms | Loss: 0.029 | Acc: 99.696% (2297/2304)              
 [===>.............................................................] 10/157   Step: 975ms | Tot: 10s73ms | Loss: 0.028 | Acc: 99.688% (2552/2560)              
 [====>............................................................] 11/157   Step: 965ms | Tot: 11s39ms | Loss: 0.031 | Acc: 99.609% (2805/2816)              
 [====================>............................................] 51/157   Step: 950ms | Tot: 50s856ms | Loss: 0.028 | Acc: 99.609% (13005/13056)              
 [=====================>...........................................] 52/157   Step: 950ms | Tot: 51s807ms | Loss: 0.028 | Acc: 99.609% (13260/13312)              
 [=====================>...........................................] 53/157   Step: 950ms | Tot: 52s758ms | Loss: 0.028 | Acc: 99.609% (13515/13568)              
 [=====================>...........................................] 54/157   Step: 1s57ms | Tot: 53s816ms | Loss: 0.028 | Acc: 99.609% (13770/13824)              
 [======================>..........................................] 55/157   Step: 947ms | Tot: 54s764ms | Loss: 0.028 | Acc: 99.616% (14026/14080)              
 [======================>..........................................] 56/157   Step: 950ms | Tot: 55s714ms | Loss: 0.028 | Acc: 99.623% (14282/14336)              
 [=======================>.........................................] 57/157   Step: 954ms | Tot: 56s669ms | Loss: 0.028 | Acc: 99.623% (14537/14592)              
 [=======================>.........................................] 58/157   Step: 971ms | Tot: 57s640ms | Loss: 0.027 | Acc: 99.630% (14793/14848)              
 [========================>........................................] 59/157   Step: 1s69ms | Tot: 58s710ms | Loss: 0.027 | Acc: 99.636% (15049/15104)              
 [========================>........................................] 60/157   Step: 956ms | Tot: 59s666ms | Loss: 0.027 | Acc: 99.642% (15305/15360)              
 [========================>........................................] 61/157   Step: 954ms | Tot: 1m621ms | Loss: 0.027 | Acc: 99.648% (15561/15616)              
 [=========================>.......................................] 62/157   Step: 961ms | Tot: 1m1s | Loss: 0.027 | Acc: 99.647% (15816/15872)              
 [=========================>.......................................] 63/157   Step: 951ms | Tot: 1m2s | Loss: 0.027 | Acc: 99.640% (16070/16128)              
 [==========================>......................................] 64/157   Step: 1s88ms | Tot: 1m3s | Loss: 0.027 | Acc: 99.646% (16326/16384)              
 [==========================>......................................] 65/157   Step: 947ms | Tot: 1m4s | Loss: 0.027 | Acc: 99.645% (16581/16640)              
 [==========================>......................................] 66/157   Step: 950ms | Tot: 1m5s | Loss: 0.027 | Acc: 99.645% (16836/16896)              
 [===========================>.....................................] 67/157   Step: 960ms | Tot: 1m6s | Loss: 0.026 | Acc: 99.650% (17092/17152)              
 [===========================>.....................................] 68/157   Step: 979ms | Tot: 1m7s | Loss: 0.026 | Acc: 99.650% (17347/17408)              
 [============================>....................................] 69/157   Step: 1s64ms | Tot: 1m8s | Loss: 0.026 | Acc: 99.655% (17603/17664)              
 [============================>....................................] 70/157   Step: 950ms | Tot: 1m9s | Loss: 0.026 | Acc: 99.660% (17859/17920)              
 [============================>....................................] 71/157   Step: 957ms | Tot: 1m10s | Loss: 0.026 | Acc: 99.664% (18115/18176)              
 [=============================>...................................] 72/157   Step: 949ms | Tot: 1m11s | Loss: 0.026 | Acc: 99.664% (18370/18432)              
 [=============================>...................................] 73/157   Step: 1s56ms | Tot: 1m12s | Loss: 0.026 | Acc: 99.668% (18626/18688)              
 [==============================>..................................] 74/157   Step: 952ms | Tot: 1m13s | Loss: 0.026 | Acc: 99.667% (18881/18944)              
 [==============================>..................................] 75/157   Step: 951ms | Tot: 1m14s | Loss: 0.026 | Acc: 99.672% (19137/19200)              
 [===============================>.................................] 76/157   Step: 954ms | Tot: 1m15s | Loss: 0.026 | Acc: 99.676% (19393/19456)              
 [===============================>.................................] 77/157   Step: 951ms | Tot: 1m16s | Loss: 0.026 | Acc: 99.675% (19648/19712)              
 [===============================>.................................] 78/157   Step: 1s80ms | Tot: 1m17s | Loss: 0.026 | Acc: 99.674% (19903/19968)              
 [================================>................................] 79/157   Step: 949ms | Tot: 1m18s | Loss: 0.026 | Acc: 99.659% (20155/20224)              
 [================================>................................] 80/157   Step: 950ms | Tot: 1m19s | Loss: 0.026 | Acc: 99.653% (20409/20480)              
 [=================================>...............................] 81/157   Step: 947ms | Tot: 1m20s | Loss: 0.026 | Acc: 99.658% (20665/20736)              
 [=================================>...............................] 82/157   Step: 948ms | Tot: 1m21s | Loss: 0.026 | Acc: 99.662% (20921/20992)              
 [=================================>...............................] 83/157   Step: 1s54ms | Tot: 1m22s | Loss: 0.026 | Acc: 99.666% (21177/21248)              
 [==================================>..............................] 84/157   Step: 951ms | Tot: 1m23s | Loss: 0.025 | Acc: 99.670% (21433/21504)              
 [==================================>..............................] 85/157   Step: 949ms | Tot: 1m24s | Loss: 0.025 | Acc: 99.669% (21688/21760)              
 [===================================>.............................] 86/157   Step: 950ms | Tot: 1m25s | Loss: 0.025 | Acc: 99.673% (21944/22016)              
 [===================================>.............................] 87/157   Step: 951ms | Tot: 1m25s | Loss: 0.025 | Acc: 99.668% (22198/22272)              
 [====================================>............................] 88/157   Step: 1s69ms | Tot: 1m27s | Loss: 0.025 | Acc: 99.672% (22454/22528)              
 [====================================>............................] 89/157   Step: 953ms | Tot: 1m28s | Loss: 0.025 | Acc: 99.675% (22710/22784)              
 [====================================>............................] 90/157   Step: 947ms | Tot: 1m28s | Loss: 0.025 | Acc: 99.679% (22966/23040)              
 [=====================================>...........................] 91/157   Step: 948ms | Tot: 1m29s | Loss: 0.025 | Acc: 99.682% (23222/23296)              
 [=====================================>...........................] 92/157   Step: 1s58ms | Tot: 1m30s | Loss: 0.025 | Acc: 99.682% (23477/23552)              
 [======================================>..........................] 93/157   Step: 950ms | Tot: 1m31s | Loss: 0.025 | Acc: 99.681% (23732/23808)              
 [======================================>..........................] 94/157   Step: 954ms | Tot: 1m32s | Loss: 0.025 | Acc: 99.680% (23987/24064)              
 [======================================>..........................] 95/157   Step: 953ms | Tot: 1m33s | Loss: 0.025 | Acc: 99.675% (24241/24320)              
 [=======================================>.........................] 96/157   Step: 952ms | Tot: 1m34s | Loss: 0.025 | Acc: 99.674% (24496/24576)              
 [=======================================>.........................] 97/157   Step: 1s61ms | Tot: 1m35s | Loss: 0.025 | Acc: 99.678% (24752/24832)              
 [========================================>........................] 98/157   Step: 960ms | Tot: 1m36s | Loss: 0.025 | Acc: 99.677% (25007/25088)              
 [========================================>........................] 99/157   Step: 960ms | Tot: 1m37s | Loss: 0.025 | Acc: 99.680% (25263/25344)              
 [========================================>........................] 100/157   Step: 955ms | Tot: 1m38s | Loss: 0.025 | Acc: 99.684% (25519/25600)              
 [=========================================>.......................] 101/157   Step: 1s57ms | Tot: 1m39s | Loss: 0.025 | Acc: 99.679% (25773/25856)              
 [=========================================>.......................] 102/157   Step: 953ms | Tot: 1m40s | Loss: 0.025 | Acc: 99.682% (26029/26112)              
 [==========================================>......................] 103/157   Step: 952ms | Tot: 1m41s | Loss: 0.025 | Acc: 99.685% (26285/26368)              
 [==========================================>......................] 104/157   Step: 950ms | Tot: 1m42s | Loss: 0.025 | Acc: 99.688% (26541/26624)              
 [===========================================>.....................] 105/157   Step: 949ms | Tot: 1m43s | Loss: 0.025 | Acc: 99.691% (26797/26880)              
 [===========================================>.....................] 106/157   Step: 1s83ms | Tot: 1m44s | Loss: 0.025 | Acc: 99.694% (27053/27136)              
 [===========================================>.....................] 107/157   Step: 949ms | Tot: 1m45s | Loss: 0.025 | Acc: 99.697% (27309/27392)              
 [============================================>....................] 108/157   Step: 954ms | Tot: 1m46s | Loss: 0.025 | Acc: 99.700% (27565/27648)              
 [============================================>....................] 109/157   Step: 977ms | Tot: 1m47s | Loss: 0.025 | Acc: 99.699% (27820/27904)              
 [=============================================>...................] 110/157   Step: 1s73ms | Tot: 1m48s | Loss: 0.025 | Acc: 99.695% (28074/28160)              
 [=============================================>...................] 111/157   Step: 949ms | Tot: 1m49s | Loss: 0.024 | Acc: 99.697% (28330/28416)              
