cifar10 loaded
There are 40000 training samples and 10000 validation samples
There are 10000 test samples.
This is records for stage 2
Train with the cl selected dataset.
load parameters
------------------ Start to select subsets ------------------
Selected 70 percent training data.
Use multiple GPU to train the network.
Use 100 epochs

Epoch: 0
 [=============================>...................................] 51/110   Step: 1s68ms | Tot: 50s999ms | Loss: 0.140 | Acc: 95.657% (12489/13056)              
 [==============================>..................................] 52/110   Step: 968ms | Tot: 51s967ms | Loss: 0.140 | Acc: 95.673% (12736/13312)              
 [==============================>..................................] 53/110   Step: 974ms | Tot: 52s942ms | Loss: 0.139 | Acc: 95.725% (12988/13568)              
 [===============================>.................................] 54/110   Step: 967ms | Tot: 53s909ms | Loss: 0.139 | Acc: 95.710% (13231/13824)              
 [===============================>.................................] 55/110   Step: 1s72ms | Tot: 54s982ms | Loss: 0.138 | Acc: 95.724% (13478/14080)              
 [================================>................................] 56/110   Step: 969ms | Tot: 55s951ms | Loss: 0.138 | Acc: 95.738% (13725/14336)              
 [=================================>...............................] 57/110   Step: 967ms | Tot: 56s919ms | Loss: 0.138 | Acc: 95.744% (13971/14592)              
 [=================================>...............................] 58/110   Step: 968ms | Tot: 57s887ms | Loss: 0.137 | Acc: 95.764% (14219/14848)              
 [==================================>..............................] 59/110   Step: 965ms | Tot: 58s853ms | Loss: 0.136 | Acc: 95.789% (14468/15104)              
 [==================================>..............................] 60/110   Step: 1s89ms | Tot: 59s943ms | Loss: 0.136 | Acc: 95.794% (14714/15360)              
 [===================================>.............................] 61/110   Step: 966ms | Tot: 1m909ms | Loss: 0.135 | Acc: 95.831% (14965/15616)              
 [====================================>............................] 62/110   Step: 962ms | Tot: 1m1s | Loss: 0.134 | Acc: 95.854% (15214/15872)              
 [====================================>............................] 63/110   Step: 968ms | Tot: 1m2s | Loss: 0.134 | Acc: 95.877% (15463/16128)              
 [=====================================>...........................] 64/110   Step: 1s73ms | Tot: 1m3s | Loss: 0.133 | Acc: 95.874% (15708/16384)              
 [=====================================>...........................] 65/110   Step: 970ms | Tot: 1m4s | Loss: 0.132 | Acc: 95.919% (15961/16640)              
