There are 40000 training samples and 10000 validation samples
There are 10000 test samples.
This is records for stage 3
Train with the whole dataset.
load parameters
Use multiple GPU to train the network.
Use 100 epochs

Epoch: 0
 [>................................................................] 1/157   Step: 42s174ms | Tot: 0ms | Loss: 0.008 | Acc: 100.000% (256/256)              
 [>................................................................] 2/157   Step: 1s985ms | Tot: 1s985ms | Loss: 0.007 | Acc: 100.000% (512/512)              
 [>................................................................] 3/157   Step: 974ms | Tot: 2s960ms | Loss: 0.007 | Acc: 99.870% (767/768)              
 [=>...............................................................] 4/157   Step: 1s168ms | Tot: 4s129ms | Loss: 0.008 | Acc: 99.902% (1023/1024)              
 [=>...............................................................] 5/157   Step: 969ms | Tot: 5s99ms | Loss: 0.010 | Acc: 99.844% (1278/1280)              
 [==>..............................................................] 6/157   Step: 987ms | Tot: 6s86ms | Loss: 0.012 | Acc: 99.805% (1533/1536)              
 [==>..............................................................] 7/157   Step: 968ms | Tot: 7s54ms | Loss: 0.014 | Acc: 99.721% (1787/1792)              
 [==>..............................................................] 8/157   Step: 973ms | Tot: 8s27ms | Loss: 0.016 | Acc: 99.658% (2041/2048)              
 [===>.............................................................] 9/157   Step: 1s79ms | Tot: 9s107ms | Loss: 0.015 | Acc: 99.696% (2297/2304)              
 [===>.............................................................] 10/157   Step: 975ms | Tot: 10s82ms | Loss: 0.014 | Acc: 99.727% (2553/2560)              
 [====>............................................................] 11/157   Step: 969ms | Tot: 11s52ms | Loss: 0.017 | Acc: 99.680% (2807/2816)              
 [====>............................................................] 12/157   Step: 967ms | Tot: 12s20ms | Loss: 0.018 | Acc: 99.609% (3060/3072)              
 [====>............................................................] 13/157   Step: 1s83ms | Tot: 13s103ms | Loss: 0.017 | Acc: 99.639% (3316/3328)              
 [=====>...........................................................] 14/157   Step: 970ms | Tot: 14s74ms | Loss: 0.016 | Acc: 99.665% (3572/3584)              
 [=====>...........................................................] 15/157   Step: 972ms | Tot: 15s47ms | Loss: 0.016 | Acc: 99.688% (3828/3840)              
 [======>..........................................................] 16/157   Step: 996ms | Tot: 16s43ms | Loss: 0.015 | Acc: 99.707% (4084/4096)              
 [======>..........................................................] 17/157   Step: 974ms | Tot: 17s17ms | Loss: 0.015 | Acc: 99.724% (4340/4352)              
 [=======>.........................................................] 18/157   Step: 1s70ms | Tot: 18s88ms | Loss: 0.015 | Acc: 99.718% (4595/4608)              
 [=======>.........................................................] 19/157   Step: 980ms | Tot: 19s68ms | Loss: 0.015 | Acc: 99.692% (4849/4864)              
 [=======>.........................................................] 20/157   Step: 976ms | Tot: 20s44ms | Loss: 0.015 | Acc: 99.668% (5103/5120)              
 [========>........................................................] 21/157   Step: 970ms | Tot: 21s15ms | Loss: 0.015 | Acc: 99.684% (5359/5376)              
 [========>........................................................] 22/157   Step: 1s105ms | Tot: 22s121ms | Loss: 0.015 | Acc: 99.680% (5614/5632)              
 [=========>.......................................................] 23/157   Step: 965ms | Tot: 23s86ms | Loss: 0.015 | Acc: 99.694% (5870/5888)              
 [=========>.......................................................] 24/157   Step: 963ms | Tot: 24s50ms | Loss: 0.015 | Acc: 99.674% (6124/6144)              
 [=========>.......................................................] 25/157   Step: 972ms | Tot: 25s22ms | Loss: 0.014 | Acc: 99.672% (6379/6400)              
 [==========>......................................................] 26/157   Step: 990ms | Tot: 26s13ms | Loss: 0.014 | Acc: 99.684% (6635/6656)              
 [==========>......................................................] 27/157   Step: 1s88ms | Tot: 27s102ms | Loss: 0.014 | Acc: 99.696% (6891/6912)              
 [===========>.....................................................] 28/157   Step: 966ms | Tot: 28s68ms | Loss: 0.013 | Acc: 99.707% (7147/7168)              
 [===========>.....................................................] 29/157   Step: 966ms | Tot: 29s35ms | Loss: 0.013 | Acc: 99.704% (7402/7424)              
 [============>....................................................] 30/157   Step: 970ms | Tot: 30s5ms | Loss: 0.013 | Acc: 99.701% (7657/7680)              
 [============>....................................................] 31/157   Step: 967ms | Tot: 30s972ms | Loss: 0.013 | Acc: 99.710% (7913/7936)              
 [============>....................................................] 32/157   Step: 1s76ms | Tot: 32s49ms | Loss: 0.013 | Acc: 99.707% (8168/8192)              
 [=============>...................................................] 33/157   Step: 966ms | Tot: 33s16ms | Loss: 0.013 | Acc: 99.716% (8424/8448)              
 [=============>...................................................] 34/157   Step: 970ms | Tot: 33s986ms | Loss: 0.012 | Acc: 99.724% (8680/8704)              
 [==============>..................................................] 35/157   Step: 969ms | Tot: 34s956ms | Loss: 0.012 | Acc: 99.732% (8936/8960)              
 [==============>..................................................] 36/157   Step: 1s91ms | Tot: 36s47ms | Loss: 0.012 | Acc: 99.729% (9191/9216)              
 [==============>..................................................] 37/157   Step: 974ms | Tot: 37s22ms | Loss: 0.012 | Acc: 99.726% (9446/9472)              
 [===============>.................................................] 38/157   Step: 970ms | Tot: 37s992ms | Loss: 0.012 | Acc: 99.733% (9702/9728)              
 [===============>.................................................] 39/157   Step: 970ms | Tot: 38s962ms | Loss: 0.012 | Acc: 99.740% (9958/9984)              
 [================>................................................] 40/157   Step: 976ms | Tot: 39s939ms | Loss: 0.012 | Acc: 99.746% (10214/10240)              
 [================>................................................] 41/157   Step: 1s71ms | Tot: 41s10ms | Loss: 0.012 | Acc: 99.752% (10470/10496)              
 [================>................................................] 42/157   Step: 973ms | Tot: 41s983ms | Loss: 0.012 | Acc: 99.758% (10726/10752)              
 [=================>...............................................] 43/157   Step: 972ms | Tot: 42s956ms | Loss: 0.012 | Acc: 99.764% (10982/11008)              
 [=================>...............................................] 44/157   Step: 972ms | Tot: 43s928ms | Loss: 0.011 | Acc: 99.769% (11238/11264)              
 [==================>..............................................] 45/157   Step: 1s106ms | Tot: 45s35ms | Loss: 0.011 | Acc: 99.766% (11493/11520)              
 [==================>..............................................] 46/157   Step: 982ms | Tot: 46s17ms | Loss: 0.011 | Acc: 99.771% (11749/11776)              
 [===================>.............................................] 47/157   Step: 979ms | Tot: 46s997ms | Loss: 0.011 | Acc: 99.776% (12005/12032)              
 [===================>.............................................] 48/157   Step: 966ms | Tot: 47s964ms | Loss: 0.012 | Acc: 99.764% (12259/12288)              
 [===================>.............................................] 49/157   Step: 961ms | Tot: 48s926ms | Loss: 0.011 | Acc: 99.761% (12514/12544)              
 [====================>............................................] 50/157   Step: 1s100ms | Tot: 50s26ms | Loss: 0.011 | Acc: 99.766% (12770/12800)              
 [====================>............................................] 51/157   Step: 971ms | Tot: 50s997ms | Loss: 0.011 | Acc: 99.770% (13026/13056)              
 [=====================>...........................................] 52/157   Step: 970ms | Tot: 51s967ms | Loss: 0.011 | Acc: 99.775% (13282/13312)              
 [=====================>...........................................] 53/157   Step: 962ms | Tot: 52s930ms | Loss: 0.011 | Acc: 99.772% (13537/13568)              
 [=====================>...........................................] 54/157   Step: 1s72ms | Tot: 54s2ms | Loss: 0.011 | Acc: 99.776% (13793/13824)              
 [======================>..........................................] 55/157   Step: 967ms | Tot: 54s970ms | Loss: 0.011 | Acc: 99.773% (14048/14080)              
 [======================>..........................................] 56/157   Step: 983ms | Tot: 55s953ms | Loss: 0.011 | Acc: 99.777% (14304/14336)              
 [=======================>.........................................] 57/157   Step: 975ms | Tot: 56s929ms | Loss: 0.011 | Acc: 99.774% (14559/14592)              
 [=======================>.........................................] 58/157   Step: 962ms | Tot: 57s891ms | Loss: 0.011 | Acc: 99.758% (14812/14848)              
 [========================>........................................] 59/157   Step: 1s73ms | Tot: 58s965ms | Loss: 0.011 | Acc: 99.762% (15068/15104)              
 [========================>........................................] 60/157   Step: 970ms | Tot: 59s935ms | Loss: 0.011 | Acc: 99.766% (15324/15360)              
 [========================>........................................] 61/157   Step: 966ms | Tot: 1m901ms | Loss: 0.011 | Acc: 99.757% (15578/15616)              
 [=========================>.......................................] 62/157   Step: 975ms | Tot: 1m1s | Loss: 0.011 | Acc: 99.761% (15834/15872)              
 [=========================>.......................................] 63/157   Step: 961ms | Tot: 1m2s | Loss: 0.011 | Acc: 99.758% (16089/16128)              
 [==========================>......................................] 64/157   Step: 1s72ms | Tot: 1m3s | Loss: 0.011 | Acc: 99.762% (16345/16384)              
 [==========================>......................................] 65/157   Step: 964ms | Tot: 1m4s | Loss: 0.011 | Acc: 99.766% (16601/16640)              
 [==========================>......................................] 66/157   Step: 981ms | Tot: 1m5s | Loss: 0.011 | Acc: 99.769% (16857/16896)              
 [===========================>.....................................] 67/157   Step: 971ms | Tot: 1m6s | Loss: 0.011 | Acc: 99.773% (17113/17152)              
