cifar100 loaded
There are 40000 training samples and 10000 validation samples
There are 10000 test samples.
This is records for stage 2
Train with the whole dataset.
load parameters
Use multiple GPU to train the network.
Use 100 epochs

Epoch: 0
 [>................................................................] 1/157   Step: 41s288ms | Tot: 0ms | Loss: 0.416 | Acc: 87.109% (223/256)              
 [>................................................................] 2/157   Step: 1s978ms | Tot: 1s978ms | Loss: 0.356 | Acc: 89.258% (457/512)              
 [>................................................................] 3/157   Step: 967ms | Tot: 2s945ms | Loss: 0.376 | Acc: 89.323% (686/768)              
 [=>...............................................................] 4/157   Step: 1s159ms | Tot: 4s105ms | Loss: 0.377 | Acc: 89.355% (915/1024)              
 [=>...............................................................] 5/157   Step: 955ms | Tot: 5s60ms | Loss: 0.379 | Acc: 89.219% (1142/1280)              
 [==>..............................................................] 6/157   Step: 961ms | Tot: 6s21ms | Loss: 0.382 | Acc: 88.932% (1366/1536)              
 [==>..............................................................] 7/157   Step: 969ms | Tot: 6s991ms | Loss: 0.373 | Acc: 89.230% (1599/1792)              
 [==>..............................................................] 8/157   Step: 956ms | Tot: 7s947ms | Loss: 0.376 | Acc: 89.062% (1824/2048)              
 [===>.............................................................] 9/157   Step: 1s59ms | Tot: 9s7ms | Loss: 0.368 | Acc: 89.106% (2053/2304)              
 [===>.............................................................] 10/157   Step: 954ms | Tot: 9s961ms | Loss: 0.370 | Acc: 89.023% (2279/2560)              
 [====>............................................................] 11/157   Step: 953ms | Tot: 10s915ms | Loss: 0.365 | Acc: 89.276% (2514/2816)              
 [====================>............................................] 51/157   Step: 1s63ms | Tot: 50s283ms | Loss: 0.272 | Acc: 92.203% (12038/13056)              
 [=====================>...........................................] 52/157   Step: 952ms | Tot: 51s235ms | Loss: 0.270 | Acc: 92.240% (12279/13312)              
 [=====================>...........................................] 53/157   Step: 954ms | Tot: 52s190ms | Loss: 0.268 | Acc: 92.335% (12528/13568)              
 [=====================>...........................................] 54/157   Step: 955ms | Tot: 53s145ms | Loss: 0.268 | Acc: 92.325% (12763/13824)              
 [======================>..........................................] 55/157   Step: 955ms | Tot: 54s101ms | Loss: 0.267 | Acc: 92.308% (12997/14080)              
 [======================>..........................................] 56/157   Step: 1s54ms | Tot: 55s155ms | Loss: 0.267 | Acc: 92.292% (13231/14336)              
 [=======================>.........................................] 57/157   Step: 951ms | Tot: 56s106ms | Loss: 0.266 | Acc: 92.345% (13475/14592)              
 [=======================>.........................................] 58/157   Step: 968ms | Tot: 57s75ms | Loss: 0.265 | Acc: 92.410% (13721/14848)              
 [========================>........................................] 59/157   Step: 967ms | Tot: 58s43ms | Loss: 0.263 | Acc: 92.466% (13966/15104)              
 [========================>........................................] 60/157   Step: 1s61ms | Tot: 59s104ms | Loss: 0.261 | Acc: 92.552% (14216/15360)              
 [========================>........................................] 61/157   Step: 958ms | Tot: 1m63ms | Loss: 0.259 | Acc: 92.604% (14461/15616)              
 [=========================>.......................................] 62/157   Step: 957ms | Tot: 1m1s | Loss: 0.258 | Acc: 92.660% (14707/15872)              
