cifar10 loaded
There are 40000 training samples and 10000 validation samples
There are 10000 test samples.
This is records for stage 2
Train with the wcl selected dataset.
load parameters
Now try to run the WCL algorithm
Selected 3069 boundary instances.
Start to select 6506 samples for a fair comparison.
The unique selected subset size is: 6506
Use multiple GPU to train the network.
Use 100 epochs

Epoch: 0
 [=======================================>.........................] 25/40   Step: 425ms | Tot: 10s666ms | Loss: 0.668 | Acc: 81.297% (5203/6400)              
 [========================================>........................] 26/40   Step: 427ms | Tot: 11s93ms | Loss: 0.675 | Acc: 81.085% (5397/6656)              
 [==========================================>......................] 27/40   Step: 443ms | Tot: 11s537ms | Loss: 0.677 | Acc: 81.076% (5604/6912)              
 [===========================================>.....................] 28/40   Step: 425ms | Tot: 11s963ms | Loss: 0.685 | Acc: 81.069% (5811/7168)              
 [=============================================>...................] 29/40   Step: 534ms | Tot: 12s497ms | Loss: 0.691 | Acc: 80.900% (6006/7424)              
 [===============================================>.................] 30/40   Step: 425ms | Tot: 12s922ms | Loss: 0.692 | Acc: 80.885% (6212/7680)              
 [================================================>................] 31/40   Step: 426ms | Tot: 13s349ms | Loss: 0.692 | Acc: 80.973% (6426/7936)              
 [==================================================>..............] 32/40   Step: 424ms | Tot: 13s774ms | Loss: 0.690 | Acc: 80.969% (6633/8192)              
 [====================================================>............] 33/40   Step: 440ms | Tot: 14s214ms | Loss: 0.690 | Acc: 80.978% (6841/8448)              
 [=====================================================>...........] 34/40   Step: 425ms | Tot: 14s640ms | Loss: 0.687 | Acc: 81.032% (7053/8704)              
 [=======================================================>.........] 35/40   Step: 527ms | Tot: 15s168ms | Loss: 0.689 | Acc: 81.049% (7262/8960)              
 [========================================================>........] 36/40   Step: 385ms | Tot: 15s553ms | Loss: 0.690 | Acc: 81.044% (7469/9216)              
 [==========================================================>......] 37/40   Step: 382ms | Tot: 15s936ms | Loss: 0.691 | Acc: 81.007% (7673/9472)              
 [============================================================>....] 38/40   Step: 381ms | Tot: 16s317ms | Loss: 0.696 | Acc: 80.890% (7869/9728)              
 [=============================================================>...] 39/40   Step: 381ms | Tot: 16s698ms | Loss: 0.695 | Acc: 80.889% (8076/9984)              
 [===============================================================>.] 40/40   Step: 2s455ms | Tot: 19s154ms | Loss: 0.695 | Acc: 80.900% (8090/10000)
Saving with better validation accuracy model: 80.900..

Epoch: 1
 [>................................................................] 1/26   Step: 3s97ms | Tot: 0ms | Loss: 0.224 | Acc: 92.578% (237/256)              
 [==>..............................................................] 2/26   Step: 1s | Tot: 1s | Loss: 0.240 | Acc: 91.992% (471/512)              
 [=====>...........................................................] 3/26   Step: 996ms | Tot: 1s997ms | Loss: 0.219 | Acc: 92.969% (714/768)              
 [=======>.........................................................] 4/26   Step: 998ms | Tot: 2s995ms | Loss: 0.232 | Acc: 92.480% (947/1024)              
 [==========>......................................................] 5/26   Step: 1s163ms | Tot: 4s158ms | Loss: 0.235 | Acc: 92.656% (1186/1280)              
 [============>....................................................] 6/26   Step: 997ms | Tot: 5s156ms | Loss: 0.228 | Acc: 92.773% (1425/1536)              
 [===============>.................................................] 7/26   Step: 997ms | Tot: 6s153ms | Loss: 0.261 | Acc: 92.243% (1653/1792)              
 [=================>...............................................] 8/26   Step: 996ms | Tot: 7s150ms | Loss: 0.254 | Acc: 92.480% (1894/2048)              
 [====================>............................................] 9/26   Step: 1s97ms | Tot: 8s248ms | Loss: 0.255 | Acc: 92.318% (2127/2304)              
 [======================>..........................................] 10/26   Step: 1s15ms | Tot: 9s263ms | Loss: 0.250 | Acc: 92.383% (2365/2560)              
 [=========================>.......................................] 11/26   Step: 994ms | Tot: 10s257ms | Loss: 0.246 | Acc: 92.472% (2604/2816)              
 [===========================>.....................................] 12/26   Step: 989ms | Tot: 11s247ms | Loss: 0.246 | Acc: 92.480% (2841/3072)              
 [==============================>..................................] 13/26   Step: 987ms | Tot: 12s235ms | Loss: 0.242 | Acc: 92.608% (3082/3328)              
 [================================>................................] 14/26   Step: 1s130ms | Tot: 13s365ms | Loss: 0.240 | Acc: 92.773% (3325/3584)              
 [===================================>.............................] 15/26   Step: 987ms | Tot: 14s353ms | Loss: 0.241 | Acc: 92.656% (3558/3840)              
