cifar10 loaded
There are 40000 training samples and 10000 validation samples
There are 10000 test samples.
This is records for stage 3
Train with the pop selected dataset.
load parameters
Now try to run the algorithm POP
------------------ Start to select subsets ------------------
Selected 9674 samples for weakkness <= 7.
Train with the selected 9674 samples.
Use multiple GPU to train the network.
Use 100 epochs

Epoch: 0
 [===================>.............................................] 13/40   Step: 415ms | Tot: 5s296ms | Loss: 0.419 | Acc: 89.093% (2965/3328)              
 [=====================>...........................................] 14/40   Step: 415ms | Tot: 5s712ms | Loss: 0.411 | Acc: 89.258% (3199/3584)              
 [======================>..........................................] 15/40   Step: 417ms | Tot: 6s129ms | Loss: 0.417 | Acc: 89.297% (3429/3840)              
 [========================>........................................] 16/40   Step: 415ms | Tot: 6s544ms | Loss: 0.425 | Acc: 89.111% (3650/4096)              
 [==========================>......................................] 17/40   Step: 518ms | Tot: 7s62ms | Loss: 0.426 | Acc: 89.040% (3875/4352)              
 [===========================>.....................................] 18/40   Step: 416ms | Tot: 7s479ms | Loss: 0.439 | Acc: 88.737% (4089/4608)              
 [=============================>...................................] 19/40   Step: 419ms | Tot: 7s898ms | Loss: 0.438 | Acc: 88.734% (4316/4864)              
 [==============================>..................................] 20/40   Step: 433ms | Tot: 8s332ms | Loss: 0.434 | Acc: 88.809% (4547/5120)              
 [================================>................................] 21/40   Step: 414ms | Tot: 8s746ms | Loss: 0.442 | Acc: 88.709% (4769/5376)              
 [==================================>..............................] 22/40   Step: 412ms | Tot: 9s159ms | Loss: 0.445 | Acc: 88.530% (4986/5632)              
 [===================================>.............................] 23/40   Step: 413ms | Tot: 9s572ms | Loss: 0.445 | Acc: 88.536% (5213/5888)              
 [=====================================>...........................] 24/40   Step: 520ms | Tot: 10s93ms | Loss: 0.443 | Acc: 88.590% (5443/6144)              
 [=======================================>.........................] 25/40   Step: 412ms | Tot: 10s506ms | Loss: 0.446 | Acc: 88.578% (5669/6400)              
 [========================================>........................] 26/40   Step: 414ms | Tot: 10s920ms | Loss: 0.454 | Acc: 88.447% (5887/6656)              
 [==========================================>......................] 27/40   Step: 414ms | Tot: 11s334ms | Loss: 0.458 | Acc: 88.411% (6111/6912)              
 [===========================================>.....................] 28/40   Step: 413ms | Tot: 11s748ms | Loss: 0.465 | Acc: 88.281% (6328/7168)              
 [=============================================>...................] 29/40   Step: 413ms | Tot: 12s161ms | Loss: 0.465 | Acc: 88.268% (6553/7424)              
 [===============================================>.................] 30/40   Step: 417ms | Tot: 12s578ms | Loss: 0.464 | Acc: 88.281% (6780/7680)              
 [================================================>................] 31/40   Step: 518ms | Tot: 13s97ms | Loss: 0.464 | Acc: 88.294% (7007/7936)              
 [==================================================>..............] 32/40   Step: 417ms | Tot: 13s515ms | Loss: 0.462 | Acc: 88.342% (7237/8192)              
 [====================================================>............] 33/40   Step: 415ms | Tot: 13s931ms | Loss: 0.460 | Acc: 88.364% (7465/8448)              
 [=====================================================>...........] 34/40   Step: 415ms | Tot: 14s346ms | Loss: 0.460 | Acc: 88.396% (7694/8704)              
 [=======================================================>.........] 35/40   Step: 414ms | Tot: 14s761ms | Loss: 0.460 | Acc: 88.426% (7923/8960)              
 [========================================================>........] 36/40   Step: 373ms | Tot: 15s134ms | Loss: 0.465 | Acc: 88.346% (8142/9216)              
 [==========================================================>......] 37/40   Step: 372ms | Tot: 15s507ms | Loss: 0.464 | Acc: 88.334% (8367/9472)              
 [============================================================>....] 38/40   Step: 474ms | Tot: 15s981ms | Loss: 0.464 | Acc: 88.240% (8584/9728)              
 [=============================================================>...] 39/40   Step: 375ms | Tot: 16s357ms | Loss: 0.463 | Acc: 88.311% (8817/9984)              
 [===============================================================>.] 40/40   Step: 2s342ms | Tot: 18s699ms | Loss: 0.463 | Acc: 88.300% (8830/10000)
Saving with better validation accuracy model: 88.300..

Epoch: 1
 [>................................................................] 1/38   Step: 3s15ms | Tot: 0ms | Loss: 0.002 | Acc: 100.000% (256/256)              
 [=>...............................................................] 2/38   Step: 973ms | Tot: 973ms | Loss: 0.002 | Acc: 100.000% (512/512)              
 [===>.............................................................] 3/38   Step: 1s138ms | Tot: 2s111ms | Loss: 0.002 | Acc: 100.000% (768/768)              
 [=====>...........................................................] 4/38   Step: 968ms | Tot: 3s80ms | Loss: 0.002 | Acc: 100.000% (1024/1024)              
 [======>..........................................................] 5/38   Step: 965ms | Tot: 4s46ms | Loss: 0.002 | Acc: 100.000% (1280/1280)              
 [========>........................................................] 6/38   Step: 970ms | Tot: 5s16ms | Loss: 0.002 | Acc: 100.000% (1536/1536)              
 [==========>......................................................] 7/38   Step: 1s68ms | Tot: 6s85ms | Loss: 0.002 | Acc: 100.000% (1792/1792)              
 [===========>.....................................................] 8/38   Step: 987ms | Tot: 7s72ms | Loss: 0.002 | Acc: 100.000% (2048/2048)              
 [=============>...................................................] 9/38   Step: 966ms | Tot: 8s39ms | Loss: 0.002 | Acc: 100.000% (2304/2304)              
 [===============>.................................................] 10/38   Step: 969ms | Tot: 9s8ms | Loss: 0.002 | Acc: 100.000% (2560/2560)              
 [=================>...............................................] 11/38   Step: 963ms | Tot: 9s971ms | Loss: 0.002 | Acc: 100.000% (2816/2816)              
 [==================>..............................................] 12/38   Step: 1s87ms | Tot: 11s59ms | Loss: 0.002 | Acc: 100.000% (3072/3072)              
 [====================>............................................] 13/38   Step: 967ms | Tot: 12s26ms | Loss: 0.002 | Acc: 100.000% (3328/3328)              
 [======================>..........................................] 14/38   Step: 962ms | Tot: 12s989ms | Loss: 0.002 | Acc: 100.000% (3584/3584)              
 [=======================>.........................................] 15/38   Step: 962ms | Tot: 13s952ms | Loss: 0.002 | Acc: 100.000% (3840/3840)              
 [=========================>.......................................] 16/38   Step: 968ms | Tot: 14s920ms | Loss: 0.002 | Acc: 99.976% (4095/4096)              
 [===========================>.....................................] 17/38   Step: 1s82ms | Tot: 16s2ms | Loss: 0.002 | Acc: 99.977% (4351/4352)              
 [=============================>...................................] 18/38   Step: 981ms | Tot: 16s984ms | Loss: 0.002 | Acc: 99.978% (4607/4608)              
