cifar10 loaded
There are 40000 training samples and 10000 validation samples
There are 10000 test samples.
This is records for stage 3
Train with the wcl selected dataset.
load parameters
Now try to run the WCL algorithm
Selected 3069 boundary instances.
Start to select 6506 samples for a fair comparison.
The unique selected subset size is: 6506
Use multiple GPU to train the network.
Use 100 epochs

Epoch: 0
 [=======================================>.........................] 25/40   Step: 420ms | Tot: 10s567ms | Loss: 0.668 | Acc: 84.484% (5407/6400)              
 [========================================>........................] 26/40   Step: 421ms | Tot: 10s988ms | Loss: 0.679 | Acc: 84.360% (5615/6656)              
 [==========================================>......................] 27/40   Step: 421ms | Tot: 11s409ms | Loss: 0.681 | Acc: 84.404% (5834/6912)              
 [===========================================>.....................] 28/40   Step: 420ms | Tot: 11s830ms | Loss: 0.689 | Acc: 84.333% (6045/7168)              
 [=============================================>...................] 29/40   Step: 536ms | Tot: 12s366ms | Loss: 0.692 | Acc: 84.308% (6259/7424)              
 [===============================================>.................] 30/40   Step: 424ms | Tot: 12s790ms | Loss: 0.699 | Acc: 84.167% (6464/7680)              
 [================================================>................] 31/40   Step: 423ms | Tot: 13s214ms | Loss: 0.697 | Acc: 84.274% (6688/7936)              
 [==================================================>..............] 32/40   Step: 420ms | Tot: 13s634ms | Loss: 0.696 | Acc: 84.253% (6902/8192)              
 [====================================================>............] 33/40   Step: 418ms | Tot: 14s53ms | Loss: 0.695 | Acc: 84.209% (7114/8448)              
 [=====================================================>...........] 34/40   Step: 416ms | Tot: 14s469ms | Loss: 0.694 | Acc: 84.283% (7336/8704)              
 [=======================================================>.........] 35/40   Step: 520ms | Tot: 14s989ms | Loss: 0.694 | Acc: 84.342% (7557/8960)              
 [========================================================>........] 36/40   Step: 375ms | Tot: 15s365ms | Loss: 0.696 | Acc: 84.266% (7766/9216)              
 [==========================================================>......] 37/40   Step: 370ms | Tot: 15s735ms | Loss: 0.698 | Acc: 84.280% (7983/9472)              
 [============================================================>....] 38/40   Step: 370ms | Tot: 16s106ms | Loss: 0.701 | Acc: 84.180% (8189/9728)              
 [=============================================================>...] 39/40   Step: 370ms | Tot: 16s477ms | Loss: 0.699 | Acc: 84.235% (8410/9984)              
 [===============================================================>.] 40/40   Step: 2s572ms | Tot: 19s49ms | Loss: 0.698 | Acc: 84.250% (8425/10000)
Saving with better validation accuracy model: 84.250..

Epoch: 1
 [>................................................................] 1/26   Step: 2s975ms | Tot: 0ms | Loss: 0.148 | Acc: 96.484% (247/256)              
 [==>..............................................................] 2/26   Step: 980ms | Tot: 980ms | Loss: 0.156 | Acc: 95.508% (489/512)              
