cifar10 loaded
There are 40000 training samples and 10000 validation samples
There are 10000 test samples.
This is records for stage 2
Train with the pop selected dataset.
load parameters
Now try to run the algorithm POP
------------------ Start to select subsets ------------------
Selected 5439 samples for weakkness <= 5.
Train with the selected 5439 samples.
Use multiple GPU to train the network.
Use 100 epochs

Epoch: 0
 [=============================================>...................] 29/40   Step: 414ms | Tot: 12s307ms | Loss: 1.077 | Acc: 73.693% (5471/7424)              
 [===============================================>.................] 30/40   Step: 412ms | Tot: 12s719ms | Loss: 1.072 | Acc: 73.750% (5664/7680)              
 [================================================>................] 31/40   Step: 411ms | Tot: 13s131ms | Loss: 1.066 | Acc: 73.866% (5862/7936)              
 [==================================================>..............] 32/40   Step: 412ms | Tot: 13s543ms | Loss: 1.069 | Acc: 73.853% (6050/8192)              
 [====================================================>............] 33/40   Step: 410ms | Tot: 13s954ms | Loss: 1.070 | Acc: 73.828% (6237/8448)              
 [=====================================================>...........] 34/40   Step: 516ms | Tot: 14s471ms | Loss: 1.066 | Acc: 73.897% (6432/8704)              
 [=======================================================>.........] 35/40   Step: 412ms | Tot: 14s883ms | Loss: 1.061 | Acc: 74.007% (6631/8960)              
 [========================================================>........] 36/40   Step: 373ms | Tot: 15s256ms | Loss: 1.063 | Acc: 73.980% (6818/9216)              
 [==========================================================>......] 37/40   Step: 368ms | Tot: 15s624ms | Loss: 1.059 | Acc: 74.018% (7011/9472)              
 [============================================================>....] 38/40   Step: 370ms | Tot: 15s994ms | Loss: 1.063 | Acc: 73.890% (7188/9728)              
 [=============================================================>...] 39/40   Step: 477ms | Tot: 16s472ms | Loss: 1.060 | Acc: 73.918% (7380/9984)              
 [===============================================================>.] 40/40   Step: 2s554ms | Tot: 19s27ms | Loss: 1.061 | Acc: 73.910% (7391/10000)
Saving with better validation accuracy model: 73.910..

Epoch: 1
 [>................................................................] 1/22   Step: 2s987ms | Tot: 0ms | Loss: 0.032 | Acc: 100.000% (256/256)              
 [==>..............................................................] 2/22   Step: 979ms | Tot: 979ms | Loss: 0.027 | Acc: 100.000% (512/512)              
 [=====>...........................................................] 3/22   Step: 970ms | Tot: 1s949ms | Loss: 0.032 | Acc: 99.609% (765/768)              
 [========>........................................................] 4/22   Step: 1s154ms | Tot: 3s104ms | Loss: 0.033 | Acc: 99.512% (1019/1024)              
 [===========>.....................................................] 5/22   Step: 963ms | Tot: 4s67ms | Loss: 0.034 | Acc: 99.531% (1274/1280)              
 [==============>..................................................] 6/22   Step: 969ms | Tot: 5s37ms | Loss: 0.034 | Acc: 99.349% (1526/1536)              
 [=================>...............................................] 7/22   Step: 975ms | Tot: 6s12ms | Loss: 0.032 | Acc: 99.442% (1782/1792)              
 [====================>............................................] 8/22   Step: 970ms | Tot: 6s983ms | Loss: 0.033 | Acc: 99.365% (2035/2048)              
 [=======================>.........................................] 9/22   Step: 1s78ms | Tot: 8s61ms | Loss: 0.034 | Acc: 99.262% (2287/2304)              
 [==========================>......................................] 10/22   Step: 948ms | Tot: 9s10ms | Loss: 0.035 | Acc: 99.258% (2541/2560)              
 [=============================>...................................] 11/22   Step: 950ms | Tot: 9s960ms | Loss: 0.035 | Acc: 99.254% (2795/2816)              
 [================================>................................] 12/22   Step: 945ms | Tot: 10s906ms | Loss: 0.036 | Acc: 99.219% (3048/3072)              
 [===================================>.............................] 13/22   Step: 1s51ms | Tot: 11s957ms | Loss: 0.037 | Acc: 99.189% (3301/3328)              
 [======================================>..........................] 14/22   Step: 950ms | Tot: 12s908ms | Loss: 0.039 | Acc: 99.051% (3550/3584)              
 [=========================================>.......................] 15/22   Step: 945ms | Tot: 13s853ms | Loss: 0.038 | Acc: 99.089% (3805/3840)              
 [============================================>....................] 16/22   Step: 951ms | Tot: 14s805ms | Loss: 0.038 | Acc: 99.097% (4059/4096)              
 [===============================================>.................] 17/22   Step: 963ms | Tot: 15s769ms | Loss: 0.038 | Acc: 99.127% (4314/4352)              
