cifar100 loaded
There are 40000 training samples and 10000 validation samples
There are 10000 test samples.
This is records for stage 3
Train with the wcl selected dataset.
load parameters
Now try to run the WCL algorithm
Selected 12258 boundary instances.
Select 10.00 percent samples, 444 overlapping with the pre-selected boundary samples
The unique selected subset size is: 15811
Use multiple GPU to train the network.
Use 100 epochs

Epoch: 0
 [===================================================>.............] 50/62   Step: 1s77ms | Tot: 49s370ms | Loss: 0.174 | Acc: 95.812% (12264/12800)              
 [====================================================>............] 51/62   Step: 958ms | Tot: 50s328ms | Loss: 0.174 | Acc: 95.803% (12508/13056)              
 [=====================================================>...........] 52/62   Step: 956ms | Tot: 51s285ms | Loss: 0.174 | Acc: 95.771% (12749/13312)              
 [======================================================>..........] 53/62   Step: 952ms | Tot: 52s238ms | Loss: 0.174 | Acc: 95.777% (12995/13568)              
 [=======================================================>.........] 54/62   Step: 1s61ms | Tot: 53s300ms | Loss: 0.175 | Acc: 95.761% (13238/13824)              
 [========================================================>........] 55/62   Step: 956ms | Tot: 54s256ms | Loss: 0.175 | Acc: 95.732% (13479/14080)              
 [=========================================================>.......] 56/62   Step: 954ms | Tot: 55s211ms | Loss: 0.177 | Acc: 95.682% (13717/14336)              
 [==========================================================>......] 57/62   Step: 953ms | Tot: 56s165ms | Loss: 0.177 | Acc: 95.696% (13964/14592)              
 [===========================================================>.....] 58/62   Step: 928ms | Tot: 57s93ms | Loss: 0.177 | Acc: 95.696% (14209/14848)              
 [============================================================>....] 59/62   Step: 948ms | Tot: 58s41ms | Loss: 0.178 | Acc: 95.663% (14449/15104)              
 [=============================================================>...] 60/62   Step: 842ms | Tot: 58s884ms | Loss: 0.178 | Acc: 95.677% (14696/15360)              
 [==============================================================>..] 61/62   Step: 864ms | Tot: 59s748ms | Loss: 0.177 | Acc: 95.690% (14943/15616)              
 [===============================================================>.] 62/62   Step: 9s291ms | Tot: 1m9s | Loss: 0.178 | Acc: 95.668% (15126/15811)
 [>................................................................] 1/40   Step: 1s109ms | Tot: 0ms | Loss: 1.343 | Acc: 65.625% (168/256)              
 [=>...............................................................] 2/40   Step: 628ms | Tot: 628ms | Loss: 1.395 | Acc: 66.211% (339/512)              
 [===>.............................................................] 3/40   Step: 413ms | Tot: 1s42ms | Loss: 1.391 | Acc: 66.146% (508/768)              
 [====>............................................................] 4/40   Step: 413ms | Tot: 1s456ms | Loss: 1.434 | Acc: 66.113% (677/1024)              
 [======>..........................................................] 5/40   Step: 415ms | Tot: 1s871ms | Loss: 1.473 | Acc: 65.000% (832/1280)              
 [========>........................................................] 6/40   Step: 414ms | Tot: 2s286ms | Loss: 1.470 | Acc: 64.974% (998/1536)              
 [=========>.......................................................] 7/40   Step: 516ms | Tot: 2s803ms | Loss: 1.491 | Acc: 65.011% (1165/1792)              
 [===========>.....................................................] 8/40   Step: 417ms | Tot: 3s221ms | Loss: 1.497 | Acc: 64.990% (1331/2048)              
 [=============>...................................................] 9/40   Step: 415ms | Tot: 3s636ms | Loss: 1.499 | Acc: 64.887% (1495/2304)              
 [==============>..................................................] 10/40   Step: 418ms | Tot: 4s55ms | Loss: 1.488 | Acc: 65.352% (1673/2560)              
 [================>................................................] 11/40   Step: 421ms | Tot: 4s476ms | Loss: 1.468 | Acc: 65.554% (1846/2816)              
 [=================>...............................................] 12/40   Step: 416ms | Tot: 4s892ms | Loss: 1.459 | Acc: 65.885% (2024/3072)              
 [===================>.............................................] 13/40   Step: 513ms | Tot: 5s406ms | Loss: 1.451 | Acc: 65.865% (2192/3328)              
 [=====================>...........................................] 14/40   Step: 418ms | Tot: 5s824ms | Loss: 1.460 | Acc: 65.709% (2355/3584)              
 [======================>..........................................] 15/40   Step: 420ms | Tot: 6s245ms | Loss: 1.446 | Acc: 65.833% (2528/3840)              
 [========================>........................................] 16/40   Step: 417ms | Tot: 6s662ms | Loss: 1.440 | Acc: 65.942% (2701/4096)              
 [==========================>......................................] 17/40   Step: 419ms | Tot: 7s82ms | Loss: 1.443 | Acc: 66.153% (2879/4352)              
 [===========================>.....................................] 18/40   Step: 524ms | Tot: 7s607ms | Loss: 1.449 | Acc: 65.907% (3037/4608)              
 [=============================>...................................] 19/40   Step: 417ms | Tot: 8s25ms | Loss: 1.442 | Acc: 65.995% (3210/4864)              
