cifar10 loaded
There are 40000 training samples and 10000 validation samples
There are 10000 test samples.
This is records for stage 1
Train with the wcl selected dataset (by weighted the boundary points).
Now try to run the WCL algorithm, by scaling up boundary sample scores
Scale up the boundary sample scores to 1
Start to select 12000 samples for a fair comparison.
Use multiple GPU to train the network.
Use 150 epochs

Epoch: 0
 [====>............................................................] 4/40   Step: 415ms | Tot: 1s420ms | Loss: 2.022 | Acc: 35.645% (365/1024)              
 [======>..........................................................] 5/40   Step: 421ms | Tot: 1s841ms | Loss: 2.070 | Acc: 35.234% (451/1280)              
 [========>........................................................] 6/40   Step: 426ms | Tot: 2s268ms | Loss: 2.121 | Acc: 33.659% (517/1536)              
 [=========>.......................................................] 7/40   Step: 416ms | Tot: 2s684ms | Loss: 2.078 | Acc: 33.929% (608/1792)              
 [===========>.....................................................] 8/40   Step: 418ms | Tot: 3s102ms | Loss: 2.074 | Acc: 33.789% (692/2048)              
 [=============>...................................................] 9/40   Step: 518ms | Tot: 3s621ms | Loss: 2.093 | Acc: 33.594% (774/2304)              
 [==============>..................................................] 10/40   Step: 414ms | Tot: 4s36ms | Loss: 2.082 | Acc: 33.555% (859/2560)              
 [================>................................................] 11/40   Step: 416ms | Tot: 4s452ms | Loss: 2.067 | Acc: 34.162% (962/2816)              
 [=================>...............................................] 12/40   Step: 416ms | Tot: 4s869ms | Loss: 2.067 | Acc: 34.049% (1046/3072)              
 [===================>.............................................] 13/40   Step: 414ms | Tot: 5s283ms | Loss: 2.091 | Acc: 33.383% (1111/3328)              
 [=====================>...........................................] 14/40   Step: 522ms | Tot: 5s806ms | Loss: 2.095 | Acc: 33.454% (1199/3584)              
 [======================>..........................................] 15/40   Step: 415ms | Tot: 6s221ms | Loss: 2.085 | Acc: 33.776% (1297/3840)              
 [========================>........................................] 16/40   Step: 415ms | Tot: 6s636ms | Loss: 2.078 | Acc: 33.911% (1389/4096)              
 [==========================>......................................] 17/40   Step: 415ms | Tot: 7s51ms | Loss: 2.072 | Acc: 33.961% (1478/4352)              
 [===========================>.....................................] 18/40   Step: 416ms | Tot: 7s468ms | Loss: 2.072 | Acc: 34.071% (1570/4608)              
 [=============================>...................................] 19/40   Step: 416ms | Tot: 7s885ms | Loss: 2.073 | Acc: 34.108% (1659/4864)              
 [==============================>..................................] 20/40   Step: 520ms | Tot: 8s405ms | Loss: 2.062 | Acc: 34.121% (1747/5120)              
 [================================>................................] 21/40   Step: 416ms | Tot: 8s821ms | Loss: 2.057 | Acc: 34.040% (1830/5376)              
 [==================================>..............................] 22/40   Step: 416ms | Tot: 9s237ms | Loss: 2.061 | Acc: 34.126% (1922/5632)              
 [===================================>.............................] 23/40   Step: 415ms | Tot: 9s653ms | Loss: 2.058 | Acc: 34.171% (2012/5888)              
