cifar10 loaded
There are 40000 training samples and 10000 validation samples
There are 10000 test samples.
This is records for stage 3
Train with the cl selected dataset.
------------------ Start to select subsets ------------------
Start to select 14546 samples for a fair comparison.
Use multiple GPU to train the network.
load parameters
Use 100 epochs

Epoch: 0
 [>................................................................] 1/57   Step: 41s951ms | Tot: 0ms | Loss: 0.100 | Acc: 98.047% (251/256)              
 [=>...............................................................] 2/57   Step: 1s962ms | Tot: 1s962ms | Loss: 0.113 | Acc: 97.656% (500/512)              
 [==>..............................................................] 3/57   Step: 965ms | Tot: 2s928ms | Loss: 0.126 | Acc: 97.135% (746/768)              
 [===>.............................................................] 4/57   Step: 1s165ms | Tot: 4s93ms | Loss: 0.134 | Acc: 97.168% (995/1024)              
 [====>............................................................] 5/57   Step: 961ms | Tot: 5s54ms | Loss: 0.138 | Acc: 97.109% (1243/1280)              
 [=====>...........................................................] 6/57   Step: 961ms | Tot: 6s15ms | Loss: 0.122 | Acc: 97.266% (1494/1536)              
 [======>..........................................................] 7/57   Step: 954ms | Tot: 6s970ms | Loss: 0.134 | Acc: 97.098% (1740/1792)              
 [=======>.........................................................] 8/57   Step: 955ms | Tot: 7s926ms | Loss: 0.128 | Acc: 97.168% (1990/2048)              
 [=========>.......................................................] 9/57   Step: 1s58ms | Tot: 8s985ms | Loss: 0.141 | Acc: 96.962% (2234/2304)              
 [==========>......................................................] 10/57   Step: 952ms | Tot: 9s937ms | Loss: 0.141 | Acc: 96.875% (2480/2560)              
 [===========>.....................................................] 11/57   Step: 952ms | Tot: 10s890ms | Loss: 0.145 | Acc: 96.733% (2724/2816)              
 [============>....................................................] 12/57   Step: 959ms | Tot: 11s849ms | Loss: 0.140 | Acc: 96.842% (2975/3072)              
 [=============>...................................................] 13/57   Step: 961ms | Tot: 12s811ms | Loss: 0.136 | Acc: 96.905% (3225/3328)              
 [=========================================================>.......] 51/57   Step: 1s56ms | Tot: 50s339ms | Loss: 0.141 | Acc: 96.492% (12598/13056)              
 [==========================================================>......] 52/57   Step: 961ms | Tot: 51s301ms | Loss: 0.142 | Acc: 96.439% (12838/13312)              
 [===========================================================>.....] 53/57   Step: 939ms | Tot: 52s241ms | Loss: 0.141 | Acc: 96.462% (13088/13568)              
 [============================================================>....] 54/57   Step: 843ms | Tot: 53s85ms | Loss: 0.140 | Acc: 96.477% (13337/13824)              
 [=============================================================>...] 55/57   Step: 850ms | Tot: 53s935ms | Loss: 0.140 | Acc: 96.477% (13584/14080)              
 [==============================================================>..] 56/57   Step: 960ms | Tot: 54s896ms | Loss: 0.139 | Acc: 96.498% (13834/14336)              
 [===============================================================>.] 57/57   Step: 9s555ms | Tot: 1m4s | Loss: 0.138 | Acc: 96.515% (14039/14546)
 [>................................................................] 1/40   Step: 1s113ms | Tot: 0ms | Loss: 0.293 | Acc: 91.797% (235/256)              
 [=>...............................................................] 2/40   Step: 436ms | Tot: 436ms | Loss: 0.380 | Acc: 89.648% (459/512)              
 [===>.............................................................] 3/40   Step: 420ms | Tot: 856ms | Loss: 0.360 | Acc: 90.104% (692/768)              
 [====>............................................................] 4/40   Step: 608ms | Tot: 1s465ms | Loss: 0.337 | Acc: 91.016% (932/1024)              
 [======>..........................................................] 5/40   Step: 423ms | Tot: 1s888ms | Loss: 0.301 | Acc: 91.875% (1176/1280)              
 [========>........................................................] 6/40   Step: 423ms | Tot: 2s312ms | Loss: 0.306 | Acc: 91.732% (1409/1536)              
 [=========>.......................................................] 7/40   Step: 420ms | Tot: 2s732ms | Loss: 0.299 | Acc: 92.020% (1649/1792)              
 [===========>.....................................................] 8/40   Step: 419ms | Tot: 3s152ms | Loss: 0.303 | Acc: 92.139% (1887/2048)              
