cifar10 loaded
There are 40000 training samples and 10000 validation samples
There are 10000 test samples.
This is records for stage 3
Train with the pop selected dataset.
load parameters
Now try to run the algorithm POP
------------------ Start to select subsets ------------------
Selected 14546 samples for weakkness <= 9.
Train with the selected 14546 samples.
Use multiple GPU to train the network.
Use 100 epochs

Epoch: 0
 [=======================================================>.........] 50/57   Step: 960ms | Tot: 49s223ms | Loss: 0.002 | Acc: 99.992% (12799/12800)              
 [=========================================================>.......] 51/57   Step: 1s72ms | Tot: 50s296ms | Loss: 0.002 | Acc: 99.992% (13055/13056)              
 [==========================================================>......] 52/57   Step: 952ms | Tot: 51s248ms | Loss: 0.002 | Acc: 99.992% (13311/13312)              
 [===========================================================>.....] 53/57   Step: 930ms | Tot: 52s179ms | Loss: 0.002 | Acc: 99.993% (13567/13568)              
 [============================================================>....] 54/57   Step: 844ms | Tot: 53s23ms | Loss: 0.002 | Acc: 99.993% (13823/13824)              
 [=============================================================>...] 55/57   Step: 962ms | Tot: 53s986ms | Loss: 0.002 | Acc: 99.993% (14079/14080)              
 [==============================================================>..] 56/57   Step: 840ms | Tot: 54s826ms | Loss: 0.002 | Acc: 99.993% (14335/14336)              
 [===============================================================>.] 57/57   Step: 9s718ms | Tot: 1m4s | Loss: 0.002 | Acc: 99.993% (14545/14546)
 [>................................................................] 1/40   Step: 1s144ms | Tot: 0ms | Loss: 0.166 | Acc: 95.703% (245/256)              
 [=>...............................................................] 2/40   Step: 422ms | Tot: 422ms | Loss: 0.241 | Acc: 93.555% (479/512)              
 [===>.............................................................] 3/40   Step: 581ms | Tot: 1s3ms | Loss: 0.268 | Acc: 92.708% (712/768)              
 [====>............................................................] 4/40   Step: 413ms | Tot: 1s417ms | Loss: 0.255 | Acc: 92.969% (952/1024)              
 [======>..........................................................] 5/40   Step: 414ms | Tot: 1s832ms | Loss: 0.239 | Acc: 93.203% (1193/1280)              
 [========>........................................................] 6/40   Step: 414ms | Tot: 2s246ms | Loss: 0.248 | Acc: 92.969% (1428/1536)              
 [=========>.......................................................] 7/40   Step: 413ms | Tot: 2s659ms | Loss: 0.250 | Acc: 92.969% (1666/1792)              
