cifar10 loaded
There are 40000 training samples and 10000 validation samples
There are 10000 test samples.
This is records for stage 2
Train with the cl selected dataset.
------------------ Start to select subsets ------------------
Start to select 14546 samples for a fair comparison.
Use multiple GPU to train the network.
load parameters
Use 100 epochs

Epoch: 0
 [>................................................................] 1/57   Step: 49s218ms | Tot: 0ms | Loss: 0.362 | Acc: 87.500% (224/256)              
 [=>...............................................................] 2/57   Step: 2s87ms | Tot: 2s87ms | Loss: 0.381 | Acc: 87.891% (450/512)              
 [==>..............................................................] 3/57   Step: 985ms | Tot: 3s73ms | Loss: 0.353 | Acc: 89.453% (687/768)              
 [===>.............................................................] 4/57   Step: 1s151ms | Tot: 4s224ms | Loss: 0.335 | Acc: 89.941% (921/1024)              
 [====>............................................................] 5/57   Step: 969ms | Tot: 5s194ms | Loss: 0.316 | Acc: 90.234% (1155/1280)              
 [=====>...........................................................] 6/57   Step: 967ms | Tot: 6s161ms | Loss: 0.323 | Acc: 90.430% (1389/1536)              
 [======>..........................................................] 7/57   Step: 972ms | Tot: 7s134ms | Loss: 0.317 | Acc: 90.737% (1626/1792)              
 [=======>.........................................................] 8/57   Step: 964ms | Tot: 8s99ms | Loss: 0.310 | Acc: 90.918% (1862/2048)              
 [=========>.......................................................] 9/57   Step: 1s75ms | Tot: 9s174ms | Loss: 0.302 | Acc: 91.189% (2101/2304)              
 [==========>......................................................] 10/57   Step: 971ms | Tot: 10s145ms | Loss: 0.287 | Acc: 91.680% (2347/2560)              
 [===========>.....................................................] 11/57   Step: 966ms | Tot: 11s112ms | Loss: 0.284 | Acc: 91.832% (2586/2816)              
 [============>....................................................] 12/57   Step: 968ms | Tot: 12s81ms | Loss: 0.275 | Acc: 92.155% (2831/3072)              
 [=============>...................................................] 13/57   Step: 972ms | Tot: 13s53ms | Loss: 0.269 | Acc: 92.428% (3076/3328)              
 [==============>..................................................] 14/57   Step: 1s87ms | Tot: 14s141ms | Loss: 0.267 | Acc: 92.439% (3313/3584)              
 [===============>.................................................] 15/57   Step: 969ms | Tot: 15s111ms | Loss: 0.262 | Acc: 92.552% (3554/3840)              
 [=================>...............................................] 16/57   Step: 981ms | Tot: 16s92ms | Loss: 0.259 | Acc: 92.603% (3793/4096)              
 [==================>..............................................] 17/57   Step: 976ms | Tot: 17s69ms | Loss: 0.256 | Acc: 92.693% (4034/4352)              
 [===================>.............................................] 18/57   Step: 1s77ms | Tot: 18s146ms | Loss: 0.251 | Acc: 92.817% (4277/4608)              
 [====================>............................................] 19/57   Step: 971ms | Tot: 19s118ms | Loss: 0.251 | Acc: 92.866% (4517/4864)              
 [=====================>...........................................] 20/57   Step: 970ms | Tot: 20s88ms | Loss: 0.250 | Acc: 92.949% (4759/5120)              
 [======================>..........................................] 21/57   Step: 966ms | Tot: 21s55ms | Loss: 0.248 | Acc: 92.969% (4998/5376)              
 [=======================>.........................................] 22/57   Step: 969ms | Tot: 22s24ms | Loss: 0.250 | Acc: 92.969% (5236/5632)              
 [=========================>.......................................] 23/57   Step: 1s116ms | Tot: 23s140ms | Loss: 0.248 | Acc: 92.969% (5474/5888)              
 [==========================>......................................] 24/57   Step: 987ms | Tot: 24s128ms | Loss: 0.249 | Acc: 92.952% (5711/6144)              
 [===========================>.....................................] 25/57   Step: 967ms | Tot: 25s96ms | Loss: 0.248 | Acc: 92.938% (5948/6400)              
 [============================>....................................] 26/57   Step: 966ms | Tot: 26s62ms | Loss: 0.248 | Acc: 92.939% (6186/6656)              
 [=============================>...................................] 27/57   Step: 1s75ms | Tot: 27s138ms | Loss: 0.245 | Acc: 93.012% (6429/6912)              
 [==============================>..................................] 28/57   Step: 964ms | Tot: 28s102ms | Loss: 0.244 | Acc: 92.983% (6665/7168)              
 [===============================>.................................] 29/57   Step: 968ms | Tot: 29s70ms | Loss: 0.243 | Acc: 92.982% (6903/7424)              
 [=================================>...............................] 30/57   Step: 966ms | Tot: 30s37ms | Loss: 0.241 | Acc: 93.060% (7147/7680)              
 [==================================>..............................] 31/57   Step: 969ms | Tot: 31s6ms | Loss: 0.242 | Acc: 93.007% (7381/7936)              
 [===================================>.............................] 32/57   Step: 1s69ms | Tot: 32s76ms | Loss: 0.241 | Acc: 92.981% (7617/8192)              
 [====================================>............................] 33/57   Step: 975ms | Tot: 33s51ms | Loss: 0.240 | Acc: 92.981% (7855/8448)              
 [=====================================>...........................] 34/57   Step: 979ms | Tot: 34s30ms | Loss: 0.237 | Acc: 93.061% (8100/8704)              
 [======================================>..........................] 35/57   Step: 970ms | Tot: 35s1ms | Loss: 0.236 | Acc: 93.103% (8342/8960)              
 [=======================================>.........................] 36/57   Step: 1s71ms | Tot: 36s72ms | Loss: 0.237 | Acc: 93.056% (8576/9216)              
 [=========================================>.......................] 37/57   Step: 968ms | Tot: 37s41ms | Loss: 0.237 | Acc: 93.074% (8816/9472)              
 [==========================================>......................] 38/57   Step: 965ms | Tot: 38s7ms | Loss: 0.237 | Acc: 93.051% (9052/9728)              
 [===========================================>.....................] 39/57   Step: 975ms | Tot: 38s982ms | Loss: 0.236 | Acc: 93.099% (9295/9984)              
 [============================================>....................] 40/57   Step: 980ms | Tot: 39s963ms | Loss: 0.234 | Acc: 93.125% (9536/10240)              
 [=============================================>...................] 41/57   Step: 1s77ms | Tot: 41s41ms | Loss: 0.233 | Acc: 93.169% (9779/10496)              
 [==============================================>..................] 42/57   Step: 965ms | Tot: 42s7ms | Loss: 0.233 | Acc: 93.155% (10016/10752)              
 [===============================================>.................] 43/57   Step: 964ms | Tot: 42s971ms | Loss: 0.231 | Acc: 93.205% (10260/11008)              
 [=================================================>...............] 44/57   Step: 984ms | Tot: 43s955ms | Loss: 0.232 | Acc: 93.200% (10498/11264)              
 [==================================================>..............] 45/57   Step: 970ms | Tot: 44s926ms | Loss: 0.230 | Acc: 93.247% (10742/11520)              
 [===================================================>.............] 46/57   Step: 1s96ms | Tot: 46s23ms | Loss: 0.229 | Acc: 93.283% (10985/11776)              
 [====================================================>............] 47/57   Step: 969ms | Tot: 46s992ms | Loss: 0.229 | Acc: 93.276% (11223/12032)              
 [=====================================================>...........] 48/57   Step: 968ms | Tot: 47s961ms | Loss: 0.230 | Acc: 93.245% (11458/12288)              
 [======================================================>..........] 49/57   Step: 972ms | Tot: 48s933ms | Loss: 0.230 | Acc: 93.232% (11695/12544)              
 [=======================================================>.........] 50/57   Step: 1s92ms | Tot: 50s26ms | Loss: 0.229 | Acc: 93.281% (11940/12800)              
 [=========================================================>.......] 51/57   Step: 966ms | Tot: 50s993ms | Loss: 0.228 | Acc: 93.306% (12182/13056)              
 [==========================================================>......] 52/57   Step: 968ms | Tot: 51s961ms | Loss: 0.228 | Acc: 93.292% (12419/13312)              
 [===========================================================>.....] 53/57   Step: 946ms | Tot: 52s908ms | Loss: 0.226 | Acc: 93.323% (12662/13568)              
 [============================================================>....] 54/57   Step: 852ms | Tot: 53s760ms | Loss: 0.225 | Acc: 93.316% (12900/13824)              
 [=============================================================>...] 55/57   Step: 972ms | Tot: 54s732ms | Loss: 0.224 | Acc: 93.338% (13142/14080)              
 [==============================================================>..] 56/57   Step: 854ms | Tot: 55s587ms | Loss: 0.225 | Acc: 93.304% (13376/14336)              
 [===============================================================>.] 57/57   Step: 9s449ms | Tot: 1m5s | Loss: 0.225 | Acc: 93.290% (13570/14546)
 [>................................................................] 1/40   Step: 1s118ms | Tot: 0ms | Loss: 0.322 | Acc: 91.406% (234/256)              
 [=>...............................................................] 2/40   Step: 446ms | Tot: 446ms | Loss: 0.380 | Acc: 89.453% (458/512)              
 [===>.............................................................] 3/40   Step: 587ms | Tot: 1s34ms | Loss: 0.352 | Acc: 89.974% (691/768)              
 [====>............................................................] 4/40   Step: 433ms | Tot: 1s467ms | Loss: 0.342 | Acc: 89.746% (919/1024)              
 [======>..........................................................] 5/40   Step: 427ms | Tot: 1s895ms | Loss: 0.309 | Acc: 90.938% (1164/1280)              
 [========>........................................................] 6/40   Step: 428ms | Tot: 2s324ms | Loss: 0.318 | Acc: 90.299% (1387/1536)              
 [=========>.......................................................] 7/40   Step: 435ms | Tot: 2s759ms | Loss: 0.312 | Acc: 90.458% (1621/1792)              
 [===========>.....................................................] 8/40   Step: 533ms | Tot: 3s293ms | Loss: 0.315 | Acc: 90.283% (1849/2048)              
 [=============>...................................................] 9/40   Step: 426ms | Tot: 3s720ms | Loss: 0.317 | Acc: 90.365% (2082/2304)              
 [==============>..................................................] 10/40   Step: 428ms | Tot: 4s148ms | Loss: 0.311 | Acc: 90.391% (2314/2560)              
 [================>................................................] 11/40   Step: 426ms | Tot: 4s574ms | Loss: 0.312 | Acc: 90.412% (2546/2816)              
 [=================>...............................................] 12/40   Step: 427ms | Tot: 5s1ms | Loss: 0.316 | Acc: 90.267% (2773/3072)              
 [===================>.............................................] 13/40   Step: 427ms | Tot: 5s429ms | Loss: 0.320 | Acc: 90.234% (3003/3328)              
 [=====================>...........................................] 14/40   Step: 528ms | Tot: 5s957ms | Loss: 0.312 | Acc: 90.402% (3240/3584)              
 [======================>..........................................] 15/40   Step: 423ms | Tot: 6s380ms | Loss: 0.314 | Acc: 90.339% (3469/3840)              
 [========================>........................................] 16/40   Step: 425ms | Tot: 6s806ms | Loss: 0.318 | Acc: 90.308% (3699/4096)              
 [==========================>......................................] 17/40   Step: 426ms | Tot: 7s232ms | Loss: 0.319 | Acc: 90.326% (3931/4352)              
 [===========================>.....................................] 18/40   Step: 423ms | Tot: 7s656ms | Loss: 0.326 | Acc: 90.148% (4154/4608)              
 [=============================>...................................] 19/40   Step: 542ms | Tot: 8s199ms | Loss: 0.326 | Acc: 90.090% (4382/4864)              
 [==============================>..................................] 20/40   Step: 427ms | Tot: 8s627ms | Loss: 0.327 | Acc: 90.039% (4610/5120)              
 [================================>................................] 21/40   Step: 426ms | Tot: 9s54ms | Loss: 0.328 | Acc: 89.955% (4836/5376)              
 [==================================>..............................] 22/40   Step: 423ms | Tot: 9s478ms | Loss: 0.329 | Acc: 89.968% (5067/5632)              
 [===================================>.............................] 23/40   Step: 427ms | Tot: 9s905ms | Loss: 0.332 | Acc: 89.878% (5292/5888)              
 [=====================================>...........................] 24/40   Step: 427ms | Tot: 10s333ms | Loss: 0.330 | Acc: 89.925% (5525/6144)              
 [=======================================>.........................] 25/40   Step: 532ms | Tot: 10s865ms | Loss: 0.331 | Acc: 89.953% (5757/6400)              
 [========================================>........................] 26/40   Step: 430ms | Tot: 11s295ms | Loss: 0.338 | Acc: 89.754% (5974/6656)              
 [==========================================>......................] 27/40   Step: 426ms | Tot: 11s722ms | Loss: 0.340 | Acc: 89.685% (6199/6912)              
 [===========================================>.....................] 28/40   Step: 431ms | Tot: 12s153ms | Loss: 0.342 | Acc: 89.634% (6425/7168)              
 [=============================================>...................] 29/40   Step: 426ms | Tot: 12s580ms | Loss: 0.342 | Acc: 89.669% (6657/7424)              
 [===============================================>.................] 30/40   Step: 534ms | Tot: 13s114ms | Loss: 0.339 | Acc: 89.753% (6893/7680)              
 [================================================>................] 31/40   Step: 421ms | Tot: 13s536ms | Loss: 0.338 | Acc: 89.768% (7124/7936)              
 [==================================================>..............] 32/40   Step: 419ms | Tot: 13s956ms | Loss: 0.337 | Acc: 89.832% (7359/8192)              
 [====================================================>............] 33/40   Step: 420ms | Tot: 14s376ms | Loss: 0.337 | Acc: 89.832% (7589/8448)              
 [=====================================================>...........] 34/40   Step: 419ms | Tot: 14s796ms | Loss: 0.337 | Acc: 89.855% (7821/8704)              
 [=======================================================>.........] 35/40   Step: 421ms | Tot: 15s217ms | Loss: 0.338 | Acc: 89.855% (8051/8960)              
 [========================================================>........] 36/40   Step: 484ms | Tot: 15s701ms | Loss: 0.339 | Acc: 89.822% (8278/9216)              
 [==========================================================>......] 37/40   Step: 377ms | Tot: 16s78ms | Loss: 0.338 | Acc: 89.854% (8511/9472)              
 [============================================================>....] 38/40   Step: 375ms | Tot: 16s454ms | Loss: 0.341 | Acc: 89.803% (8736/9728)              
