cifar10 loaded
There are 40000 training samples and 10000 validation samples
There are 10000 test samples.
This is records for stage 3
Train with the wcl selected dataset (by weighted the boundary points).
load parameters
Now try to run the WCL algorithm, by scaling up boundary sample scores
Scale up the boundary sample scores to 1
Start to select 12000 samples for a fair comparison.
Use multiple GPU to train the network.
Use 100 epochs

Epoch: 0
 [>................................................................] 1/47   Step: 55s633ms | Tot: 0ms | Loss: 0.239 | Acc: 94.141% (241/256)              
 [=>...............................................................] 2/47   Step: 1s967ms | Tot: 1s967ms | Loss: 0.273 | Acc: 93.945% (481/512)              
 [==>..............................................................] 3/47   Step: 971ms | Tot: 2s939ms | Loss: 0.256 | Acc: 94.401% (725/768)              
 [====>............................................................] 4/47   Step: 1s134ms | Tot: 4s73ms | Loss: 0.242 | Acc: 94.629% (969/1024)              
 [=====>...........................................................] 5/47   Step: 973ms | Tot: 5s46ms | Loss: 0.209 | Acc: 95.312% (1220/1280)              
 [======>..........................................................] 6/47   Step: 965ms | Tot: 6s12ms | Loss: 0.210 | Acc: 95.312% (1464/1536)              
 [========>........................................................] 7/47   Step: 959ms | Tot: 6s971ms | Loss: 0.194 | Acc: 95.592% (1713/1792)              
 [=========>.......................................................] 8/47   Step: 961ms | Tot: 7s933ms | Loss: 0.212 | Acc: 95.264% (1951/2048)              
 [===========>.....................................................] 9/47   Step: 1s60ms | Tot: 8s994ms | Loss: 0.208 | Acc: 95.356% (2197/2304)              
 [============>....................................................] 10/47   Step: 957ms | Tot: 9s952ms | Loss: 0.210 | Acc: 95.156% (2436/2560)              
 [=============>...................................................] 11/47   Step: 957ms | Tot: 10s909ms | Loss: 0.211 | Acc: 95.170% (2680/2816)              
 [===============>.................................................] 12/47   Step: 958ms | Tot: 11s868ms | Loss: 0.213 | Acc: 95.215% (2925/3072)              
 [================>................................................] 13/47   Step: 955ms | Tot: 12s823ms | Loss: 0.225 | Acc: 95.012% (3162/3328)              
 [=================>...............................................] 14/47   Step: 1s63ms | Tot: 13s887ms | Loss: 0.226 | Acc: 94.978% (3404/3584)              
 [===================>.............................................] 15/47   Step: 981ms | Tot: 14s868ms | Loss: 0.224 | Acc: 95.026% (3649/3840)              
 [====================>............................................] 16/47   Step: 964ms | Tot: 15s833ms | Loss: 0.220 | Acc: 95.093% (3895/4096)              
 [======================>..........................................] 17/47   Step: 963ms | Tot: 16s797ms | Loss: 0.222 | Acc: 95.014% (4135/4352)              
 [=======================>.........................................] 18/47   Step: 962ms | Tot: 17s759ms | Loss: 0.215 | Acc: 95.139% (4384/4608)              
 [========================>........................................] 19/47   Step: 1s58ms | Tot: 18s818ms | Loss: 0.211 | Acc: 95.189% (4630/4864)              
 [==========================>......................................] 20/47   Step: 972ms | Tot: 19s790ms | Loss: 0.213 | Acc: 95.059% (4867/5120)              
 [===========================>.....................................] 21/47   Step: 970ms | Tot: 20s760ms | Loss: 0.214 | Acc: 95.108% (5113/5376)              
 [=============================>...................................] 22/47   Step: 963ms | Tot: 21s724ms | Loss: 0.217 | Acc: 95.046% (5353/5632)              
 [==============================>..................................] 23/47   Step: 1s72ms | Tot: 22s796ms | Loss: 0.216 | Acc: 95.075% (5598/5888)              
 [===============================>.................................] 24/47   Step: 962ms | Tot: 23s759ms | Loss: 0.216 | Acc: 95.068% (5841/6144)              
 [=================================>...............................] 25/47   Step: 980ms | Tot: 24s739ms | Loss: 0.215 | Acc: 95.062% (6084/6400)              
 [==================================>..............................] 26/47   Step: 960ms | Tot: 25s700ms | Loss: 0.214 | Acc: 95.072% (6328/6656)              
 [===================================>.............................] 27/47   Step: 958ms | Tot: 26s658ms | Loss: 0.212 | Acc: 95.124% (6575/6912)              
 [=====================================>...........................] 28/47   Step: 1s106ms | Tot: 27s765ms | Loss: 0.214 | Acc: 95.117% (6818/7168)              
 [======================================>..........................] 29/47   Step: 964ms | Tot: 28s729ms | Loss: 0.218 | Acc: 95.084% (7059/7424)              
 [========================================>........................] 30/47   Step: 958ms | Tot: 29s688ms | Loss: 0.223 | Acc: 94.948% (7292/7680)              
 [=========================================>.......................] 31/47   Step: 960ms | Tot: 30s649ms | Loss: 0.229 | Acc: 94.808% (7524/7936)              
 [==========================================>......................] 32/47   Step: 1s69ms | Tot: 31s718ms | Loss: 0.226 | Acc: 94.849% (7770/8192)              
 [============================================>....................] 33/47   Step: 959ms | Tot: 32s678ms | Loss: 0.228 | Acc: 94.815% (8010/8448)              
 [=============================================>...................] 34/47   Step: 960ms | Tot: 33s639ms | Loss: 0.229 | Acc: 94.807% (8252/8704)              
 [===============================================>.................] 35/47   Step: 981ms | Tot: 34s620ms | Loss: 0.228 | Acc: 94.810% (8495/8960)              
 [================================================>................] 36/47   Step: 964ms | Tot: 35s585ms | Loss: 0.227 | Acc: 94.846% (8741/9216)              
 [=================================================>...............] 37/47   Step: 1s64ms | Tot: 36s649ms | Loss: 0.227 | Acc: 94.859% (8985/9472)              
 [===================================================>.............] 38/47   Step: 959ms | Tot: 37s609ms | Loss: 0.225 | Acc: 94.881% (9230/9728)              
 [====================================================>............] 39/47   Step: 956ms | Tot: 38s565ms | Loss: 0.225 | Acc: 94.882% (9473/9984)              
 [=====================================================>...........] 40/47   Step: 969ms | Tot: 39s535ms | Loss: 0.225 | Acc: 94.883% (9716/10240)              
 [=======================================================>.........] 41/47   Step: 976ms | Tot: 40s512ms | Loss: 0.224 | Acc: 94.874% (9958/10496)              
 [========================================================>........] 42/47   Step: 1s75ms | Tot: 41s587ms | Loss: 0.225 | Acc: 94.847% (10198/10752)              
 [==========================================================>......] 43/47   Step: 949ms | Tot: 42s536ms | Loss: 0.226 | Acc: 94.840% (10440/11008)              
 [===========================================================>.....] 44/47   Step: 850ms | Tot: 43s386ms | Loss: 0.227 | Acc: 94.806% (10679/11264)              
 [============================================================>....] 45/47   Step: 867ms | Tot: 44s254ms | Loss: 0.226 | Acc: 94.844% (10926/11520)              
 [==============================================================>..] 46/47   Step: 998ms | Tot: 45s252ms | Loss: 0.225 | Acc: 94.828% (11167/11776)              
 [===============================================================>.] 47/47   Step: 8s879ms | Tot: 54s132ms | Loss: 0.226 | Acc: 94.783% (11374/12000)
 [>................................................................] 1/40   Step: 1s99ms | Tot: 0ms | Loss: 0.368 | Acc: 91.406% (234/256)              
 [=>...............................................................] 2/40   Step: 425ms | Tot: 425ms | Loss: 0.398 | Acc: 90.430% (463/512)              
 [===>.............................................................] 3/40   Step: 419ms | Tot: 845ms | Loss: 0.397 | Acc: 89.974% (691/768)              
 [====>............................................................] 4/40   Step: 580ms | Tot: 1s425ms | Loss: 0.375 | Acc: 90.137% (923/1024)              
 [======>..........................................................] 5/40   Step: 417ms | Tot: 1s843ms | Loss: 0.345 | Acc: 90.859% (1163/1280)              
 [========>........................................................] 6/40   Step: 415ms | Tot: 2s258ms | Loss: 0.380 | Acc: 90.365% (1388/1536)              
 [=========>.......................................................] 7/40   Step: 418ms | Tot: 2s676ms | Loss: 0.372 | Acc: 90.513% (1622/1792)              
 [===========>.....................................................] 8/40   Step: 414ms | Tot: 3s91ms | Loss: 0.379 | Acc: 90.479% (1853/2048)              
 [=============>...................................................] 9/40   Step: 418ms | Tot: 3s509ms | Loss: 0.389 | Acc: 90.234% (2079/2304)              
 [==============>..................................................] 10/40   Step: 518ms | Tot: 4s28ms | Loss: 0.375 | Acc: 90.508% (2317/2560)              
 [================>................................................] 11/40   Step: 417ms | Tot: 4s445ms | Loss: 0.373 | Acc: 90.518% (2549/2816)              
 [=================>...............................................] 12/40   Step: 414ms | Tot: 4s859ms | Loss: 0.382 | Acc: 90.430% (2778/3072)              
 [===================>.............................................] 13/40   Step: 419ms | Tot: 5s279ms | Loss: 0.383 | Acc: 90.264% (3004/3328)              
 [=====================>...........................................] 14/40   Step: 420ms | Tot: 5s699ms | Loss: 0.370 | Acc: 90.485% (3243/3584)              
 [======================>..........................................] 15/40   Step: 527ms | Tot: 6s226ms | Loss: 0.372 | Acc: 90.391% (3471/3840)              
 [========================>........................................] 16/40   Step: 425ms | Tot: 6s652ms | Loss: 0.384 | Acc: 90.186% (3694/4096)              
 [==========================>......................................] 17/40   Step: 420ms | Tot: 7s72ms | Loss: 0.385 | Acc: 90.280% (3929/4352)              
 [===========================>.....................................] 18/40   Step: 419ms | Tot: 7s491ms | Loss: 0.396 | Acc: 90.126% (4153/4608)              
 [=============================>...................................] 19/40   Step: 422ms | Tot: 7s914ms | Loss: 0.395 | Acc: 90.173% (4386/4864)              
 [==============================>..................................] 20/40   Step: 421ms | Tot: 8s336ms | Loss: 0.391 | Acc: 90.352% (4626/5120)              
 [================================>................................] 21/40   Step: 523ms | Tot: 8s860ms | Loss: 0.394 | Acc: 90.234% (4851/5376)              
 [==================================>..............................] 22/40   Step: 431ms | Tot: 9s291ms | Loss: 0.390 | Acc: 90.217% (5081/5632)              
 [===================================>.............................] 23/40   Step: 418ms | Tot: 9s709ms | Loss: 0.391 | Acc: 90.149% (5308/5888)              
 [=====================================>...........................] 24/40   Step: 420ms | Tot: 10s130ms | Loss: 0.391 | Acc: 90.169% (5540/6144)              
 [=======================================>.........................] 25/40   Step: 425ms | Tot: 10s555ms | Loss: 0.392 | Acc: 90.172% (5771/6400)              
 [========================================>........................] 26/40   Step: 529ms | Tot: 11s84ms | Loss: 0.397 | Acc: 90.069% (5995/6656)              
 [==========================================>......................] 27/40   Step: 422ms | Tot: 11s507ms | Loss: 0.396 | Acc: 90.119% (6229/6912)              
 [===========================================>.....................] 28/40   Step: 423ms | Tot: 11s931ms | Loss: 0.397 | Acc: 90.039% (6454/7168)              
 [=============================================>...................] 29/40   Step: 419ms | Tot: 12s350ms | Loss: 0.399 | Acc: 90.019% (6683/7424)              
 [===============================================>.................] 30/40   Step: 416ms | Tot: 12s767ms | Loss: 0.396 | Acc: 90.156% (6924/7680)              
 [================================================>................] 31/40   Step: 419ms | Tot: 13s186ms | Loss: 0.392 | Acc: 90.222% (7160/7936)              
 [==================================================>..............] 32/40   Step: 515ms | Tot: 13s702ms | Loss: 0.389 | Acc: 90.295% (7397/8192)              
 [====================================================>............] 33/40   Step: 412ms | Tot: 14s115ms | Loss: 0.390 | Acc: 90.305% (7629/8448)              
 [=====================================================>...........] 34/40   Step: 417ms | Tot: 14s532ms | Loss: 0.393 | Acc: 90.269% (7857/8704)              
 [=======================================================>.........] 35/40   Step: 416ms | Tot: 14s948ms | Loss: 0.393 | Acc: 90.257% (8087/8960)              
 [========================================================>........] 36/40   Step: 380ms | Tot: 15s328ms | Loss: 0.394 | Acc: 90.278% (8320/9216)              
 [==========================================================>......] 37/40   Step: 480ms | Tot: 15s809ms | Loss: 0.392 | Acc: 90.361% (8559/9472)              
 [============================================================>....] 38/40   Step: 374ms | Tot: 16s183ms | Loss: 0.396 | Acc: 90.286% (8783/9728)              
 [=============================================================>...] 39/40   Step: 370ms | Tot: 16s553ms | Loss: 0.396 | Acc: 90.224% (9008/9984)              
 [===============================================================>.] 40/40   Step: 2s445ms | Tot: 18s999ms | Loss: 0.396 | Acc: 90.240% (9024/10000)
Saving with better validation accuracy model: 90.240..

Epoch: 1
 [>................................................................] 1/47   Step: 3s7ms | Tot: 0ms | Loss: 0.165 | Acc: 94.922% (243/256)              
 [=>...............................................................] 2/47   Step: 1s147ms | Tot: 1s148ms | Loss: 0.182 | Acc: 94.531% (484/512)              
 [==>..............................................................] 3/47   Step: 977ms | Tot: 2s125ms | Loss: 0.150 | Acc: 95.703% (735/768)              
 [====>............................................................] 4/47   Step: 970ms | Tot: 3s95ms | Loss: 0.148 | Acc: 95.898% (982/1024)              
 [=====>...........................................................] 5/47   Step: 981ms | Tot: 4s77ms | Loss: 0.150 | Acc: 95.625% (1224/1280)              
 [======>..........................................................] 6/47   Step: 969ms | Tot: 5s47ms | Loss: 0.158 | Acc: 95.508% (1467/1536)              
 [========>........................................................] 7/47   Step: 1s87ms | Tot: 6s135ms | Loss: 0.155 | Acc: 95.703% (1715/1792)              
 [=========>.......................................................] 8/47   Step: 1s1ms | Tot: 7s136ms | Loss: 0.155 | Acc: 95.557% (1957/2048)              
 [===========>.....................................................] 9/47   Step: 962ms | Tot: 8s99ms | Loss: 0.171 | Acc: 95.182% (2193/2304)              
 [============>....................................................] 10/47   Step: 961ms | Tot: 9s60ms | Loss: 0.181 | Acc: 94.961% (2431/2560)              
 [=============>...................................................] 11/47   Step: 1s94ms | Tot: 10s155ms | Loss: 0.173 | Acc: 95.064% (2677/2816)              
 [===============>.................................................] 12/47   Step: 955ms | Tot: 11s111ms | Loss: 0.175 | Acc: 94.987% (2918/3072)              
 [================>................................................] 13/47   Step: 962ms | Tot: 12s73ms | Loss: 0.180 | Acc: 94.922% (3159/3328)              
 [=================>...............................................] 14/47   Step: 954ms | Tot: 13s28ms | Loss: 0.173 | Acc: 95.145% (3410/3584)              
 [===================>.............................................] 15/47   Step: 957ms | Tot: 13s986ms | Loss: 0.176 | Acc: 95.078% (3651/3840)              
 [====================>............................................] 16/47   Step: 1s75ms | Tot: 15s61ms | Loss: 0.179 | Acc: 95.044% (3893/4096)              
 [======================>..........................................] 17/47   Step: 958ms | Tot: 16s20ms | Loss: 0.179 | Acc: 95.106% (4139/4352)              
 [=======================>.........................................] 18/47   Step: 970ms | Tot: 16s990ms | Loss: 0.177 | Acc: 95.074% (4381/4608)              
 [========================>........................................] 19/47   Step: 960ms | Tot: 17s951ms | Loss: 0.174 | Acc: 95.169% (4629/4864)              
 [==========================>......................................] 20/47   Step: 957ms | Tot: 18s908ms | Loss: 0.175 | Acc: 95.215% (4875/5120)              
 [===========================>.....................................] 21/47   Step: 1s62ms | Tot: 19s971ms | Loss: 0.172 | Acc: 95.275% (5122/5376)              
 [=============================>...................................] 22/47   Step: 958ms | Tot: 20s930ms | Loss: 0.175 | Acc: 95.277% (5366/5632)              
 [==============================>..................................] 23/47   Step: 958ms | Tot: 21s889ms | Loss: 0.176 | Acc: 95.228% (5607/5888)              
 [===============================>.................................] 24/47   Step: 958ms | Tot: 22s847ms | Loss: 0.181 | Acc: 95.133% (5845/6144)              
 [=================================>...............................] 25/47   Step: 1s63ms | Tot: 23s911ms | Loss: 0.178 | Acc: 95.219% (6094/6400)              
 [==================================>..............................] 26/47   Step: 955ms | Tot: 24s866ms | Loss: 0.175 | Acc: 95.252% (6340/6656)              
 [===================================>.............................] 27/47   Step: 958ms | Tot: 25s825ms | Loss: 0.174 | Acc: 95.312% (6588/6912)              
 [=====================================>...........................] 28/47   Step: 959ms | Tot: 26s784ms | Loss: 0.175 | Acc: 95.243% (6827/7168)              
 [======================================>..........................] 29/47   Step: 972ms | Tot: 27s757ms | Loss: 0.177 | Acc: 95.178% (7066/7424)              
 [========================================>........................] 30/47   Step: 1s61ms | Tot: 28s819ms | Loss: 0.176 | Acc: 95.234% (7314/7680)              
 [=========================================>.......................] 31/47   Step: 959ms | Tot: 29s778ms | Loss: 0.176 | Acc: 95.212% (7556/7936)              
 [==========================================>......................] 32/47   Step: 959ms | Tot: 30s737ms | Loss: 0.173 | Acc: 95.239% (7802/8192)              
 [============================================>....................] 33/47   Step: 957ms | Tot: 31s695ms | Loss: 0.172 | Acc: 95.253% (8047/8448)              
 [=============================================>...................] 34/47   Step: 1s67ms | Tot: 32s762ms | Loss: 0.171 | Acc: 95.301% (8295/8704)              
 [===============================================>.................] 35/47   Step: 957ms | Tot: 33s720ms | Loss: 0.169 | Acc: 95.379% (8546/8960)              
 [================================================>................] 36/47   Step: 959ms | Tot: 34s679ms | Loss: 0.169 | Acc: 95.399% (8792/9216)              
 [=================================================>...............] 37/47   Step: 958ms | Tot: 35s637ms | Loss: 0.169 | Acc: 95.408% (9037/9472)              
 [===================================================>.............] 38/47   Step: 959ms | Tot: 36s597ms | Loss: 0.170 | Acc: 95.395% (9280/9728)              
 [====================================================>............] 39/47   Step: 1s93ms | Tot: 37s691ms | Loss: 0.169 | Acc: 95.393% (9524/9984)              
 [=====================================================>...........] 40/47   Step: 969ms | Tot: 38s661ms | Loss: 0.170 | Acc: 95.342% (9763/10240)              
 [=======================================================>.........] 41/47   Step: 959ms | Tot: 39s621ms | Loss: 0.172 | Acc: 95.322% (10005/10496)              
 [========================================================>........] 42/47   Step: 960ms | Tot: 40s581ms | Loss: 0.172 | Acc: 95.322% (10249/10752)              
 [==========================================================>......] 43/47   Step: 946ms | Tot: 41s528ms | Loss: 0.172 | Acc: 95.294% (10490/11008)              
 [===========================================================>.....] 44/47   Step: 956ms | Tot: 42s484ms | Loss: 0.173 | Acc: 95.259% (10730/11264)              
 [============================================================>....] 45/47   Step: 848ms | Tot: 43s333ms | Loss: 0.172 | Acc: 95.252% (10973/11520)              
 [==============================================================>..] 46/47   Step: 850ms | Tot: 44s183ms | Loss: 0.173 | Acc: 95.236% (11215/11776)              
 [===============================================================>.] 47/47   Step: 859ms | Tot: 45s42ms | Loss: 0.173 | Acc: 95.225% (11427/12000)
 [>................................................................] 1/40   Step: 1s236ms | Tot: 0ms | Loss: 0.318 | Acc: 91.797% (235/256)              
 [=>...............................................................] 2/40   Step: 422ms | Tot: 423ms | Loss: 0.352 | Acc: 90.234% (462/512)              
 [===>.............................................................] 3/40   Step: 436ms | Tot: 859ms | Loss: 0.353 | Acc: 90.234% (693/768)              
 [====>............................................................] 4/40   Step: 423ms | Tot: 1s282ms | Loss: 0.335 | Acc: 90.234% (924/1024)              
 [======>..........................................................] 5/40   Step: 419ms | Tot: 1s701ms | Loss: 0.306 | Acc: 91.094% (1166/1280)              
 [========>........................................................] 6/40   Step: 416ms | Tot: 2s118ms | Loss: 0.336 | Acc: 90.625% (1392/1536)              
 [=========>.......................................................] 7/40   Step: 532ms | Tot: 2s651ms | Loss: 0.329 | Acc: 90.904% (1629/1792)              
 [===========>.....................................................] 8/40   Step: 416ms | Tot: 3s67ms | Loss: 0.334 | Acc: 90.771% (1859/2048)              
 [=============>...................................................] 9/40   Step: 417ms | Tot: 3s485ms | Loss: 0.343 | Acc: 90.538% (2086/2304)              
 [==============>..................................................] 10/40   Step: 421ms | Tot: 3s907ms | Loss: 0.328 | Acc: 90.898% (2327/2560)              
 [================>................................................] 11/40   Step: 423ms | Tot: 4s330ms | Loss: 0.324 | Acc: 90.945% (2561/2816)              
 [=================>...............................................] 12/40   Step: 530ms | Tot: 4s861ms | Loss: 0.333 | Acc: 90.755% (2788/3072)              
 [===================>.............................................] 13/40   Step: 422ms | Tot: 5s284ms | Loss: 0.336 | Acc: 90.565% (3014/3328)              
 [=====================>...........................................] 14/40   Step: 421ms | Tot: 5s706ms | Loss: 0.325 | Acc: 90.820% (3255/3584)              
 [======================>..........................................] 15/40   Step: 423ms | Tot: 6s129ms | Loss: 0.328 | Acc: 90.729% (3484/3840)              
 [========================>........................................] 16/40   Step: 420ms | Tot: 6s550ms | Loss: 0.337 | Acc: 90.479% (3706/4096)              
 [==========================>......................................] 17/40   Step: 423ms | Tot: 6s973ms | Loss: 0.337 | Acc: 90.510% (3939/4352)              
 [===========================>.....................................] 18/40   Step: 538ms | Tot: 7s512ms | Loss: 0.349 | Acc: 90.321% (4162/4608)              
 [=============================>...................................] 19/40   Step: 421ms | Tot: 7s933ms | Loss: 0.348 | Acc: 90.378% (4396/4864)              
 [==============================>..................................] 20/40   Step: 419ms | Tot: 8s353ms | Loss: 0.346 | Acc: 90.586% (4638/5120)              
 [================================>................................] 21/40   Step: 417ms | Tot: 8s770ms | Loss: 0.348 | Acc: 90.495% (4865/5376)              
 [==================================>..............................] 22/40   Step: 418ms | Tot: 9s189ms | Loss: 0.346 | Acc: 90.465% (5095/5632)              
 [===================================>.............................] 23/40   Step: 521ms | Tot: 9s711ms | Loss: 0.346 | Acc: 90.472% (5327/5888)              
 [=====================================>...........................] 24/40   Step: 427ms | Tot: 10s138ms | Loss: 0.347 | Acc: 90.479% (5559/6144)              
 [=======================================>.........................] 25/40   Step: 418ms | Tot: 10s557ms | Loss: 0.349 | Acc: 90.438% (5788/6400)              
 [========================================>........................] 26/40   Step: 429ms | Tot: 10s986ms | Loss: 0.354 | Acc: 90.309% (6011/6656)              
 [==========================================>......................] 27/40   Step: 413ms | Tot: 11s400ms | Loss: 0.355 | Acc: 90.292% (6241/6912)              
 [===========================================>.....................] 28/40   Step: 416ms | Tot: 11s816ms | Loss: 0.356 | Acc: 90.220% (6467/7168)              
 [=============================================>...................] 29/40   Step: 519ms | Tot: 12s336ms | Loss: 0.358 | Acc: 90.221% (6698/7424)              
 [===============================================>.................] 30/40   Step: 414ms | Tot: 12s750ms | Loss: 0.355 | Acc: 90.339% (6938/7680)              
 [================================================>................] 31/40   Step: 415ms | Tot: 13s166ms | Loss: 0.352 | Acc: 90.449% (7178/7936)              
 [==================================================>..............] 32/40   Step: 411ms | Tot: 13s577ms | Loss: 0.349 | Acc: 90.527% (7416/8192)              
 [====================================================>............] 33/40   Step: 411ms | Tot: 13s988ms | Loss: 0.350 | Acc: 90.530% (7648/8448)              
 [=====================================================>...........] 34/40   Step: 518ms | Tot: 14s507ms | Loss: 0.352 | Acc: 90.510% (7878/8704)              
 [=======================================================>.........] 35/40   Step: 414ms | Tot: 14s921ms | Loss: 0.352 | Acc: 90.536% (8112/8960)              
 [========================================================>........] 36/40   Step: 373ms | Tot: 15s295ms | Loss: 0.352 | Acc: 90.560% (8346/9216)              
 [==========================================================>......] 37/40   Step: 368ms | Tot: 15s664ms | Loss: 0.351 | Acc: 90.636% (8585/9472)              
 [============================================================>....] 38/40   Step: 369ms | Tot: 16s33ms | Loss: 0.354 | Acc: 90.563% (8810/9728)              
 [=============================================================>...] 39/40   Step: 370ms | Tot: 16s403ms | Loss: 0.355 | Acc: 90.535% (9039/9984)              
 [===============================================================>.] 40/40   Step: 474ms | Tot: 16s878ms | Loss: 0.354 | Acc: 90.550% (9055/10000)
Saving with better validation accuracy model: 90.550..

Epoch: 2
 [>................................................................] 1/47   Step: 1s940ms | Tot: 0ms | Loss: 0.093 | Acc: 97.266% (249/256)              
 [=>...............................................................] 2/47   Step: 977ms | Tot: 977ms | Loss: 0.132 | Acc: 96.094% (492/512)              
 [==>..............................................................] 3/47   Step: 991ms | Tot: 1s968ms | Loss: 0.117 | Acc: 96.484% (741/768)              
 [====>............................................................] 4/47   Step: 975ms | Tot: 2s944ms | Loss: 0.128 | Acc: 96.191% (985/1024)              
 [=====>...........................................................] 5/47   Step: 1s129ms | Tot: 4s74ms | Loss: 0.134 | Acc: 96.172% (1231/1280)              
 [======>..........................................................] 6/47   Step: 982ms | Tot: 5s57ms | Loss: 0.142 | Acc: 96.094% (1476/1536)              
 [========>........................................................] 7/47   Step: 974ms | Tot: 6s31ms | Loss: 0.137 | Acc: 96.094% (1722/1792)              
 [=========>.......................................................] 8/47   Step: 980ms | Tot: 7s12ms | Loss: 0.146 | Acc: 95.947% (1965/2048)              
 [===========>.....................................................] 9/47   Step: 1s68ms | Tot: 8s80ms | Loss: 0.149 | Acc: 95.747% (2206/2304)              
 [============>....................................................] 10/47   Step: 955ms | Tot: 9s35ms | Loss: 0.156 | Acc: 95.586% (2447/2560)              
 [=============>...................................................] 11/47   Step: 955ms | Tot: 9s991ms | Loss: 0.156 | Acc: 95.526% (2690/2816)              
 [===============>.................................................] 12/47   Step: 958ms | Tot: 10s949ms | Loss: 0.151 | Acc: 95.671% (2939/3072)              
 [================>................................................] 13/47   Step: 974ms | Tot: 11s924ms | Loss: 0.149 | Acc: 95.733% (3186/3328)              
 [=================>...............................................] 14/47   Step: 1s57ms | Tot: 12s982ms | Loss: 0.146 | Acc: 95.759% (3432/3584)              
 [===================>.............................................] 15/47   Step: 956ms | Tot: 13s939ms | Loss: 0.140 | Acc: 95.885% (3682/3840)              
 [====================>............................................] 16/47   Step: 953ms | Tot: 14s892ms | Loss: 0.143 | Acc: 95.850% (3926/4096)              
 [======================>..........................................] 17/47   Step: 956ms | Tot: 15s849ms | Loss: 0.142 | Acc: 95.818% (4170/4352)              
