cifar10 loaded
There are 40000 training samples and 10000 validation samples
There are 10000 test samples.
This is records for stage 3
Train with the cl selected dataset.
load parameters
------------------ Start to select subsets ------------------
Selected 90 percent training data.
Use multiple GPU to train the network.
Use 100 epochs

Epoch: 0
 [>................................................................] 1/141   Step: 1m11s | Tot: 0ms | Loss: 0.009 | Acc: 99.609% (255/256)              
 [>................................................................] 2/141   Step: 1s984ms | Tot: 1s984ms | Loss: 0.009 | Acc: 99.805% (511/512)              
 [>................................................................] 3/141   Step: 984ms | Tot: 2s969ms | Loss: 0.009 | Acc: 99.870% (767/768)              
 [=>...............................................................] 4/141   Step: 1s123ms | Tot: 4s92ms | Loss: 0.030 | Acc: 99.316% (1017/1024)              
 [=>...............................................................] 5/141   Step: 959ms | Tot: 5s51ms | Loss: 0.026 | Acc: 99.453% (1273/1280)              
 [==>..............................................................] 6/141   Step: 962ms | Tot: 6s14ms | Loss: 0.026 | Acc: 99.414% (1527/1536)              
 [==>..............................................................] 7/141   Step: 955ms | Tot: 6s970ms | Loss: 0.026 | Acc: 99.386% (1781/1792)              
 [===>.............................................................] 8/141   Step: 965ms | Tot: 7s935ms | Loss: 0.029 | Acc: 99.365% (2035/2048)              
 [===>.............................................................] 9/141   Step: 1s60ms | Tot: 8s996ms | Loss: 0.034 | Acc: 99.262% (2287/2304)              
 [====>............................................................] 10/141   Step: 961ms | Tot: 9s957ms | Loss: 0.035 | Acc: 99.219% (2540/2560)              
 [====>............................................................] 11/141   Step: 957ms | Tot: 10s915ms | Loss: 0.033 | Acc: 99.183% (2793/2816)              
 [=====>...........................................................] 12/141   Step: 964ms | Tot: 11s879ms | Loss: 0.032 | Acc: 99.186% (3047/3072)              
 [=====>...........................................................] 13/141   Step: 978ms | Tot: 12s857ms | Loss: 0.032 | Acc: 99.159% (3300/3328)              
 [=======================>.........................................] 51/141   Step: 958ms | Tot: 50s423ms | Loss: 0.027 | Acc: 99.311% (12966/13056)              
 [=======================>.........................................] 52/141   Step: 1s58ms | Tot: 51s481ms | Loss: 0.028 | Acc: 99.301% (13219/13312)              
 [=======================>.........................................] 53/141   Step: 979ms | Tot: 52s461ms | Loss: 0.027 | Acc: 99.307% (13474/13568)              
 [========================>........................................] 54/141   Step: 964ms | Tot: 53s426ms | Loss: 0.028 | Acc: 99.298% (13727/13824)              
 [========================>........................................] 55/141   Step: 962ms | Tot: 54s388ms | Loss: 0.027 | Acc: 99.311% (13983/14080)              
 [=========================>.......................................] 56/141   Step: 1s59ms | Tot: 55s448ms | Loss: 0.027 | Acc: 99.323% (14239/14336)              
 [=========================>.......................................] 57/141   Step: 959ms | Tot: 56s408ms | Loss: 0.026 | Acc: 99.335% (14495/14592)              
 [==========================>......................................] 58/141   Step: 963ms | Tot: 57s371ms | Loss: 0.027 | Acc: 99.313% (14746/14848)              
 [==========================>......................................] 59/141   Step: 966ms | Tot: 58s338ms | Loss: 0.027 | Acc: 99.318% (15001/15104)              
 [===========================>.....................................] 60/141   Step: 958ms | Tot: 59s296ms | Loss: 0.027 | Acc: 99.323% (15256/15360)              
 [===========================>.....................................] 61/141   Step: 1s58ms | Tot: 1m355ms | Loss: 0.027 | Acc: 99.321% (15510/15616)              
 [============================>....................................] 62/141   Step: 958ms | Tot: 1m1s | Loss: 0.027 | Acc: 99.320% (15764/15872)              
 [============================>....................................] 63/141   Step: 983ms | Tot: 1m2s | Loss: 0.028 | Acc: 99.306% (16016/16128)              
 [=============================>...................................] 64/141   Step: 969ms | Tot: 1m3s | Loss: 0.028 | Acc: 99.310% (16271/16384)              
 [=============================>...................................] 65/141   Step: 966ms | Tot: 1m4s | Loss: 0.028 | Acc: 99.309% (16525/16640)              
 [=============================>...................................] 66/141   Step: 1s60ms | Tot: 1m5s | Loss: 0.028 | Acc: 99.302% (16778/16896)              
 [==============================>..................................] 67/141   Step: 958ms | Tot: 1m6s | Loss: 0.028 | Acc: 99.306% (17033/17152)              
 [==============================>..................................] 68/141   Step: 954ms | Tot: 1m7s | Loss: 0.028 | Acc: 99.311% (17288/17408)              
 [===============================>.................................] 69/141   Step: 964ms | Tot: 1m8s | Loss: 0.028 | Acc: 99.309% (17542/17664)              
 [===============================>.................................] 70/141   Step: 964ms | Tot: 1m9s | Loss: 0.028 | Acc: 99.314% (17797/17920)              
 [================================>................................] 71/141   Step: 1s82ms | Tot: 1m10s | Loss: 0.028 | Acc: 99.307% (18050/18176)              
 [================================>................................] 72/141   Step: 956ms | Tot: 1m11s | Loss: 0.028 | Acc: 99.306% (18304/18432)              
 [=================================>...............................] 73/141   Step: 973ms | Tot: 1m12s | Loss: 0.028 | Acc: 99.315% (18560/18688)              
 [=================================>...............................] 74/141   Step: 958ms | Tot: 1m13s | Loss: 0.028 | Acc: 99.303% (18812/18944)              
 [==================================>..............................] 75/141   Step: 1s72ms | Tot: 1m14s | Loss: 0.028 | Acc: 99.312% (19068/19200)              
 [==================================>..............................] 76/141   Step: 969ms | Tot: 1m15s | Loss: 0.027 | Acc: 99.322% (19324/19456)              
 [===================================>.............................] 77/141   Step: 958ms | Tot: 1m16s | Loss: 0.027 | Acc: 99.310% (19576/19712)              
 [===================================>.............................] 78/141   Step: 959ms | Tot: 1m17s | Loss: 0.028 | Acc: 99.309% (19830/19968)              
 [===================================>.............................] 79/141   Step: 964ms | Tot: 1m18s | Loss: 0.028 | Acc: 99.308% (20084/20224)              
 [====================================>............................] 80/141   Step: 1s69ms | Tot: 1m19s | Loss: 0.028 | Acc: 99.302% (20337/20480)              
 [====================================>............................] 81/141   Step: 957ms | Tot: 1m20s | Loss: 0.027 | Acc: 99.310% (20593/20736)              
 [=====================================>...........................] 82/141   Step: 957ms | Tot: 1m21s | Loss: 0.027 | Acc: 99.304% (20846/20992)              
 [=====================================>...........................] 83/141   Step: 961ms | Tot: 1m21s | Loss: 0.027 | Acc: 99.303% (21100/21248)              
 [======================================>..........................] 84/141   Step: 1s73ms | Tot: 1m23s | Loss: 0.027 | Acc: 99.307% (21355/21504)              
 [======================================>..........................] 85/141   Step: 957ms | Tot: 1m24s | Loss: 0.027 | Acc: 99.306% (21609/21760)              
 [=======================================>.........................] 86/141   Step: 960ms | Tot: 1m24s | Loss: 0.027 | Acc: 99.305% (21863/22016)              
 [=======================================>.........................] 87/141   Step: 959ms | Tot: 1m25s | Loss: 0.027 | Acc: 99.309% (22118/22272)              
 [========================================>........................] 88/141   Step: 964ms | Tot: 1m26s | Loss: 0.027 | Acc: 99.316% (22374/22528)              
 [========================================>........................] 89/141   Step: 1s69ms | Tot: 1m27s | Loss: 0.027 | Acc: 99.320% (22629/22784)              
 [=========================================>.......................] 90/141   Step: 956ms | Tot: 1m28s | Loss: 0.027 | Acc: 99.310% (22881/23040)              
 [=========================================>.......................] 91/141   Step: 957ms | Tot: 1m29s | Loss: 0.027 | Acc: 99.313% (23136/23296)              
 [=========================================>.......................] 92/141   Step: 958ms | Tot: 1m30s | Loss: 0.027 | Acc: 99.316% (23391/23552)              
 [==========================================>......................] 93/141   Step: 959ms | Tot: 1m31s | Loss: 0.026 | Acc: 99.320% (23646/23808)              
 [==========================================>......................] 94/141   Step: 1s77ms | Tot: 1m32s | Loss: 0.026 | Acc: 99.323% (23901/24064)              
 [===========================================>.....................] 95/141   Step: 960ms | Tot: 1m33s | Loss: 0.026 | Acc: 99.326% (24156/24320)              
 [===========================================>.....................] 96/141   Step: 962ms | Tot: 1m34s | Loss: 0.026 | Acc: 99.329% (24411/24576)              
 [============================================>....................] 97/141   Step: 957ms | Tot: 1m35s | Loss: 0.026 | Acc: 99.336% (24667/24832)              
 [============================================>....................] 98/141   Step: 1s59ms | Tot: 1m36s | Loss: 0.026 | Acc: 99.342% (24923/25088)              
 [=============================================>...................] 99/141   Step: 959ms | Tot: 1m37s | Loss: 0.026 | Acc: 99.337% (25176/25344)              
 [=============================================>...................] 100/141   Step: 959ms | Tot: 1m38s | Loss: 0.026 | Acc: 99.336% (25430/25600)              
 [==============================================>..................] 101/141   Step: 960ms | Tot: 1m39s | Loss: 0.026 | Acc: 99.339% (25685/25856)              
 [==============================================>..................] 102/141   Step: 959ms | Tot: 1m40s | Loss: 0.026 | Acc: 99.345% (25941/26112)              
 [===============================================>.................] 103/141   Step: 1s59ms | Tot: 1m41s | Loss: 0.026 | Acc: 99.351% (26197/26368)              
 [===============================================>.................] 104/141   Step: 977ms | Tot: 1m42s | Loss: 0.025 | Acc: 99.358% (26453/26624)              
 [===============================================>.................] 105/141   Step: 965ms | Tot: 1m43s | Loss: 0.026 | Acc: 99.353% (26706/26880)              
 [================================================>................] 106/141   Step: 961ms | Tot: 1m44s | Loss: 0.026 | Acc: 99.348% (26959/27136)              
 [================================================>................] 107/141   Step: 1s60ms | Tot: 1m45s | Loss: 0.026 | Acc: 99.354% (27215/27392)              
 [=================================================>...............] 108/141   Step: 956ms | Tot: 1m46s | Loss: 0.026 | Acc: 99.353% (27469/27648)              
 [=================================================>...............] 109/141   Step: 957ms | Tot: 1m47s | Loss: 0.026 | Acc: 99.351% (27723/27904)              
 [==================================================>..............] 110/141   Step: 963ms | Tot: 1m48s | Loss: 0.026 | Acc: 99.357% (27979/28160)              
 [==================================================>..............] 111/141   Step: 958ms | Tot: 1m49s | Loss: 0.025 | Acc: 99.360% (28234/28416)              
 [===================================================>.............] 112/141   Step: 1s58ms | Tot: 1m50s | Loss: 0.026 | Acc: 99.355% (28487/28672)              
 [===================================================>.............] 113/141   Step: 956ms | Tot: 1m51s | Loss: 0.026 | Acc: 99.354% (28741/28928)              
 [====================================================>............] 114/141   Step: 974ms | Tot: 1m52s | Loss: 0.026 | Acc: 99.356% (28996/29184)              
 [====================================================>............] 115/141   Step: 976ms | Tot: 1m53s | Loss: 0.026 | Acc: 99.358% (29251/29440)              
 [=====================================================>...........] 116/141   Step: 1s76ms | Tot: 1m54s | Loss: 0.026 | Acc: 99.360% (29506/29696)              
 [=====================================================>...........] 117/141   Step: 958ms | Tot: 1m55s | Loss: 0.026 | Acc: 99.359% (29760/29952)              
 [=====================================================>...........] 118/141   Step: 958ms | Tot: 1m56s | Loss: 0.026 | Acc: 99.351% (30012/30208)              
 [======================================================>..........] 119/141   Step: 956ms | Tot: 1m57s | Loss: 0.026 | Acc: 99.353% (30267/30464)              
 [======================================================>..........] 120/141   Step: 963ms | Tot: 1m58s | Loss: 0.026 | Acc: 99.352% (30521/30720)              
 [=======================================================>.........] 121/141   Step: 1s93ms | Tot: 1m59s | Loss: 0.026 | Acc: 99.354% (30776/30976)              
 [=======================================================>.........] 122/141   Step: 956ms | Tot: 2m440ms | Loss: 0.026 | Acc: 99.356% (31031/31232)              
 [========================================================>........] 123/141   Step: 959ms | Tot: 2m1s | Loss: 0.026 | Acc: 99.362% (31287/31488)              
 [========================================================>........] 124/141   Step: 980ms | Tot: 2m2s | Loss: 0.026 | Acc: 99.345% (31536/31744)              
 [=========================================================>.......] 125/141   Step: 958ms | Tot: 2m3s | Loss: 0.026 | Acc: 99.350% (31792/32000)              
 [=========================================================>.......] 126/141   Step: 1s66ms | Tot: 2m4s | Loss: 0.026 | Acc: 99.346% (32045/32256)              
 [==========================================================>......] 127/141   Step: 958ms | Tot: 2m5s | Loss: 0.026 | Acc: 99.342% (32298/32512)              
 [==========================================================>......] 128/141   Step: 959ms | Tot: 2m6s | Loss: 0.026 | Acc: 99.341% (32552/32768)              
 [===========================================================>.....] 129/141   Step: 958ms | Tot: 2m7s | Loss: 0.026 | Acc: 99.340% (32806/33024)              
 [===========================================================>.....] 130/141   Step: 1s58ms | Tot: 2m8s | Loss: 0.027 | Acc: 99.333% (33058/33280)              
 [===========================================================>.....] 131/141   Step: 956ms | Tot: 2m9s | Loss: 0.027 | Acc: 99.326% (33310/33536)              
 [============================================================>....] 132/141   Step: 956ms | Tot: 2m10s | Loss: 0.027 | Acc: 99.319% (33562/33792)              
 [============================================================>....] 133/141   Step: 961ms | Tot: 2m11s | Loss: 0.027 | Acc: 99.322% (33817/34048)              
 [=============================================================>...] 134/141   Step: 974ms | Tot: 2m12s | Loss: 0.027 | Acc: 99.324% (34072/34304)              
 [=============================================================>...] 135/141   Step: 1s55ms | Tot: 2m13s | Loss: 0.027 | Acc: 99.326% (34327/34560)              
 [==============================================================>..] 136/141   Step: 961ms | Tot: 2m14s | Loss: 0.027 | Acc: 99.331% (34583/34816)              
 [==============================================================>..] 137/141   Step: 920ms | Tot: 2m15s | Loss: 0.027 | Acc: 99.333% (34838/35072)              
 [===============================================================>.] 138/141   Step: 845ms | Tot: 2m15s | Loss: 0.027 | Acc: 99.338% (35094/35328)              
 [===============================================================>.] 139/141   Step: 955ms | Tot: 2m16s | Loss: 0.027 | Acc: 99.340% (35349/35584)              
 [================================================================>] 140/141   Step: 846ms | Tot: 2m17s | Loss: 0.027 | Acc: 99.339% (35603/35840)              
 [================================================================>] 141/141   Step: 8s628ms | Tot: 2m26s | Loss: 0.027 | Acc: 99.339% (35762/36000)
 [>................................................................] 1/40   Step: 1s72ms | Tot: 0ms | Loss: 0.141 | Acc: 96.094% (246/256)              
 [=>...............................................................] 2/40   Step: 426ms | Tot: 426ms | Loss: 0.186 | Acc: 94.141% (482/512)              
 [===>.............................................................] 3/40   Step: 573ms | Tot: 1s | Loss: 0.174 | Acc: 94.661% (727/768)              
 [====>............................................................] 4/40   Step: 415ms | Tot: 1s416ms | Loss: 0.164 | Acc: 95.020% (973/1024)              
 [======>..........................................................] 5/40   Step: 415ms | Tot: 1s831ms | Loss: 0.162 | Acc: 95.234% (1219/1280)              
 [========>........................................................] 6/40   Step: 415ms | Tot: 2s247ms | Loss: 0.178 | Acc: 94.922% (1458/1536)              
 [=========>.......................................................] 7/40   Step: 415ms | Tot: 2s662ms | Loss: 0.174 | Acc: 95.145% (1705/1792)              
 [===========>.....................................................] 8/40   Step: 415ms | Tot: 3s77ms | Loss: 0.174 | Acc: 95.264% (1951/2048)              
 [=============>...................................................] 9/40   Step: 514ms | Tot: 3s591ms | Loss: 0.177 | Acc: 95.182% (2193/2304)              
 [==============>..................................................] 10/40   Step: 415ms | Tot: 4s7ms | Loss: 0.173 | Acc: 95.391% (2442/2560)              
 [================>................................................] 11/40   Step: 418ms | Tot: 4s425ms | Loss: 0.172 | Acc: 95.490% (2689/2816)              
