cifar10 loaded
There are 40000 training samples and 10000 validation samples
There are 10000 test samples.
This is records for stage 3
Train with the wcl selected dataset (by weighted the boundary points).
Now try to run the WCL algorithm, by scaling up boundary sample scores
Scale up the boundary sample scores to 1
Start to select 28000 samples for a fair comparison at each subset.
Selected 28000 samples from all the classes
Use multiple GPU to train the network.
load parameters
Use 100 epochs

Epoch: 0
 [>................................................................] 1/110   Step: 41s652ms | Tot: 0ms | Loss: 0.047 | Acc: 98.047% (251/256)              
 [>................................................................] 2/110   Step: 1s988ms | Tot: 1s989ms | Loss: 0.041 | Acc: 98.438% (504/512)              
 [=>...............................................................] 3/110   Step: 973ms | Tot: 2s962ms | Loss: 0.049 | Acc: 98.568% (757/768)              
 [=>...............................................................] 4/110   Step: 1s162ms | Tot: 4s124ms | Loss: 0.052 | Acc: 98.438% (1008/1024)              
 [==>..............................................................] 5/110   Step: 963ms | Tot: 5s88ms | Loss: 0.048 | Acc: 98.594% (1262/1280)              
 [==>..............................................................] 6/110   Step: 967ms | Tot: 6s55ms | Loss: 0.046 | Acc: 98.568% (1514/1536)              
 [===>.............................................................] 7/110   Step: 966ms | Tot: 7s22ms | Loss: 0.044 | Acc: 98.661% (1768/1792)              
 [====>............................................................] 8/110   Step: 965ms | Tot: 7s988ms | Loss: 0.040 | Acc: 98.779% (2023/2048)              
 [====>............................................................] 9/110   Step: 1s80ms | Tot: 9s68ms | Loss: 0.038 | Acc: 98.828% (2277/2304)              
 [=====>...........................................................] 10/110   Step: 963ms | Tot: 10s32ms | Loss: 0.037 | Acc: 98.867% (2531/2560)              
 [=====>...........................................................] 11/110   Step: 965ms | Tot: 10s997ms | Loss: 0.038 | Acc: 98.864% (2784/2816)              
 [======>..........................................................] 12/110   Step: 961ms | Tot: 11s958ms | Loss: 0.036 | Acc: 98.926% (3039/3072)              
 [=======>.........................................................] 13/110   Step: 1s67ms | Tot: 13s25ms | Loss: 0.039 | Acc: 98.858% (3290/3328)              
 [=======>.........................................................] 14/110   Step: 963ms | Tot: 13s988ms | Loss: 0.039 | Acc: 98.828% (3542/3584)              
 [========>........................................................] 15/110   Step: 974ms | Tot: 14s963ms | Loss: 0.041 | Acc: 98.854% (3796/3840)              
 [========>........................................................] 16/110   Step: 976ms | Tot: 15s939ms | Loss: 0.042 | Acc: 98.828% (4048/4096)              
 [=========>.......................................................] 17/110   Step: 978ms | Tot: 16s918ms | Loss: 0.042 | Acc: 98.828% (4301/4352)              
 [==========>......................................................] 18/110   Step: 1s69ms | Tot: 17s987ms | Loss: 0.042 | Acc: 98.828% (4554/4608)              
 [==========>......................................................] 19/110   Step: 982ms | Tot: 18s969ms | Loss: 0.041 | Acc: 98.869% (4809/4864)              
 [===========>.....................................................] 20/110   Step: 970ms | Tot: 19s939ms | Loss: 0.041 | Acc: 98.867% (5062/5120)              
 [===========>.....................................................] 21/110   Step: 969ms | Tot: 20s909ms | Loss: 0.040 | Acc: 98.921% (5318/5376)              
 [============>....................................................] 22/110   Step: 1s94ms | Tot: 22s3ms | Loss: 0.040 | Acc: 98.899% (5570/5632)              
 [=============>...................................................] 23/110   Step: 969ms | Tot: 22s973ms | Loss: 0.039 | Acc: 98.930% (5825/5888)              
 [=============>...................................................] 24/110   Step: 971ms | Tot: 23s944ms | Loss: 0.041 | Acc: 98.910% (6077/6144)              
 [==============>..................................................] 25/110   Step: 973ms | Tot: 24s917ms | Loss: 0.040 | Acc: 98.922% (6331/6400)              
 [==============>..................................................] 26/110   Step: 964ms | Tot: 25s882ms | Loss: 0.042 | Acc: 98.888% (6582/6656)              
 [===============>.................................................] 27/110   Step: 1s120ms | Tot: 27s2ms | Loss: 0.042 | Acc: 98.872% (6834/6912)              
 [===============>.................................................] 28/110   Step: 970ms | Tot: 27s973ms | Loss: 0.042 | Acc: 98.870% (7087/7168)              
 [================>................................................] 29/110   Step: 982ms | Tot: 28s956ms | Loss: 0.042 | Acc: 98.855% (7339/7424)              
 [=================>...............................................] 30/110   Step: 969ms | Tot: 29s925ms | Loss: 0.043 | Acc: 98.867% (7593/7680)              
 [=================>...............................................] 31/110   Step: 1s68ms | Tot: 30s994ms | Loss: 0.043 | Acc: 98.866% (7846/7936)              
 [==================>..............................................] 32/110   Step: 964ms | Tot: 31s958ms | Loss: 0.044 | Acc: 98.865% (8099/8192)              
 [==================>..............................................] 33/110   Step: 970ms | Tot: 32s929ms | Loss: 0.044 | Acc: 98.864% (8352/8448)              
 [===================>.............................................] 34/110   Step: 972ms | Tot: 33s901ms | Loss: 0.044 | Acc: 98.874% (8606/8704)              
 [====================>............................................] 35/110   Step: 967ms | Tot: 34s868ms | Loss: 0.044 | Acc: 98.862% (8858/8960)              
 [====================>............................................] 36/110   Step: 1s65ms | Tot: 35s934ms | Loss: 0.044 | Acc: 98.861% (9111/9216)              
 [=====================>...........................................] 37/110   Step: 967ms | Tot: 36s902ms | Loss: 0.044 | Acc: 98.870% (9365/9472)              
 [=====================>...........................................] 38/110   Step: 976ms | Tot: 37s878ms | Loss: 0.044 | Acc: 98.859% (9617/9728)              
 [======================>..........................................] 39/110   Step: 985ms | Tot: 38s863ms | Loss: 0.044 | Acc: 98.868% (9871/9984)              
 [=======================>.........................................] 40/110   Step: 979ms | Tot: 39s842ms | Loss: 0.045 | Acc: 98.838% (10121/10240)              
 [=======================>.........................................] 41/110   Step: 1s74ms | Tot: 40s917ms | Loss: 0.045 | Acc: 98.847% (10375/10496)              
 [========================>........................................] 42/110   Step: 965ms | Tot: 41s883ms | Loss: 0.045 | Acc: 98.856% (10629/10752)              
 [========================>........................................] 43/110   Step: 962ms | Tot: 42s845ms | Loss: 0.045 | Acc: 98.846% (10881/11008)              
 [=========================>.......................................] 44/110   Step: 967ms | Tot: 43s813ms | Loss: 0.045 | Acc: 98.828% (11132/11264)              
 [==========================>......................................] 45/110   Step: 1s126ms | Tot: 44s940ms | Loss: 0.046 | Acc: 98.811% (11383/11520)              
 [==========================>......................................] 46/110   Step: 974ms | Tot: 45s915ms | Loss: 0.047 | Acc: 98.794% (11634/11776)              
 [===========================>.....................................] 47/110   Step: 967ms | Tot: 46s882ms | Loss: 0.046 | Acc: 98.820% (11890/12032)              
 [===========================>.....................................] 48/110   Step: 965ms | Tot: 47s848ms | Loss: 0.046 | Acc: 98.820% (12143/12288)              
 [============================>....................................] 49/110   Step: 976ms | Tot: 48s824ms | Loss: 0.046 | Acc: 98.820% (12396/12544)              
 [============================>....................................] 50/110   Step: 1s66ms | Tot: 49s891ms | Loss: 0.045 | Acc: 98.844% (12652/12800)              
 [=============================>...................................] 51/110   Step: 965ms | Tot: 50s857ms | Loss: 0.046 | Acc: 98.828% (12903/13056)              
 [==============================>..................................] 52/110   Step: 966ms | Tot: 51s824ms | Loss: 0.047 | Acc: 98.806% (13153/13312)              
 [==============================>..................................] 53/110   Step: 961ms | Tot: 52s785ms | Loss: 0.047 | Acc: 98.821% (13408/13568)              
 [===============================>.................................] 54/110   Step: 962ms | Tot: 53s748ms | Loss: 0.047 | Acc: 98.821% (13661/13824)              
 [===============================>.................................] 55/110   Step: 1s66ms | Tot: 54s815ms | Loss: 0.047 | Acc: 98.821% (13914/14080)              
 [================================>................................] 56/110   Step: 966ms | Tot: 55s782ms | Loss: 0.046 | Acc: 98.835% (14169/14336)              
 [=================================>...............................] 57/110   Step: 967ms | Tot: 56s749ms | Loss: 0.046 | Acc: 98.842% (14423/14592)              
 [=================================>...............................] 58/110   Step: 971ms | Tot: 57s721ms | Loss: 0.046 | Acc: 98.842% (14676/14848)              
 [==================================>..............................] 59/110   Step: 1s94ms | Tot: 58s815ms | Loss: 0.046 | Acc: 98.848% (14930/15104)              
 [==================================>..............................] 60/110   Step: 971ms | Tot: 59s786ms | Loss: 0.045 | Acc: 98.861% (15185/15360)              
 [===================================>.............................] 61/110   Step: 967ms | Tot: 1m754ms | Loss: 0.045 | Acc: 98.867% (15439/15616)              
 [====================================>............................] 62/110   Step: 965ms | Tot: 1m1s | Loss: 0.045 | Acc: 98.860% (15691/15872)              
 [====================================>............................] 63/110   Step: 965ms | Tot: 1m2s | Loss: 0.045 | Acc: 98.878% (15947/16128)              
 [=====================================>...........................] 64/110   Step: 1s70ms | Tot: 1m3s | Loss: 0.044 | Acc: 98.883% (16201/16384)              
 [=====================================>...........................] 65/110   Step: 962ms | Tot: 1m4s | Loss: 0.044 | Acc: 98.870% (16452/16640)              
 [======================================>..........................] 66/110   Step: 972ms | Tot: 1m5s | Loss: 0.044 | Acc: 98.881% (16707/16896)              
 [=======================================>.........................] 67/110   Step: 984ms | Tot: 1m6s | Loss: 0.043 | Acc: 98.898% (16963/17152)              
 [=======================================>.........................] 68/110   Step: 1s94ms | Tot: 1m7s | Loss: 0.044 | Acc: 98.897% (17216/17408)              
 [========================================>........................] 69/110   Step: 976ms | Tot: 1m8s | Loss: 0.044 | Acc: 98.885% (17467/17664)              
 [========================================>........................] 70/110   Step: 963ms | Tot: 1m9s | Loss: 0.043 | Acc: 98.890% (17721/17920)              
 [=========================================>.......................] 71/110   Step: 967ms | Tot: 1m10s | Loss: 0.044 | Acc: 98.883% (17973/18176)              
 [=========================================>.......................] 72/110   Step: 964ms | Tot: 1m11s | Loss: 0.044 | Acc: 98.888% (18227/18432)              
 [==========================================>......................] 73/110   Step: 1s99ms | Tot: 1m12s | Loss: 0.044 | Acc: 98.871% (18477/18688)              
 [===========================================>.....................] 74/110   Step: 966ms | Tot: 1m13s | Loss: 0.044 | Acc: 98.881% (18732/18944)              
 [===========================================>.....................] 75/110   Step: 963ms | Tot: 1m14s | Loss: 0.044 | Acc: 98.885% (18986/19200)              
 [============================================>....................] 76/110   Step: 960ms | Tot: 1m15s | Loss: 0.044 | Acc: 98.874% (19237/19456)              
 [============================================>....................] 77/110   Step: 1s83ms | Tot: 1m16s | Loss: 0.044 | Acc: 98.869% (19489/19712)              
 [=============================================>...................] 78/110   Step: 962ms | Tot: 1m17s | Loss: 0.044 | Acc: 98.878% (19744/19968)              
 [==============================================>..................] 79/110   Step: 978ms | Tot: 1m18s | Loss: 0.044 | Acc: 98.883% (19998/20224)              
 [==============================================>..................] 80/110   Step: 959ms | Tot: 1m19s | Loss: 0.044 | Acc: 98.877% (20250/20480)              
 [===============================================>.................] 81/110   Step: 960ms | Tot: 1m20s | Loss: 0.044 | Acc: 98.881% (20504/20736)              
 [===============================================>.................] 82/110   Step: 1s67ms | Tot: 1m21s | Loss: 0.043 | Acc: 98.890% (20759/20992)              
 [================================================>................] 83/110   Step: 966ms | Tot: 1m22s | Loss: 0.043 | Acc: 98.894% (21013/21248)              
 [=================================================>...............] 84/110   Step: 965ms | Tot: 1m23s | Loss: 0.043 | Acc: 98.893% (21266/21504)              
 [=================================================>...............] 85/110   Step: 961ms | Tot: 1m24s | Loss: 0.043 | Acc: 98.902% (21521/21760)              
 [==================================================>..............] 86/110   Step: 960ms | Tot: 1m25s | Loss: 0.043 | Acc: 98.910% (21776/22016)              
 [==================================================>..............] 87/110   Step: 1s76ms | Tot: 1m26s | Loss: 0.043 | Acc: 98.904% (22028/22272)              
 [===================================================>.............] 88/110   Step: 978ms | Tot: 1m27s | Loss: 0.043 | Acc: 98.908% (22282/22528)              
 [====================================================>............] 89/110   Step: 980ms | Tot: 1m28s | Loss: 0.043 | Acc: 98.903% (22534/22784)              
 [====================================================>............] 90/110   Step: 963ms | Tot: 1m29s | Loss: 0.043 | Acc: 98.911% (22789/23040)              
 [=====================================================>...........] 91/110   Step: 1s69ms | Tot: 1m30s | Loss: 0.043 | Acc: 98.905% (23041/23296)              
 [=====================================================>...........] 92/110   Step: 961ms | Tot: 1m31s | Loss: 0.043 | Acc: 98.900% (23293/23552)              
 [======================================================>..........] 93/110   Step: 962ms | Tot: 1m32s | Loss: 0.043 | Acc: 98.908% (23548/23808)              
 [======================================================>..........] 94/110   Step: 962ms | Tot: 1m33s | Loss: 0.043 | Acc: 98.911% (23802/24064)              
 [=======================================================>.........] 95/110   Step: 963ms | Tot: 1m34s | Loss: 0.043 | Acc: 98.910% (24055/24320)              
 [========================================================>........] 96/110   Step: 1s65ms | Tot: 1m35s | Loss: 0.043 | Acc: 98.918% (24310/24576)              
 [========================================================>........] 97/110   Step: 966ms | Tot: 1m36s | Loss: 0.043 | Acc: 98.913% (24562/24832)              
 [=========================================================>.......] 98/110   Step: 967ms | Tot: 1m37s | Loss: 0.043 | Acc: 98.912% (24815/25088)              
 [=========================================================>.......] 99/110   Step: 979ms | Tot: 1m38s | Loss: 0.043 | Acc: 98.919% (25070/25344)              
 [==========================================================>......] 100/110   Step: 1s75ms | Tot: 1m39s | Loss: 0.043 | Acc: 98.922% (25324/25600)              
 [===========================================================>.....] 101/110   Step: 976ms | Tot: 1m40s | Loss: 0.042 | Acc: 98.929% (25579/25856)              
 [===========================================================>.....] 102/110   Step: 980ms | Tot: 1m41s | Loss: 0.042 | Acc: 98.932% (25833/26112)              
 [============================================================>....] 103/110   Step: 962ms | Tot: 1m42s | Loss: 0.042 | Acc: 98.934% (26087/26368)              
 [============================================================>....] 104/110   Step: 963ms | Tot: 1m43s | Loss: 0.042 | Acc: 98.937% (26341/26624)              
 [=============================================================>...] 105/110   Step: 1s65ms | Tot: 1m44s | Loss: 0.042 | Acc: 98.925% (26591/26880)              
 [==============================================================>..] 106/110   Step: 892ms | Tot: 1m45s | Loss: 0.042 | Acc: 98.920% (26843/27136)              
 [==============================================================>..] 107/110   Step: 849ms | Tot: 1m46s | Loss: 0.042 | Acc: 98.927% (27098/27392)              
 [===============================================================>.] 108/110   Step: 856ms | Tot: 1m47s | Loss: 0.042 | Acc: 98.937% (27354/27648)              
 [===============================================================>.] 109/110   Step: 951ms | Tot: 1m47s | Loss: 0.042 | Acc: 98.939% (27608/27904)              
 [================================================================>] 110/110   Step: 8s234ms | Tot: 1m56s | Loss: 0.042 | Acc: 98.929% (27700/28000)
 [>................................................................] 1/40   Step: 1s172ms | Tot: 0ms | Loss: 0.167 | Acc: 94.141% (241/256)              
 [=>...............................................................] 2/40   Step: 420ms | Tot: 420ms | Loss: 0.259 | Acc: 92.383% (473/512)              
 [===>.............................................................] 3/40   Step: 426ms | Tot: 847ms | Loss: 0.263 | Acc: 92.969% (714/768)              
 [====>............................................................] 4/40   Step: 422ms | Tot: 1s270ms | Loss: 0.227 | Acc: 93.750% (960/1024)              
 [======>..........................................................] 5/40   Step: 604ms | Tot: 1s874ms | Loss: 0.211 | Acc: 94.375% (1208/1280)              
 [========>........................................................] 6/40   Step: 418ms | Tot: 2s292ms | Loss: 0.207 | Acc: 94.596% (1453/1536)              
 [=========>.......................................................] 7/40   Step: 418ms | Tot: 2s711ms | Loss: 0.201 | Acc: 94.643% (1696/1792)              
 [===========>.....................................................] 8/40   Step: 416ms | Tot: 3s127ms | Loss: 0.203 | Acc: 94.482% (1935/2048)              
 [=============>...................................................] 9/40   Step: 418ms | Tot: 3s546ms | Loss: 0.198 | Acc: 94.575% (2179/2304)              
 [==============>..................................................] 10/40   Step: 416ms | Tot: 3s962ms | Loss: 0.195 | Acc: 94.648% (2423/2560)              
 [================>................................................] 11/40   Step: 418ms | Tot: 4s381ms | Loss: 0.198 | Acc: 94.602% (2664/2816)              
 [=================>...............................................] 12/40   Step: 528ms | Tot: 4s909ms | Loss: 0.204 | Acc: 94.368% (2899/3072)              
 [===================>.............................................] 13/40   Step: 418ms | Tot: 5s328ms | Loss: 0.210 | Acc: 94.141% (3133/3328)              
 [=====================>...........................................] 14/40   Step: 416ms | Tot: 5s745ms | Loss: 0.208 | Acc: 94.196% (3376/3584)              
 [======================>..........................................] 15/40   Step: 417ms | Tot: 6s162ms | Loss: 0.214 | Acc: 94.115% (3614/3840)              
 [========================>........................................] 16/40   Step: 416ms | Tot: 6s579ms | Loss: 0.217 | Acc: 93.994% (3850/4096)              
 [==========================>......................................] 17/40   Step: 418ms | Tot: 6s997ms | Loss: 0.217 | Acc: 93.957% (4089/4352)              
 [===========================>.....................................] 18/40   Step: 519ms | Tot: 7s517ms | Loss: 0.222 | Acc: 93.880% (4326/4608)              
 [=============================>...................................] 19/40   Step: 416ms | Tot: 7s933ms | Loss: 0.223 | Acc: 93.832% (4564/4864)              
 [==============================>..................................] 20/40   Step: 416ms | Tot: 8s350ms | Loss: 0.223 | Acc: 93.867% (4806/5120)              
 [================================>................................] 21/40   Step: 418ms | Tot: 8s769ms | Loss: 0.224 | Acc: 93.936% (5050/5376)              
 [==================================>..............................] 22/40   Step: 415ms | Tot: 9s184ms | Loss: 0.223 | Acc: 93.945% (5291/5632)              
 [===================================>.............................] 23/40   Step: 528ms | Tot: 9s713ms | Loss: 0.224 | Acc: 93.937% (5531/5888)              
 [=====================================>...........................] 24/40   Step: 416ms | Tot: 10s130ms | Loss: 0.224 | Acc: 93.978% (5774/6144)              
 [=======================================>.........................] 25/40   Step: 416ms | Tot: 10s547ms | Loss: 0.228 | Acc: 93.891% (6009/6400)              
 [========================================>........................] 26/40   Step: 430ms | Tot: 10s977ms | Loss: 0.233 | Acc: 93.825% (6245/6656)              
 [==========================================>......................] 27/40   Step: 416ms | Tot: 11s393ms | Loss: 0.234 | Acc: 93.779% (6482/6912)              
 [===========================================>.....................] 28/40   Step: 417ms | Tot: 11s811ms | Loss: 0.235 | Acc: 93.652% (6713/7168)              
 [=============================================>...................] 29/40   Step: 416ms | Tot: 12s227ms | Loss: 0.236 | Acc: 93.656% (6953/7424)              
 [===============================================>.................] 30/40   Step: 532ms | Tot: 12s759ms | Loss: 0.234 | Acc: 93.750% (7200/7680)              
 [================================================>................] 31/40   Step: 415ms | Tot: 13s175ms | Loss: 0.233 | Acc: 93.763% (7441/7936)              
 [==================================================>..............] 32/40   Step: 415ms | Tot: 13s590ms | Loss: 0.231 | Acc: 93.823% (7686/8192)              
 [====================================================>............] 33/40   Step: 415ms | Tot: 14s5ms | Loss: 0.231 | Acc: 93.845% (7928/8448)              
 [=====================================================>...........] 34/40   Step: 416ms | Tot: 14s421ms | Loss: 0.234 | Acc: 93.796% (8164/8704)              
 [=======================================================>.........] 35/40   Step: 521ms | Tot: 14s943ms | Loss: 0.235 | Acc: 93.795% (8404/8960)              
 [========================================================>........] 36/40   Step: 376ms | Tot: 15s319ms | Loss: 0.237 | Acc: 93.739% (8639/9216)              
 [==========================================================>......] 37/40   Step: 371ms | Tot: 15s690ms | Loss: 0.235 | Acc: 93.803% (8885/9472)              
 [============================================================>....] 38/40   Step: 371ms | Tot: 16s62ms | Loss: 0.237 | Acc: 93.791% (9124/9728)              
 [=============================================================>...] 39/40   Step: 371ms | Tot: 16s434ms | Loss: 0.236 | Acc: 93.790% (9364/9984)              
 [===============================================================>.] 40/40   Step: 2s261ms | Tot: 18s695ms | Loss: 0.236 | Acc: 93.790% (9379/10000)
Saving with better validation accuracy model: 93.790..

Epoch: 1
 [>................................................................] 1/110   Step: 3s251ms | Tot: 0ms | Loss: 0.039 | Acc: 99.219% (254/256)              
 [>................................................................] 2/110   Step: 971ms | Tot: 971ms | Loss: 0.027 | Acc: 99.414% (509/512)              
 [=>...............................................................] 3/110   Step: 969ms | Tot: 1s941ms | Loss: 0.027 | Acc: 99.349% (763/768)              
 [=>...............................................................] 4/110   Step: 968ms | Tot: 2s909ms | Loss: 0.031 | Acc: 99.023% (1014/1024)              
 [==>..............................................................] 5/110   Step: 968ms | Tot: 3s878ms | Loss: 0.033 | Acc: 99.062% (1268/1280)              
 [==>..............................................................] 6/110   Step: 1s72ms | Tot: 4s951ms | Loss: 0.033 | Acc: 98.958% (1520/1536)              
 [===>.............................................................] 7/110   Step: 962ms | Tot: 5s913ms | Loss: 0.037 | Acc: 98.828% (1771/1792)              
 [====>............................................................] 8/110   Step: 966ms | Tot: 6s880ms | Loss: 0.036 | Acc: 98.779% (2023/2048)              
 [====>............................................................] 9/110   Step: 966ms | Tot: 7s846ms | Loss: 0.034 | Acc: 98.785% (2276/2304)              
 [=====>...........................................................] 10/110   Step: 1s82ms | Tot: 8s929ms | Loss: 0.035 | Acc: 98.789% (2529/2560)              
 [=====>...........................................................] 11/110   Step: 968ms | Tot: 9s897ms | Loss: 0.037 | Acc: 98.757% (2781/2816)              
 [======>..........................................................] 12/110   Step: 963ms | Tot: 10s861ms | Loss: 0.038 | Acc: 98.763% (3034/3072)              
 [=======>.........................................................] 13/110   Step: 964ms | Tot: 11s826ms | Loss: 0.041 | Acc: 98.708% (3285/3328)              
 [=======>.........................................................] 14/110   Step: 968ms | Tot: 12s794ms | Loss: 0.040 | Acc: 98.717% (3538/3584)              
