cifar10 loaded
There are 40000 training samples and 10000 validation samples
There are 10000 test samples.
This is records for stage 1
Train with the wcl selected dataset (by weighted the boundary points).
Now try to run the WCL algorithm, by scaling up boundary sample scores
Scale up the boundary sample scores to 1
Start to select 28000 samples for a fair comparison.
Use multiple GPU to train the network.
Use 150 epochs

Epoch: 0
 [============================>....................................] 50/110   Step: 1s73ms | Tot: 50s15ms | Loss: 1.999 | Acc: 27.414% (3509/12800)              
 [=============================>...................................] 51/110   Step: 973ms | Tot: 50s988ms | Loss: 1.992 | Acc: 27.589% (3602/13056)              
 [==============================>..................................] 52/110   Step: 977ms | Tot: 51s965ms | Loss: 1.986 | Acc: 27.749% (3694/13312)              
 [==============================>..................................] 53/110   Step: 967ms | Tot: 52s932ms | Loss: 1.981 | Acc: 27.948% (3792/13568)              
 [===============================>.................................] 54/110   Step: 963ms | Tot: 53s896ms | Loss: 1.973 | Acc: 28.241% (3904/13824)              
 [===============================>.................................] 55/110   Step: 1s72ms | Tot: 54s968ms | Loss: 1.966 | Acc: 28.409% (4000/14080)              
 [================================>................................] 56/110   Step: 962ms | Tot: 55s930ms | Loss: 1.963 | Acc: 28.509% (4087/14336)              
 [=================================>...............................] 57/110   Step: 982ms | Tot: 56s913ms | Loss: 1.955 | Acc: 28.721% (4191/14592)              
 [=================================>...............................] 58/110   Step: 975ms | Tot: 57s889ms | Loss: 1.949 | Acc: 28.947% (4298/14848)              
 [==================================>..............................] 59/110   Step: 964ms | Tot: 58s854ms | Loss: 1.946 | Acc: 29.045% (4387/15104)              
 [==================================>..............................] 60/110   Step: 1s67ms | Tot: 59s921ms | Loss: 1.941 | Acc: 29.277% (4497/15360)              
 [===================================>.............................] 61/110   Step: 969ms | Tot: 1m890ms | Loss: 1.938 | Acc: 29.451% (4599/15616)              
 [====================================>............................] 62/110   Step: 978ms | Tot: 1m1s | Loss: 1.934 | Acc: 29.530% (4687/15872)              
 [====================================>............................] 63/110   Step: 974ms | Tot: 1m2s | Loss: 1.928 | Acc: 29.787% (4804/16128)              
 [=====================================>...........................] 64/110   Step: 1s71ms | Tot: 1m3s | Loss: 1.922 | Acc: 29.944% (4906/16384)              
 [=====================================>...........................] 65/110   Step: 963ms | Tot: 1m4s | Loss: 1.917 | Acc: 30.126% (5013/16640)              
 [======================================>..........................] 66/110   Step: 964ms | Tot: 1m5s | Loss: 1.913 | Acc: 30.220% (5106/16896)              
 [=======================================>.........................] 67/110   Step: 977ms | Tot: 1m6s | Loss: 1.908 | Acc: 30.416% (5217/17152)              
 [=======================================>.........................] 68/110   Step: 971ms | Tot: 1m7s | Loss: 1.904 | Acc: 30.572% (5322/17408)              
 [========================================>........................] 69/110   Step: 1s99ms | Tot: 1m8s | Loss: 1.899 | Acc: 30.690% (5421/17664)              
 [========================================>........................] 70/110   Step: 960ms | Tot: 1m9s | Loss: 1.895 | Acc: 30.826% (5524/17920)              
 [=========================================>.......................] 71/110   Step: 972ms | Tot: 1m10s | Loss: 1.890 | Acc: 30.986% (5632/18176)              
 [=========================================>.......................] 72/110   Step: 975ms | Tot: 1m11s | Loss: 1.886 | Acc: 31.136% (5739/18432)              
 [==========================================>......................] 73/110   Step: 1s88ms | Tot: 1m12s | Loss: 1.880 | Acc: 31.362% (5861/18688)              
 [===========================================>.....................] 74/110   Step: 968ms | Tot: 1m13s | Loss: 1.875 | Acc: 31.535% (5974/18944)              
 [===========================================>.....................] 75/110   Step: 965ms | Tot: 1m14s | Loss: 1.873 | Acc: 31.557% (6059/19200)              
 [============================================>....................] 76/110   Step: 964ms | Tot: 1m15s | Loss: 1.869 | Acc: 31.661% (6160/19456)              
 [============================================>....................] 77/110   Step: 968ms | Tot: 1m16s | Loss: 1.865 | Acc: 31.828% (6274/19712)              
 [=============================================>...................] 78/110   Step: 1s75ms | Tot: 1m17s | Loss: 1.861 | Acc: 31.966% (6383/19968)              
 [==============================================>..................] 79/110   Step: 964ms | Tot: 1m18s | Loss: 1.858 | Acc: 32.100% (6492/20224)              
 [==============================================>..................] 80/110   Step: 961ms | Tot: 1m19s | Loss: 1.853 | Acc: 32.256% (6606/20480)              
 [===============================================>.................] 81/110   Step: 967ms | Tot: 1m20s | Loss: 1.848 | Acc: 32.412% (6721/20736)              
 [===============================================>.................] 82/110   Step: 979ms | Tot: 1m21s | Loss: 1.846 | Acc: 32.484% (6819/20992)              
 [================================================>................] 83/110   Step: 1s66ms | Tot: 1m22s | Loss: 1.842 | Acc: 32.587% (6924/21248)              
 [=================================================>...............] 84/110   Step: 961ms | Tot: 1m23s | Loss: 1.837 | Acc: 32.780% (7049/21504)              
 [=================================================>...............] 85/110   Step: 967ms | Tot: 1m24s | Loss: 1.834 | Acc: 32.891% (7157/21760)              
 [==================================================>..............] 86/110   Step: 962ms | Tot: 1m25s | Loss: 1.832 | Acc: 32.958% (7256/22016)              
 [==================================================>..............] 87/110   Step: 1s85ms | Tot: 1m26s | Loss: 1.829 | Acc: 33.028% (7356/22272)              
 [===================================================>.............] 88/110   Step: 971ms | Tot: 1m27s | Loss: 1.826 | Acc: 33.163% (7471/22528)              
 [====================================================>............] 89/110   Step: 968ms | Tot: 1m28s | Loss: 1.822 | Acc: 33.282% (7583/22784)              
 [====================================================>............] 90/110   Step: 960ms | Tot: 1m29s | Loss: 1.819 | Acc: 33.429% (7702/23040)              
 [=====================================================>...........] 91/110   Step: 966ms | Tot: 1m30s | Loss: 1.815 | Acc: 33.542% (7814/23296)              
 [=====================================================>...........] 92/110   Step: 1s83ms | Tot: 1m31s | Loss: 1.813 | Acc: 33.662% (7928/23552)              
 [======================================================>..........] 93/110   Step: 963ms | Tot: 1m32s | Loss: 1.809 | Acc: 33.787% (8044/23808)              
 [======================================================>..........] 94/110   Step: 962ms | Tot: 1m33s | Loss: 1.806 | Acc: 33.889% (8155/24064)              
 [=======================================================>.........] 95/110   Step: 965ms | Tot: 1m34s | Loss: 1.804 | Acc: 33.984% (8265/24320)              
 [========================================================>........] 96/110   Step: 1s67ms | Tot: 1m35s | Loss: 1.800 | Acc: 34.090% (8378/24576)              
 [========================================================>........] 97/110   Step: 971ms | Tot: 1m36s | Loss: 1.796 | Acc: 34.182% (8488/24832)              
 [=========================================================>.......] 98/110   Step: 974ms | Tot: 1m37s | Loss: 1.793 | Acc: 34.279% (8600/25088)              
 [=========================================================>.......] 99/110   Step: 973ms | Tot: 1m38s | Loss: 1.790 | Acc: 34.379% (8713/25344)              
 [==========================================================>......] 100/110   Step: 960ms | Tot: 1m39s | Loss: 1.786 | Acc: 34.453% (8820/25600)              
 [===========================================================>.....] 101/110   Step: 1s72ms | Tot: 1m40s | Loss: 1.783 | Acc: 34.611% (8949/25856)              
 [===========================================================>.....] 102/110   Step: 981ms | Tot: 1m41s | Loss: 1.780 | Acc: 34.735% (9070/26112)              
 [============================================================>....] 103/110   Step: 973ms | Tot: 1m42s | Loss: 1.778 | Acc: 34.826% (9183/26368)              
 [============================================================>....] 104/110   Step: 959ms | Tot: 1m43s | Loss: 1.775 | Acc: 34.923% (9298/26624)              
 [=============================================================>...] 105/110   Step: 1s72ms | Tot: 1m44s | Loss: 1.771 | Acc: 35.045% (9420/26880)              
 [==============================================================>..] 106/110   Step: 895ms | Tot: 1m45s | Loss: 1.769 | Acc: 35.153% (9539/27136)              
 [==============================================================>..] 107/110   Step: 860ms | Tot: 1m46s | Loss: 1.768 | Acc: 35.189% (9639/27392)              
 [===============================================================>.] 108/110   Step: 858ms | Tot: 1m47s | Loss: 1.766 | Acc: 35.254% (9747/27648)              
 [===============================================================>.] 109/110   Step: 860ms | Tot: 1m48s | Loss: 1.764 | Acc: 35.339% (9861/27904)              
 [================================================================>] 110/110   Step: 8s446ms | Tot: 1m56s | Loss: 1.763 | Acc: 35.364% (9902/28000)
 [>................................................................] 1/40   Step: 1s90ms | Tot: 0ms | Loss: 2.736 | Acc: 40.234% (103/256)              
 [=>...............................................................] 2/40   Step: 436ms | Tot: 436ms | Loss: 2.802 | Acc: 37.109% (190/512)              
 [===>.............................................................] 3/40   Step: 428ms | Tot: 865ms | Loss: 2.714 | Acc: 37.240% (286/768)              
