cifar10 loaded
There are 40000 training samples and 10000 validation samples
There are 10000 test samples.
This is records for stage 2
Train with the pop selected dataset.
load parameters
Now try to run the algorithm POP
------------------ Start to select subsets ------------------
Selected 24951 samples for weakkness <= 13.
Train with the selected 24951 samples.
Use multiple GPU to train the network.
Use 100 epochs

Epoch: 0
 [>................................................................] 1/98   Step: 1m798ms | Tot: 0ms | Loss: 0.192 | Acc: 93.359% (239/256)              
 [>................................................................] 2/98   Step: 1s982ms | Tot: 1s982ms | Loss: 0.186 | Acc: 93.359% (478/512)              
 [=>...............................................................] 3/98   Step: 985ms | Tot: 2s967ms | Loss: 0.182 | Acc: 93.359% (717/768)              
 [=>...............................................................] 4/98   Step: 1s137ms | Tot: 4s105ms | Loss: 0.192 | Acc: 93.164% (954/1024)              
 [==>..............................................................] 5/98   Step: 963ms | Tot: 5s69ms | Loss: 0.192 | Acc: 92.812% (1188/1280)              
 [===>.............................................................] 6/98   Step: 974ms | Tot: 6s43ms | Loss: 0.182 | Acc: 93.424% (1435/1536)              
 [===>.............................................................] 7/98   Step: 964ms | Tot: 7s8ms | Loss: 0.172 | Acc: 93.862% (1682/1792)              
 [====>............................................................] 8/98   Step: 967ms | Tot: 7s975ms | Loss: 0.173 | Acc: 93.799% (1921/2048)              
 [=====>...........................................................] 9/98   Step: 1s65ms | Tot: 9s40ms | Loss: 0.171 | Acc: 93.924% (2164/2304)              
 [=====>...........................................................] 10/98   Step: 963ms | Tot: 10s3ms | Loss: 0.166 | Acc: 94.180% (2411/2560)              
 [======>..........................................................] 11/98   Step: 968ms | Tot: 10s972ms | Loss: 0.160 | Acc: 94.389% (2658/2816)              
 [=======>.........................................................] 12/98   Step: 960ms | Tot: 11s932ms | Loss: 0.159 | Acc: 94.434% (2901/3072)              
 [=======>.........................................................] 13/98   Step: 1s84ms | Tot: 13s17ms | Loss: 0.157 | Acc: 94.651% (3150/3328)              
 [========>........................................................] 14/98   Step: 970ms | Tot: 13s988ms | Loss: 0.152 | Acc: 94.754% (3396/3584)              
 [=========>.......................................................] 15/98   Step: 968ms | Tot: 14s957ms | Loss: 0.150 | Acc: 94.922% (3645/3840)              
 [================================>................................] 50/98   Step: 962ms | Tot: 49s725ms | Loss: 0.106 | Acc: 96.492% (12351/12800)              
 [=================================>...............................] 51/98   Step: 1s68ms | Tot: 50s794ms | Loss: 0.105 | Acc: 96.523% (12602/13056)              
 [=================================>...............................] 52/98   Step: 964ms | Tot: 51s758ms | Loss: 0.104 | Acc: 96.522% (12849/13312)              
 [==================================>..............................] 53/98   Step: 965ms | Tot: 52s723ms | Loss: 0.104 | Acc: 96.558% (13101/13568)              
 [===================================>.............................] 54/98   Step: 978ms | Tot: 53s702ms | Loss: 0.103 | Acc: 96.549% (13347/13824)              
 [===================================>.............................] 55/98   Step: 1s67ms | Tot: 54s769ms | Loss: 0.102 | Acc: 96.612% (13603/14080)              
 [====================================>............................] 56/98   Step: 961ms | Tot: 55s731ms | Loss: 0.101 | Acc: 96.638% (13854/14336)              
 [=====================================>...........................] 57/98   Step: 967ms | Tot: 56s698ms | Loss: 0.100 | Acc: 96.676% (14107/14592)              
 [=====================================>...........................] 58/98   Step: 966ms | Tot: 57s665ms | Loss: 0.100 | Acc: 96.686% (14356/14848)              
 [======================================>..........................] 59/98   Step: 974ms | Tot: 58s639ms | Loss: 0.099 | Acc: 96.709% (14607/15104)              
 [=======================================>.........................] 60/98   Step: 1s67ms | Tot: 59s707ms | Loss: 0.100 | Acc: 96.706% (14854/15360)              
 [=======================================>.........................] 61/98   Step: 962ms | Tot: 1m670ms | Loss: 0.099 | Acc: 96.721% (15104/15616)              
 [========================================>........................] 62/98   Step: 970ms | Tot: 1m1s | Loss: 0.099 | Acc: 96.724% (15352/15872)              
 [=========================================>.......................] 63/98   Step: 968ms | Tot: 1m2s | Loss: 0.098 | Acc: 96.757% (15605/16128)              
 [=========================================>.......................] 64/98   Step: 1s117ms | Tot: 1m3s | Loss: 0.098 | Acc: 96.777% (15856/16384)              
 [==========================================>......................] 65/98   Step: 968ms | Tot: 1m4s | Loss: 0.097 | Acc: 96.803% (16108/16640)              
 [===========================================>.....................] 66/98   Step: 972ms | Tot: 1m5s | Loss: 0.097 | Acc: 96.834% (16361/16896)              
 [===========================================>.....................] 67/98   Step: 963ms | Tot: 1m6s | Loss: 0.096 | Acc: 96.846% (16611/17152)              
 [============================================>....................] 68/98   Step: 967ms | Tot: 1m7s | Loss: 0.096 | Acc: 96.864% (16862/17408)              
 [=============================================>...................] 69/98   Step: 1s80ms | Tot: 1m8s | Loss: 0.095 | Acc: 96.892% (17115/17664)              
 [=============================================>...................] 70/98   Step: 961ms | Tot: 1m9s | Loss: 0.094 | Acc: 96.914% (17367/17920)              
 [==============================================>..................] 71/98   Step: 963ms | Tot: 1m10s | Loss: 0.094 | Acc: 96.947% (17621/18176)              
 [===============================================>.................] 72/98   Step: 958ms | Tot: 1m11s | Loss: 0.094 | Acc: 96.956% (17871/18432)              
 [===============================================>.................] 73/98   Step: 1s78ms | Tot: 1m12s | Loss: 0.094 | Acc: 96.945% (18117/18688)              
 [================================================>................] 74/98   Step: 994ms | Tot: 1m13s | Loss: 0.093 | Acc: 96.970% (18370/18944)              
 [=================================================>...............] 75/98   Step: 966ms | Tot: 1m14s | Loss: 0.092 | Acc: 96.995% (18623/19200)              
 [=================================================>...............] 76/98   Step: 967ms | Tot: 1m15s | Loss: 0.092 | Acc: 97.014% (18875/19456)              
 [==================================================>..............] 77/98   Step: 961ms | Tot: 1m16s | Loss: 0.091 | Acc: 97.032% (19127/19712)              
 [===================================================>.............] 78/98   Step: 1s70ms | Tot: 1m17s | Loss: 0.091 | Acc: 97.055% (19380/19968)              
 [===================================================>.............] 79/98   Step: 965ms | Tot: 1m18s | Loss: 0.090 | Acc: 97.073% (19632/20224)              
 [====================================================>............] 80/98   Step: 961ms | Tot: 1m19s | Loss: 0.090 | Acc: 97.075% (19881/20480)              
 [=====================================================>...........] 81/98   Step: 963ms | Tot: 1m20s | Loss: 0.090 | Acc: 97.092% (20133/20736)              
 [=====================================================>...........] 82/98   Step: 965ms | Tot: 1m21s | Loss: 0.089 | Acc: 97.104% (20384/20992)              
 [======================================================>..........] 83/98   Step: 1s66ms | Tot: 1m22s | Loss: 0.089 | Acc: 97.115% (20635/21248)              
 [=======================================================>.........] 84/98   Step: 982ms | Tot: 1m23s | Loss: 0.088 | Acc: 97.135% (20888/21504)              
 [=======================================================>.........] 85/98   Step: 960ms | Tot: 1m24s | Loss: 0.088 | Acc: 97.160% (21142/21760)              
 [========================================================>........] 86/98   Step: 967ms | Tot: 1m25s | Loss: 0.087 | Acc: 97.188% (21397/22016)              
 [=========================================================>.......] 87/98   Step: 973ms | Tot: 1m26s | Loss: 0.087 | Acc: 97.189% (21646/22272)              
 [=========================================================>.......] 88/98   Step: 1s76ms | Tot: 1m27s | Loss: 0.087 | Acc: 97.195% (21896/22528)              
 [==========================================================>......] 89/98   Step: 962ms | Tot: 1m28s | Loss: 0.086 | Acc: 97.222% (22151/22784)              
 [===========================================================>.....] 90/98   Step: 961ms | Tot: 1m29s | Loss: 0.086 | Acc: 97.231% (22402/23040)              
 [===========================================================>.....] 91/98   Step: 964ms | Tot: 1m30s | Loss: 0.085 | Acc: 97.240% (22653/23296)              
 [============================================================>....] 92/98   Step: 1s71ms | Tot: 1m31s | Loss: 0.085 | Acc: 97.266% (22908/23552)              
 [=============================================================>...] 93/98   Step: 965ms | Tot: 1m32s | Loss: 0.084 | Acc: 97.282% (23161/23808)              
 [=============================================================>...] 94/98   Step: 920ms | Tot: 1m33s | Loss: 0.084 | Acc: 97.295% (23413/24064)              
 [==============================================================>..] 95/98   Step: 849ms | Tot: 1m34s | Loss: 0.083 | Acc: 97.303% (23664/24320)              
 [===============================================================>.] 96/98   Step: 858ms | Tot: 1m35s | Loss: 0.083 | Acc: 97.310% (23915/24576)              
 [===============================================================>.] 97/98   Step: 961ms | Tot: 1m35s | Loss: 0.083 | Acc: 97.326% (24168/24832)              
 [================================================================>] 98/98   Step: 8s813ms | Tot: 1m44s | Loss: 0.083 | Acc: 97.327% (24284/24951)
 [>................................................................] 1/40   Step: 1s147ms | Tot: 0ms | Loss: 0.162 | Acc: 96.094% (246/256)              
 [=>...............................................................] 2/40   Step: 421ms | Tot: 421ms | Loss: 0.215 | Acc: 93.164% (477/512)              
 [===>.............................................................] 3/40   Step: 421ms | Tot: 843ms | Loss: 0.193 | Acc: 93.750% (720/768)              
 [====>............................................................] 4/40   Step: 622ms | Tot: 1s465ms | Loss: 0.195 | Acc: 93.848% (961/1024)              
 [======>..........................................................] 5/40   Step: 416ms | Tot: 1s881ms | Loss: 0.186 | Acc: 94.297% (1207/1280)              
 [========>........................................................] 6/40   Step: 416ms | Tot: 2s297ms | Loss: 0.199 | Acc: 94.010% (1444/1536)              
 [=========>.......................................................] 7/40   Step: 415ms | Tot: 2s712ms | Loss: 0.199 | Acc: 93.806% (1681/1792)              
 [===========>.....................................................] 8/40   Step: 416ms | Tot: 3s129ms | Loss: 0.193 | Acc: 93.994% (1925/2048)              
 [=============>...................................................] 9/40   Step: 521ms | Tot: 3s651ms | Loss: 0.193 | Acc: 93.967% (2165/2304)              
 [==============>..................................................] 10/40   Step: 415ms | Tot: 4s66ms | Loss: 0.187 | Acc: 94.180% (2411/2560)              
 [================>................................................] 11/40   Step: 416ms | Tot: 4s482ms | Loss: 0.190 | Acc: 94.070% (2649/2816)              
 [=================>...............................................] 12/40   Step: 415ms | Tot: 4s897ms | Loss: 0.194 | Acc: 93.880% (2884/3072)              
 [===================>.............................................] 13/40   Step: 415ms | Tot: 5s313ms | Loss: 0.198 | Acc: 93.600% (3115/3328)              
 [=====================>...........................................] 14/40   Step: 414ms | Tot: 5s727ms | Loss: 0.195 | Acc: 93.583% (3354/3584)              
 [======================>..........................................] 15/40   Step: 518ms | Tot: 6s246ms | Loss: 0.200 | Acc: 93.438% (3588/3840)              
 [========================>........................................] 16/40   Step: 413ms | Tot: 6s660ms | Loss: 0.207 | Acc: 93.188% (3817/4096)              
 [==========================>......................................] 17/40   Step: 432ms | Tot: 7s92ms | Loss: 0.207 | Acc: 93.153% (4054/4352)              
 [===========================>.....................................] 18/40   Step: 415ms | Tot: 7s507ms | Loss: 0.208 | Acc: 93.099% (4290/4608)              
 [=============================>...................................] 19/40   Step: 414ms | Tot: 7s922ms | Loss: 0.211 | Acc: 93.113% (4529/4864)              
 [==============================>..................................] 20/40   Step: 523ms | Tot: 8s445ms | Loss: 0.209 | Acc: 93.223% (4773/5120)              
 [================================>................................] 21/40   Step: 415ms | Tot: 8s860ms | Loss: 0.210 | Acc: 93.248% (5013/5376)              
 [==================================>..............................] 22/40   Step: 415ms | Tot: 9s275ms | Loss: 0.212 | Acc: 93.182% (5248/5632)              
