cifar10 loaded
There are 40000 training samples and 10000 validation samples
There are 10000 test samples.
This is records for stage 3
Train with the wcl selected dataset (by weighted the boundary points).
load parameters
Now try to run the WCL algorithm, by scaling up boundary sample scores
Scale up the boundary sample scores to 1
Start to select 20000 samples for a fair comparison.
Use multiple GPU to train the network.
Use 100 epochs

Epoch: 0
 [>................................................................] 1/79   Step: 54s195ms | Tot: 0ms | Loss: 0.119 | Acc: 96.875% (248/256)              
 [>................................................................] 2/79   Step: 2s12ms | Tot: 2s12ms | Loss: 0.091 | Acc: 97.656% (500/512)              
 [=>...............................................................] 3/79   Step: 997ms | Tot: 3s10ms | Loss: 0.093 | Acc: 97.396% (748/768)              
 [==>..............................................................] 4/79   Step: 1s165ms | Tot: 4s175ms | Loss: 0.086 | Acc: 97.559% (999/1024)              
 [===>.............................................................] 5/79   Step: 1s9ms | Tot: 5s185ms | Loss: 0.095 | Acc: 97.500% (1248/1280)              
 [====>............................................................] 6/79   Step: 980ms | Tot: 6s166ms | Loss: 0.085 | Acc: 97.721% (1501/1536)              
 [====>............................................................] 7/79   Step: 976ms | Tot: 7s142ms | Loss: 0.093 | Acc: 97.433% (1746/1792)              
 [=====>...........................................................] 8/79   Step: 986ms | Tot: 8s129ms | Loss: 0.093 | Acc: 97.314% (1993/2048)              
 [======>..........................................................] 9/79   Step: 1s86ms | Tot: 9s215ms | Loss: 0.092 | Acc: 97.352% (2243/2304)              
 [=======>.........................................................] 10/79   Step: 982ms | Tot: 10s198ms | Loss: 0.089 | Acc: 97.344% (2492/2560)              
 [========>........................................................] 11/79   Step: 981ms | Tot: 11s179ms | Loss: 0.090 | Acc: 97.372% (2742/2816)              
 [=========>.......................................................] 12/79   Step: 981ms | Tot: 12s161ms | Loss: 0.091 | Acc: 97.396% (2992/3072)              
 [=========>.......................................................] 13/79   Step: 1s2ms | Tot: 13s163ms | Loss: 0.088 | Acc: 97.416% (3242/3328)              
 [==========>......................................................] 14/79   Step: 1s103ms | Tot: 14s267ms | Loss: 0.088 | Acc: 97.349% (3489/3584)              
 [===========>.....................................................] 15/79   Step: 1s7ms | Tot: 15s274ms | Loss: 0.091 | Acc: 97.370% (3739/3840)              
 [============>....................................................] 16/79   Step: 987ms | Tot: 16s262ms | Loss: 0.092 | Acc: 97.388% (3989/4096)              
 [=============>...................................................] 17/79   Step: 985ms | Tot: 17s248ms | Loss: 0.089 | Acc: 97.472% (4242/4352)              
 [=============>...................................................] 18/79   Step: 995ms | Tot: 18s243ms | Loss: 0.087 | Acc: 97.504% (4493/4608)              
 [==============>..................................................] 19/79   Step: 1s95ms | Tot: 19s338ms | Loss: 0.084 | Acc: 97.595% (4747/4864)              
 [===============>.................................................] 20/79   Step: 978ms | Tot: 20s317ms | Loss: 0.084 | Acc: 97.559% (4995/5120)              
 [================>................................................] 21/79   Step: 988ms | Tot: 21s305ms | Loss: 0.083 | Acc: 97.600% (5247/5376)              
 [=================>...............................................] 22/79   Step: 983ms | Tot: 22s289ms | Loss: 0.085 | Acc: 97.567% (5495/5632)              
 [==================>..............................................] 23/79   Step: 1s87ms | Tot: 23s376ms | Loss: 0.087 | Acc: 97.503% (5741/5888)              
 [==================>..............................................] 24/79   Step: 981ms | Tot: 24s358ms | Loss: 0.090 | Acc: 97.493% (5990/6144)              
 [===================>.............................................] 25/79   Step: 1s4ms | Tot: 25s363ms | Loss: 0.091 | Acc: 97.469% (6238/6400)              
 [====================>............................................] 26/79   Step: 980ms | Tot: 26s344ms | Loss: 0.090 | Acc: 97.506% (6490/6656)              
 [=====================>...........................................] 27/79   Step: 974ms | Tot: 27s318ms | Loss: 0.093 | Acc: 97.512% (6740/6912)              
 [======================>..........................................] 28/79   Step: 1s84ms | Tot: 28s403ms | Loss: 0.095 | Acc: 97.475% (6987/7168)              
 [=======================>.........................................] 29/79   Step: 985ms | Tot: 29s389ms | Loss: 0.094 | Acc: 97.481% (7237/7424)              
 [=======================>.........................................] 30/79   Step: 985ms | Tot: 30s375ms | Loss: 0.095 | Acc: 97.500% (7488/7680)              
