cifar10 loaded
There are 40000 training samples and 10000 validation samples
There are 10000 test samples.
This is records for stage 1
Train with the cl selected dataset.
------------------ Start to select subsets ------------------
Selected 70 percent training data.
Use multiple GPU to train the network.
Use 150 epochs

Epoch: 0
 [>................................................................] 1/110   Step: 1m3s | Tot: 0ms | Loss: 2.337 | Acc: 9.375% (24/256)              
 [>................................................................] 2/110   Step: 1s980ms | Tot: 1s980ms | Loss: 2.317 | Acc: 13.086% (67/512)              
 [=>...............................................................] 3/110   Step: 986ms | Tot: 2s967ms | Loss: 2.252 | Acc: 15.495% (119/768)              
 [=>...............................................................] 4/110   Step: 1s133ms | Tot: 4s100ms | Loss: 2.232 | Acc: 16.113% (165/1024)              
 [==>..............................................................] 5/110   Step: 957ms | Tot: 5s58ms | Loss: 2.231 | Acc: 16.875% (216/1280)              
 [==>..............................................................] 6/110   Step: 962ms | Tot: 6s20ms | Loss: 2.208 | Acc: 17.513% (269/1536)              
 [===>.............................................................] 7/110   Step: 958ms | Tot: 6s979ms | Loss: 2.207 | Acc: 18.248% (327/1792)              
 [====>............................................................] 8/110   Step: 964ms | Tot: 7s943ms | Loss: 2.192 | Acc: 18.359% (376/2048)              
 [====>............................................................] 9/110   Step: 1s62ms | Tot: 9s6ms | Loss: 2.190 | Acc: 19.575% (451/2304)              
 [=====>...........................................................] 10/110   Step: 957ms | Tot: 9s964ms | Loss: 2.175 | Acc: 19.805% (507/2560)              
 [=====>...........................................................] 11/110   Step: 958ms | Tot: 10s923ms | Loss: 2.173 | Acc: 20.348% (573/2816)              
 [======>..........................................................] 12/110   Step: 952ms | Tot: 11s875ms | Loss: 2.169 | Acc: 20.573% (632/3072)              
 [=============================>...................................] 51/110   Step: 957ms | Tot: 50s444ms | Loss: 1.924 | Acc: 30.139% (3935/13056)              
 [==============================>..................................] 52/110   Step: 955ms | Tot: 51s399ms | Loss: 1.921 | Acc: 30.221% (4023/13312)              
 [==============================>..................................] 53/110   Step: 963ms | Tot: 52s363ms | Loss: 1.914 | Acc: 30.380% (4122/13568)              
 [===============================>.................................] 54/110   Step: 969ms | Tot: 53s332ms | Loss: 1.908 | Acc: 30.584% (4228/13824)              
 [===============================>.................................] 55/110   Step: 1s94ms | Tot: 54s427ms | Loss: 1.902 | Acc: 30.760% (4331/14080)              
 [================================>................................] 56/110   Step: 954ms | Tot: 55s382ms | Loss: 1.893 | Acc: 31.048% (4451/14336)              
 [=================================>...............................] 57/110   Step: 952ms | Tot: 56s335ms | Loss: 1.886 | Acc: 31.277% (4564/14592)              
 [=================================>...............................] 58/110   Step: 958ms | Tot: 57s293ms | Loss: 1.883 | Acc: 31.358% (4656/14848)              
 [==================================>..............................] 59/110   Step: 959ms | Tot: 58s252ms | Loss: 1.878 | Acc: 31.495% (4757/15104)              
 [==================================>..............................] 60/110   Step: 1s61ms | Tot: 59s314ms | Loss: 1.873 | Acc: 31.758% (4878/15360)              
 [===================================>.............................] 61/110   Step: 955ms | Tot: 1m269ms | Loss: 1.870 | Acc: 31.942% (4988/15616)              
 [====================================>............................] 62/110   Step: 957ms | Tot: 1m1s | Loss: 1.866 | Acc: 32.101% (5095/15872)              
 [====================================>............................] 63/110   Step: 958ms | Tot: 1m2s | Loss: 1.862 | Acc: 32.230% (5198/16128)              
 [=====================================>...........................] 64/110   Step: 967ms | Tot: 1m3s | Loss: 1.859 | Acc: 32.300% (5292/16384)              
 [=====================================>...........................] 65/110   Step: 1s61ms | Tot: 1m4s | Loss: 1.852 | Acc: 32.500% (5408/16640)              
 [======================================>..........................] 66/110   Step: 959ms | Tot: 1m5s | Loss: 1.850 | Acc: 32.558% (5501/16896)              
 [=======================================>.........................] 67/110   Step: 966ms | Tot: 1m6s | Loss: 1.850 | Acc: 32.591% (5590/17152)              
 [=======================================>.........................] 68/110   Step: 959ms | Tot: 1m7s | Loss: 1.845 | Acc: 32.738% (5699/17408)              
 [========================================>........................] 69/110   Step: 1s69ms | Tot: 1m8s | Loss: 1.842 | Acc: 32.824% (5798/17664)              
 [========================================>........................] 70/110   Step: 963ms | Tot: 1m9s | Loss: 1.840 | Acc: 32.924% (5900/17920)              
 [=========================================>.......................] 71/110   Step: 962ms | Tot: 1m10s | Loss: 1.837 | Acc: 33.055% (6008/18176)              
 [=========================================>.......................] 72/110   Step: 954ms | Tot: 1m11s | Loss: 1.833 | Acc: 33.154% (6111/18432)              
 [==========================================>......................] 73/110   Step: 953ms | Tot: 1m12s | Loss: 1.831 | Acc: 33.257% (6215/18688)              
 [===========================================>.....................] 74/110   Step: 1s77ms | Tot: 1m13s | Loss: 1.826 | Acc: 33.414% (6330/18944)              
 [===========================================>.....................] 75/110   Step: 957ms | Tot: 1m14s | Loss: 1.822 | Acc: 33.552% (6442/19200)              
 [============================================>....................] 76/110   Step: 967ms | Tot: 1m15s | Loss: 1.819 | Acc: 33.697% (6556/19456)              
 [============================================>....................] 77/110   Step: 976ms | Tot: 1m15s | Loss: 1.815 | Acc: 33.827% (6668/19712)              
 [=============================================>...................] 78/110   Step: 1s79ms | Tot: 1m17s | Loss: 1.811 | Acc: 33.974% (6784/19968)              
 [==============================================>..................] 79/110   Step: 964ms | Tot: 1m18s | Loss: 1.811 | Acc: 33.999% (6876/20224)              
 [==============================================>..................] 80/110   Step: 958ms | Tot: 1m18s | Loss: 1.808 | Acc: 34.092% (6982/20480)              
 [===============================================>.................] 81/110   Step: 956ms | Tot: 1m19s | Loss: 1.805 | Acc: 34.264% (7105/20736)              
 [===============================================>.................] 82/110   Step: 957ms | Tot: 1m20s | Loss: 1.802 | Acc: 34.385% (7218/20992)              
 [================================================>................] 83/110   Step: 1s91ms | Tot: 1m21s | Loss: 1.798 | Acc: 34.530% (7337/21248)              
 [=================================================>...............] 84/110   Step: 977ms | Tot: 1m22s | Loss: 1.794 | Acc: 34.668% (7455/21504)              
 [=================================================>...............] 85/110   Step: 959ms | Tot: 1m23s | Loss: 1.790 | Acc: 34.839% (7581/21760)              
 [==================================================>..............] 86/110   Step: 954ms | Tot: 1m24s | Loss: 1.787 | Acc: 34.925% (7689/22016)              
 [==================================================>..............] 87/110   Step: 1s75ms | Tot: 1m25s | Loss: 1.784 | Acc: 35.004% (7796/22272)              
 [===================================================>.............] 88/110   Step: 958ms | Tot: 1m26s | Loss: 1.781 | Acc: 35.130% (7914/22528)              
 [====================================================>............] 89/110   Step: 956ms | Tot: 1m27s | Loss: 1.777 | Acc: 35.270% (8036/22784)              
 [====================================================>............] 90/110   Step: 954ms | Tot: 1m28s | Loss: 1.775 | Acc: 35.339% (8142/23040)              
 [=====================================================>...........] 91/110   Step: 955ms | Tot: 1m29s | Loss: 1.772 | Acc: 35.478% (8265/23296)              
 [=====================================================>...........] 92/110   Step: 1s61ms | Tot: 1m30s | Loss: 1.767 | Acc: 35.619% (8389/23552)              
 [======================================================>..........] 93/110   Step: 955ms | Tot: 1m31s | Loss: 1.765 | Acc: 35.681% (8495/23808)              
 [======================================================>..........] 94/110   Step: 977ms | Tot: 1m32s | Loss: 1.763 | Acc: 35.780% (8610/24064)              
 [=======================================================>.........] 95/110   Step: 960ms | Tot: 1m33s | Loss: 1.759 | Acc: 35.962% (8746/24320)              
 [========================================================>........] 96/110   Step: 1s53ms | Tot: 1m34s | Loss: 1.754 | Acc: 36.100% (8872/24576)              
 [========================================================>........] 97/110   Step: 958ms | Tot: 1m35s | Loss: 1.752 | Acc: 36.183% (8985/24832)              
 [=========================================================>.......] 98/110   Step: 958ms | Tot: 1m36s | Loss: 1.749 | Acc: 36.288% (9104/25088)              
 [=========================================================>.......] 99/110   Step: 956ms | Tot: 1m37s | Loss: 1.744 | Acc: 36.419% (9230/25344)              
 [==========================================================>......] 100/110   Step: 958ms | Tot: 1m38s | Loss: 1.740 | Acc: 36.547% (9356/25600)              
 [===========================================================>.....] 101/110   Step: 1s58ms | Tot: 1m39s | Loss: 1.737 | Acc: 36.676% (9483/25856)              
 [===========================================================>.....] 102/110   Step: 954ms | Tot: 1m40s | Loss: 1.734 | Acc: 36.799% (9609/26112)              
 [============================================================>....] 103/110   Step: 964ms | Tot: 1m41s | Loss: 1.732 | Acc: 36.908% (9732/26368)              
 [============================================================>....] 104/110   Step: 974ms | Tot: 1m42s | Loss: 1.731 | Acc: 36.997% (9850/26624)              
 [=============================================================>...] 105/110   Step: 957ms | Tot: 1m43s | Loss: 1.728 | Acc: 37.098% (9972/26880)              
 [==============================================================>..] 106/110   Step: 997ms | Tot: 1m44s | Loss: 1.726 | Acc: 37.157% (10083/27136)              
 [==============================================================>..] 107/110   Step: 845ms | Tot: 1m45s | Loss: 1.724 | Acc: 37.226% (10197/27392)              
 [===============================================================>.] 108/110   Step: 841ms | Tot: 1m46s | Loss: 1.721 | Acc: 37.334% (10322/27648)              
 [===============================================================>.] 109/110   Step: 845ms | Tot: 1m47s | Loss: 1.718 | Acc: 37.496% (10463/27904)              
 [================================================================>] 110/110   Step: 8s47ms | Tot: 1m55s | Loss: 1.716 | Acc: 37.532% (10509/28000)
 [>................................................................] 1/40   Step: 1s139ms | Tot: 0ms | Loss: 1.713 | Acc: 39.453% (101/256)              
