cifar10 loaded
There are 40000 training samples and 10000 validation samples
There are 10000 test samples.
This is records for stage 3
Train with the cl selected dataset.
load parameters
------------------ Start to select subsets ------------------
Selected 70 percent training data.
Use multiple GPU to train the network.
Use 100 epochs

Epoch: 0
 [>................................................................] 1/110   Step: 44s520ms | Tot: 0ms | Loss: 0.062 | Acc: 98.047% (251/256)              
 [>................................................................] 2/110   Step: 1s965ms | Tot: 1s965ms | Loss: 0.052 | Acc: 98.047% (502/512)              
 [=>...............................................................] 3/110   Step: 969ms | Tot: 2s934ms | Loss: 0.048 | Acc: 98.438% (756/768)              
 [=>...............................................................] 4/110   Step: 1s154ms | Tot: 4s89ms | Loss: 0.046 | Acc: 98.633% (1010/1024)              
 [==>..............................................................] 5/110   Step: 958ms | Tot: 5s47ms | Loss: 0.055 | Acc: 98.516% (1261/1280)              
 [==>..............................................................] 6/110   Step: 960ms | Tot: 6s7ms | Loss: 0.059 | Acc: 98.438% (1512/1536)              
 [===>.............................................................] 7/110   Step: 976ms | Tot: 6s984ms | Loss: 0.059 | Acc: 98.438% (1764/1792)              
 [====>............................................................] 8/110   Step: 961ms | Tot: 7s945ms | Loss: 0.062 | Acc: 98.389% (2015/2048)              
 [====>............................................................] 9/110   Step: 1s54ms | Tot: 9s | Loss: 0.059 | Acc: 98.438% (2268/2304)              
 [=====>...........................................................] 10/110   Step: 963ms | Tot: 9s963ms | Loss: 0.055 | Acc: 98.516% (2522/2560)              
 [=====>...........................................................] 11/110   Step: 968ms | Tot: 10s932ms | Loss: 0.054 | Acc: 98.509% (2774/2816)              
 [======>..........................................................] 12/110   Step: 960ms | Tot: 11s892ms | Loss: 0.054 | Acc: 98.470% (3025/3072)              
 [=======>.........................................................] 13/110   Step: 1s57ms | Tot: 12s949ms | Loss: 0.052 | Acc: 98.558% (3280/3328)              
 [=============================>...................................] 51/110   Step: 960ms | Tot: 50s477ms | Loss: 0.046 | Acc: 98.713% (12888/13056)              
 [==============================>..................................] 52/110   Step: 956ms | Tot: 51s434ms | Loss: 0.048 | Acc: 98.693% (13138/13312)              
 [==============================>..................................] 53/110   Step: 955ms | Tot: 52s390ms | Loss: 0.047 | Acc: 98.681% (13389/13568)              
 [===============================>.................................] 54/110   Step: 1s61ms | Tot: 53s452ms | Loss: 0.048 | Acc: 98.676% (13641/13824)              
 [===============================>.................................] 55/110   Step: 954ms | Tot: 54s407ms | Loss: 0.049 | Acc: 98.679% (13894/14080)              
 [================================>................................] 56/110   Step: 961ms | Tot: 55s368ms | Loss: 0.049 | Acc: 98.682% (14147/14336)              
 [=================================>...............................] 57/110   Step: 954ms | Tot: 56s323ms | Loss: 0.049 | Acc: 98.677% (14399/14592)              
 [=================================>...............................] 58/110   Step: 972ms | Tot: 57s295ms | Loss: 0.049 | Acc: 98.687% (14653/14848)              
 [==================================>..............................] 59/110   Step: 1s54ms | Tot: 58s349ms | Loss: 0.049 | Acc: 98.682% (14905/15104)              
 [==================================>..............................] 60/110   Step: 958ms | Tot: 59s308ms | Loss: 0.048 | Acc: 98.685% (15158/15360)              
 [===================================>.............................] 61/110   Step: 957ms | Tot: 1m265ms | Loss: 0.048 | Acc: 98.681% (15410/15616)              
 [====================================>............................] 62/110   Step: 958ms | Tot: 1m1s | Loss: 0.048 | Acc: 98.690% (15664/15872)              
 [====================================>............................] 63/110   Step: 1s56ms | Tot: 1m2s | Loss: 0.048 | Acc: 98.692% (15917/16128)              
 [=====================================>...........................] 64/110   Step: 956ms | Tot: 1m3s | Loss: 0.049 | Acc: 98.694% (16170/16384)              
 [=====================================>...........................] 65/110   Step: 962ms | Tot: 1m4s | Loss: 0.048 | Acc: 98.696% (16423/16640)              
 [======================================>..........................] 66/110   Step: 968ms | Tot: 1m5s | Loss: 0.048 | Acc: 98.704% (16677/16896)              
 [=======================================>.........................] 67/110   Step: 959ms | Tot: 1m6s | Loss: 0.048 | Acc: 98.712% (16931/17152)              
 [=======================================>.........................] 68/110   Step: 1s71ms | Tot: 1m7s | Loss: 0.048 | Acc: 98.707% (17183/17408)              
 [========================================>........................] 69/110   Step: 968ms | Tot: 1m8s | Loss: 0.048 | Acc: 98.709% (17436/17664)              
 [========================================>........................] 70/110   Step: 962ms | Tot: 1m9s | Loss: 0.048 | Acc: 98.722% (17691/17920)              
 [=========================================>.......................] 71/110   Step: 970ms | Tot: 1m10s | Loss: 0.048 | Acc: 98.713% (17942/18176)              
 [=========================================>.......................] 72/110   Step: 960ms | Tot: 1m11s | Loss: 0.049 | Acc: 98.698% (18192/18432)              
 [==========================================>......................] 73/110   Step: 1s72ms | Tot: 1m12s | Loss: 0.049 | Acc: 98.700% (18445/18688)              
 [===========================================>.....................] 74/110   Step: 966ms | Tot: 1m13s | Loss: 0.049 | Acc: 98.696% (18697/18944)              
 [===========================================>.....................] 75/110   Step: 971ms | Tot: 1m14s | Loss: 0.049 | Acc: 98.698% (18950/19200)              
 [============================================>....................] 76/110   Step: 956ms | Tot: 1m15s | Loss: 0.049 | Acc: 98.715% (19206/19456)              
 [============================================>....................] 77/110   Step: 959ms | Tot: 1m15s | Loss: 0.048 | Acc: 98.717% (19459/19712)              
 [=============================================>...................] 78/110   Step: 1s109ms | Tot: 1m17s | Loss: 0.049 | Acc: 98.698% (19708/19968)              
